Orthogroup	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
OG0022838	LOC110681514|XP_021713135.1|AAEG																																				
OG0022839	LOC110674321|XP_021694301.1|AAEG																																				
OG0022840	LOC110674323|XP_021694304.1|AAEG																																				
OG0022841	LOC110674327|XP_021694313.1|AAEG																																				
OG0022842	LOC110674094|XP_021693343.1|AAEG																																				
OG0022843	LOC110674334|XP_021694320.1|AAEG																																				
OG0022844	LOC110674136|XP_021693587.1|AAEG																																				
OG0022845	LOC110674137|XP_021693588.1|AAEG																																				
OG0022846	LOC110674138|XP_021693589.1|AAEG																																				
OG0022847	LOC110674157|XP_021693674.1|AAEG																																				
OG0022848	LOC110674183|XP_021693891.1|AAEG																																				
OG0022849	LOC110674216|XP_021694057.1|AAEG																																				
OG0022850	LOC110674217|XP_021694058.1|AAEG																																				
OG0022851	LOC110674248|XP_021694196.1|AAEG																																				
OG0022852	LOC5566113|XP_021699190.1|AAEG																																				
OG0022853	LOC110675282|XP_021695458.1|AAEG																																				
OG0022854	LOC110675280|XP_021695456.1|AAEG																																				
OG0022855	LOC110675279|XP_021695455.1|AAEG																																				
OG0022856	LOC110675310|XP_021695528.1|AAEG																																				
OG0022857	LOC110676472|XP_021700180.1|AAEG																																				
OG0022858	LOC110675362|XP_021695757.1|AAEG																																				
OG0022859	LOC110676684|XP_021701213.1|AAEG																																				
OG0022860	LOC110675441|XP_021696179.1|AAEG																																				
OG0022861	LOC5565096|XP_001649450.1|AAEG																																				
OG0022862	LOC110675468|XP_021696268.1|AAEG																																				
OG0022863	LOC110676785|XP_021701632.1|AAEG																																				
OG0022864	LOC110676892|XP_021702170.1|AAEG																																				
OG0022865	LOC5578233|XP_001663757.1|AAEG																																				
OG0022866	LOC110676911|XP_021702410.1|AAEG																																				
OG0022867	LOC110675617|XP_021696786.1|AAEG																																				
OG0022868	LOC23687920|XP_011492965.1|AAEG																																				
OG0022869	LOC110675812|XP_021697330.1|AAEG																																				
OG0022870	LOC110675120|XP_021695190.1|AAEG																																				
OG0022871	LOC5571689|XP_021695197.1|AAEG																																				
OG0022872	LOC5565539|XP_021697750.1|AAEG																																				
OG0022873	LOC110675965|XP_021697808.1|AAEG																																				
OG0022874	LOC110675135|XP_021695209.1|AAEG																																				
OG0022875	LOC110675136|XP_021695210.1|AAEG																																				
OG0022876	LOC5578605|XP_001657033.2|AAEG																																				
OG0022877	LOC5564245|XP_021698324.1|AAEG																																				
OG0022878	LOC110676173|XP_021698680.1|AAEG																																				
OG0022879	LOC110676231|XP_021698969.1|AAEG																																				
OG0022880	LOC110676236|XP_021699012.1|AAEG																																				
OG0022881	LOC110675487|XP_021696306.1|AAEG																																				
OG0022882	LOC5570330|XP_021699494.1|AAEG																																				
OG0022883	LOC110676462|XP_021700108.1|AAEG																																				
OG0022884	LOC23687597|XP_021700446.1|AAEG																																				
OG0022885	LOC110675648|XP_021696908.1|AAEG																																				
OG0022886	LOC110676611|XP_021700851.1|AAEG																																				
OG0022887	LOC110676623|XP_021700931.1|AAEG																																				
OG0022888	LOC5565374|XP_001649720.2|AAEG																																				
OG0022889	LOC110675713|XP_021697110.1|AAEG																																				
OG0022890	LOC110676778|XP_021701627.1|AAEG																																				
OG0022891	LOC110675200|XP_021695305.1|AAEG																																				
OG0022892	LOC110676832|XP_021701874.1|AAEG																																				
OG0022893	LOC110675227|XP_021695346.1|AAEG																																				
OG0022894	LOC5571546|XP_021703134.1|AAEG																																				
OG0022895	LOC110677206|XP_021703882.1|AAEG																																				
OG0022896	LOC23687564|XP_011493147.1|AAEG																																				
OG0022897	LOC110679821|XP_021711250.1|AAEG																																				
OG0022898	LOC23687800|XP_011493150.1|AAEG																																				
OG0022899	LOC110679650|XP_021710737.1|AAEG																																				
OG0022900	LOC110679859|XP_021711482.1|AAEG																																				
OG0022901	LOC110679889|XP_021711676.1|AAEG																																				
OG0022902	LOC110679006|XP_021708520.1|AAEG																																				
OG0022903	LOC110677647|XP_021704203.1|AAEG																																				
OG0022904	LOC110677650|XP_021704209.1|AAEG																																				
OG0022905	LOC110679622|XP_021710628.1|AAEG																																				
OG0022906	LOC110677701|XP_021704489.1|AAEG																																				
OG0022907	LOC110677703|XP_021704491.1|AAEG																																				
OG0022908	LOC110679883|XP_021711646.1|AAEG																																				
OG0022909	LOC23687962|XP_021709699.1|AAEG																																				
OG0022910	LOC110678093|XP_021706380.1|AAEG																																				
OG0022911	LOC5579170|XP_001664264.1|AAEG																																				
OG0022912	LOC23687934|XP_011493274.2|AAEG																																				
OG0022913	LOC110678106|XP_021706398.1|AAEG																																				
OG0022914	LOC110679542|XP_021710129.1|AAEG																																				
OG0022915	LOC110678811|XP_021707917.1|AAEG																																				
OG0022916	LOC110679201|XP_021709005.1|AAEG																																				
OG0022917	LOC110678789|XP_021707836.1|AAEG																																				
OG0022918	LOC110679307|XP_021709334.1|AAEG																																				
OG0022919	LOC110678446|XP_021707037.1|AAEG																																				
OG0022920	LOC110679647|XP_021710733.1|AAEG																																				
OG0022921	LOC110677926|XP_021705636.1|AAEG																																				
OG0022922	LOC5578473|XP_021706422.1|AAEG																																				
OG0022923	LOC5578461|XP_021706423.1|AAEG																																				
OG0022924	LOC110679356|XP_021709461.1|AAEG																																				
OG0022925	LOC110678819|XP_021707937.1|AAEG																																				
OG0022926	LOC5568990|XP_001652640.2|AAEG																																				
OG0022927	LOC5564435|XP_001648775.2|AAEG																																				
OG0022928	LOC110678143|XP_021706446.1|AAEG																																				
OG0022929	LOC110679417|XP_021709636.1|AAEG																																				
OG0022930	LOC110678156|XP_021706469.1|AAEG																																				
OG0022931	LOC5563916|XP_001648237.2|AAEG																																				
OG0022932	LOC110679175|XP_021708964.1|AAEG																																				
OG0022933	LOC110678878|XP_021708125.1|AAEG																																				
OG0022934	LOC110677678|XP_021704368.1|AAEG																																				
OG0022935	LOC110678176|XP_021706492.1|AAEG																																				
OG0022936	LOC110678181|XP_021706496.1|AAEG																																				
OG0022937	LOC23687787|XP_021706305.1|AAEG																																				
OG0022938	LOC5567196|XP_001651625.1|AAEG																																				
OG0022939	LOC110678198|XP_021706518.1|AAEG																																				
OG0022940	LOC110678302|XP_021706665.1|AAEG																																				
OG0022941	LOC110679819|XP_021711246.1|AAEG																																				
OG0022942	LOC110679814|XP_021711239.1|AAEG																																				
OG0022943	LOC110679749|XP_021711171.1|AAEG																																				
OG0022944	LOC110679812|XP_021711237.1|AAEG																																				
OG0022945	LOC110679748|XP_021711170.1|AAEG																																				
OG0022946	LOC110679811|XP_021711235.1|AAEG																																				
OG0022947	LOC110679746|XP_021711168.1|AAEG																																				
OG0022948	LOC110679796|XP_021711218.1|AAEG																																				
OG0022949	LOC110679813|XP_021711238.1|AAEG																																				
OG0022950	LOC110679795|XP_021711217.1|AAEG																																				
OG0022951	LOC110679798|XP_021711220.1|AAEG																																				
OG0022952	LOC110679797|XP_021711219.1|AAEG																																				
OG0022953	LOC110679803|XP_021711226.1|AAEG																																				
OG0022954	LOC110679818|XP_021711245.1|AAEG																																				
OG0022955	LOC110679764|XP_021711186.1|AAEG																																				
OG0022956	LOC110679743|XP_021711164.1|AAEG																																				
OG0022957	LOC110679817|XP_021711243.1|AAEG																																				
OG0022958	LOC110679816|XP_021711242.1|AAEG																																				
OG0022959	LOC110679754|XP_021711175.1|AAEG																																				
OG0022960	LOC110679794|XP_021711216.1|AAEG																																				
OG0022961	LOC110679342|XP_021709429.1|AAEG																																				
OG0022962	LOC110678167|XP_021706481.1|AAEG																																				
OG0022963	LOC110678214|XP_021706526.1|AAEG																																				
OG0022964	LOC110678168|XP_021706482.1|AAEG																																				
OG0022965	LOC110678166|XP_021706479.1|AAEG																																				
OG0022966	LOC110678215|XP_021706527.1|AAEG																																				
OG0022967	LOC110678571|XP_021707288.1|AAEG																																				
OG0022968	LOC110678932|XP_021708292.1|AAEG																																				
OG0022969	LOC110678216|XP_021706528.1|AAEG																																				
OG0022970	LOC110678931|XP_021708291.1|AAEG																																				
OG0022971	LOC110678933|XP_021708294.1|AAEG																																				
OG0022972	LOC110677807|XP_021705026.1|AAEG																																				
OG0022973	LOC110678217|XP_021706529.1|AAEG																																				
OG0022974	LOC110677809|XP_021705028.1|AAEG																																				
OG0022975	LOC110677808|XP_021705027.1|AAEG																																				
OG0022976	LOC110678218|XP_021706530.1|AAEG																																				
OG0022977	LOC110677810|XP_021705030.1|AAEG																																				
OG0022978	LOC110679427|XP_021709652.1|AAEG																																				
OG0022979	LOC110677962|XP_021705823.1|AAEG																																				
OG0022980	LOC110677966|XP_021705825.1|AAEG																																				
OG0022981	LOC110677970|XP_021705829.1|AAEG																																				
OG0022982	LOC110677968|XP_021705827.1|AAEG																																				
OG0022983	LOC110678219|XP_021706531.1|AAEG																																				
OG0022984	LOC110677967|XP_021705826.1|AAEG																																				
OG0022985	LOC110677971|XP_021705830.1|AAEG																																				
OG0022986	LOC110677969|XP_021705828.1|AAEG																																				
OG0022987	LOC110678223|XP_021706534.1|AAEG																																				
OG0022988	LOC110679060|XP_021708686.1|AAEG																																				
OG0022989	LOC110678607|XP_021707410.1|AAEG																																				
OG0022990	LOC110678041|XP_021706175.1|AAEG																																				
OG0022991	LOC110678226|XP_021706536.1|AAEG																																				
OG0022992	LOC110678651|XP_021707482.1|AAEG																																				
OG0022993	LOC110679057|XP_021708677.1|AAEG																																				
OG0022994	LOC110679056|XP_021708676.1|AAEG																																				
OG0022995	LOC110677799|XP_021705017.1|AAEG																																				
OG0022996	LOC110677802|XP_021705020.1|AAEG																																				
OG0022997	LOC110678231|XP_021706542.1|AAEG																																				
OG0022998	LOC110677798|XP_021705016.1|AAEG																																				
OG0022999	LOC110677801|XP_021705019.1|AAEG																																				
OG0023000	LOC110677803|XP_021705021.1|AAEG																																				
OG0023001	LOC110677800|XP_021705018.1|AAEG																																				
OG0023002	LOC110677804|XP_021705023.1|AAEG																																				
OG0023003	LOC110678795|XP_021707868.1|AAEG																																				
OG0023004	LOC110678794|XP_021707867.1|AAEG																																				
OG0023005	LOC5579082|XP_001657275.1|AAEG																																				
OG0023006	LOC110679097|XP_021708742.1|AAEG																																				
OG0023007	LOC110678293|XP_021706644.1|AAEG																																				
OG0023008	LOC110678296|XP_021706648.1|AAEG																																				
OG0023009	LOC110678295|XP_021706646.1|AAEG																																				
OG0023010	LOC110678294|XP_021706645.1|AAEG																																				
OG0023011	LOC110678236|XP_021706547.1|AAEG																																				
OG0023012	LOC110678237|XP_021706548.1|AAEG																																				
OG0023013	LOC110677867|XP_021705292.1|AAEG																																				
OG0023014	LOC5579090|XP_001657284.2|AAEG																																				
OG0023015	LOC110677868|XP_021705293.1|AAEG																																				
OG0023016	LOC110678240|XP_021706551.1|AAEG																																				
OG0023017	LOC110677869|XP_021705294.1|AAEG																																				
OG0023018	LOC110677872|XP_021705297.1|AAEG																																				
OG0023019	LOC110677873|XP_021705299.1|AAEG																																				
OG0023020	LOC110677870|XP_021705295.1|AAEG																																				
OG0023021	LOC110677871|XP_021705296.1|AAEG																																				
OG0023022	LOC110677874|XP_021705300.1|AAEG																																				
OG0023023	LOC110678244|XP_021706555.1|AAEG																																				
OG0023024	LOC110677866|XP_021705290.1|AAEG																																				
OG0023025	LOC110678245|XP_021706556.1|AAEG																																				
OG0023026	LOC110677865|XP_021705289.1|AAEG																																				
OG0023027	LOC110678247|XP_021706558.1|AAEG																																				
OG0023028	LOC110678248|XP_021706559.1|AAEG																																				
OG0023029	LOC110678250|XP_021706561.1|AAEG																																				
OG0023030	LOC5579068|XP_001657267.1|AAEG																																				
OG0023031	LOC110678251|XP_021706562.1|AAEG																																				
OG0023032	LOC110678253|XP_021706564.1|AAEG																																				
OG0023033	LOC110678255|XP_021706565.1|AAEG																																				
OG0023034	LOC110678256|XP_021706566.1|AAEG																																				
OG0023035	LOC5579076|XP_021706567.1|AAEG																																				
OG0023036	LOC110678257|XP_021706568.1|AAEG																																				
OG0023037	LOC110677875|XP_021705301.1|AAEG																																				
OG0023038	LOC110678259|XP_021706570.1|AAEG																																				
OG0023039	LOC110679361|XP_021709466.1|AAEG																																				
OG0023040	LOC110678264|XP_021706576.1|AAEG																																				
OG0023041	LOC110678267|XP_021706581.1|AAEG																																				
OG0023042	LOC110678268|XP_021706582.1|AAEG																																				
OG0023043	LOC110677776|XP_021704866.1|AAEG																																				
OG0023044	LOC110678874|XP_021708118.1|AAEG																																				
OG0023045	LOC5569744|XP_001652967.1|AAEG																																				
OG0023046	LOC110679496|XP_021709974.1|AAEG																																				
OG0023047	LOC110679832|XP_021711287.1|AAEG																																				
OG0023048	LOC110677661|XP_021704298.1|AAEG																																				
OG0023049	LOC110680261|XP_021711769.1|AAEG																																				
OG0023050	LOC110680272|XP_021711784.1|AAEG																																				
OG0023051	LOC110680310|XP_021711838.1|AAEG																																				
OG0023052	LOC110680376|XP_021711880.1|AAEG																																				
OG0023053	LOC110680407|XP_021711902.1|AAEG																																				
OG0023054	LOC110680447|XP_021711932.1|AAEG																																				
OG0023055	LOC110680451|XP_021711936.1|AAEG																																				
OG0023056	LOC110680505|XP_021711995.1|AAEG																																				
OG0023057	LOC110680542|XP_021712029.1|AAEG																																				
OG0023058	LOC110680539|XP_021712026.1|AAEG																																				
OG0023059	LOC5579085|XP_001657279.1|AAEG																																				
OG0023060	LOC110680537|XP_021712024.1|AAEG																																				
OG0023061	LOC110680536|XP_021712023.1|AAEG																																				
OG0023062	LOC110680538|XP_021712025.1|AAEG																																				
OG0023063	LOC110680543|XP_021712030.1|AAEG																																				
OG0023064	LOC110680532|XP_021712020.1|AAEG																																				
OG0023065	LOC110680530|XP_021712018.1|AAEG																																				
OG0023066	LOC110680534|XP_021712021.1|AAEG																																				
OG0023067	LOC110680546|XP_021712032.1|AAEG																																				
OG0023068	LOC110680547|XP_021712033.1|AAEG																																				
OG0023069	LOC110680531|XP_021712019.1|AAEG																																				
OG0023070	LOC110680559|XP_021712040.1|AAEG																																				
OG0023071	LOC110680572|XP_021712046.1|AAEG																																				
OG0023072	LOC110680573|XP_021712047.1|AAEG																																				
OG0023073	LOC110680602|XP_021712094.1|AAEG																																				
OG0023074	LOC110680608|XP_021712099.1|AAEG																																				
OG0023075	LOC110680610|XP_021712102.1|AAEG																																				
OG0023076	LOC110680611|XP_021712103.1|AAEG																																				
OG0023077	LOC110680613|XP_021712105.1|AAEG																																				
OG0023078	LOC110680609|XP_021712100.1|AAEG																																				
OG0023079	LOC110680612|XP_021712104.1|AAEG																																				
OG0023080	LOC110680614|XP_021712106.1|AAEG																																				
OG0023081	LOC110680699|XP_021712182.1|AAEG																																				
OG0023082	LOC110680694|XP_021712176.1|AAEG																																				
OG0023083	LOC110680698|XP_021712181.1|AAEG																																				
OG0023084	LOC110680695|XP_021712177.1|AAEG																																				
OG0023085	LOC110680697|XP_021712180.1|AAEG																																				
OG0023086	LOC110680696|XP_021712179.1|AAEG																																				
OG0023087	LOC110680680|XP_021712164.1|AAEG																																				
OG0023088	LOC110680674|XP_021712158.1|AAEG																																				
OG0023089	LOC110680678|XP_021712162.1|AAEG																																				
OG0023090	LOC110680676|XP_021712160.1|AAEG																																				
OG0023091	LOC110680679|XP_021712163.1|AAEG																																				
OG0023092	LOC110680673|XP_021712156.1|AAEG																																				
OG0023093	LOC110680677|XP_021712161.1|AAEG																																				
OG0023094	LOC110680675|XP_021712159.1|AAEG																																				
OG0023095	LOC110680690|XP_021712173.1|AAEG																																				
OG0023096	LOC110680684|XP_021712168.1|AAEG																																				
OG0023097	LOC110680688|XP_021712171.1|AAEG																																				
OG0023098	LOC110680686|XP_021712169.1|AAEG																																				
OG0023099	LOC110680691|XP_021712174.1|AAEG																																				
OG0023100	LOC110680683|XP_021712167.1|AAEG																																				
OG0023101	LOC110680689|XP_021712172.1|AAEG																																				
OG0023102	LOC110680687|XP_021712170.1|AAEG																																				
OG0023103	LOC110680702|XP_021712185.1|AAEG																																				
OG0023104	LOC110680701|XP_021712184.1|AAEG																																				
OG0023105	LOC110680717|XP_021712198.1|AAEG																																				
OG0023106	LOC110680712|XP_021712192.1|AAEG																																				
OG0023107	LOC110680715|XP_021712196.1|AAEG																																				
OG0023108	LOC110680714|XP_021712195.1|AAEG																																				
OG0023109	LOC110680716|XP_021712197.1|AAEG																																				
OG0023110	LOC110680713|XP_021712194.1|AAEG																																				
OG0023111	LOC110680719|XP_021712200.1|AAEG																																				
OG0023112	LOC5578474|XP_021712205.1|AAEG																																				
OG0023113	LOC110680744|XP_021712226.1|AAEG																																				
OG0023114	LOC5578465|XP_001656988.1|AAEG																																				
OG0023115	LOC110680740|XP_021712222.1|AAEG																																				
OG0023116	LOC110680745|XP_021712227.1|AAEG																																				
OG0023117	LOC110680743|XP_021712225.1|AAEG																																				
OG0023118	LOC110680742|XP_021712224.1|AAEG																																				
OG0023119	LOC110680741|XP_021712223.1|AAEG																																				
OG0023120	LOC110680746|XP_021712228.1|AAEG																																				
OG0023121	LOC5578464|XP_001656987.1|AAEG																																				
OG0023122	LOC110680737|XP_021712220.1|AAEG																																				
OG0023123	LOC110680724|XP_021712207.1|AAEG																																				
OG0023124	LOC110680728|XP_021712212.1|AAEG																																				
OG0023125	LOC110680727|XP_021712211.1|AAEG																																				
OG0023126	LOC110680726|XP_021712210.1|AAEG																																				
OG0023127	LOC110680725|XP_021712209.1|AAEG																																				
OG0023128	LOC110680729|XP_021712213.1|AAEG																																				
OG0023129	LOC110680749|XP_021712232.1|AAEG																																				
OG0023130	LOC110680860|XP_021712345.1|AAEG																																				
OG0023131	LOC110680859|XP_021712343.1|AAEG																																				
OG0023132	LOC110680857|XP_021712341.1|AAEG																																				
OG0023133	LOC5578462|XP_001656985.1|AAEG																																				
OG0023134	LOC5578463|XP_021712344.1|AAEG																																				
OG0023135	LOC110680858|XP_021712342.1|AAEG																																				
OG0023136	LOC110680848|XP_021712333.1|AAEG																																				
OG0023137	LOC110680846|XP_021712331.1|AAEG																																				
OG0023138	LOC110680853|XP_021712337.1|AAEG																																				
OG0023139	LOC110680851|XP_021712335.1|AAEG																																				
OG0023140	LOC110680849|XP_021712334.1|AAEG																																				
OG0023141	LOC110680847|XP_021712332.1|AAEG																																				
OG0023142	LOC110680852|XP_021712336.1|AAEG																																				
OG0023143	LOC110680838|XP_021712321.1|AAEG																																				
OG0023144	LOC110680835|XP_021712317.1|AAEG																																				
OG0023145	LOC110680833|XP_021712315.1|AAEG																																				
OG0023146	LOC110680839|XP_021712322.1|AAEG																																				
OG0023147	LOC110680837|XP_021712320.1|AAEG																																				
OG0023148	LOC110680836|XP_021712318.1|AAEG																																				
OG0023149	LOC110680834|XP_021712316.1|AAEG																																				
OG0023150	LOC110680840|XP_021712323.1|AAEG																																				
OG0023151	LOC5578468|XP_001656991.1|AAEG																																				
OG0023152	LOC110680843|XP_021712328.1|AAEG																																				
OG0023153	LOC110680842|XP_021712326.1|AAEG																																				
OG0023154	LOC5578467|XP_001656990.2|AAEG																																				
OG0023155	LOC5578471|XP_001656994.2|AAEG																																				
OG0023156	LOC5571600|XP_001653716.2|AAEG																																				
OG0023157	LOC110680905|XP_021712383.1|AAEG																																				
OG0023158	LOC110680924|XP_021712399.1|AAEG																																				
OG0023159	LOC110680943|XP_021712415.1|AAEG																																				
OG0023160	LOC5579078|XP_001657270.2|AAEG																																				
OG0023161	LOC110680946|XP_021712419.1|AAEG																																				
OG0023162	LOC110680955|XP_021712425.1|AAEG																																				
OG0023163	LOC110680963|XP_021712428.1|AAEG																																				
OG0023164	LOC110680969|XP_021712435.1|AAEG																																				
OG0023165	LOC110680975|XP_021712440.1|AAEG																																				
OG0023166	LOC110680976|XP_021712441.1|AAEG																																				
OG0023167	LOC110680984|XP_021712446.1|AAEG																																				
OG0023168	LOC110680983|XP_021712445.1|AAEG																																				
OG0023169	LOC110680987|XP_021712448.1|AAEG																																				
OG0023170	LOC110680989|XP_021712450.1|AAEG																																				
OG0023171	LOC110681011|XP_021712468.1|AAEG																																				
OG0023172	LOC110681012|XP_021712469.1|AAEG																																				
OG0023173	LOC110681013|XP_021712470.1|AAEG																																				
OG0023174	LOC110681047|XP_021712505.1|AAEG																																				
OG0023175	LOC110681142|XP_021712604.1|AAEG																																				
OG0023176	LOC110681161|XP_021712621.1|AAEG																																				
OG0023177	LOC110681221|XP_021712684.1|AAEG																																				
OG0023178	LOC110681224|XP_021712688.1|AAEG																																				
OG0023179	LOC110681226|XP_021712690.1|AAEG																																				
OG0023180	LOC110681225|XP_021712689.1|AAEG																																				
OG0023181	LOC110681227|XP_021712691.1|AAEG																																				
OG0023182	LOC110681223|XP_021712687.1|AAEG																																				
OG0023183	LOC110681231|XP_021712694.1|AAEG																																				
OG0023184	LOC110681230|XP_021712693.1|AAEG																																				
OG0023185	LOC110681258|XP_021712723.1|AAEG																																				
OG0023186	LOC110681306|XP_021712755.1|AAEG																																				
OG0023187	LOC110681323|XP_021712769.1|AAEG																																				
OG0023188	LOC5578472|XP_021712782.1|AAEG																																				
OG0023189	LOC110681346|XP_021712787.1|AAEG																																				
OG0023190	LOC110681350|XP_021712791.1|AAEG																																				
OG0023191	LOC110681349|XP_021712790.1|AAEG																																				
OG0023192	LOC110681347|XP_021712788.1|AAEG																																				
OG0023193	LOC5578466|XP_001656989.1|AAEG																																				
OG0023194	LOC110681351|XP_021712792.1|AAEG																																				
OG0023195	LOC110681348|XP_021712789.1|AAEG																																				
OG0023196	LOC110681345|XP_021712785.1|AAEG																																				
OG0023197	LOC110681380|XP_021712814.1|AAEG																																				
OG0023198	LOC110681400|XP_021712834.1|AAEG																																				
OG0023199	LOC5579069|XP_001657266.1|AAEG																																				
OG0023200	LOC5579067|XP_001657268.1|AAEG																																				
OG0023201	LOC5579077|XP_001657269.1|AAEG																																				
OG0023202	LOC110681402|XP_021712837.1|AAEG																																				
OG0023203	LOC5579088|XP_021712838.1|AAEG																																				
OG0023204	LOC5579070|XP_001657265.1|AAEG																																				
OG0023205	LOC110681407|XP_021712841.1|AAEG																																				
OG0023206	LOC110681406|XP_021712840.1|AAEG																																				
OG0023207		LOC118456530|XP_035773269.1|AALB																																			
OG0023208		LOC118456542|XP_035773293.1|AALB																																			
OG0023209		LOC118461118|XP_035781951.1|AALB																																			
OG0023210		LOC118461105|XP_035781920.1|AALB																																			
OG0023211		LOC118461254|XP_035782267.1|AALB																																			
OG0023212		LOC118456804|XP_035773788.1|AALB																																			
OG0023213		LOC118468559|XP_035795361.1|AALB																																			
OG0023214		LOC118459440|XP_035778686.1|AALB																																			
OG0023215		LOC118459477|XP_035778785.1|AALB																																			
OG0023216		LOC118458128|XP_035776208.1|AALB																																			
OG0023217		LOC118461761|XP_035783393.1|AALB																																			
OG0023218		LOC118468846|XP_035795986.1|AALB																																			
OG0023219		LOC118468978|XP_035796259.1|AALB																																			
OG0023220		LOC118469001|XP_035796330.1|AALB																																			
OG0023221		LOC118468566|XP_035795390.1|AALB																																			
OG0023222		LOC118463389|XP_035785830.1|AALB																																			
OG0023223		LOC118465988|XP_035790674.1|AALB																																			
OG0023224		LOC118456652|XP_035773487.1|AALB																																			
OG0023225		LOC118458957|XP_035777872.1|AALB																																			
OG0023226		LOC118468871|XP_035796047.1|AALB																																			
OG0023227		LOC118456207|XP_035772665.1|AALB																																			
OG0023228		LOC118459788|XP_035779402.1|AALB																																			
OG0023229		LOC118457569|XP_035775137.1|AALB																																			
OG0023230		LOC118458528|XP_035776998.1|AALB																																			
OG0023231		LOC118458034|XP_035776044.1|AALB																																			
OG0023232		LOC118456252|XP_035772747.1|AALB																																			
OG0023233		LOC118457012|XP_035774133.1|AALB																																			
OG0023234		LOC118459936|XP_035779693.1|AALB																																			
OG0023235		LOC118459612|XP_035779063.1|AALB																																			
OG0023236		LOC118459950|XP_035779730.1|AALB																																			
OG0023237		LOC118459951|XP_035779731.1|AALB																																			
OG0023238		LOC118461310|XP_035782392.1|AALB																																			
OG0023239		LOC118461311|XP_035782393.1|AALB																																			
OG0023240		LOC118456644|XP_035773476.1|AALB																																			
OG0023241		LOC118469027|XP_035796365.1|AALB																																			
OG0023242		LOC118461181|XP_035782101.1|AALB																																			
OG0023243		LOC118459024|XP_035777920.1|AALB																																			
OG0023244		LOC118460101|XP_035780029.1|AALB																																			
OG0023245		LOC118460251|XP_035780311.1|AALB																																			
OG0023246		LOC118461139|XP_035781998.1|AALB																																			
