Orthogroup	DMAU.longest_only	DALB.longest_only
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC117149870|XP_033172720.1|DMAU, LOC117140283|XP_033159002.1|DMAU	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000003	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC117136849|XP_033153838.1|DMAU	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC117137104|XP_033154281.1|DMAU	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000007	LOC117141087|XP_033160294.1|DMAU	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC117142070|XP_033161841.1|DMAU	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC117136894|XP_033153899.1|DMAU	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC117139714|XP_033158125.1|DMAU	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC117144387|XP_033165412.1|DMAU	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC117143759|XP_033164466.1|DMAU	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC117136735|XP_033153656.1|DMAU	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC117135792|XP_033152175.1|DMAU	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC117565597|XP_034100688.1|DALB, LOC117564303|XP_034098890.1|DALB, LOC117566021|XP_034101341.1|DALB, LOC117566150|XP_034101528.1|DALB, LOC117566151|XP_034101529.1|DALB, LOC117565598|XP_034100689.1|DALB, LOC117564301|XP_034098889.1|DALB, LOC117564305|XP_034098892.1|DALB
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC117136473|XP_033153295.1|DMAU	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC117148236|XP_033171424.1|DMAU	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC117142434|XP_033162286.1|DMAU	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC117141743|XP_033161255.1|DMAU	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC117143333|XP_033163884.1|DMAU	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC117142344|XP_033162152.1|DMAU	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC117135278|XP_033151337.1|DMAU	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC117137056|XP_033154159.1|DMAU	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC117143253|XP_033163704.1|DMAU	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC117136077|XP_033152622.1|DMAU	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC117144517|XP_033165627.1|DMAU	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC117137377|XP_033154680.1|DMAU	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC117148789|XP_033172290.1|DMAU	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC117135957|XP_033152442.1|DMAU	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC117145868|XP_033167581.1|DMAU	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC117140134|XP_033158791.1|DMAU	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC117136736|XP_033153658.1|DMAU	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC117137416|XP_033154735.1|DMAU	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC117136539|XP_033153380.1|DMAU	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC117141482|XP_033160851.1|DMAU	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC117141483|XP_033160852.1|DMAU	LOC117569760|XP_034106944.1|DALB
OG0000020	LOC117143636|XP_033164304.1|DMAU	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC117136475|XP_033153300.1|DMAU	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC117145918|XP_033167668.1|DMAU	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC117143368|XP_033163935.1|DMAU	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC117135318|XP_033151407.1|DMAU	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC117150020|XP_033172787.1|DMAU, LOC117150137|XP_033172836.1|DMAU	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC117136145|XP_033152741.1|DMAU	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC117136571|XP_033153419.1|DMAU	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC117146855|XP_033169316.1|DMAU	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC117142241|XP_033161985.1|DMAU	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC117143646|XP_033164316.1|DMAU	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC117148061|XP_033171143.1|DMAU	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC117138252|XP_033156103.1|DMAU	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC117139203|XP_033157266.1|DMAU, LOC117139198|XP_033157262.1|DMAU	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC117144283|XP_033165277.1|DMAU	LOC117576456|XP_034117119.1|DALB
OG0000023	LOC117144284|XP_033165278.1|DMAU	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC117135977|XP_033152481.1|DMAU	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC117144278|XP_033165272.1|DMAU	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC117144775|XP_033166033.1|DMAU	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC117144277|XP_033165271.1|DMAU	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC117144765|XP_033166018.1|DMAU	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC117136255|XP_033152953.1|DMAU	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC117150619|XP_033173479.1|DMAU	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC117136506|XP_033153341.1|DMAU	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC117135440|XP_033151508.1|DMAU	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC117143378|XP_033163951.1|DMAU	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000026	LOC117148470|XP_033171735.1|DMAU	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC117135160|XP_033151111.1|DMAU	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC117145491|XP_033167059.1|DMAU	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC117142835|XP_033162961.1|DMAU	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC117150817|XP_033173768.1|DMAU	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC117139373|XP_033157513.1|DMAU	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC117144854|XP_033166148.1|DMAU	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC117140740|XP_033159707.1|DMAU	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC117150768|XP_033173696.1|DMAU	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC117143350|XP_033163916.1|DMAU	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC117137054|XP_033154154.1|DMAU	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC117148684|XP_033172115.1|DMAU	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC117150913|XP_033173999.1|DMAU	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC117145857|XP_033167568.1|DMAU	LOC117574198|XP_034113792.1|DALB
OG0000033	LOC117143209|XP_033163650.1|DMAU, LOC117150287|XP_033172997.1|DMAU, LOC117143200|XP_033163638.1|DMAU, LOC117138299|XP_033156190.1|DMAU, LOC117138297|XP_033156188.1|DMAU	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC117138298|XP_033156189.1|DMAU	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC117150484|XP_033173274.1|DMAU	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC117150483|XP_033173273.1|DMAU	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC117143867|XP_033164627.1|DMAU	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC117145150|XP_033166581.1|DMAU	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC117145004|XP_033166383.1|DMAU	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC117145915|XP_033167661.1|DMAU	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC117137024|XP_033154116.1|DMAU	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC117139364|XP_033157507.1|DMAU	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC117141232|XP_033160483.1|DMAU	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC117144249|XP_033165219.1|DMAU	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC117148457|XP_033171719.1|DMAU	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC117147454|XP_033170230.1|DMAU	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC117146886|XP_033169374.1|DMAU	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC117145128|XP_033166540.1|DMAU, LOC117143448|XP_033164046.1|DMAU	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC117143449|XP_033164048.1|DMAU	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC117143965|XP_033164790.1|DMAU	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC117138472|XP_033156493.1|DMAU, LOC117138473|XP_033156494.1|DMAU, LOC117138470|XP_033156490.1|DMAU	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC117138471|XP_033156492.1|DMAU	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC117143570|XP_033164205.1|DMAU	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC117143572|XP_033164208.1|DMAU	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC117145149|XP_033166580.1|DMAU	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC117143901|XP_033164698.1|DMAU	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC117145163|XP_033166599.1|DMAU	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC117143435|XP_033164032.1|DMAU	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC117139739|XP_033158187.1|DMAU	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC117139487|XP_033157699.1|DMAU	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC117139486|XP_033157698.1|DMAU	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC117147217|XP_033169922.1|DMAU, LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC117137846|XP_033155439.1|DMAU	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC117137896|XP_033155525.1|DMAU	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC117136744|XP_033153666.1|DMAU	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC117141645|XP_033161109.1|DMAU	LOC117567748|XP_034103827.1|DALB
OG0000047	LOC117137194|XP_033154412.1|DMAU	LOC117570238|XP_034107631.1|DALB
OG0000048	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	LOC117140935|XP_033160022.1|DMAU	LOC117572034|XP_034110480.1|DALB
OG0000048	LOC117140941|XP_033160028.1|DMAU	LOC117569405|XP_034106432.1|DALB
OG0000049	LOC117144267|XP_033165261.1|DMAU	LOC117574804|XP_034114660.1|DALB
OG0000049	LOC117143819|XP_033164555.1|DMAU	LOC117574253|XP_034113873.1|DALB
OG0000049	LOC117145062|XP_033166468.1|DMAU	LOC117574270|XP_034113907.1|DALB
OG0000049	LOC117145061|XP_033166467.1|DMAU	LOC117576198|XP_034116681.1|DALB
OG0000049	LOC117144466|XP_033165523.1|DMAU	LOC117574439|XP_034114168.1|DALB
OG0000050	LOC117136135|XP_033152731.1|DMAU	LOC117567964|XP_034104164.1|DALB
OG0000050	LOC117142027|XP_033161782.1|DMAU	LOC117566525|XP_034101957.1|DALB
OG0000050	LOC117142031|XP_033161786.1|DMAU	LOC117566526|XP_034101958.1|DALB
OG0000050	LOC117142029|XP_033161784.1|DMAU	LOC117570483|XP_034108058.1|DALB
OG0000050	LOC117142024|XP_033161778.1|DMAU	LOC117569367|XP_034106390.1|DALB
OG0000051	LOC117143815|XP_033164552.1|DMAU	LOC117576304|XP_034116849.1|DALB
OG0000051	LOC117143638|XP_033164307.1|DMAU	LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB
OG0000051	LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU	LOC117576902|XP_034117931.1|DALB
OG0000052	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU	LOC117576244|XP_034116756.1|DALB, LOC117576245|XP_034116757.1|DALB, LOC117576070|XP_034116497.1|DALB, LOC117576071|XP_034116498.1|DALB, LOC117576069|XP_034116496.1|DALB, LOC117575219|XP_034115236.1|DALB, LOC117576928|XP_034117962.1|DALB
OG0000052	LOC117136886|XP_033153888.1|DMAU	LOC117568864|XP_034105642.1|DALB, LOC117571307|XP_034109272.1|DALB, LOC117566592|XP_034102025.1|DALB, LOC117569133|XP_034106052.1|DALB, LOC117566590|XP_034102023.1|DALB, LOC117566591|XP_034102024.1|DALB, LOC117572296|XP_034110899.1|DALB
OG0000052	LOC117136885|XP_033153886.1|DMAU	LOC117572297|XP_034110900.1|DALB, LOC117566593|XP_034102026.1|DALB
OG0000053	LOC117137106|XP_033154284.1|DMAU	LOC117569597|XP_034106723.1|DALB
OG0000053	LOC117137105|XP_033154282.1|DMAU	LOC117569598|XP_034106724.1|DALB
OG0000053	LOC117137096|XP_033154272.1|DMAU	LOC117569609|XP_034106736.1|DALB
OG0000053	LOC117137094|XP_033154271.1|DMAU	LOC117569596|XP_034106722.1|DALB
