Orthogroup	DMAU.longest_only	SLEB.longest_only
OG0000016	LOC117148789|XP_033172290.1|DMAU	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC117135957|XP_033152442.1|DMAU	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC117145868|XP_033167581.1|DMAU	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC117140134|XP_033158791.1|DMAU	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC117146549|XP_033168738.1|DMAU	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC117138274|XP_033156132.1|DMAU	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC117136736|XP_033153658.1|DMAU	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC117137416|XP_033154735.1|DMAU	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC117136539|XP_033153380.1|DMAU	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC117141482|XP_033160851.1|DMAU	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC117141483|XP_033160852.1|DMAU	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC117143233|XP_033163675.1|DMAU	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC117143229|XP_033163670.1|DMAU	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC117143234|XP_033163676.1|DMAU	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC117143636|XP_033164304.1|DMAU	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC117136475|XP_033153300.1|DMAU	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC117145918|XP_033167668.1|DMAU	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC117143368|XP_033163935.1|DMAU	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC117135318|XP_033151407.1|DMAU	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC117150020|XP_033172787.1|DMAU, LOC117150137|XP_033172836.1|DMAU	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	LOC117136145|XP_033152741.1|DMAU	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC117136553|XP_033153398.1|DMAU	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC117146855|XP_033169316.1|DMAU	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC117142241|XP_033161985.1|DMAU	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC117143646|XP_033164316.1|DMAU	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC117148061|XP_033171143.1|DMAU	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC117138252|XP_033156103.1|DMAU	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC117139203|XP_033157266.1|DMAU, LOC117139198|XP_033157262.1|DMAU	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC117144283|XP_033165277.1|DMAU	LOC115623320|XP_030373442.1|SLEB
OG0000023	LOC117144284|XP_033165278.1|DMAU	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC117144282|XP_033165275.1|DMAU	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC117145126|XP_033166537.1|DMAU	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC117144278|XP_033165272.1|DMAU	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC117144775|XP_033166033.1|DMAU	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC117144277|XP_033165271.1|DMAU	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC117144765|XP_033166018.1|DMAU	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC117150619|XP_033173479.1|DMAU, LOC117136506|XP_033153341.1|DMAU	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC117135440|XP_033151508.1|DMAU	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC117143378|XP_033163951.1|DMAU	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC117149935|XP_033172728.1|DMAU	LOC115633510|XP_030386832.1|SLEB
OG0000026	LOC117148470|XP_033171735.1|DMAU	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC117135160|XP_033151111.1|DMAU	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC117142835|XP_033162961.1|DMAU	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC117140739|XP_033159710.1|DMAU	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC117150817|XP_033173768.1|DMAU	LOC115631416|XP_030384002.1|SLEB
OG0000029	LOC117140740|XP_033159707.1|DMAU	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC117150768|XP_033173696.1|DMAU	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC117137293|XP_033154560.1|DMAU, LOC117150769|XP_033173697.1|DMAU	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC117143350|XP_033163916.1|DMAU	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC117137054|XP_033154154.1|DMAU	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC117148684|XP_033172115.1|DMAU	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC117150913|XP_033173999.1|DMAU	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC117145857|XP_033167568.1|DMAU	LOC115621800|XP_030371439.1|SLEB
OG0000033	LOC117143209|XP_033163650.1|DMAU, LOC117150287|XP_033172997.1|DMAU, LOC117143200|XP_033163638.1|DMAU, LOC117138299|XP_033156190.1|DMAU, LOC117138297|XP_033156188.1|DMAU	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC117138298|XP_033156189.1|DMAU	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC117150484|XP_033173274.1|DMAU	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC117150483|XP_033173273.1|DMAU	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU, LOC117143867|XP_033164627.1|DMAU	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	LOC117149959|XP_033172748.1|DMAU, LOC117139681|XP_033158055.1|DMAU, LOC117138223|XP_033156059.1|DMAU, LOC117138222|XP_033156058.1|DMAU, LOC117143714|XP_033164404.1|DMAU	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB
OG0000036	LOC117145150|XP_033166581.1|DMAU	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC117145004|XP_033166383.1|DMAU	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC117145915|XP_033167661.1|DMAU	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC117137024|XP_033154116.1|DMAU	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	LOC117139364|XP_033157507.1|DMAU	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC117141232|XP_033160483.1|DMAU	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC117144249|XP_033165219.1|DMAU	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC117148457|XP_033171719.1|DMAU	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC117147454|XP_033170230.1|DMAU	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC117146886|XP_033169374.1|DMAU	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC117145128|XP_033166540.1|DMAU, LOC117143448|XP_033164046.1|DMAU	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC117143449|XP_033164048.1|DMAU	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC117144294|XP_033165289.1|DMAU, LOC117144293|XP_033165288.1|DMAU	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC117143756|XP_033164463.1|DMAU	LOC115621426|XP_030370938.1|SLEB
OG0000042	LOC117146870|XP_033169351.1|DMAU	LOC115630085|XP_030382572.1|SLEB
OG0000042	LOC117138472|XP_033156493.1|DMAU, LOC117138473|XP_033156494.1|DMAU, LOC117138470|XP_033156490.1|DMAU	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC117143574|XP_033164210.1|DMAU	LOC115623987|XP_030374418.1|SLEB
OG0000043	LOC117143570|XP_033164205.1|DMAU	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC117143572|XP_033164208.1|DMAU	LOC115623337|XP_030373467.1|SLEB
OG0000043	LOC117145149|XP_033166580.1|DMAU	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC117143901|XP_033164698.1|DMAU	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU	LOC115631500|XP_030384120.1|SLEB
OG0000044	LOC117143435|XP_033164032.1|DMAU	LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC117139739|XP_033158187.1|DMAU	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC117139487|XP_033157699.1|DMAU	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC117139486|XP_033157698.1|DMAU	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC117145662|XP_033167285.1|DMAU, LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU, LOC117147217|XP_033169922.1|DMAU, LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC117137846|XP_033155439.1|DMAU	LOC115631261|XP_030383836.1|SLEB
OG0000047	LOC117137896|XP_033155525.1|DMAU	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC117136744|XP_033153666.1|DMAU	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC117137194|XP_033154412.1|DMAU, LOC117141646|XP_033161110.1|DMAU	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC117140935|XP_033160022.1|DMAU	LOC115632620|XP_030385708.1|SLEB
OG0000048	LOC117140941|XP_033160028.1|DMAU	LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC117144267|XP_033165261.1|DMAU	LOC115631187|XP_030383738.1|SLEB
OG0000049	LOC117143819|XP_033164555.1|DMAU	LOC115625471|XP_030376380.1|SLEB
OG0000049	LOC117145062|XP_033166468.1|DMAU	LOC115625469|XP_030376378.1|SLEB
OG0000049	LOC117145059|XP_033166464.1|DMAU	LOC115625467|XP_030376376.1|SLEB
OG0000049	LOC117145061|XP_033166467.1|DMAU	LOC115625232|XP_030376077.1|SLEB
OG0000049	LOC117144466|XP_033165523.1|DMAU	LOC115621014|XP_030370394.1|SLEB
OG0000050	LOC117142031|XP_033161786.1|DMAU	LOC115632844|XP_030385961.1|SLEB
OG0000050	LOC117142029|XP_033161784.1|DMAU	LOC115632845|XP_030385962.1|SLEB
OG0000050	LOC117142024|XP_033161778.1|DMAU	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB
OG0000051	LOC117143815|XP_033164552.1|DMAU	LOC115624036|XP_030374474.1|SLEB
OG0000051	LOC117143638|XP_033164307.1|DMAU	LOC115620987|XP_030370367.1|SLEB
OG0000052	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU	LOC115621355|XP_030370842.1|SLEB
OG0000052	LOC117136886|XP_033153888.1|DMAU, LOC117136885|XP_033153886.1|DMAU	LOC115621366|XP_030370854.1|SLEB
OG0000053	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB
OG0000053	LOC117137096|XP_033154272.1|DMAU	LOC115634038|XP_030387442.1|SLEB
OG0000053	LOC117137094|XP_033154271.1|DMAU	LOC115634037|XP_030387441.1|SLEB
OG0000053	LOC117137107|XP_033154285.1|DMAU	LOC115634626|XP_030388341.1|SLEB
OG0000054	LOC117144491|XP_033165568.1|DMAU	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB
OG0000054	LOC117145202|XP_033166655.1|DMAU	LOC115623633|XP_030373934.1|SLEB
OG0000054	LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU	LOC115624033|XP_030374471.1|SLEB
OG0000056	LOC117145913|XP_033167658.1|DMAU	LOC115626734|XP_030378039.1|SLEB
OG0000056	LOC117145909|XP_033167655.1|DMAU, LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU	LOC115626727|XP_030378033.1|SLEB
OG0000056	LOC117144813|XP_033166080.1|DMAU	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000058	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB
OG0000058	LOC117147163|XP_033169841.1|DMAU	LOC115629610|XP_030381967.1|SLEB
OG0000059	LOC117144061|XP_033164961.1|DMAU	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB
OG0000059	LOC117143436|XP_033164033.1|DMAU	LOC115621386|XP_030370879.1|SLEB
OG0000059	LOC117143722|XP_033164415.1|DMAU	LOC115620757|XP_030370013.1|SLEB
OG0000060	LOC117148535|XP_033171846.1|DMAU	LOC115629929|XP_030382393.1|SLEB
OG0000060	LOC117141177|XP_033160409.1|DMAU	LOC115630565|XP_030383041.1|SLEB
OG0000060	LOC117144989|XP_033166351.1|DMAU	LOC115623364|XP_030373510.1|SLEB
OG0000060	LOC117142997|XP_033163243.1|DMAU	LOC115620624|XP_030369812.1|SLEB
OG0000060	LOC117147337|XP_033170084.1|DMAU	LOC115629360|XP_030381672.1|SLEB
OG0000060	LOC117150499|XP_033173294.1|DMAU	LOC115630767|XP_030383283.1|SLEB
OG0000061	LOC117144713|XP_033165946.1|DMAU	LOC115631729|XP_030384426.1|SLEB
OG0000061	LOC117146062|XP_033167897.1|DMAU	LOC115631701|XP_030384388.1|SLEB
OG0000062	LOC117147633|XP_033170492.1|DMAU	LOC115627142|XP_030378579.1|SLEB
OG0000062	LOC117135280|XP_033151340.1|DMAU, LOC117143802|XP_033164537.1|DMAU, LOC117135279|XP_033151338.1|DMAU	LOC115626214|XP_030377370.1|SLEB, LOC115626016|XP_030377124.1|SLEB
OG0000063	LOC117142412|XP_033162254.1|DMAU, LOC117142413|XP_033162256.1|DMAU, LOC117142411|XP_033162253.1|DMAU	LOC115623704|XP_030374042.1|SLEB
OG0000063	LOC117141841|XP_033161392.1|DMAU	LOC115622384|XP_030372168.1|SLEB
OG0000063	LOC117141839|XP_033161390.1|DMAU	LOC115622972|XP_030372983.1|SLEB
