Orthogroup	DMAU.longest_only	ASTE.longest_only
OG0000013	LOC117148236|XP_033171424.1|DMAU	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC117142434|XP_033162286.1|DMAU	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC117142344|XP_033162152.1|DMAU, LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC117143253|XP_033163704.1|DMAU, LOC117136077|XP_033152622.1|DMAU	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC117144517|XP_033165627.1|DMAU	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC117148789|XP_033172290.1|DMAU	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC117140134|XP_033158791.1|DMAU	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000019	LOC117143233|XP_033163675.1|DMAU, LOC117143237|XP_033163678.1|DMAU, LOC117143236|XP_033163677.1|DMAU, LOC117143229|XP_033163670.1|DMAU, LOC117143234|XP_033163676.1|DMAU, LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC117143636|XP_033164304.1|DMAU, LOC117136475|XP_033153300.1|DMAU	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU, LOC117145918|XP_033167668.1|DMAU, LOC117143368|XP_033163935.1|DMAU, LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC117146855|XP_033169316.1|DMAU	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC117142241|XP_033161985.1|DMAU, LOC117143646|XP_033164316.1|DMAU, LOC117148061|XP_033171143.1|DMAU	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC117138252|XP_033156103.1|DMAU, LOC117139751|XP_033158206.1|DMAU, LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU, LOC117139203|XP_033157266.1|DMAU, LOC117139198|XP_033157262.1|DMAU	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC117144283|XP_033165277.1|DMAU, LOC117144284|XP_033165278.1|DMAU, LOC117144282|XP_033165275.1|DMAU, LOC117135977|XP_033152481.1|DMAU, LOC117145126|XP_033166537.1|DMAU, LOC117144278|XP_033165272.1|DMAU, LOC117144775|XP_033166033.1|DMAU, LOC117144277|XP_033165271.1|DMAU, LOC117144765|XP_033166018.1|DMAU	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU, LOC117136255|XP_033152953.1|DMAU, LOC117150619|XP_033173479.1|DMAU, LOC117136506|XP_033153341.1|DMAU, LOC117135440|XP_033151508.1|DMAU	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC117143378|XP_033163951.1|DMAU	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000026	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU, LOC117145491|XP_033167059.1|DMAU	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC117142835|XP_033162961.1|DMAU, LOC117140739|XP_033159710.1|DMAU, LOC117150817|XP_033173768.1|DMAU	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC117139362|XP_033157505.1|DMAU, LOC117139334|XP_033157472.1|DMAU, LOC117139375|XP_033157515.1|DMAU, LOC117139373|XP_033157513.1|DMAU, LOC117139374|XP_033157514.1|DMAU, LOC117139371|XP_033157510.1|DMAU, LOC117139372|XP_033157511.1|DMAU, LOC117141110|XP_033160324.1|DMAU	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC117145028|XP_033166421.1|DMAU, LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU, LOC117144854|XP_033166148.1|DMAU, LOC117140740|XP_033159707.1|DMAU	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU, LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC117145857|XP_033167568.1|DMAU, LOC117145860|XP_033167571.1|DMAU, LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU, LOC117145859|XP_033167570.1|DMAU	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU, LOC117150484|XP_033173274.1|DMAU, LOC117150483|XP_033173273.1|DMAU, LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU, LOC117143867|XP_033164627.1|DMAU	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC117145150|XP_033166581.1|DMAU	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC117145004|XP_033166383.1|DMAU	LOC118502424|XP_035890544.1|ASTE
OG0000037	LOC117137024|XP_033154116.1|DMAU, LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC117139364|XP_033157507.1|DMAU	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC117141232|XP_033160483.1|DMAU	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC117144249|XP_033165219.1|DMAU	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC117143574|XP_033164210.1|DMAU, LOC117143570|XP_033164205.1|DMAU, LOC117143572|XP_033164208.1|DMAU, LOC117145149|XP_033166580.1|DMAU, LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC117137846|XP_033155439.1|DMAU, LOC117137896|XP_033155525.1|DMAU, LOC117136744|XP_033153666.1|DMAU, LOC117141645|XP_033161109.1|DMAU, LOC117137194|XP_033154412.1|DMAU, LOC117141646|XP_033161110.1|DMAU	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU, LOC117140935|XP_033160022.1|DMAU, LOC117140941|XP_033160028.1|DMAU	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC117144267|XP_033165261.1|DMAU, LOC117143819|XP_033164555.1|DMAU, LOC117145062|XP_033166468.1|DMAU, LOC117145059|XP_033166464.1|DMAU, LOC117145061|XP_033166467.1|DMAU, LOC117144466|XP_033165523.1|DMAU	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC117143815|XP_033164552.1|DMAU, LOC117143638|XP_033164307.1|DMAU, LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU, LOC117137096|XP_033154272.1|DMAU	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC117144491|XP_033165568.1|DMAU, LOC117145202|XP_033166655.1|DMAU, LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC117143514|XP_033164128.1|DMAU, LOC117143478|XP_033164083.1|DMAU, LOC117143727|XP_033164422.1|DMAU	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC117145913|XP_033167658.1|DMAU, LOC117145909|XP_033167655.1|DMAU, LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU, LOC117144813|XP_033166080.1|DMAU	LOC118507841|XP_035902865.1|ASTE
OG0000058	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU, LOC117147163|XP_033169841.1|DMAU	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC117148535|XP_033171846.1|DMAU	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC117142997|XP_033163243.1|DMAU	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC117147337|XP_033170084.1|DMAU, LOC117150499|XP_033173294.1|DMAU	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC117147633|XP_033170492.1|DMAU, LOC117135280|XP_033151340.1|DMAU, LOC117143802|XP_033164537.1|DMAU, LOC117135279|XP_033151338.1|DMAU, LOC117142762|XP_033162838.1|DMAU	LOC118512947|XP_035914059.1|ASTE
OG0000067	LOC117143290|XP_033163776.1|DMAU, LOC117141618|XP_033161029.1|DMAU	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC117140079|XP_033158722.1|DMAU	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC117140267|XP_033158984.1|DMAU, LOC117142608|XP_033162579.1|DMAU, LOC117139306|XP_033157439.1|DMAU, LOC117135414|XP_033151458.1|DMAU, LOC117147929|XP_033170959.1|DMAU	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC117140982|XP_033160124.1|DMAU, LOC117148893|XP_033172490.1|DMAU, LOC117137413|XP_033154736.1|DMAU, LOC117146922|XP_033169442.1|DMAU	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC117139106|XP_033157130.1|DMAU	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC117139290|XP_033157411.1|DMAU, LOC117139289|XP_033157410.1|DMAU, LOC117139278|XP_033157396.1|DMAU	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC117136935|XP_033153969.1|DMAU, LOC117136352|XP_033153109.1|DMAU, LOC117136936|XP_033153970.1|DMAU	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC117138354|XP_033156291.1|DMAU	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC117147893|XP_033170883.1|DMAU	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC117142466|XP_033162348.1|DMAU	LOC118506813|XP_035900364.1|ASTE
OG0000074	LOC117142069|XP_033161840.1|DMAU, LOC117139233|XP_033157330.1|DMAU	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC117141100|XP_033160313.1|DMAU	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC117147320|XP_033170062.1|DMAU	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC117138525|XP_033156554.1|DMAU	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC117142441|XP_033162295.1|DMAU	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC117138466|XP_033156483.1|DMAU	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC117144652|XP_033165842.1|DMAU	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC117138008|XP_033155701.1|DMAU, LOC117140111|XP_033158764.1|DMAU, LOC117145393|XP_033166920.1|DMAU, LOC117146596|XP_033168812.1|DMAU, LOC117147316|XP_033170056.1|DMAU	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC117137720|XP_033155183.1|DMAU, LOC117137725|XP_033155191.1|DMAU, LOC117136966|XP_033154021.1|DMAU	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC117138620|XP_033156721.1|DMAU, LOC117135990|XP_033152496.1|DMAU, LOC117142679|XP_033162708.1|DMAU, LOC117143259|XP_033163721.1|DMAU	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC117145762|XP_033167461.1|DMAU, LOC117140536|XP_033159420.1|DMAU, LOC117146342|XP_033168371.1|DMAU, LOC117144457|XP_033165508.1|DMAU, LOC117144620|XP_033165809.1|DMAU, LOC117145464|XP_033167065.1|DMAU	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC117136635|XP_033153517.1|DMAU	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC117137735|XP_033155207.1|DMAU	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC117136080|XP_033152640.1|DMAU	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC117136149|XP_033152757.1|DMAU, LOC117136148|XP_033152756.1|DMAU	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC117147902|XP_033170903.1|DMAU	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC117137209|XP_033154454.1|DMAU	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC117142383|XP_033162216.1|DMAU, LOC117144287|XP_033165282.1|DMAU	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC117141024|XP_033160189.1|DMAU	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC117137570|XP_033154966.1|DMAU, LOC117137567|XP_033154963.1|DMAU, LOC117140816|XP_033159812.1|DMAU, LOC117140429|XP_033159236.1|DMAU	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC117145728|XP_033167368.1|DMAU	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC117150761|XP_033173689.1|DMAU, LOC117146070|XP_033167902.1|DMAU, LOC117145462|XP_033167023.1|DMAU	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC117150555|XP_033173394.1|DMAU	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC117141136|XP_033160352.1|DMAU, LOC117145630|XP_033167240.1|DMAU	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC117135195|XP_033151161.1|DMAU, LOC117138374|XP_033156337.1|DMAU, LOC117143020|XP_033163289.1|DMAU, LOC117140669|XP_033159611.1|DMAU	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC117142871|XP_033163030.1|DMAU	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC117148254|XP_033171448.1|DMAU	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC117139588|XP_033157894.1|DMAU, LOC117139584|XP_033157886.1|DMAU, LOC117139153|XP_033157202.1|DMAU, LOC117139589|XP_033157895.1|DMAU, LOC117139587|XP_033157892.1|DMAU, LOC117139591|XP_033157897.1|DMAU	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC117136562|XP_033153409.1|DMAU	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC117136840|XP_033153811.1|DMAU, LOC117135879|XP_033152313.1|DMAU	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC117139741|XP_033158189.1|DMAU, LOC117140271|XP_033158987.1|DMAU, LOC117140269|XP_033158986.1|DMAU, LOC117136710|XP_033153622.1|DMAU	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC117145209|XP_033166665.1|DMAU, LOC117140646|XP_033159577.1|DMAU, LOC117143467|XP_033164071.1|DMAU	LOC118506605|XP_035899865.1|ASTE
OG0000108	LOC117141919|XP_033161539.1|DMAU, LOC117137638|XP_033155062.1|DMAU, LOC117150633|XP_033173496.1|DMAU, LOC117150015|XP_033172784.1|DMAU, LOC117149957|XP_033172747.1|DMAU, LOC117135594|XP_033151820.1|DMAU	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE
OG0000109	LOC117150480|XP_033173269.1|DMAU, LOC117150327|XP_033173057.1|DMAU, LOC117150326|XP_033173056.1|DMAU	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC117150299|XP_033173013.1|DMAU, LOC117150298|XP_033173011.1|DMAU	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC117141555|XP_033160952.1|DMAU, LOC117141556|XP_033160954.1|DMAU, LOC117140295|XP_033159023.1|DMAU, LOC117139048|XP_033157042.1|DMAU	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC117137612|XP_033155029.1|DMAU, LOC117137549|XP_033154938.1|DMAU, LOC117136205|XP_033152849.1|DMAU	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC117147934|XP_033170970.1|DMAU, LOC117147426|XP_033170197.1|DMAU, LOC117147670|XP_033170537.1|DMAU, LOC117147441|XP_033170213.1|DMAU	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC117150311|XP_033173029.1|DMAU, LOC117137340|XP_033154626.1|DMAU, LOC117144993|XP_033166357.1|DMAU, LOC117139674|XP_033158046.1|DMAU	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC117150884|XP_033173909.1|DMAU, LOC117150882|XP_033173907.1|DMAU, LOC117150883|XP_033173908.1|DMAU	LOC118509008|XP_035904916.1|ASTE
OG0000117	LOC117140280|XP_033159003.1|DMAU, LOC117140287|XP_033159016.1|DMAU, LOC117140343|XP_033159086.1|DMAU, LOC117140312|XP_033159052.1|DMAU	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE
OG0000118	LOC117150387|XP_033173140.1|DMAU, LOC117135603|XP_033151847.1|DMAU	LOC118502409|XP_035890526.1|ASTE
OG0000119	LOC117143976|XP_033164804.1|DMAU, LOC117144044|XP_033164905.1|DMAU, LOC117144043|XP_033164903.1|DMAU	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE
OG0000120	LOC117148598|XP_033171970.1|DMAU	LOC118509359|XP_035905774.1|ASTE
OG0000120	LOC117135556|XP_033151747.1|DMAU	LOC118512861|XP_035913838.1|ASTE
OG0000121	LOC117147561|XP_033170393.1|DMAU, LOC117142505|XP_033162432.1|DMAU, LOC117142503|XP_033162430.1|DMAU, LOC117142506|XP_033162433.1|DMAU	LOC118504430|XP_035894762.1|ASTE
OG0000122	LOC117150526|XP_033173341.1|DMAU, LOC117147492|XP_033170284.1|DMAU, LOC117136699|XP_033153608.1|DMAU, LOC117141442|XP_033160827.1|DMAU	LOC118502484|XP_035890608.1|ASTE
