Orthogroup	DMAU.longest_only	DHYD.longest_only
OG0000037	LOC117137024|XP_033154116.1|DMAU	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU	LOC111601750|XP_023174255.2|DHYD
OG0000038	LOC117139364|XP_033157507.1|DMAU	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC117141232|XP_033160483.1|DMAU	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC117144249|XP_033165219.1|DMAU	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC117148457|XP_033171719.1|DMAU	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC117147454|XP_033170230.1|DMAU	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC117146886|XP_033169374.1|DMAU	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC117145128|XP_033166540.1|DMAU, LOC117143448|XP_033164046.1|DMAU	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC117143449|XP_033164048.1|DMAU	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC117144294|XP_033165289.1|DMAU, LOC117144293|XP_033165288.1|DMAU	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC117143965|XP_033164790.1|DMAU	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC117143756|XP_033164463.1|DMAU	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC117138472|XP_033156493.1|DMAU, LOC117138473|XP_033156494.1|DMAU, LOC117138470|XP_033156490.1|DMAU	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000042	LOC117138471|XP_033156492.1|DMAU	LOC111598606|XP_023169706.2|DHYD
OG0000043	LOC117143570|XP_033164205.1|DMAU	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC117143572|XP_033164208.1|DMAU	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC117145149|XP_033166580.1|DMAU	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC117143901|XP_033164698.1|DMAU	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC117145163|XP_033166599.1|DMAU	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC117143435|XP_033164032.1|DMAU	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC117139739|XP_033158187.1|DMAU	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC117139487|XP_033157699.1|DMAU	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC117139486|XP_033157698.1|DMAU	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU	LOC111591975|XP_023159692.2|DHYD
OG0000046	LOC117147217|XP_033169922.1|DMAU, LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC117137846|XP_033155439.1|DMAU	LOC111596622|XP_023166677.1|DHYD
OG0000047	LOC117137896|XP_033155525.1|DMAU	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC117136744|XP_033153666.1|DMAU	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC117137194|XP_033154412.1|DMAU	LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU	LOC111604700|XP_023178641.1|DHYD
OG0000048	LOC117140935|XP_033160022.1|DMAU	LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC117140941|XP_033160028.1|DMAU	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC117144267|XP_033165261.1|DMAU	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC117143819|XP_033164555.1|DMAU	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC117145062|XP_033166468.1|DMAU	LOC111594475|XP_023163544.1|DHYD
OG0000049	LOC117145061|XP_033166467.1|DMAU	LOC111594476|XP_023163545.2|DHYD
OG0000049	LOC117144466|XP_033165523.1|DMAU	LOC111594581|XP_023163706.2|DHYD
OG0000050	LOC117136135|XP_033152731.1|DMAU	LOC111592220|XP_023160064.2|DHYD
OG0000050	LOC117142031|XP_033161786.1|DMAU	LOC111597562|XP_023168129.2|DHYD
OG0000050	LOC117142029|XP_033161784.1|DMAU	LOC111597563|XP_023168130.1|DHYD
OG0000050	LOC117142024|XP_033161778.1|DMAU	LOC111597557|XP_023168122.2|DHYD
OG0000051	LOC117143815|XP_033164552.1|DMAU	LOC111604842|XP_023178842.2|DHYD
OG0000051	LOC117143638|XP_033164307.1|DMAU	LOC111598254|XP_023169188.2|DHYD
OG0000052	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD
OG0000052	LOC117136886|XP_033153888.1|DMAU	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD
OG0000052	LOC117136885|XP_033153886.1|DMAU	LOC111604234|XP_023177982.1|DHYD
OG0000053	LOC117137106|XP_033154284.1|DMAU	LOC111602599|XP_023175526.2|DHYD
OG0000053	LOC117137105|XP_033154282.1|DMAU	LOC111602600|XP_023175527.2|DHYD
OG0000053	LOC117137096|XP_033154272.1|DMAU	LOC111596382|XP_023166356.2|DHYD
OG0000053	LOC117137094|XP_033154271.1|DMAU	LOC111596381|XP_023166355.2|DHYD
OG0000053	LOC117137107|XP_033154285.1|DMAU	LOC111596379|XP_023166352.2|DHYD
OG0000054	LOC117144491|XP_033165568.1|DMAU	LOC111604826|XP_023178817.2|DHYD
OG0000054	LOC117145202|XP_033166655.1|DMAU	LOC111593322|XP_023161796.2|DHYD
OG0000054	LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU	LOC111604856|XP_023178857.2|DHYD
OG0000055	LOC117143478|XP_033164083.1|DMAU	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD
OG0000056	LOC117145913|XP_033167658.1|DMAU	LOC111599611|XP_023171068.2|DHYD
OG0000056	LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD
OG0000056	LOC117144813|XP_033166080.1|DMAU	LOC111600558|XP_023172478.1|DHYD
OG0000058	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD
OG0000058	LOC117141672|XP_033161161.1|DMAU	LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD
OG0000058	LOC117147163|XP_033169841.1|DMAU	LOC111591894|XP_023159568.1|DHYD
OG0000059	LOC117144061|XP_033164961.1|DMAU	LOC111595783|XP_030078737.1|DHYD
OG0000059	LOC117144560|XP_033165696.1|DMAU, LOC117144394|XP_033165420.1|DMAU	LOC111595875|XP_023165572.2|DHYD
OG0000059	LOC117143436|XP_033164033.1|DMAU	LOC111595256|XP_023164673.2|DHYD
OG0000059	LOC117143722|XP_033164415.1|DMAU	LOC111595830|XP_030078745.1|DHYD, LOC111595757|XP_023165402.2|DHYD, LOC111595792|XP_023165450.1|DHYD
OG0000060	LOC117148535|XP_033171846.1|DMAU	LOC111605118|XP_023179239.1|DHYD
OG0000060	LOC117141177|XP_033160409.1|DMAU	LOC111594203|XP_023163168.1|DHYD
OG0000060	LOC117144989|XP_033166351.1|DMAU	LOC115482748|XP_030081618.1|DHYD
OG0000060	LOC117142997|XP_033163243.1|DMAU	LOC111597837|XP_023168500.1|DHYD
