Orthogroup	DMAU.longest_only	CCAP.longest_only
OG0000007	LOC117150742|XP_033173667.1|DMAU, LOC117136894|XP_033153899.1|DMAU, LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU, LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU, LOC117139714|XP_033158125.1|DMAU, LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU, LOC117142071|XP_033161842.1|DMAU, LOC117142072|XP_033161843.1|DMAU	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC117142833|XP_033162955.1|DMAU	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC117140615|XP_033159521.1|DMAU	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC117140614|XP_033159520.1|DMAU	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC117140617|XP_033159524.1|DMAU	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC117144387|XP_033165412.1|DMAU	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC117143719|XP_033164408.1|DMAU	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC117144386|XP_033165411.1|DMAU	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC117143928|XP_033164736.1|DMAU	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC117145423|XP_033166959.1|DMAU	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC117136735|XP_033153656.1|DMAU, LOC117143616|XP_033164265.1|DMAU, LOC117135792|XP_033152175.1|DMAU, LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC117142722|XP_033162774.1|DMAU	CCAP1982_LOCUS6251|CAD6997615.1|CCAP, CCAP1982_LOCUS6239|CAD6997603.1|CCAP, CCAP1982_LOCUS6253|CAD6997617.1|CCAP, CCAP1982_LOCUS6246|CAD6997610.1|CCAP, CCAP1982_LOCUS6235|CAD6997599.1|CCAP, CCAP1982_LOCUS6248|CAD6997612.1|CCAP
OG0000012	LOC117136761|XP_033153688.1|DMAU	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC117136760|XP_033153687.1|DMAU	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC117136898|XP_033153902.1|DMAU	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC117137864|XP_033155471.1|DMAU	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU, LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU, LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC117136473|XP_033153295.1|DMAU	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC117142434|XP_033162286.1|DMAU	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC117141743|XP_033161255.1|DMAU	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC117143333|XP_033163884.1|DMAU	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC117142344|XP_033162152.1|DMAU	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC117141766|XP_033161286.1|DMAU, LOC117139678|XP_033158048.1|DMAU, LOC117136459|XP_033153277.1|DMAU, LOC117150445|XP_033173222.1|DMAU, LOC117149978|XP_033172760.1|DMAU, LOC117150378|XP_033173130.1|DMAU	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000016	LOC117143253|XP_033163704.1|DMAU, LOC117136077|XP_033152622.1|DMAU	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC117144517|XP_033165627.1|DMAU	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC117137377|XP_033154680.1|DMAU	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC117145868|XP_033167581.1|DMAU	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC117140134|XP_033158791.1|DMAU	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC117138274|XP_033156132.1|DMAU, LOC117136736|XP_033153658.1|DMAU	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC117141482|XP_033160851.1|DMAU	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC117141483|XP_033160852.1|DMAU	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000019	LOC117143233|XP_033163675.1|DMAU, LOC117143237|XP_033163678.1|DMAU, LOC117143236|XP_033163677.1|DMAU, LOC117143229|XP_033163670.1|DMAU, LOC117143234|XP_033163676.1|DMAU, LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC117143636|XP_033164304.1|DMAU	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC117145918|XP_033167668.1|DMAU	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC117143646|XP_033164316.1|DMAU	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC117138252|XP_033156103.1|DMAU	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC117144282|XP_033165275.1|DMAU, LOC117135977|XP_033152481.1|DMAU, LOC117145126|XP_033166537.1|DMAU	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC117144278|XP_033165272.1|DMAU	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC117144775|XP_033166033.1|DMAU	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC117144277|XP_033165271.1|DMAU	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC117144765|XP_033166018.1|DMAU	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC117150619|XP_033173479.1|DMAU, LOC117136506|XP_033153341.1|DMAU	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000026	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU, LOC117145491|XP_033167059.1|DMAU	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC117142835|XP_033162961.1|DMAU	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC117140739|XP_033159710.1|DMAU	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC117150817|XP_033173768.1|DMAU	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC117139373|XP_033157513.1|DMAU	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC117141110|XP_033160324.1|DMAU	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC117145028|XP_033166421.1|DMAU, LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU, LOC117144854|XP_033166148.1|DMAU, LOC117140740|XP_033159707.1|DMAU	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC117150768|XP_033173696.1|DMAU, LOC117137293|XP_033154560.1|DMAU, LOC117150769|XP_033173697.1|DMAU	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC117143350|XP_033163916.1|DMAU, LOC117137054|XP_033154154.1|DMAU	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC117150913|XP_033173999.1|DMAU	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC117145857|XP_033167568.1|DMAU	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000034	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU, LOC117150484|XP_033173274.1|DMAU, LOC117150483|XP_033173273.1|DMAU, LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU, LOC117143867|XP_033164627.1|DMAU	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC117145150|XP_033166581.1|DMAU	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC117145004|XP_033166383.1|DMAU	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC117145915|XP_033167661.1|DMAU	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC117137024|XP_033154116.1|DMAU	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC117139364|XP_033157507.1|DMAU	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC117143574|XP_033164210.1|DMAU, LOC117143570|XP_033164205.1|DMAU, LOC117143572|XP_033164208.1|DMAU	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC117145149|XP_033166580.1|DMAU, LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC117143901|XP_033164698.1|DMAU	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU, LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC117143435|XP_033164032.1|DMAU	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC117139739|XP_033158187.1|DMAU	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC117139487|XP_033157699.1|DMAU	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC117139486|XP_033157698.1|DMAU	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC117136744|XP_033153666.1|DMAU	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU, LOC117140935|XP_033160022.1|DMAU	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC117140941|XP_033160028.1|DMAU	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC117143819|XP_033164555.1|DMAU	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC117145062|XP_033166468.1|DMAU	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC117145059|XP_033166464.1|DMAU, LOC117145061|XP_033166467.1|DMAU	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC117144466|XP_033165523.1|DMAU	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC117136135|XP_033152731.1|DMAU	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC117142030|XP_033161785.1|DMAU, LOC117142027|XP_033161782.1|DMAU, LOC117142031|XP_033161786.1|DMAU, LOC117142029|XP_033161784.1|DMAU, LOC117142024|XP_033161778.1|DMAU, LOC117142028|XP_033161783.1|DMAU	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC117143815|XP_033164552.1|DMAU	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC117143638|XP_033164307.1|DMAU	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU, LOC117136886|XP_033153888.1|DMAU, LOC117136885|XP_033153886.1|DMAU	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC117137096|XP_033154272.1|DMAU	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC117137094|XP_033154271.1|DMAU	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC117137107|XP_033154285.1|DMAU	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC117144491|XP_033165568.1|DMAU	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC117145202|XP_033166655.1|DMAU, LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU, LOC117147163|XP_033169841.1|DMAU	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000059	LOC117144061|XP_033164961.1|DMAU, LOC117144560|XP_033165696.1|DMAU, LOC117144394|XP_033165420.1|DMAU, LOC117143436|XP_033164033.1|DMAU, LOC117145280|XP_033166759.1|DMAU, LOC117145279|XP_033166758.1|DMAU, LOC117143722|XP_033164415.1|DMAU	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP
OG0000060	LOC117142997|XP_033163243.1|DMAU	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
OG0000061	LOC117144713|XP_033165946.1|DMAU	CCAP1982_LOCUS7588|CAD6999041.1|CCAP
OG0000061	LOC117147510|XP_033170317.1|DMAU	CCAP1982_LOCUS7592|CAD6999045.1|CCAP
OG0000061	LOC117146062|XP_033167897.1|DMAU, LOC117148009|XP_033171063.1|DMAU	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP
OG0000062	LOC117147633|XP_033170492.1|DMAU, LOC117135280|XP_033151340.1|DMAU, LOC117143802|XP_033164537.1|DMAU, LOC117135279|XP_033151338.1|DMAU, LOC117142762|XP_033162838.1|DMAU	CCAP1982_LOCUS9178|CAD7000705.1|CCAP, CCAP1982_LOCUS2476|CAD6993670.1|CCAP, CCAP1982_LOCUS9173|CAD7000700.1|CCAP, CCAP1982_LOCUS9182|CAD7000709.1|CCAP, CCAP1982_LOCUS9181|CAD7000708.1|CCAP, CCAP1982_LOCUS9180|CAD7000707.1|CCAP
OG0000063	LOC117141841|XP_033161392.1|DMAU, LOC117141839|XP_033161390.1|DMAU, LOC117141837|XP_033161388.1|DMAU, LOC117141838|XP_033161389.1|DMAU	CCAP1982_LOCUS12099|CAD7003661.1|CCAP
OG0000065	LOC117142873|XP_033163031.1|DMAU, LOC117150964|XP_033174035.1|DMAU, LOC117142874|XP_033163032.1|DMAU, LOC117145328|XP_033166821.1|DMAU, LOC117142495|XP_033162416.1|DMAU	CCAP1982_LOCUS3818|CAD6995095.1|CCAP, CCAP1982_LOCUS3819|CAD6995096.1|CCAP, CCAP1982_LOCUS3788|CAD6995064.1|CCAP
OG0000067	LOC117143290|XP_033163776.1|DMAU	CCAP1982_LOCUS14065|CAD7005713.1|CCAP
OG0000067	LOC117141618|XP_033161029.1|DMAU	CCAP1982_LOCUS14066|CAD7005714.1|CCAP
OG0000067	LOC117137893|XP_033155518.1|DMAU	CCAP1982_LOCUS21530|CAD7013467.1|CCAP
OG0000067	LOC117139071|XP_033157072.1|DMAU	CCAP1982_LOCUS14064|CAD7005712.1|CCAP
OG0000069	LOC117138693|XP_033156843.1|DMAU	CCAP1982_LOCUS8182|CAD6999652.1|CCAP
