Orthogroup	SLEB.longest_only	DBIA.longest_only
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC108034204|XP_016964524.1|DBIA
OG0000004	LOC115633467|XP_030386783.1|SLEB, LOC115633464|XP_030386779.1|SLEB, LOC115633591|XP_030386895.1|SLEB, LOC115630342|XP_030382736.1|SLEB	LOC108021905|XP_016946216.1|DBIA
OG0000005	LOC115630367|XP_030382760.1|SLEB	LOC108021908|XP_016946219.1|DBIA
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC108028706|XP_016956144.1|DBIA, LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC108023117|XP_016947872.1|DBIA
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC108024778|XP_016950383.1|DBIA
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC108026153|XP_016952377.1|DBIA
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC115629406|XP_030381727.1|SLEB, LOC115624589|XP_030375187.1|SLEB	LOC108027391|XP_016954320.1|DBIA
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC108033679|XP_016963624.1|DBIA
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC108030294|XP_016958615.1|DBIA, LOC108033676|XP_016963619.1|DBIA, LOC108033509|XP_016963341.1|DBIA
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC108036535|XP_016968248.1|DBIA
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC108032967|XP_016962527.1|DBIA
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC108036348|XP_016967909.1|DBIA
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC108036878|XP_016968743.1|DBIA
OG0000017	LOC115619941|XP_030368828.1|SLEB	LOC108030712|XP_016959244.1|DBIA
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC108022955|XP_016947661.1|DBIA
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC108024069|XP_016949327.1|DBIA
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC108028081|XP_016955212.1|DBIA
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC108028402|XP_016955706.1|DBIA
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC108025227|XP_016951062.1|DBIA
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC108025224|XP_016951060.1|DBIA
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC108025228|XP_016951063.1|DBIA
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC108031537|XP_016960562.1|DBIA
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC108024628|XP_016950157.1|DBIA
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC108027666|XP_016954700.1|DBIA
OG0000021	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB	LOC108027081|XP_016953819.1|DBIA
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC108022678|XP_016947238.1|DBIA
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC108022243|XP_016946590.1|DBIA
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC108036897|XP_016968766.1|DBIA
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC108026319|XP_016952697.1|DBIA
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC108027350|XP_016954258.1|DBIA
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA, LOC108029203|XP_016956872.1|DBIA
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC108027148|XP_016953858.1|DBIA
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC108027143|XP_016953853.1|DBIA
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC108027145|XP_016953854.1|DBIA
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC108027009|XP_016953696.1|DBIA
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC108027245|XP_016954086.1|DBIA
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC108027357|XP_016954268.1|DBIA
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC108023228|XP_016947991.1|DBIA
OG0000025	LOC115630125|XP_030382596.1|SLEB	LOC108021904|XP_016946215.1|DBIA
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC108032654|XP_016962104.1|DBIA
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC108033571|XP_016963404.1|DBIA
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC108033374|XP_016963181.1|DBIA
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC108033303|XP_016963062.1|DBIA
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC108033359|XP_016963159.1|DBIA
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC108033534|XP_016963368.1|DBIA, LOC108033540|XP_016963373.1|DBIA
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC108036692|XP_016968470.1|DBIA
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC108022382|XP_016946753.1|DBIA
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC108023610|XP_016948706.1|DBIA
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC108027359|XP_016954271.1|DBIA
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC108035889|XP_016967133.1|DBIA, LOC108033536|XP_016963370.1|DBIA, LOC108033501|XP_016963332.1|DBIA, LOC108030100|XP_016958275.1|DBIA, LOC108030101|XP_016958276.1|DBIA
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC108030098|XP_016958274.1|DBIA
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC108035237|XP_016966261.1|DBIA
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC108034999|XP_016965831.1|DBIA
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA, LOC108036755|XP_016968570.1|DBIA
OG0000035	LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB	LOC108027242|XP_016954085.1|DBIA
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC108026449|XP_016952877.1|DBIA
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC108024985|XP_016950728.1|DBIA
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC108024657|XP_016950207.1|DBIA
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC108029865|XP_016957843.1|DBIA
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC108027177|XP_016953954.1|DBIA
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC108025609|XP_016951633.1|DBIA
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC108025634|XP_016951658.1|DBIA
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC108025590|XP_016951608.1|DBIA
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC108025546|XP_016951565.1|DBIA, LOC108024820|XP_016950438.1|DBIA
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC108024821|XP_016950440.1|DBIA
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC108025434|XP_016951413.1|DBIA, LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC108023851|XP_016948987.1|DBIA
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC108029979|XP_016957976.1|DBIA, LOC108029981|XP_016957978.1|DBIA, LOC108029869|XP_016957848.1|DBIA, LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC108024814|XP_016950428.1|DBIA
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC108024406|XP_016949807.1|DBIA
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC108026455|XP_016952884.1|DBIA
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC108026002|XP_016952181.1|DBIA, LOC108025998|XP_016952177.1|DBIA, LOC108026469|XP_016952901.1|DBIA
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC108025049|XP_016950795.1|DBIA
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC108028610|XP_016956020.1|DBIA
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC108034658|XP_016965085.1|DBIA, LOC108034642|XP_016965069.1|DBIA
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC108028181|XP_016955331.1|DBIA
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC108028143|XP_016955289.1|DBIA
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC108027349|XP_016954257.1|DBIA, LOC108027004|XP_016953692.1|DBIA, LOC108024100|XP_016949365.1|DBIA, LOC108024103|XP_016949370.1|DBIA, LOC108024088|XP_016949352.1|DBIA, LOC108024336|XP_016949726.1|DBIA, LOC108024337|XP_016949728.1|DBIA, LOC108024872|XP_016950506.1|DBIA, LOC108024879|XP_016950512.1|DBIA, LOC108029852|XP_016957830.1|DBIA
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC108036240|XP_016967738.1|DBIA
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC108036255|XP_016967753.1|DBIA
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC108029392|XP_016957110.1|DBIA
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC108029377|XP_016957093.1|DBIA, LOC108034788|XP_016965261.1|DBIA
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC108034662|XP_016965090.1|DBIA, LOC108034416|XP_016964788.1|DBIA
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC108035016|XP_016965849.1|DBIA
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC108035019|XP_016965851.1|DBIA
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC108024404|XP_016949805.1|DBIA
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC108024363|XP_016949755.1|DBIA
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC108024349|XP_016949740.1|DBIA
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC108024839|XP_016950464.1|DBIA
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC108024840|XP_016950465.1|DBIA
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC108024876|XP_016950510.1|DBIA
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC108030724|XP_016959254.1|DBIA
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC108030784|XP_016959325.1|DBIA
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC108030723|XP_016959253.1|DBIA
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC108031259|XP_016959986.1|DBIA
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC108031167|XP_016959876.1|DBIA
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC108031139|XP_016959843.1|DBIA, LOC108024786|XP_016950390.1|DBIA, LOC108031304|XP_016960037.1|DBIA, LOC108031177|XP_016959886.1|DBIA, LOC108031170|XP_016959879.1|DBIA
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC108029994|XP_016957997.1|DBIA, LOC108029937|XP_016957921.1|DBIA
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC108029369|XP_016957086.1|DBIA, LOC108029362|XP_016957079.1|DBIA
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC108029361|XP_016957078.1|DBIA
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC108029360|XP_016957077.1|DBIA
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC108029370|XP_016957087.1|DBIA
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC108026311|XP_016952687.1|DBIA
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC108026084|XP_016952272.1|DBIA, LOC108026092|XP_016952281.1|DBIA
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC108026028|XP_016952208.1|DBIA, LOC108026363|XP_016952768.1|DBIA
OG0000055	LOC115621100|XP_030370499.1|SLEB, LOC115621082|XP_030370472.1|SLEB, LOC115621350|XP_030370832.1|SLEB	LOC108025040|XP_016950785.1|DBIA
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC108031456|XP_016960380.1|DBIA
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC108031453|XP_016960377.1|DBIA, LOC108031455|XP_016960379.1|DBIA, LOC108031454|XP_016960378.1|DBIA, LOC108031452|XP_016960376.1|DBIA
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC108031088|XP_016959782.1|DBIA, LOC108031982|XP_016961266.1|DBIA
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC108036205|XP_016967686.1|DBIA, LOC108032411|XP_016961720.1|DBIA, LOC108032495|XP_016961804.1|DBIA, LOC108036206|XP_016967687.1|DBIA, LOC108033435|XP_016963248.1|DBIA
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC108029081|XP_016956700.1|DBIA
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC108025520|XP_016951530.1|DBIA
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC108025519|XP_016951529.1|DBIA
OG0000059	LOC115620757|XP_030370013.1|SLEB	LOC108025314|XP_016951213.1|DBIA
OG0000060	LOC115629929|XP_030382393.1|SLEB	LOC108031902|XP_016961196.1|DBIA
OG0000060	LOC115630565|XP_030383041.1|SLEB	LOC108033390|XP_016963198.1|DBIA
OG0000060	LOC115623364|XP_030373510.1|SLEB	LOC108023813|XP_016948948.1|DBIA
OG0000060	LOC115620624|XP_030369812.1|SLEB	LOC108025323|XP_016951236.1|DBIA
OG0000060	LOC115629360|XP_030381672.1|SLEB	LOC108024403|XP_016949804.1|DBIA
OG0000060	LOC115630767|XP_030383283.1|SLEB	LOC108027722|XP_016954764.1|DBIA
