Orthogroup	SLEB.longest_only	BTRY.longest_only
OG0000003	LOC115634507|XP_030388133.1|SLEB	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC115625548|XP_030376490.1|SLEB, LOC115625503|XP_030376424.1|SLEB	LOC120770342|XP_039953674.1|BTRY
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY
OG0000004	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB, LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB, LOC115630292|XP_030382688.1|SLEB, LOC115630349|XP_030382742.1|SLEB, LOC115630350|XP_030382743.1|SLEB, LOC115630290|XP_030382685.1|SLEB, LOC115630360|XP_030382754.1|SLEB, LOC115630289|XP_030382684.1|SLEB	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY
OG0000005	LOC115630317|XP_030382714.1|SLEB	LOC120767519|XP_039949547.1|BTRY
OG0000005	LOC115630282|XP_030382678.1|SLEB, LOC115630355|XP_030382749.1|SLEB, LOC115630321|XP_030382720.1|SLEB, LOC115630285|XP_030382681.1|SLEB, LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB	LOC120767523|XP_039949552.1|BTRY
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC120767509|XP_039949536.1|BTRY
OG0000006	LOC115630264|XP_030382657.1|SLEB	LOC120767511|XP_039949538.1|BTRY
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC120767512|XP_039949539.1|BTRY, LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC115629771|XP_030382185.1|SLEB	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC120778027|XP_039965634.1|BTRY
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
OG0000007	LOC115633111|XP_030386356.1|SLEB, LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB, LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB, LOC115630750|XP_030383265.1|SLEB	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC120778217|XP_039965948.1|BTRY
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC120778133|XP_039965828.1|BTRY
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC120780988|XP_039969143.1|BTRY
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC120780063|XP_039968275.1|BTRY
OG0000009	LOC115634672|XP_030388391.1|SLEB, LOC115624028|XP_030374465.1|SLEB, LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC120782593|XP_039970879.1|BTRY
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC120766432|XP_039947870.1|BTRY
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC120767529|XP_039949555.1|BTRY, LOC120767531|XP_039949557.1|BTRY
OG0000010	LOC115630368|XP_030382761.1|SLEB, LOC115630369|XP_030382762.1|SLEB, LOC115625114|XP_030375880.1|SLEB	LOC120767528|XP_039949554.1|BTRY
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC120772295|XP_039956737.1|BTRY
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC120771372|XP_039955267.1|BTRY
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC120772056|XP_039956371.1|BTRY
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
OG0000012	LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC120782170|XP_039970244.1|BTRY
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000014	LOC115629406|XP_030381727.1|SLEB, LOC115624589|XP_030375187.1|SLEB, LOC115623965|XP_030374393.1|SLEB, LOC115633383|XP_030386687.1|SLEB, LOC115628611|XP_030380654.1|SLEB	LOC120779372|XP_039967501.1|BTRY
OG0000015	LOC115626216|XP_030377371.1|SLEB, LOC115628471|XP_030380453.1|SLEB	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY
OG0000016	LOC115621740|XP_030371332.1|SLEB, LOC115634422|XP_030387989.1|SLEB	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC120775405|XP_039961502.1|BTRY
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC120767942|XP_039950259.1|BTRY
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC120773675|XP_039958634.1|BTRY
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY
OG0000017	LOC115619974|XP_030368869.1|SLEB, LOC115632872|XP_030386040.1|SLEB, LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB, LOC115619941|XP_030368828.1|SLEB	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC120777489|XP_039964764.1|BTRY
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC120777549|XP_039964872.1|BTRY
OG0000018	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY
OG0000019	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC120782274|XP_039970399.1|BTRY
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC120776121|XP_039962581.1|BTRY
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC120780423|XP_039968662.1|BTRY
OG0000021	LOC115620616|XP_030369796.1|SLEB, LOC115629963|XP_030382440.1|SLEB	LOC120766828|XP_039948474.1|BTRY
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC120770783|XP_039954296.1|BTRY
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY
OG0000022	LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB	LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY
OG0000023	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB	LOC120770270|XP_039953521.1|BTRY, LOC120770300|XP_039953603.1|BTRY
OG0000023	LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB	LOC120782575|XP_039970851.1|BTRY
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC120766880|XP_039948548.1|BTRY
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC120774273|XP_039959699.1|BTRY
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC120774110|XP_039959404.1|BTRY
OG0000025	LOC115633508|XP_030386830.1|SLEB	LOC120767501|XP_039949528.1|BTRY
OG0000025	LOC115630311|XP_030382709.1|SLEB, LOC115630293|XP_030382689.1|SLEB, LOC115630303|XP_030382701.1|SLEB	LOC120767497|XP_039949523.1|BTRY
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC120773924|XP_039959055.1|BTRY
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC120768378|XP_039950978.1|BTRY
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC120768612|XP_039951313.1|BTRY
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	LOC115629848|XP_030382289.1|SLEB	LOC120767593|XP_039949675.1|BTRY, LOC120769564|XP_039952553.1|BTRY
OG0000030	LOC115631185|XP_030383736.1|SLEB, LOC115631186|XP_030383737.1|SLEB	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC120773026|XP_039957889.1|BTRY
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC120776112|XP_039962547.1|BTRY
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC115631238|XP_030383807.1|SLEB, LOC115631233|XP_030383802.1|SLEB, LOC115631236|XP_030383804.1|SLEB, LOC115631298|XP_030383873.1|SLEB, LOC115631016|XP_030383488.1|SLEB, LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000035	LOC115630074|XP_030382558.1|SLEB, LOC115628142|XP_030379974.1|SLEB, LOC115628135|XP_030379972.1|SLEB, LOC115628137|XP_030379973.1|SLEB, LOC115628134|XP_030379971.1|SLEB, LOC115628143|XP_030379975.1|SLEB, LOC115628789|XP_030380864.1|SLEB, LOC115628787|XP_030380863.1|SLEB	LOC120769276|XP_039952126.1|BTRY, LOC120780160|XP_039968373.1|BTRY, LOC120780561|XP_039968752.1|BTRY
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC120778788|XP_039966724.1|BTRY
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC120782503|XP_039970745.1|BTRY
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY
OG0000036	LOC115627397|XP_030378912.1|SLEB	LOC120779059|XP_039967127.1|BTRY, LOC120778390|XP_039966111.1|BTRY, LOC120778391|XP_039966112.1|BTRY, LOC120769280|XP_039952129.1|BTRY
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC120770870|XP_039954430.1|BTRY
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB, LOC115624210|XP_030374678.1|SLEB, LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB, LOC115625385|XP_030376282.1|SLEB, LOC115625500|XP_030376420.1|SLEB, LOC115625300|XP_030376176.1|SLEB, LOC115625492|XP_030376401.1|SLEB, LOC115623744|XP_030374119.1|SLEB, LOC115624203|XP_030374667.1|SLEB, LOC115624202|XP_030374666.1|SLEB, LOC115624204|XP_030374669.1|SLEB, LOC115624209|XP_030374675.1|SLEB, LOC115624206|XP_030374673.1|SLEB, LOC115621426|XP_030370938.1|SLEB	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY
OG0000041	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY
OG0000043	LOC115623987|XP_030374418.1|SLEB, LOC115623491|XP_030373724.1|SLEB, LOC115627355|XP_030378864.1|SLEB, LOC115623337|XP_030373467.1|SLEB	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY
OG0000043	LOC115623816|XP_030374219.1|SLEB, LOC115623986|XP_030374417.1|SLEB	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC120772588|XP_039957233.1|BTRY
OG0000044	LOC115624181|XP_030374637.1|SLEB, LOC115623538|XP_030373780.1|SLEB, LOC115631500|XP_030384120.1|SLEB	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC120782367|XP_039970539.1|BTRY
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC120778581|XP_039966382.1|BTRY
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC120778222|XP_039965914.1|BTRY
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC120777964|XP_039965517.1|BTRY
OG0000047	LOC115631261|XP_030383836.1|SLEB, LOC115632503|XP_030385556.1|SLEB, LOC115630926|XP_030383356.1|SLEB, LOC115626702|XP_030377994.1|SLEB, LOC115627115|XP_030378542.1|SLEB, LOC115622391|XP_030372176.1|SLEB	LOC120775795|XP_039962073.1|BTRY
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY
