Orthogroup	SLEB.longest_only	DSUB.longest_only
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC117892469|XP_034654613.1|DSUB, LOC117892468|XP_034654612.1|DSUB
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC117890537|XP_034651353.1|DSUB
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC117890535|XP_034651347.1|DSUB
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC117890534|XP_034651344.1|DSUB
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC117890538|XP_034651354.1|DSUB
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC117898651|XP_034664113.1|DSUB
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC117898462|XP_034663775.1|DSUB
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC117898463|XP_034663777.1|DSUB, LOC117898461|XP_034663774.1|DSUB
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC117897244|XP_034661856.1|DSUB, LOC117897243|XP_034661853.1|DSUB
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB, LOC117902359|XP_034669562.1|DSUB
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC117894861|XP_034658013.1|DSUB
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC117897005|XP_034661462.1|DSUB
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC117896652|XP_034660989.1|DSUB
OG0000059	LOC115620757|XP_030370013.1|SLEB	LOC117896696|XP_034661039.1|DSUB
OG0000060	LOC115629929|XP_030382393.1|SLEB	LOC117903129|XP_034670852.1|DSUB
OG0000060	LOC115630565|XP_030383041.1|SLEB	LOC117901895|XP_034668749.1|DSUB
OG0000060	LOC115623364|XP_030373510.1|SLEB	LOC117896666|XP_034661004.1|DSUB
OG0000060	LOC115620624|XP_030369812.1|SLEB	LOC117896503|XP_034660743.1|DSUB
OG0000060	LOC115629360|XP_030381672.1|SLEB	LOC117891116|XP_034652214.1|DSUB
OG0000061	LOC115631729|XP_030384426.1|SLEB	LOC117901880|XP_034668728.1|DSUB
OG0000061	LOC115631701|XP_030384388.1|SLEB	LOC117901832|XP_034668656.1|DSUB
OG0000062	LOC115627142|XP_030378579.1|SLEB	LOC117903497|XP_034671468.1|DSUB
OG0000062	LOC115626214|XP_030377370.1|SLEB, LOC115626016|XP_030377124.1|SLEB	LOC117901308|XP_034667909.1|DSUB
OG0000062	LOC115626105|XP_030377218.1|SLEB	LOC117902037|XP_034668991.1|DSUB
