Orthogroup	SLEB.longest_only	DSAN.longest_only
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC120450299|XP_039489171.1|DSAN
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC120449593|XP_039488092.1|DSAN
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC120449309|XP_039487635.1|DSAN, LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC120455948|XP_039498425.1|DSAN
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC120458508|XP_039502112.1|DSAN
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC120449828|XP_039488411.1|DSAN, LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC120458586|XP_039502222.1|DSAN
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC120449658|XP_039488188.1|DSAN
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC120453056|XP_039493512.1|DSAN
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC120453871|XP_039494710.1|DSAN
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC120453053|XP_039493508.1|DSAN
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC120452274|XP_039492339.1|DSAN
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC120453887|XP_039494738.1|DSAN
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC120452846|XP_039493217.1|DSAN
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC120453968|XP_039494853.1|DSAN
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC120445192|XP_039481349.1|DSAN
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC120446204|XP_039482989.1|DSAN
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC120457684|XP_039501107.1|DSAN, LOC120457972|XP_039501407.1|DSAN
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC120445821|XP_039482372.1|DSAN
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC120445820|XP_039482371.1|DSAN
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC120446192|XP_039482973.1|DSAN
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC120446256|XP_039483062.1|DSAN
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC120444466|XP_039480072.1|DSAN
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC120456796|XP_039499752.1|DSAN
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC120450753|XP_039489810.1|DSAN
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC120447659|XP_039485107.1|DSAN
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC120450808|XP_039489911.1|DSAN
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC120452623|XP_039492863.1|DSAN
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC120446987|XP_039484221.1|DSAN
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC120445789|XP_039482329.1|DSAN, LOC120454309|XP_039495442.1|DSAN
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC120451140|XP_039490495.1|DSAN
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC120444605|XP_039480314.1|DSAN
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC120454635|XP_039496058.1|DSAN
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC120445231|XP_039481423.1|DSAN
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC120457379|XP_039500852.1|DSAN
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC120444059|XP_039479503.1|DSAN
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC120450954|XP_039490174.1|DSAN
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC120450393|XP_039489322.1|DSAN
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC120456210|XP_039498824.1|DSAN
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC120458133|XP_039501613.1|DSAN
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC120453270|XP_039493835.1|DSAN
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC120445309|XP_039481553.1|DSAN
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC120454864|XP_039496354.1|DSAN
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC120454377|XP_039495551.1|DSAN
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC120448958|XP_039487148.1|DSAN
OG0000018	LOC115632704|XP_030385802.1|SLEB	LOC120449277|XP_039487593.1|DSAN
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC120447671|XP_039485130.1|DSAN
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC120453199|XP_039493718.1|DSAN
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC120453194|XP_039493696.1|DSAN
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC120453200|XP_039493720.1|DSAN
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC120451285|XP_039490765.1|DSAN
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC120445014|XP_039481012.1|DSAN
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC120450860|XP_039490007.1|DSAN
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC120453863|XP_039494701.1|DSAN
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC120458794|XP_039502520.1|DSAN
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC120445641|XP_039482116.1|DSAN
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC120444372|XP_039479913.1|DSAN
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC120456405|XP_039499169.1|DSAN
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC120450748|XP_039489804.1|DSAN
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC120454061|XP_039495000.1|DSAN
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC120456471|XP_039499263.1|DSAN
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC120445477|XP_039481858.1|DSAN
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN, LOC120449729|XP_039488292.1|DSAN
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC120454388|XP_039495572.1|DSAN
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC120453781|XP_039494563.1|DSAN
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC120453806|XP_039494614.1|DSAN
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC120450927|XP_039490127.1|DSAN
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC120453011|XP_039493460.1|DSAN
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC120450929|XP_039490129.1|DSAN
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC120446616|XP_039483595.1|DSAN, LOC120446257|XP_039483064.1|DSAN
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC120446965|XP_039484167.1|DSAN
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC120456451|XP_039499224.1|DSAN
OG0000025	LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB	LOC120457929|XP_039501366.1|DSAN
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC120456669|XP_039499542.1|DSAN
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC120458576|XP_039502209.1|DSAN
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC120456651|XP_039499515.1|DSAN
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC120458674|XP_039502344.1|DSAN
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC120458543|XP_039502157.1|DSAN
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC120458684|XP_039502355.1|DSAN
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC120448524|XP_039486496.1|DSAN
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC120458250|XP_039501773.1|DSAN
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC120458016|XP_039501452.1|DSAN, LOC120457864|XP_039501320.1|DSAN
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC120458849|XP_039502609.1|DSAN
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC120445779|XP_039482317.1|DSAN
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC120455262|XP_039497197.1|DSAN
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC120456032|XP_039498536.1|DSAN
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC120456119|XP_039498683.1|DSAN
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC120451694|XP_039491522.1|DSAN
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC120445509|XP_039481901.1|DSAN, LOC120443742|XP_039478933.1|DSAN, LOC120443740|XP_039478930.1|DSAN
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC120443741|XP_039478932.1|DSAN
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC120447093|XP_039484433.1|DSAN
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC120447092|XP_039484432.1|DSAN
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN, LOC120458883|XP_039502653.1|DSAN
OG0000035	LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB	LOC120457486|XP_039500973.1|DSAN, LOC120445830|XP_039482385.1|DSAN, LOC120455841|XP_039498244.1|DSAN, LOC120456938|XP_039500011.1|DSAN, LOC120445462|XP_039481840.1|DSAN, LOC120446640|XP_039483642.1|DSAN, LOC120457505|XP_039500991.1|DSAN
OG0000035	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB	LOC120453629|XP_039494355.1|DSAN, LOC120451089|XP_039490413.1|DSAN, LOC120452368|XP_039492492.1|DSAN, LOC120456274|XP_039498941.1|DSAN, LOC120450885|XP_039490059.1|DSAN
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC120453442|XP_039494083.1|DSAN
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC120450981|XP_039490212.1|DSAN
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC120452669|XP_039492941.1|DSAN
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC120445359|XP_039481651.1|DSAN
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC120447582|XP_039484984.1|DSAN
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC120448623|XP_039486674.1|DSAN
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC120453556|XP_039494243.1|DSAN
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC120456815|XP_039499797.1|DSAN
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC120456766|XP_039499698.1|DSAN
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC120455951|XP_039498428.1|DSAN
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC120453842|XP_039494671.1|DSAN, LOC120453227|XP_039493756.1|DSAN
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC120453230|XP_039493764.1|DSAN
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC120453844|XP_039494674.1|DSAN, LOC120453843|XP_039494672.1|DSAN
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC120454621|XP_039496023.1|DSAN
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC120456654|XP_039499520.1|DSAN
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC120446237|XP_039483042.1|DSAN, LOC120446238|XP_039483043.1|DSAN, LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC120453988|XP_039494877.1|DSAN
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC120453019|XP_039493471.1|DSAN
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC120453349|XP_039493953.1|DSAN
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC120453637|XP_039494364.1|DSAN
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC120452826|XP_039493165.1|DSAN
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC120453569|XP_039494260.1|DSAN
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC120448397|XP_039486321.1|DSAN
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC120448761|XP_039486880.1|DSAN
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC120448760|XP_039486879.1|DSAN
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC120451867|XP_039491805.1|DSAN, LOC120455081|XP_039496878.1|DSAN, LOC120455080|XP_039496876.1|DSAN, LOC120453874|XP_039494712.1|DSAN, LOC120454242|XP_039495288.1|DSAN, LOC120453872|XP_039494711.1|DSAN, LOC120453971|XP_039494857.1|DSAN, LOC120451794|XP_039491681.1|DSAN, LOC120446793|XP_039483883.1|DSAN
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC120446362|XP_039483228.1|DSAN
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC120446445|XP_039483359.1|DSAN
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC120447165|XP_039484555.1|DSAN
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC120446374|XP_039483239.1|DSAN, LOC120450023|XP_039488699.1|DSAN
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC120447858|XP_039485399.1|DSAN
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC120447864|XP_039485406.1|DSAN
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC120451912|XP_039491855.1|DSAN
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC120454479|XP_039495747.1|DSAN
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC120451908|XP_039491850.1|DSAN
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC120451909|XP_039491851.1|DSAN
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC120451911|XP_039491854.1|DSAN
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC120454478|XP_039495745.1|DSAN
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC120450199|XP_039489001.1|DSAN
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC120449121|XP_039487366.1|DSAN
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC120450198|XP_039489000.1|DSAN
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC120454079|XP_039495023.1|DSAN
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC120450805|XP_039489908.1|DSAN
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC120451899|XP_039491841.1|DSAN, LOC120452530|XP_039492728.1|DSAN, LOC120451902|XP_039491845.1|DSAN, LOC120451901|XP_039491844.1|DSAN, LOC120451898|XP_039491840.1|DSAN, LOC120451896|XP_039491839.1|DSAN
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC120446961|XP_039484150.1|DSAN, LOC120446960|XP_039484149.1|DSAN
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC120458373|XP_039501926.1|DSAN, LOC120458372|XP_039501925.1|DSAN
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC120458371|XP_039501924.1|DSAN
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC120458368|XP_039501922.1|DSAN
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC120458380|XP_039501934.1|DSAN
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC120451731|XP_039491574.1|DSAN
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC120451217|XP_039490630.1|DSAN
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC120454503|XP_039495790.1|DSAN
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC120454502|XP_039495789.1|DSAN, LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC120450990|XP_039490227.1|DSAN
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC120446054|XP_039482765.1|DSAN, LOC120446683|XP_039483696.1|DSAN, LOC120446675|XP_039483682.1|DSAN, LOC120456673|XP_039499561.1|DSAN
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC120456892|XP_039499925.1|DSAN
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC120452711|XP_039493009.1|DSAN
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC120452007|XP_039491978.1|DSAN
OG0000059	LOC115620757|XP_030370013.1|SLEB	LOC120451854|XP_039491780.1|DSAN
