Orthogroup	SLEB.longest_only	DSEC.longest_only
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC6609116|XP_002033818.1|DSEC
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC6619913|XP_032582274.1|DSEC
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC6605619|XP_032575697.1|DSEC
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC6606578|XP_002031379.1|DSEC
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC6607674|XP_002032439.2|DSEC
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC6614679|XP_002039106.1|DSEC
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC6608675|XP_002033404.2|DSEC, LOC116801741|XP_032578887.1|DSEC
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC6606525|XP_002031326.2|DSEC
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC6615268|XP_002039673.2|DSEC
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC6609492|XP_032572820.1|DSEC
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC6619144|XP_002043384.1|DSEC
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC6606248|XP_002031056.2|DSEC
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC6616531|XP_002040890.1|DSEC
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC6620183|XP_002044394.1|DSEC
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC6608076|XP_002032824.1|DSEC
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC6619131|XP_002043371.1|DSEC
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC6615716|XP_032571357.1|DSEC
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC6619133|XP_002043373.1|DSEC
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC6617387|XP_032577559.1|DSEC
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC6610980|XP_002035537.1|DSEC
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC6610983|XP_002035540.1|DSEC
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC6621634|XP_002045742.2|DSEC
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC6617118|XP_002041445.1|DSEC
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC6617113|XP_002041440.2|DSEC
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC6617114|XP_002041441.1|DSEC
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC116801805|XP_032579403.1|DSEC
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC6619030|XP_032578205.1|DSEC
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC6606811|XP_002031608.2|DSEC
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC6613204|XP_002037684.1|DSEC
OG0000021	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB	LOC116803465|XP_032583061.1|DSEC
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC6615454|XP_002039834.1|DSEC
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC6609714|XP_002034371.1|DSEC
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC116803406|XP_032583029.1|DSEC
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC6607757|XP_002032520.1|DSEC
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC6606667|XP_002031467.1|DSEC
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC6620369|XP_002044577.1|DSEC
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC6609401|XP_002034086.1|DSEC
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC116801300|XP_032575946.1|DSEC
OG0000023	LOC115623320|XP_030373442.1|SLEB	LOC6614266|XP_002038706.1|DSEC
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC6614270|XP_002038710.2|DSEC
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC6614272|XP_002038712.1|DSEC
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC6614271|XP_032578446.1|DSEC
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC6614265|XP_002038705.1|DSEC
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC6614261|XP_032579066.1|DSEC
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC6614263|XP_002038703.1|DSEC
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC6614259|XP_032579064.1|DSEC
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC6618118|XP_002042417.2|DSEC, LOC6608649|XP_032571742.1|DSEC
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC6609002|XP_002033708.1|DSEC
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC6617640|XP_002041953.1|DSEC
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC6613582|XP_002038050.1|DSEC
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC6611562|XP_002036100.1|DSEC
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC6611565|XP_002036103.2|DSEC
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC6611563|XP_002036101.1|DSEC
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC6618299|XP_002042572.1|DSEC
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC6617677|XP_032583255.1|DSEC
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC6617675|XP_002041988.1|DSEC, LOC6617676|XP_002041989.1|DSEC
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC6613129|XP_002037610.2|DSEC
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC6615712|XP_002040083.1|DSEC
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC6616124|XP_002040489.1|DSEC
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC6615087|XP_032581969.1|DSEC
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC6611956|XP_002036473.1|DSEC
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC6606692|XP_002031492.2|DSEC
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC6618199|XP_032571400.1|DSEC, LOC6618200|XP_032577814.1|DSEC, LOC6618198|XP_002042473.1|DSEC, LOC6607913|XP_002032667.1|DSEC, LOC6607912|XP_002032666.2|DSEC
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC6607918|XP_002032668.1|DSEC
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC6614429|XP_032583720.1|DSEC
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC6614430|XP_002038863.1|DSEC
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC
OG0000035	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB	LOC116803217|XP_032582992.1|DSEC, LOC116800553|XP_032572019.1|DSEC, LOC116800552|XP_032572012.1|DSEC
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC6606280|XP_032578992.1|DSEC
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC6613804|XP_032577945.1|DSEC
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC6607601|XP_002032369.2|DSEC
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC6609848|XP_002034500.1|DSEC
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC6619358|XP_002043575.1|DSEC
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC6614108|XP_032577608.1|DSEC
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC6619553|XP_002043768.1|DSEC
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC6619552|XP_002043767.1|DSEC
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC6617545|XP_032581966.1|DSEC
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC6606864|XP_002031658.1|DSEC
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC6616681|XP_002041036.1|DSEC, LOC6616680|XP_002041035.2|DSEC
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC6619507|XP_002043722.1|DSEC
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC6617460|XP_002041777.2|DSEC
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC6609765|XP_002034419.1|DSEC, LOC6609768|XP_002034422.2|DSEC, LOC6609766|XP_032571746.1|DSEC, LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC6606882|XP_002031676.2|DSEC
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC6606880|XP_002031674.2|DSEC
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC6606881|XP_032578763.1|DSEC
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC6606886|XP_002031680.1|DSEC
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC6619712|XP_032578272.1|DSEC
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC6619713|XP_032578123.1|DSEC, LOC6619715|XP_002043930.1|DSEC, LOC6619714|XP_002043929.1|DSEC
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC6605191|XP_002030030.1|DSEC
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC6611095|XP_002035652.1|DSEC
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC6611094|XP_002035651.1|DSEC
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC6620032|XP_032578694.1|DSEC, LOC6615012|XP_002039429.1|DSEC, LOC6615013|XP_002039430.2|DSEC, LOC6615011|XP_032581038.1|DSEC, LOC6607592|XP_032578892.1|DSEC, LOC6618806|XP_002043055.1|DSEC, LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC6609458|XP_002034143.1|DSEC
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC6609455|XP_002034140.1|DSEC
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC6609036|XP_032573031.1|DSEC
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC6609046|XP_032572064.1|DSEC, LOC6605159|XP_002029998.2|DSEC
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC6605923|XP_002030736.1|DSEC
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC6605926|XP_002030739.1|DSEC
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC6616787|XP_002041124.1|DSEC
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC6616784|XP_002041121.1|DSEC
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC6616788|XP_002041125.1|DSEC
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC6616790|XP_032578183.1|DSEC
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC6616789|XP_002041126.1|DSEC
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC6616783|XP_002041120.1|DSEC
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC6616570|XP_002040929.1|DSEC
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC116800887|XP_032573137.1|DSEC
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC6616572|XP_002040931.1|DSEC
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC6607242|XP_032578378.1|DSEC
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC6606627|XP_002031428.1|DSEC
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC6609846|XP_002034498.1|DSEC, LOC6609845|XP_002034497.1|DSEC
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC6608189|XP_002032934.2|DSEC, LOC6608187|XP_002032932.1|DSEC
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC6608186|XP_002032931.2|DSEC
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC6608184|XP_002032929.1|DSEC
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC6608180|XP_002032925.1|DSEC
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC6606233|XP_002031041.1|DSEC
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC6606232|XP_002031040.1|DSEC
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC6607531|XP_002032300.1|DSEC
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC6607532|XP_002032301.1|DSEC, LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC, LOC6613603|XP_002038073.1|DSEC
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC6612350|XP_002036859.1|DSEC
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC6617066|XP_002041394.1|DSEC
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC6617065|XP_002041393.1|DSEC
OG0000059	LOC115620757|XP_030370013.1|SLEB	LOC6617058|XP_002041386.1|DSEC
OG0000060	LOC115629929|XP_030382393.1|SLEB	LOC6618583|XP_002042842.1|DSEC
OG0000060	LOC115630565|XP_030383041.1|SLEB	LOC6614500|XP_002038933.1|DSEC
OG0000060	LOC115623364|XP_030373510.1|SLEB	LOC6613944|XP_032578849.1|DSEC
OG0000060	LOC115620624|XP_030369812.1|SLEB	LOC6612941|XP_032579191.1|DSEC
OG0000060	LOC115629360|XP_030381672.1|SLEB	LOC6618552|XP_002042809.1|DSEC
OG0000060	LOC115630767|XP_030383283.1|SLEB	LOC6613126|XP_002037607.1|DSEC
OG0000061	LOC115631729|XP_030384426.1|SLEB	LOC6611375|XP_002035920.1|DSEC
OG0000061	LOC115631701|XP_030384388.1|SLEB	LOC6611377|XP_032583318.1|DSEC
OG0000062	LOC115627142|XP_030378579.1|SLEB	LOC6619830|XP_032581369.1|DSEC
OG0000062	LOC115626214|XP_030377370.1|SLEB, LOC115626016|XP_030377124.1|SLEB	LOC6614677|XP_002039104.1|DSEC, LOC6613921|XP_002038386.1|DSEC, LOC6614678|XP_002039105.1|DSEC
OG0000063	LOC115623704|XP_030374042.1|SLEB	LOC6616903|XP_002041237.1|DSEC, LOC6616904|XP_032577925.1|DSEC, LOC6616902|XP_002041236.1|DSEC
OG0000063	LOC115622384|XP_030372168.1|SLEB	LOC116800923|XP_032573468.1|DSEC
OG0000063	LOC115622972|XP_030372983.1|SLEB	LOC6605135|XP_002029976.1|DSEC
OG0000063	LOC115622382|XP_030372165.1|SLEB, LOC115622982|XP_030372994.1|SLEB, LOC115622183|XP_030371934.1|SLEB, LOC115622843|XP_030372783.1|SLEB	LOC6605136|XP_002029977.1|DSEC, LOC6605137|XP_032573466.1|DSEC
