Orthogroup	SLEB.longest_only	CQUI.longest_only
OG0000032	LOC115621800|XP_030371439.1|SLEB, LOC115621799|XP_030371437.1|SLEB	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC115631238|XP_030383807.1|SLEB, LOC115631233|XP_030383802.1|SLEB, LOC115631236|XP_030383804.1|SLEB, LOC115631298|XP_030383873.1|SLEB, LOC115631016|XP_030383488.1|SLEB, LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC6035433|XP_001845622.2|CQUI
OG0000036	LOC115627397|XP_030378912.1|SLEB	LOC119766329|XP_038106737.1|CQUI, LOC6042978|XP_001854329.2|CQUI, LOC6054487|XP_001870389.2|CQUI, LOC6052070|XP_001868396.2|CQUI, LOC6042639|XP_001870701.2|CQUI, LOC6050000|XP_001866674.1|CQUI, LOC6046380|XP_001863590.1|CQUI, LOC6041318|XP_001850598.2|CQUI, LOC6050110|XP_038106287.1|CQUI, LOC6050109|XP_038114101.1|CQUI, LOC6049998|XP_001866672.1|CQUI, LOC6042513|XP_001851827.2|CQUI, LOC6042512|XP_001851819.2|CQUI, LOC6039251|XP_001848886.2|CQUI, LOC6039250|XP_001848885.2|CQUI, LOC6054371|XP_001870297.2|CQUI
OG0000037	LOC115626848|XP_030378208.1|SLEB, LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB, LOC115620739|XP_030369986.1|SLEB	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC6047259|XP_001864341.2|CQUI
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI
OG0000041	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI
OG0000043	LOC115623987|XP_030374418.1|SLEB, LOC115623491|XP_030373724.1|SLEB, LOC115627355|XP_030378864.1|SLEB, LOC115623337|XP_030373467.1|SLEB, LOC115623816|XP_030374219.1|SLEB, LOC115623986|XP_030374417.1|SLEB	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI
OG0000044	LOC115624024|XP_030374460.1|SLEB, LOC115624181|XP_030374637.1|SLEB, LOC115623538|XP_030373780.1|SLEB, LOC115631500|XP_030384120.1|SLEB, LOC115624165|XP_030374623.1|SLEB	LOC6043407|XP_038120989.1|CQUI
OG0000047	LOC115631261|XP_030383836.1|SLEB, LOC115632503|XP_030385556.1|SLEB, LOC115630926|XP_030383356.1|SLEB, LOC115626702|XP_030377994.1|SLEB, LOC115627115|XP_030378542.1|SLEB, LOC115622391|XP_030372176.1|SLEB	LOC6034913|XP_001845179.1|CQUI
OG0000048	LOC115632621|XP_030385709.1|SLEB, LOC115632620|XP_030385708.1|SLEB, LOC115632159|XP_030385047.1|SLEB	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI
OG0000049	LOC115631187|XP_030383738.1|SLEB, LOC115625471|XP_030376380.1|SLEB, LOC115625469|XP_030376378.1|SLEB, LOC115625467|XP_030376376.1|SLEB, LOC115625232|XP_030376077.1|SLEB, LOC115621014|XP_030370394.1|SLEB	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI
OG0000051	LOC115624036|XP_030374474.1|SLEB, LOC115632496|XP_030385533.1|SLEB, LOC115620987|XP_030370367.1|SLEB	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB, LOC115634038|XP_030387442.1|SLEB	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB, LOC115623633|XP_030373934.1|SLEB, LOC115624033|XP_030374471.1|SLEB	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI
OG0000055	LOC115621100|XP_030370499.1|SLEB, LOC115621082|XP_030370472.1|SLEB, LOC115621350|XP_030370832.1|SLEB	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI
OG0000056	LOC115626734|XP_030378039.1|SLEB, LOC115626727|XP_030378033.1|SLEB, LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI
OG0000057	LOC115628183|XP_030380032.1|SLEB	LOC119766168|XP_038106507.1|CQUI
OG0000057	LOC115620011|XP_030368972.1|SLEB, LOC115630052|XP_030382544.1|SLEB	LOC119768584|XP_038114566.1|CQUI, LOC119769773|XP_038119282.1|CQUI, LOC119769936|XP_038119740.1|CQUI, LOC119769105|XP_038116933.1|CQUI, LOC119769867|XP_038119528.1|CQUI, LOC119766269|XP_038106642.1|CQUI, LOC119769777|XP_038119303.1|CQUI, LOC119768896|XP_038116608.1|CQUI, LOC119768945|XP_038116710.1|CQUI, LOC119770386|XP_038121076.1|CQUI, LOC119769146|XP_038116976.1|CQUI, LOC119766318|XP_038106722.1|CQUI, LOC119766444|XP_038106927.1|CQUI, LOC119769334|XP_038117279.1|CQUI, LOC119767753|XP_038113071.1|CQUI, LOC119769047|XP_038116866.1|CQUI, LOC119766245|XP_038106610.1|CQUI, LOC119770822|XP_038122297.1|CQUI, LOC119771118|XP_038122445.1|CQUI, LOC119769599|XP_038118604.1|CQUI, LOC119765267|XP_038104717.1|CQUI, LOC119769799|XP_038119374.1|CQUI, LOC119769239|XP_038117100.1|CQUI, LOC119767582|XP_038112415.1|CQUI, LOC119769214|XP_038117060.1|CQUI, LOC119769212|XP_038117059.1|CQUI, LOC119770002|XP_038119952.1|CQUI, LOC119769491|XP_038118073.1|CQUI, LOC119766265|XP_038106635.1|CQUI, LOC119766417|XP_038106880.1|CQUI, LOC119769067|XP_038116891.1|CQUI, LOC119766165|XP_038106504.1|CQUI, LOC6053317|XP_038115008.1|CQUI, LOC119770530|XP_038121510.1|CQUI, LOC119771104|XP_038122425.1|CQUI, LOC119771126|XP_038122459.1|CQUI
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB, LOC115629610|XP_030381967.1|SLEB	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI
OG0000060	LOC115629930|XP_030382394.1|SLEB, LOC115629929|XP_030382393.1|SLEB	LOC6052719|XP_038111213.1|CQUI
OG0000060	LOC115620624|XP_030369812.1|SLEB	LOC6034874|XP_038108204.1|CQUI
OG0000061	LOC115631729|XP_030384426.1|SLEB, LOC115631701|XP_030384388.1|SLEB	LOC6034209|XP_001844562.2|CQUI
OG0000067	LOC115621860|XP_030371539.1|SLEB, LOC115622383|XP_030372167.1|SLEB	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI
OG0000067	LOC115622364|XP_030372139.1|SLEB	LOC6032826|XP_038121454.1|CQUI
OG0000068	LOC115623202|XP_030373286.1|SLEB, LOC115631954|XP_030384717.1|SLEB, LOC115622769|XP_030372686.1|SLEB, LOC115622252|XP_030372011.1|SLEB, LOC115623907|XP_030374323.1|SLEB, LOC115629354|XP_030381665.1|SLEB, LOC115632765|XP_030385874.1|SLEB, LOC115628062|XP_030379882.1|SLEB	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI
OG0000070	LOC115625714|XP_030376720.1|SLEB, LOC115629807|XP_030382234.1|SLEB, LOC115625715|XP_030376721.1|SLEB, LOC115625716|XP_030376722.1|SLEB	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI
OG0000071	LOC115624679|XP_030375338.1|SLEB, LOC115624678|XP_030375337.1|SLEB	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI
OG0000072	LOC115625138|XP_030375920.1|SLEB, LOC115633654|XP_030386963.1|SLEB, LOC115625130|XP_030375908.1|SLEB	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI
OG0000073	LOC115626625|XP_030377891.1|SLEB	LOC6036627|XP_001846655.1|CQUI
OG0000073	LOC115626672|XP_030377958.1|SLEB	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI
OG0000074	LOC115632425|XP_030385425.1|SLEB	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI
OG0000076	LOC115623022|XP_030373056.1|SLEB	LOC6052885|XP_038117932.1|CQUI
OG0000076	LOC115627672|XP_030379274.1|SLEB	LOC119770103|XP_038120268.1|CQUI
OG0000077	LOC115629260|XP_030381546.1|SLEB	LOC6034293|XP_038107616.1|CQUI
OG0000077	LOC115625518|XP_030376442.1|SLEB	LOC119766730|XP_038108150.1|CQUI
OG0000077	LOC115624410|XP_030375008.1|SLEB	LOC6034296|XP_038108770.1|CQUI
OG0000077	LOC115621758|XP_030371352.1|SLEB	LOC6035184|XP_038117374.1|CQUI
OG0000078	LOC115624829|XP_030375536.1|SLEB, LOC115624752|XP_030375442.1|SLEB, LOC115620798|XP_030370081.1|SLEB, LOC115627604|XP_030379186.1|SLEB, LOC115627905|XP_030379660.1|SLEB	LOC6049605|XP_038114648.1|CQUI
OG0000080	LOC115627205|XP_030378688.1|SLEB	LOC6033299|XP_001843765.2|CQUI, LOC6052278|XP_038114013.1|CQUI, LOC6037192|XP_001847123.2|CQUI, LOC6051411|XP_001867853.2|CQUI
OG0000080	LOC115634241|XP_030387695.1|SLEB, LOC115634222|XP_030387673.1|SLEB, LOC115620018|XP_030368982.1|SLEB	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI
OG0000082	LOC115631916|XP_030384627.1|SLEB, LOC115620211|XP_030369208.1|SLEB, LOC115621651|XP_030371213.1|SLEB	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI
OG0000083	LOC115634036|XP_030387438.1|SLEB, LOC115634513|XP_030388139.1|SLEB	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI
OG0000084	LOC115623536|XP_030373782.1|SLEB	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI
OG0000084	LOC115631336|XP_030383918.1|SLEB	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI
OG0000085	LOC115634632|XP_030388350.1|SLEB	LOC6043704|XP_001861330.2|CQUI
OG0000086	LOC115628291|XP_030380201.1|SLEB	LOC6046855|XP_001863974.2|CQUI
