Orthogroup	SLEB.longest_only	DHYD.longest_only
OG0000004	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000005	LOC115630317|XP_030382714.1|SLEB, LOC115630282|XP_030382678.1|SLEB, LOC115630355|XP_030382749.1|SLEB, LOC115630321|XP_030382720.1|SLEB, LOC115630285|XP_030382681.1|SLEB, LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC115630365|XP_030382758.1|SLEB	LOC115483190|XP_030080235.1|DHYD
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC115630327|XP_030382724.1|SLEB	LOC115483250|XP_030080455.1|DHYD
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC115483281|XP_030080484.1|DHYD
OG0000007	LOC115629771|XP_030382185.1|SLEB	LOC111601090|XP_023173285.1|DHYD
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC111596951|XP_023167176.2|DHYD, LOC111596954|XP_023167178.2|DHYD
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC111593549|XP_023162171.2|DHYD
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC115625114|XP_030375880.1|SLEB	LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD
OG0000011	LOC115627265|XP_030378753.1|SLEB	LOC111596019|XP_023165812.2|DHYD, LOC111595276|XP_023164694.1|DHYD
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC111592667|XP_023160798.2|DHYD
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC111603822|XP_023177351.2|DHYD, LOC111592948|XP_023161193.2|DHYD
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC111600497|XP_023172393.2|DHYD
OG0000018	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC115634442|XP_030388011.1|SLEB	LOC111604510|XP_023178374.1|DHYD
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000022	LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB	LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD, LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC115633508|XP_030386830.1|SLEB	LOC115483232|XP_030080436.1|DHYD
OG0000025	LOC115630275|XP_030382670.1|SLEB	LOC115482866|XP_030078976.1|DHYD
OG0000025	LOC115630319|XP_030382716.1|SLEB, LOC115630311|XP_030382709.1|SLEB, LOC115630293|XP_030382689.1|SLEB, LOC115630303|XP_030382701.1|SLEB	LOC115482900|XP_030079008.1|DHYD
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC111596354|XP_023166318.1|DHYD
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC115634466|XP_030388054.1|SLEB	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD
OG0000028	LOC115634465|XP_030388053.1|SLEB	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC111598586|XP_023169670.2|DHYD
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC111601529|XP_023173926.1|DHYD
OG0000036	LOC115627397|XP_030378912.1|SLEB	LOC111605324|XP_023179557.2|DHYD
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC111601750|XP_023174255.2|DHYD
OG0000037	LOC115620739|XP_030369986.1|SLEB	LOC111599598|XP_023171051.2|DHYD
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD, LOC111600203|XP_023171988.2|DHYD
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC115624205|XP_030374672.1|SLEB	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC115624206|XP_030374673.1|SLEB	LOC111604244|XP_023177997.1|DHYD
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB	LOC111597538|XP_023168095.2|DHYD, LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD, LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC115624181|XP_030374637.1|SLEB	LOC111604858|XP_023178860.2|DHYD, LOC111604849|XP_023178850.2|DHYD
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC111591975|XP_023159692.2|DHYD, LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC111596622|XP_023166677.1|DHYD
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC111594475|XP_023163544.1|DHYD
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC111594476|XP_023163545.2|DHYD
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC111594581|XP_023163706.2|DHYD
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC111597562|XP_023168129.2|DHYD
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC111597563|XP_023168130.1|DHYD
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC111597557|XP_023168122.2|DHYD
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC111604842|XP_023178842.2|DHYD
OG0000051	LOC115632496|XP_030385533.1|SLEB	LOC115482777|XP_030078620.1|DHYD, LOC115482800|XP_030078769.1|DHYD, LOC115482799|XP_030078766.1|DHYD
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC111598254|XP_023169188.2|DHYD
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD, LOC111604234|XP_023177982.1|DHYD
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC111602599|XP_023175526.2|DHYD, LOC111602600|XP_023175527.2|DHYD
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC111596382|XP_023166356.2|DHYD
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC111596381|XP_023166355.2|DHYD
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC111596379|XP_023166352.2|DHYD
