Orthogroup	SLEB.longest_only	DSIM.longest_only
OG0000006	LOC115630279|XP_030382674.1|SLEB	LOC120285542|XP_039154132.1|DSIM
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC6736956|XP_002083803.1|DSIM, LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC6733581|XP_002080635.1|DSIM
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC6736957|XP_016030597.1|DSIM, LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC6736742|XP_002083598.1|DSIM
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC6726998|XP_016033494.2|DSIM
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC6726995|XP_002102396.1|DSIM
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC6727419|XP_002102801.1|DSIM
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC6727422|XP_002102804.2|DSIM
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC6734157|XP_002081186.1|DSIM
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC120285287|XP_039152722.1|DSIM, LOC120285553|XP_039154144.1|DSIM, LOC120285282|XP_039152699.1|DSIM
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC6735247|XP_016028572.1|DSIM
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC6735246|XP_016028570.1|DSIM
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC6735245|XP_016028569.1|DSIM
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC6735248|XP_016028574.1|DSIM
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC6737992|XP_016031791.1|DSIM
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC6728269|XP_002103618.2|DSIM
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC6729335|XP_016035977.1|DSIM
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC6732807|XP_002079920.3|DSIM
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC27206160|XP_016027033.1|DSIM, LOC27207583|XP_016036303.1|DSIM
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC6728214|XP_016034853.1|DSIM
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC6734815|XP_016028043.1|DSIM
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC6725225|XP_016038239.1|DSIM
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC6733183|XP_016026067.1|DSIM
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC6727955|XP_016034553.1|DSIM
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC6739089|XP_016032930.1|DSIM
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC6740020|XP_002076907.2|DSIM
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC6733445|XP_002080502.2|DSIM
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC6733173|XP_002080249.1|DSIM
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC6735880|XP_002082790.1|DSIM
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC6733175|XP_002080251.2|DSIM
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC6730585|XP_016023026.1|DSIM, LOC6730584|XP_002077763.1|DSIM
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC6736980|XP_002083827.1|DSIM
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC6736983|XP_002083830.1|DSIM
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC6736982|XP_002083829.1|DSIM
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC6729811|XP_002105114.1|DSIM
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC6729806|XP_002105109.2|DSIM
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC6729809|XP_002105112.1|DSIM
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC6730019|XP_002105313.2|DSIM
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC6735524|XP_016028869.1|DSIM
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC6727407|XP_016033953.2|DSIM
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC6728507|XP_016035147.1|DSIM
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC6730820|XP_002077987.1|DSIM
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC6735639|XP_002082557.1|DSIM
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC27206609|XP_016028304.1|DSIM
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC6725592|XP_039153232.1|DSIM
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC6729419|XP_002104734.2|DSIM
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC6728358|XP_016034980.1|DSIM
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC6726014|XP_016039394.1|DSIM
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC27206614|XP_039147853.1|DSIM
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM, LOC27207148|XP_016029776.1|DSIM
OG0000023	LOC115623320|XP_030373442.1|SLEB	LOC6727100|XP_002102493.1|DSIM
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC6727104|XP_002102497.2|DSIM
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC6727107|XP_016033584.1|DSIM
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC6727106|XP_039151383.1|DSIM
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC6727099|XP_002102492.1|DSIM
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC6727095|XP_016033580.1|DSIM
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC6727097|XP_002102490.1|DSIM
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC6727094|XP_016033578.1|DSIM
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC6732909|XP_002080014.1|DSIM, LOC6733989|XP_002081033.1|DSIM
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC6739427|XP_002076329.1|DSIM
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC27207833|XP_016038650.1|DSIM
OG0000025	LOC115630294|XP_030382690.1|SLEB, LOC115633466|XP_030386782.1|SLEB, LOC115633533|XP_030386851.1|SLEB, LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB	LOC120285797|XP_039154346.1|DSIM
OG0000025	LOC115633510|XP_030386832.1|SLEB, LOC115630125|XP_030382596.1|SLEB	LOC120285798|XP_039154348.1|DSIM
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC6725654|XP_002106661.1|DSIM
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC6731167|XP_002078325.1|DSIM
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC6725713|XP_002106716.1|DSIM, LOC6726897|XP_002102299.1|DSIM
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC6731383|XP_002078536.1|DSIM
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC6731386|XP_002078539.1|DSIM
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC6731384|XP_002078537.1|DSIM
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC27208471|XP_016032409.1|DSIM
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC6732024|XP_016024722.1|DSIM
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC6732022|XP_002079155.1|DSIM, LOC6732023|XP_002079156.1|DSIM
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC6730745|XP_002077913.2|DSIM
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC6735876|XP_002082786.1|DSIM
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC27208281|XP_039152536.1|DSIM
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC6740355|XP_002077222.1|DSIM
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC6732472|XP_016025109.1|DSIM, LOC27206502|XP_016025100.2|DSIM, LOC6732447|XP_002079568.2|DSIM
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC6731777|XP_016024472.1|DSIM
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC6728385|XP_016034993.2|DSIM
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC6728378|XP_002103726.1|DSIM
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC6732999|XP_002080078.1|DSIM, LOC6733000|XP_016025683.2|DSIM, LOC6732998|XP_016025682.1|DSIM, LOC6733292|XP_016026219.1|DSIM, LOC6733291|XP_002080354.2|DSIM
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC6733297|XP_016026220.1|DSIM
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC6732561|XP_002079680.1|DSIM
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC27209034|XP_016025242.1|DSIM
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC6732919|XP_002080023.2|DSIM, LOC6728308|XP_016034943.1|DSIM, LOC6728309|XP_016034944.1|DSIM, LOC6731186|XP_002078345.3|DSIM
OG0000035	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB	LOC120285681|XP_039154261.1|DSIM, LOC120285680|XP_039154260.1|DSIM, LOC120284386|XP_039147746.1|DSIM
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC6727116|XP_002102509.1|DSIM
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC6727985|XP_002103337.2|DSIM
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC6726665|XP_039151600.1|DSIM
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC6735171|XP_016028454.1|DSIM
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC6738693|XP_002085495.1|DSIM
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC6738696|XP_016032514.1|DSIM
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC6726964|XP_002102366.2|DSIM
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC27207643|XP_016039311.1|DSIM
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC6740324|XP_002077196.2|DSIM
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC6725586|XP_039153235.1|DSIM
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC6727642|XP_002103019.1|DSIM, LOC6728556|XP_002103897.1|DSIM
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC6728557|XP_002103898.1|DSIM
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC6727641|XP_002103018.1|DSIM, LOC6727640|XP_016034235.1|DSIM
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC6730355|XP_002105637.2|DSIM
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC27209427|XP_016038683.1|DSIM
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC6735085|XP_039148041.1|DSIM, LOC6735089|XP_039148042.1|DSIM, LOC6735086|XP_002082063.1|DSIM, LOC120284425|XP_039148040.1|DSIM, LOC6735088|XP_039148043.1|DSIM, LOC120284426|XP_039148044.1|DSIM, LOC6735087|XP_002082064.1|DSIM
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC27207593|XP_016035207.2|DSIM
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC6728570|XP_016035206.2|DSIM
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC6728571|XP_002103912.1|DSIM
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC6728574|XP_002103915.1|DSIM
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC6729601|XP_016036243.1|DSIM
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC6729605|XP_002104913.1|DSIM, LOC6729606|XP_002104914.1|DSIM
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC6729602|XP_016036244.1|DSIM, LOC6729604|XP_002104912.1|DSIM, LOC6729603|XP_016036245.1|DSIM
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC6728484|XP_016035123.1|DSIM
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC27207701|XP_016031376.1|DSIM
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC6737583|XP_039149017.1|DSIM, LOC120284704|XP_039149018.1|DSIM, LOC120284202|XP_002084415.1|DSIM
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC6737082|XP_002083929.1|DSIM
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC6737081|XP_002083928.1|DSIM
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC6727218|XP_002102610.2|DSIM, LOC27208258|XP_039152751.1|DSIM, LOC6726461|XP_002107418.1|DSIM, LOC6726459|XP_016040040.1|DSIM, LOC6729249|XP_002104570.1|DSIM, LOC6729250|XP_016035903.2|DSIM, LOC6729248|XP_016035902.2|DSIM, LOC6729247|XP_039150891.1|DSIM, LOC6736058|XP_016029460.1|DSIM, LOC6729246|XP_002104567.2|DSIM, LOC6734258|XP_016027304.1|DSIM
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC6734785|XP_039147648.1|DSIM
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC6734782|XP_002081785.2|DSIM
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC6734347|XP_002081368.2|DSIM
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC6734356|XP_002081377.1|DSIM, LOC6737553|XP_016031338.1|DSIM
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC6738296|XP_002085107.2|DSIM, LOC6738295|XP_002085106.1|DSIM
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC6738287|XP_039149226.1|DSIM
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC6738291|XP_002085102.1|DSIM
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC6727737|XP_002103099.1|DSIM
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC6727734|XP_002103096.1|DSIM
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC6727738|XP_002103100.1|DSIM
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC6727740|XP_002103102.1|DSIM
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC6727739|XP_002103101.1|DSIM
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC6727733|XP_002103095.1|DSIM
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC6739124|XP_002085917.1|DSIM
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC27208454|XP_016032970.1|DSIM
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC6739126|XP_002085919.1|DSIM
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC6728912|XP_016035601.1|DSIM
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC6728321|XP_002103670.1|DSIM
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC6728714|XP_002104050.1|DSIM, LOC6729302|XP_002104619.1|DSIM, LOC6728715|XP_016035378.1|DSIM, LOC6728716|XP_002104052.1|DSIM, LOC6728712|XP_002104048.2|DSIM, LOC6728713|XP_002104049.1|DSIM
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC6735169|XP_016028453.1|DSIM, LOC6735168|XP_002082143.1|DSIM
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC6733546|XP_002080601.2|DSIM, LOC6733544|XP_016026500.1|DSIM
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC6733543|XP_002080598.2|DSIM
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC6733541|XP_002080596.2|DSIM
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC6733535|XP_002080590.2|DSIM
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC6727939|XP_039151973.1|DSIM
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC6727938|XP_016034544.1|DSIM
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC6727936|XP_002103291.1|DSIM, LOC6727937|XP_016034543.1|DSIM
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC6729191|XP_016035843.1|DSIM
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC6729192|XP_016035844.1|DSIM, LOC6729193|XP_002104514.1|DSIM, LOC6729195|XP_002104516.1|DSIM, LOC6729194|XP_002104515.1|DSIM
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC6728632|XP_002103973.1|DSIM, LOC6728631|XP_016035267.1|DSIM
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC6735235|XP_016028557.1|DSIM, LOC6732889|XP_002079994.1|DSIM, LOC6735234|XP_002082207.1|DSIM, LOC6735232|XP_002082205.1|DSIM, LOC6731187|XP_002078346.1|DSIM
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC6725215|XP_002106238.1|DSIM
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC6729758|XP_002105064.1|DSIM
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC6729757|XP_002105063.1|DSIM
