Orthogroup	SLEB.longest_only	AALB.longest_only
OG0000022	LOC115634544|XP_030388214.1|SLEB, LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB, LOC115624802|XP_030375508.1|SLEB, LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB, LOC115623320|XP_030373442.1|SLEB, LOC115623826|XP_030374229.1|SLEB, LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB, LOC115623322|XP_030373444.1|SLEB, LOC115623324|XP_030373445.1|SLEB, LOC115623321|XP_030373443.1|SLEB, LOC115623326|XP_030373447.1|SLEB	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC115634516|XP_030388143.1|SLEB, LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB, LOC115626230|XP_030377390.1|SLEB, LOC115633141|XP_030386412.1|SLEB, LOC115630204|XP_030382632.1|SLEB, LOC115633283|XP_030386551.1|SLEB, LOC115633275|XP_030386546.1|SLEB, LOC115633288|XP_030386557.1|SLEB, LOC115629800|XP_030382222.1|SLEB, LOC115629806|XP_030382233.1|SLEB, LOC115632051|XP_030384884.1|SLEB	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC115633508|XP_030386830.1|SLEB	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000025	LOC115630303|XP_030382701.1|SLEB	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC115632057|XP_030384894.1|SLEB, LOC115632056|XP_030384892.1|SLEB, LOC115631416|XP_030384002.1|SLEB	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC115634414|XP_030387972.1|SLEB, LOC115634466|XP_030388054.1|SLEB, LOC115634465|XP_030388053.1|SLEB, LOC115634409|XP_030387965.1|SLEB	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB, LOC115626596|XP_030377839.1|SLEB	LOC118467279|XP_035793475.1|AALB
OG0000032	LOC115621800|XP_030371439.1|SLEB, LOC115621799|XP_030371437.1|SLEB	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
OG0000034	LOC115631238|XP_030383807.1|SLEB, LOC115631233|XP_030383802.1|SLEB, LOC115631236|XP_030383804.1|SLEB, LOC115631298|XP_030383873.1|SLEB, LOC115631016|XP_030383488.1|SLEB, LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC118457097|XP_035774277.1|AALB
OG0000036	LOC115627397|XP_030378912.1|SLEB	LOC118460050|XP_035779920.1|AALB, LOC118459729|XP_035779295.1|AALB, LOC118468930|XP_035796146.1|AALB, LOC118465413|XP_035789528.1|AALB
OG0000037	LOC115626848|XP_030378208.1|SLEB, LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB, LOC115620739|XP_030369986.1|SLEB	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC118467862|XP_035794660.1|AALB
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB
OG0000041	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC115623987|XP_030374418.1|SLEB, LOC115623491|XP_030373724.1|SLEB, LOC115627355|XP_030378864.1|SLEB, LOC115623337|XP_030373467.1|SLEB, LOC115623816|XP_030374219.1|SLEB, LOC115623986|XP_030374417.1|SLEB	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB
OG0000047	LOC115631261|XP_030383836.1|SLEB, LOC115632503|XP_030385556.1|SLEB, LOC115630926|XP_030383356.1|SLEB, LOC115626702|XP_030377994.1|SLEB, LOC115627115|XP_030378542.1|SLEB, LOC115622391|XP_030372176.1|SLEB	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC115632621|XP_030385709.1|SLEB, LOC115632620|XP_030385708.1|SLEB, LOC115632159|XP_030385047.1|SLEB	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB
OG0000049	LOC115631187|XP_030383738.1|SLEB, LOC115625471|XP_030376380.1|SLEB, LOC115625469|XP_030376378.1|SLEB, LOC115625467|XP_030376376.1|SLEB, LOC115625232|XP_030376077.1|SLEB, LOC115621014|XP_030370394.1|SLEB	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB
OG0000050	LOC115632844|XP_030385961.1|SLEB, LOC115632845|XP_030385962.1|SLEB, LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC118466326|XP_035791335.1|AALB
OG0000051	LOC115624036|XP_030374474.1|SLEB, LOC115632496|XP_030385533.1|SLEB, LOC115620987|XP_030370367.1|SLEB	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB, LOC115634038|XP_030387442.1|SLEB	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB, LOC115623633|XP_030373934.1|SLEB, LOC115624033|XP_030374471.1|SLEB	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB
OG0000055	LOC115621100|XP_030370499.1|SLEB, LOC115621082|XP_030370472.1|SLEB, LOC115621350|XP_030370832.1|SLEB	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB
OG0000056	LOC115626734|XP_030378039.1|SLEB, LOC115626727|XP_030378033.1|SLEB, LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC118463646|XP_035786286.1|AALB
OG0000057	LOC115620011|XP_030368972.1|SLEB, LOC115630052|XP_030382544.1|SLEB	LOC118466619|XP_035792094.1|AALB
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB, LOC115629610|XP_030381967.1|SLEB	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB
OG0000060	LOC115629930|XP_030382394.1|SLEB, LOC115629929|XP_030382393.1|SLEB	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC115620624|XP_030369812.1|SLEB	LOC118457079|XP_035774255.1|AALB
OG0000067	LOC115621860|XP_030371539.1|SLEB, LOC115622383|XP_030372167.1|SLEB	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC115622364|XP_030372139.1|SLEB	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC115623202|XP_030373286.1|SLEB, LOC115631954|XP_030384717.1|SLEB, LOC115622769|XP_030372686.1|SLEB, LOC115622252|XP_030372011.1|SLEB, LOC115623907|XP_030374323.1|SLEB, LOC115629354|XP_030381665.1|SLEB, LOC115632765|XP_030385874.1|SLEB, LOC115628062|XP_030379882.1|SLEB	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB
OG0000070	LOC115625714|XP_030376720.1|SLEB, LOC115629807|XP_030382234.1|SLEB, LOC115625715|XP_030376721.1|SLEB, LOC115625716|XP_030376722.1|SLEB	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB
OG0000071	LOC115624679|XP_030375338.1|SLEB, LOC115624678|XP_030375337.1|SLEB	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB
OG0000072	LOC115625138|XP_030375920.1|SLEB, LOC115633654|XP_030386963.1|SLEB, LOC115625130|XP_030375908.1|SLEB	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC115626625|XP_030377891.1|SLEB	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC115626672|XP_030377958.1|SLEB	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB
OG0000073	LOC115624374|XP_030374908.1|SLEB	LOC118458541|XP_035777018.1|AALB
OG0000074	LOC115632425|XP_030385425.1|SLEB	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB
OG0000076	LOC115623022|XP_030373056.1|SLEB	LOC118462886|XP_035784863.1|AALB
OG0000076	LOC115627672|XP_030379274.1|SLEB	LOC118456474|XP_035773167.1|AALB
OG0000077	LOC115629260|XP_030381546.1|SLEB	LOC118467920|XP_035794755.1|AALB
OG0000077	LOC115625518|XP_030376442.1|SLEB	LOC118460116|XP_035780047.1|AALB
OG0000077	LOC115624410|XP_030375008.1|SLEB	LOC118463835|XP_035786622.1|AALB
OG0000077	LOC115621758|XP_030371352.1|SLEB	LOC118466147|XP_035791003.1|AALB
OG0000078	LOC115624829|XP_030375536.1|SLEB, LOC115624752|XP_030375442.1|SLEB, LOC115620798|XP_030370081.1|SLEB, LOC115627604|XP_030379186.1|SLEB, LOC115627905|XP_030379660.1|SLEB	LOC118456476|XP_035773179.1|AALB
OG0000080	LOC115627205|XP_030378688.1|SLEB	LOC118463760|XP_035786467.1|AALB, LOC118467641|XP_035794260.1|AALB, LOC118464111|XP_035787092.1|AALB
OG0000080	LOC115634241|XP_030387695.1|SLEB, LOC115634222|XP_030387673.1|SLEB, LOC115620018|XP_030368982.1|SLEB	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB
OG0000082	LOC115631916|XP_030384627.1|SLEB, LOC115620211|XP_030369208.1|SLEB, LOC115621651|XP_030371213.1|SLEB	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB
OG0000083	LOC115634036|XP_030387438.1|SLEB, LOC115634513|XP_030388139.1|SLEB	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB
OG0000084	LOC115623536|XP_030373782.1|SLEB	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB
OG0000084	LOC115631336|XP_030383918.1|SLEB	LOC118463937|XP_035786798.1|AALB
OG0000085	LOC115634632|XP_030388350.1|SLEB	LOC118467757|XP_035794478.1|AALB
OG0000086	LOC115628291|XP_030380201.1|SLEB	LOC118467052|XP_035792946.1|AALB
OG0000087	LOC115626132|XP_030377247.1|SLEB	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB
OG0000088	LOC115624994|XP_030375725.1|SLEB	LOC118462894|XP_035784880.1|AALB
OG0000089	LOC115624415|XP_030375011.1|SLEB	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB
OG0000089	LOC115634279|XP_030387772.1|SLEB	LOC118465461|XP_035789653.1|AALB
OG0000089	LOC115632948|XP_030386105.1|SLEB, LOC115632950|XP_030386106.1|SLEB	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB
OG0000090	LOC115633715|XP_030387039.1|SLEB, LOC115633696|XP_030387013.1|SLEB, LOC115628271|XP_030380155.1|SLEB, LOC115623090|XP_030373157.1|SLEB, LOC115624821|XP_030375529.1|SLEB	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB
OG0000091	LOC115620184|XP_030369168.1|SLEB	LOC118468298|XP_035794920.1|AALB
OG0000091	LOC115630773|XP_030383287.1|SLEB, LOC115630433|XP_030382848.1|SLEB, LOC115620680|XP_030369906.1|SLEB, LOC115621346|XP_030370826.1|SLEB	LOC118461077|XP_035781863.1|AALB
OG0000093	LOC115628531|XP_030380552.1|SLEB	LOC118468732|XP_035795763.1|AALB
OG0000094	LOC115622394|XP_030372178.1|SLEB, LOC115622397|XP_030372182.1|SLEB, LOC115622395|XP_030372179.1|SLEB, LOC115633674|XP_030386987.1|SLEB, LOC115633665|XP_030386973.1|SLEB, LOC115621962|XP_030371670.1|SLEB	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB
OG0000096	LOC115621238|XP_030370689.1|SLEB, LOC115620727|XP_030369967.1|SLEB, LOC115626185|XP_030377323.1|SLEB, LOC115625901|XP_030376991.1|SLEB	LOC118467953|XP_035794822.1|AALB
OG0000098	LOC115621995|XP_030371710.1|SLEB	LOC118458982|XP_035777873.1|AALB
OG0000099	LOC115622299|XP_030372063.1|SLEB, LOC115629181|XP_030381422.1|SLEB	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB
OG0000101	LOC115634421|XP_030387988.1|SLEB, LOC115634430|XP_030387997.1|SLEB, LOC115634424|XP_030387991.1|SLEB, LOC115634427|XP_030387993.1|SLEB, LOC115623200|XP_030373296.1|SLEB, LOC115634418|XP_030387984.1|SLEB, LOC115634012|XP_030387400.1|SLEB	LOC118462817|XP_035784730.1|AALB
OG0000102	LOC115632673|XP_030385805.1|SLEB	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB
OG0000102	LOC115619960|XP_030368851.1|SLEB	LOC118457482|XP_035775000.1|AALB
OG0000103	LOC115632516|XP_030385569.1|SLEB, LOC115633245|XP_030386506.1|SLEB	LOC118467670|XP_035794319.1|AALB
OG0000104	LOC115632802|XP_030385913.1|SLEB, LOC115632724|XP_030385830.1|SLEB	LOC118464278|XP_035787434.1|AALB
OG0000105	LOC115625386|XP_030376284.1|SLEB, LOC115625389|XP_030376287.1|SLEB, LOC115625391|XP_030376288.1|SLEB, LOC115625387|XP_030376285.1|SLEB	LOC118457265|XP_035774549.1|AALB
OG0000109	LOC115631036|XP_030383521.1|SLEB	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB
OG0000109	LOC115630792|XP_030383307.1|SLEB	LOC118459572|XP_035778973.1|AALB
OG0000110	LOC115628356|XP_030380291.1|SLEB, LOC115628263|XP_030380142.1|SLEB, LOC115628416|XP_030380363.1|SLEB, LOC115628221|XP_030380076.1|SLEB	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB
OG0000111	LOC115634293|XP_030387808.1|SLEB	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB
OG0000112	LOC115629158|XP_030381390.1|SLEB, LOC115629161|XP_030381394.1|SLEB, LOC115627698|XP_030379301.1|SLEB	LOC118467359|XP_035793654.1|AALB
OG0000113	LOC115628760|XP_030380835.1|SLEB, LOC115634230|XP_030387682.1|SLEB, LOC115625365|XP_030376262.1|SLEB	LOC118462848|XP_035784798.1|AALB
OG0000115	LOC115629117|XP_030381310.1|SLEB, LOC115628791|XP_030380866.1|SLEB, LOC115630378|XP_030382769.1|SLEB, LOC115631941|XP_030384653.1|SLEB, LOC115631518|XP_030384147.1|SLEB, LOC115627588|XP_030379172.1|SLEB, LOC115633444|XP_030386760.1|SLEB, LOC115623192|XP_030373274.1|SLEB, LOC115630941|XP_030383369.1|SLEB, LOC115630537|XP_030383002.1|SLEB, LOC115624650|XP_030375286.1|SLEB, LOC115633457|XP_030386772.1|SLEB, LOC115633607|XP_030386902.1|SLEB, LOC115620928|XP_030370294.1|SLEB, LOC115628465|XP_030380448.1|SLEB, LOC115626418|XP_030377646.1|SLEB, LOC115623580|XP_030373839.1|SLEB, LOC115620763|XP_030370023.1|SLEB, LOC115632405|XP_030385404.1|SLEB, LOC115628784|XP_030380858.1|SLEB, LOC115628795|XP_030380868.1|SLEB, LOC115624146|XP_030374602.1|SLEB, LOC115634794|XP_030388561.1|SLEB, LOC115625802|XP_030376840.1|SLEB	LOC118460434|XP_035780619.1|AALB, LOC118464508|XP_035787837.1|AALB
OG0000117	LOC115626178|XP_030377315.1|SLEB, LOC115626179|XP_030377316.1|SLEB, LOC115626180|XP_030377317.1|SLEB, LOC115626181|XP_030377318.1|SLEB	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB
OG0000118	LOC115634140|XP_030387575.1|SLEB, LOC115626301|XP_030377489.1|SLEB	LOC118457110|XP_035774302.1|AALB
OG0000119	LOC115625335|XP_030376220.1|SLEB, LOC115625475|XP_030376385.1|SLEB, LOC115625305|XP_030376184.1|SLEB	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB
OG0000120	LOC115627012|XP_030378393.1|SLEB	LOC118463432|XP_035785893.1|AALB
OG0000120	LOC115620371|XP_030369440.1|SLEB	LOC118464687|XP_035788103.1|AALB
OG0000121	LOC115625321|XP_030376202.1|SLEB, LOC115625542|XP_030376479.1|SLEB, LOC115625267|XP_030376127.1|SLEB	LOC118459567|XP_035778961.1|AALB
OG0000122	LOC115630753|XP_030383267.1|SLEB, LOC115628730|XP_030380794.1|SLEB, LOC115634302|XP_030387815.1|SLEB, LOC115631897|XP_030384606.1|SLEB	LOC118456844|XP_035773833.1|AALB
OG0000123	LOC115634239|XP_030387693.1|SLEB, LOC115624226|XP_030374700.1|SLEB, LOC115621552|XP_030371081.1|SLEB, LOC115624223|XP_030374697.1|SLEB, LOC115624192|XP_030374649.1|SLEB, LOC115624245|XP_030374725.1|SLEB	LOC118461289|XP_035782355.1|AALB
OG0000124	LOC115634165|XP_030387606.1|SLEB, LOC115634224|XP_030387675.1|SLEB, LOC115634492|XP_030388108.1|SLEB, LOC115634494|XP_030388111.1|SLEB, LOC115633905|XP_030387269.1|SLEB, LOC115634486|XP_030388102.1|SLEB, LOC115634480|XP_030388071.1|SLEB, LOC115634175|XP_030387621.1|SLEB	LOC118465756|XP_035790152.1|AALB
OG0000125	LOC115620679|XP_030369903.1|SLEB	LOC118457525|XP_035775063.1|AALB
OG0000125	LOC115622011|XP_030371726.1|SLEB	LOC118463575|XP_035786112.1|AALB
OG0000126	LOC115626373|XP_030377588.1|SLEB, LOC115633547|XP_030386863.1|SLEB, LOC115621502|XP_030371030.1|SLEB	LOC118460528|XP_035780801.1|AALB
