Orthogroup	SLEB.longest_only	DKIK.longest_only
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC108072344|XP_017018923.1|DKIK
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC108072889|XP_017019701.1|DKIK
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC108072267|XP_017018826.1|DKIK
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC108077813|XP_017026825.1|DKIK
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC108080856|XP_017031249.1|DKIK
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC108084052|XP_017035560.1|DKIK
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC108084215|XP_017035827.1|DKIK
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC108084051|XP_017035559.1|DKIK
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC108072495|XP_017019150.1|DKIK, LOC108078211|XP_017027385.1|DKIK
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC108086239|XP_017038600.1|DKIK
OG0000025	LOC115633508|XP_030386830.1|SLEB	LOC108081074|XP_017031548.1|DKIK
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC108072841|XP_017019625.1|DKIK
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC108079592|XP_017029427.1|DKIK
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC108079587|XP_017029421.1|DKIK
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC108079588|XP_017029422.1|DKIK
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC108075768|XP_017023819.1|DKIK
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC108075896|XP_017024005.1|DKIK, LOC108075779|XP_017023830.1|DKIK
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC108077325|XP_017026102.1|DKIK
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC108082121|XP_017032911.1|DKIK
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC108077824|XP_017026839.1|DKIK
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC108080718|XP_017031058.1|DKIK
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC108076836|XP_017025354.1|DKIK
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK, LOC108082755|XP_017033759.1|DKIK
OG0000035	LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB	LOC108080462|XP_017030689.1|DKIK, LOC108072151|XP_017018687.1|DKIK
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC108084034|XP_017035539.1|DKIK
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC108081215|XP_017031778.1|DKIK
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC108080827|XP_017031220.1|DKIK
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC108081087|XP_017031565.1|DKIK
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC108082568|XP_017033513.1|DKIK
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC108083255|XP_017034451.1|DKIK
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC108083246|XP_017034442.1|DKIK
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC108081169|XP_017031714.1|DKIK
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC108071695|XP_017017998.1|DKIK
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC108071709|XP_017018018.1|DKIK
OG0000039	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB	LOC108071673|XP_017017967.1|DKIK
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC108082955|XP_017034059.1|DKIK
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC108070642|XP_017016699.1|DKIK, LOC108084882|XP_017036766.1|DKIK
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC108084883|XP_017036767.1|DKIK
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK, LOC108070662|XP_017016722.1|DKIK
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC108084976|XP_017036887.1|DKIK
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC108081486|XP_017032174.1|DKIK
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC108081508|XP_017032216.1|DKIK
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC108081485|XP_017032173.1|DKIK
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC108071988|XP_017018451.1|DKIK
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC108072006|XP_017018472.1|DKIK, LOC108072020|XP_017018489.1|DKIK, LOC108072017|XP_017018486.1|DKIK
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC108082753|XP_017033762.1|DKIK
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC108073518|XP_017020682.1|DKIK
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC108073894|XP_017021172.1|DKIK
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC108073882|XP_017021156.1|DKIK
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC108075359|XP_017023259.1|DKIK, LOC108083339|XP_017034572.1|DKIK, LOC108083340|XP_017034573.1|DKIK, LOC108083611|XP_017034972.1|DKIK, LOC108083337|XP_017034570.1|DKIK, LOC108080985|XP_017031400.1|DKIK, LOC108080931|XP_017031324.1|DKIK, LOC108080891|XP_017031283.1|DKIK, LOC108080893|XP_017031285.1|DKIK, LOC108080892|XP_017031284.1|DKIK, LOC108080934|XP_017031327.1|DKIK, LOC108080984|XP_017031399.1|DKIK, LOC108080895|XP_017031286.1|DKIK, LOC108080933|XP_017031326.1|DKIK
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC108076173|XP_017024393.1|DKIK
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC108076538|XP_017024940.1|DKIK
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC108080858|XP_017031251.1|DKIK
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC108078780|XP_017028320.1|DKIK, LOC108071908|XP_017018345.1|DKIK
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC108084399|XP_017036085.1|DKIK, LOC108084435|XP_017036132.1|DKIK
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC108084433|XP_017036130.1|DKIK
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC108084436|XP_017036133.1|DKIK
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC108084080|XP_017035590.1|DKIK
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC108084068|XP_017035576.1|DKIK
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC108084077|XP_017035587.1|DKIK
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC108084022|XP_017035524.1|DKIK
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC108084023|XP_017035525.1|DKIK
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC108084019|XP_017035520.1|DKIK
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC108072709|XP_017019438.1|DKIK, LOC108072761|XP_017019527.1|DKIK, LOC108072698|XP_017019426.1|DKIK
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC108072596|XP_017019300.1|DKIK
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC108072619|XP_017019339.1|DKIK
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC108083217|XP_017034415.1|DKIK
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC108085672|XP_017037854.1|DKIK
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC108084580|XP_017036343.1|DKIK, LOC108074446|XP_017021976.1|DKIK, LOC108085090|XP_017037048.1|DKIK, LOC108074588|XP_017022184.1|DKIK, LOC108084010|XP_017035511.1|DKIK, LOC108077591|XP_017026474.1|DKIK, LOC108084105|XP_017035621.1|DKIK, LOC108084092|XP_017035606.1|DKIK, LOC108084066|XP_017035574.1|DKIK
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC108082278|XP_017033098.1|DKIK, LOC108082558|XP_017033497.1|DKIK
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC108070784|XP_017016873.1|DKIK, LOC108070783|XP_017016872.1|DKIK
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC108070782|XP_017016871.1|DKIK
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC108070781|XP_017016869.1|DKIK
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC108070786|XP_017016875.1|DKIK
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC108081173|XP_017031718.1|DKIK
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC108080878|XP_017031270.1|DKIK, LOC108080879|XP_017031271.1|DKIK
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC108081160|XP_017031693.1|DKIK, LOC108081159|XP_017031690.1|DKIK
