Orthogroup	SLEB.longest_only	DALB.longest_only
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC117565598|XP_034100689.1|DALB, LOC117564301|XP_034098889.1|DALB
OG0000010	LOC115625114|XP_030375880.1|SLEB	LOC117564299|XP_034098888.1|DALB
OG0000011	LOC115627265|XP_030378753.1|SLEB	LOC117571839|XP_034110118.1|DALB, LOC117575640|XP_034115810.1|DALB
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC117568041|XP_034104279.1|DALB, LOC117575876|XP_034116205.1|DALB, LOC117573599|XP_034112784.1|DALB, LOC117573598|XP_034112783.1|DALB
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC115632704|XP_030385802.1|SLEB	LOC117571926|XP_034110299.1|DALB, LOC117569761|XP_034106945.1|DALB
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC115634442|XP_030388011.1|SLEB	LOC117570665|XP_034108343.1|DALB
OG0000021	LOC115627679|XP_030379282.1|SLEB, LOC115629561|XP_030381912.1|SLEB, LOC115622692|XP_030372578.1|SLEB	LOC117570908|XP_034108704.1|DALB
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000022	LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB	LOC117569847|XP_034107067.1|DALB
OG0000023	LOC115623320|XP_030373442.1|SLEB	LOC117576456|XP_034117119.1|DALB
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC117575969|XP_034116339.1|DALB, LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC117570342|XP_034107792.1|DALB
OG0000025	LOC115630294|XP_030382690.1|SLEB, LOC115633466|XP_030386782.1|SLEB, LOC115633533|XP_030386851.1|SLEB, LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB	LOC117566085|XP_034101455.1|DALB
OG0000025	LOC115630125|XP_030382596.1|SLEB	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC115622705|XP_030372595.1|SLEB	LOC117571015|XP_034108868.1|DALB
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC117564398|XP_034099013.1|DALB
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC115634465|XP_030388053.1|SLEB	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC117575800|XP_034116069.1|DALB
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB, LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC115630074|XP_030382558.1|SLEB, LOC115628142|XP_030379974.1|SLEB, LOC115628135|XP_030379972.1|SLEB, LOC115628137|XP_030379973.1|SLEB, LOC115628134|XP_030379971.1|SLEB, LOC115628143|XP_030379975.1|SLEB, LOC115628789|XP_030380864.1|SLEB, LOC115628787|XP_030380863.1|SLEB	LOC117577292|XP_034118160.1|DALB
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC117576608|XP_034117400.1|DALB
OG0000036	LOC115627397|XP_030378912.1|SLEB	LOC117565385|XP_034100358.1|DALB
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC117575741|XP_034115985.1|DALB
OG0000037	LOC115620739|XP_030369986.1|SLEB	LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB	LOC117574799|XP_034114654.1|DALB
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC115624206|XP_030374673.1|SLEB	LOC117573616|XP_034112804.1|DALB
OG0000041	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB	LOC117575844|XP_034116145.1|DALB, LOC117574557|XP_034114320.1|DALB, LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC115624181|XP_030374637.1|SLEB	LOC117576553|XP_034117282.1|DALB
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC117566521|XP_034101956.1|DALB, LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB, LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC115627115|XP_030378542.1|SLEB	LOC117570179|XP_034107548.1|DALB
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC117570238|XP_034107631.1|DALB
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC117572034|XP_034110480.1|DALB
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC117569405|XP_034106432.1|DALB
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC117574804|XP_034114660.1|DALB
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC117574253|XP_034113873.1|DALB
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC117574270|XP_034113907.1|DALB
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC117576198|XP_034116681.1|DALB
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC117574439|XP_034114168.1|DALB
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC117566526|XP_034101958.1|DALB
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC117570483|XP_034108058.1|DALB
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC117569367|XP_034106390.1|DALB
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC117576304|XP_034116849.1|DALB
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC117576244|XP_034116756.1|DALB, LOC117576245|XP_034116757.1|DALB, LOC117576070|XP_034116497.1|DALB, LOC117576071|XP_034116498.1|DALB, LOC117576069|XP_034116496.1|DALB, LOC117575219|XP_034115236.1|DALB, LOC117576928|XP_034117962.1|DALB
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC117568864|XP_034105642.1|DALB, LOC117571307|XP_034109272.1|DALB, LOC117566592|XP_034102025.1|DALB, LOC117569133|XP_034106052.1|DALB, LOC117566590|XP_034102023.1|DALB, LOC117566591|XP_034102024.1|DALB, LOC117572296|XP_034110899.1|DALB, LOC117572297|XP_034110900.1|DALB, LOC117566593|XP_034102026.1|DALB
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC117569597|XP_034106723.1|DALB, LOC117569598|XP_034106724.1|DALB
