Orthogroup	SLEB.longest_only	DPSE.longest_only
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC4813497|XP_001353852.2|DPSE, LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC4804281|XP_001360862.1|DPSE
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC117185618|XP_033241648.1|DPSE, LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC115625114|XP_030375880.1|SLEB	LOC26532676|XP_015035129.1|DPSE
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC4805675|XP_001362034.4|DPSE
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC4805006|XP_001361476.2|DPSE
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC4804478|XP_001361036.2|DPSE
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC4804840|XP_001361336.1|DPSE
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC4813481|XP_001353829.1|DPSE
OG0000018	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC4801129|XP_033235715.1|DPSE
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC4801131|XP_001358273.2|DPSE
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC6902791|XP_002132528.2|DPSE
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC117183221|XP_033232918.1|DPSE
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC6897832|XP_002137937.1|DPSE
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC4818201|XP_033236143.1|DPSE
OG0000021	LOC115634442|XP_030388011.1|SLEB	LOC6900570|XP_002134946.1|DPSE
OG0000021	LOC115627679|XP_030379282.1|SLEB, LOC115629561|XP_030381912.1|SLEB, LOC115622692|XP_030372578.1|SLEB	LOC6898833|XP_002138806.2|DPSE
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC6898835|XP_002138808.1|DPSE
OG0000021	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB	LOC6898834|XP_002138807.1|DPSE
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC6898840|XP_002138811.3|DPSE
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC6898836|XP_002138809.1|DPSE
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC6897478|XP_002137627.1|DPSE
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC4800831|XP_001358035.1|DPSE
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC4804646|XP_033234778.1|DPSE
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC4812049|XP_001352467.1|DPSE, LOC6899946|XP_002135314.1|DPSE
OG0000022	LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB	LOC6899948|XP_002135316.2|DPSE
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC6897864|XP_033232668.1|DPSE
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC4802964|XP_001359777.4|DPSE
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC6897865|XP_033232678.1|DPSE
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC4802957|XP_001359771.3|DPSE
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC5495505|XP_001359769.4|DPSE
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC5384073|XP_001359768.2|DPSE
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC6899225|XP_002136299.3|DPSE, LOC5495508|XP_001361566.2|DPSE
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC6901557|XP_002134231.1|DPSE
OG0000025	LOC115630303|XP_030382701.1|SLEB	LOC117183559|XP_033233680.1|DPSE
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC4814777|XP_001354707.2|DPSE
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC4818162|XP_001357184.4|DPSE
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC4815876|XP_001355332.2|DPSE, LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC6902829|XP_002132565.2|DPSE
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC4817432|XP_001356466.2|DPSE
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC4816919|XP_001356465.1|DPSE
OG0000028	LOC115634466|XP_030388054.1|SLEB	LOC6900259|XP_002135588.3|DPSE, LOC26532152|XP_033239703.1|DPSE, LOC6900257|XP_033239706.1|DPSE, LOC117184834|XP_033239705.1|DPSE
OG0000028	LOC115634465|XP_030388053.1|SLEB	LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC4817563|XP_001356970.3|DPSE
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC4817564|XP_002132859.2|DPSE, LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC4816660|XP_001355989.2|DPSE
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC4804482|XP_001361038.2|DPSE
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC4816069|XP_001355235.2|DPSE
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC4815215|XP_001354948.2|DPSE
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC6902663|XP_015036753.2|DPSE
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC26533742|XP_033235774.1|DPSE
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC6898089|XP_002138174.1|DPSE
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC6898093|XP_002138175.2|DPSE
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC4817450|XP_001356533.3|DPSE
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC4817037|XP_001356534.3|DPSE
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC6902878|XP_002132612.2|DPSE
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE, LOC4816157|XP_001355874.3|DPSE
OG0000035	LOC115630074|XP_030382558.1|SLEB, LOC115628142|XP_030379974.1|SLEB, LOC115628135|XP_030379972.1|SLEB, LOC115628137|XP_030379973.1|SLEB, LOC115628134|XP_030379971.1|SLEB, LOC115628143|XP_030379975.1|SLEB, LOC115628789|XP_030380864.1|SLEB, LOC115628787|XP_030380863.1|SLEB	LOC117183275|XP_033232534.1|DPSE, LOC117185563|XP_033241586.1|DPSE
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC4801521|XP_033232300.1|DPSE
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC4802757|XP_001359618.3|DPSE
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC117183241|XP_033232365.1|DPSE, LOC4800563|XP_033232364.1|DPSE
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC4803745|XP_001360410.4|DPSE
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC6897556|XP_033241818.1|DPSE
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC4815394|XP_001354810.3|DPSE
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC4814563|XP_001354811.1|DPSE
OG0000039	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB	LOC6901425|XP_002134111.2|DPSE
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC6901668|XP_002134337.3|DPSE
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC4803144|XP_001359934.2|DPSE
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE, LOC6897971|XP_002138070.1|DPSE
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC4801113|XP_001358260.2|DPSE
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC6902242|XP_002133769.2|DPSE
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC4804794|XP_001361299.3|DPSE, LOC5495510|XP_001361301.4|DPSE, LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC4803128|XP_001359922.2|DPSE
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC4803134|XP_001359926.3|DPSE
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC4803126|XP_001359920.4|DPSE
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC4802344|XP_001359278.1|DPSE
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC4802849|XP_001359684.3|DPSE
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC4812813|XP_033238456.1|DPSE
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC4813084|XP_001353641.2|DPSE
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC6900434|XP_002134825.3|DPSE
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC4800854|XP_001358055.2|DPSE, LOC6902130|XP_002133661.3|DPSE, LOC6902128|XP_002133659.2|DPSE, LOC6898136|XP_002138215.2|DPSE, LOC6896807|XP_002137011.2|DPSE, LOC6896809|XP_002137013.2|DPSE, LOC6896808|XP_002137012.2|DPSE
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC4803784|XP_001360446.3|DPSE
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC4803787|XP_001360449.3|DPSE
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC4805161|XP_001361611.2|DPSE, LOC4813116|XP_001353776.3|DPSE
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC6900020|XP_002135385.1|DPSE, LOC6900019|XP_002135384.1|DPSE
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC4812161|XP_001352552.3|DPSE
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC4812224|XP_033238777.1|DPSE
OG0000049	LOC115625514|XP_030376439.1|SLEB	LOC6896904|XP_002137091.3|DPSE
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC4800760|XP_001357975.3|DPSE
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC4800765|XP_001357980.2|DPSE
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC4800759|XP_001357974.3|DPSE
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC4800761|XP_001357976.3|DPSE
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC4800766|XP_001357981.4|DPSE
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC4800764|XP_001357979.3|DPSE
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC6899911|XP_002135279.1|DPSE
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC6899908|XP_033237399.1|DPSE, LOC6899907|XP_033237400.1|DPSE
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC6899913|XP_002135281.2|DPSE
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC4802029|XP_001359029.3|DPSE
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC6896948|XP_002137133.2|DPSE, LOC4800870|XP_001358067.3|DPSE
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC4801488|XP_001358571.4|DPSE, LOC4801489|XP_001358572.4|DPSE
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC4803747|XP_001360412.1|DPSE, LOC4803748|XP_001360413.3|DPSE
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC4803611|XP_001360303.3|DPSE, LOC6898153|XP_002138231.3|DPSE
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC4803609|XP_001360302.2|DPSE
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC6898152|XP_002138230.3|DPSE
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC6898150|XP_002138228.2|DPSE
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC117183732|XP_033234597.1|DPSE, LOC6898005|XP_002138098.2|DPSE, LOC4803309|XP_001360071.1|DPSE
