Orthogroup	SLEB.longest_only	DELE.longest_only
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC108137992|XP_017115455.1|DELE
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC108139189|XP_017117303.1|DELE
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC108145523|XP_017126497.1|DELE
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC108145522|XP_017126496.1|DELE
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC108145538|XP_017126526.1|DELE
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC108145542|XP_017126531.1|DELE
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC108149749|XP_017133029.1|DELE
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC108137631|XP_017114906.1|DELE
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC108134833|XP_017110785.1|DELE
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC108146660|XP_017128198.1|DELE
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC108135085|XP_017111146.1|DELE
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC108136687|XP_017113497.1|DELE
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC108138780|XP_017116737.1|DELE
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC108144693|XP_017125256.1|DELE, LOC108141971|XP_017121111.1|DELE
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC108139227|XP_017117379.1|DELE
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC108145428|XP_017126326.1|DELE
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC108135797|XP_017112156.1|DELE
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC108144651|XP_017125185.1|DELE
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC108140881|XP_017119405.1|DELE
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC108134657|XP_017110539.1|DELE
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC108140478|XP_017118708.1|DELE
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC108143220|XP_017123005.1|DELE
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC108136374|XP_017112976.1|DELE
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC108149934|XP_017133339.1|DELE
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC108134991|XP_017111013.1|DELE
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC108143462|XP_017123388.1|DELE
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC108141554|XP_017120482.1|DELE
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC108147936|XP_017130210.1|DELE, LOC108147886|XP_017130134.1|DELE
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC108142474|XP_017121847.1|DELE
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC108142172|XP_017121346.1|DELE
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC108142475|XP_017121848.1|DELE
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC108148666|XP_017131288.1|DELE
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC108148661|XP_017131282.1|DELE
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC108148667|XP_017131289.1|DELE
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC108148802|XP_017131514.1|DELE
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC108145240|XP_017125995.1|DELE
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC108136813|XP_017113705.1|DELE
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC108140627|XP_017119032.1|DELE
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC108143679|XP_017123678.1|DELE
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC108144237|XP_017124406.1|DELE
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC108140888|XP_017119410.1|DELE
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC108139148|XP_017117255.1|DELE
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC108134787|XP_017110724.1|DELE
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC108137723|XP_017115107.1|DELE
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC108144256|XP_017124426.1|DELE
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC108145945|XP_017127141.1|DELE, LOC108145941|XP_017127138.1|DELE
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC108140988|XP_017119550.1|DELE
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC108140985|XP_017119548.1|DELE
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC108140949|XP_017119506.1|DELE
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC108141054|XP_017119691.1|DELE
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC108141157|XP_017119872.1|DELE
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC108141055|XP_017119693.1|DELE
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC108134565|XP_017110407.1|DELE
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC108149067|XP_017131913.1|DELE
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC108136491|XP_017113196.1|DELE
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC108142200|XP_017121376.1|DELE
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC108148207|XP_017130606.1|DELE
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC108138066|XP_017115531.1|DELE
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC108138053|XP_017115518.1|DELE
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC108138043|XP_017115505.1|DELE
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC108135556|XP_017111792.1|DELE
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC108138030|XP_017115492.1|DELE
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC108138012|XP_017115471.1|DELE, LOC108138011|XP_017115470.1|DELE, LOC108138092|XP_017115567.1|DELE
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC108147758|XP_017129978.1|DELE
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC108143463|XP_017123389.1|DELE
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC108136286|XP_017112860.1|DELE
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC108147607|XP_017129735.1|DELE
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC108142073|XP_017121248.1|DELE
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC108141856|XP_017120938.1|DELE, LOC108141639|XP_017120598.1|DELE, LOC108141763|XP_017120751.1|DELE, LOC108145061|XP_017125731.1|DELE, LOC108145062|XP_017125732.1|DELE, LOC108136520|XP_017113279.1|DELE
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC108145060|XP_017125730.1|DELE
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC108150425|XP_017134072.1|DELE
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC108150530|XP_017134248.1|DELE
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC108141221|XP_017119962.1|DELE
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC108141229|XP_017119974.1|DELE
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC108141167|XP_017119884.1|DELE
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC108134742|XP_017110664.1|DELE
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC108145158|XP_017125873.1|DELE
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC108146067|XP_017127370.1|DELE
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC108146005|XP_017127248.1|DELE
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC108148259|XP_017130681.1|DELE
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC108135451|XP_017111682.1|DELE
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC108135405|XP_017111592.1|DELE
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC108147617|XP_017129742.1|DELE
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC108140733|XP_017119198.1|DELE, LOC108136930|XP_017113894.1|DELE
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC108136932|XP_017113896.1|DELE
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC108140734|XP_017119199.1|DELE, LOC108140735|XP_017119200.1|DELE
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC108143008|XP_017122685.1|DELE
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC108137297|XP_017114407.1|DELE
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC108139192|XP_017117319.1|DELE, LOC108139163|XP_017117272.1|DELE, LOC108139199|XP_017117331.1|DELE, LOC108139151|XP_017117261.1|DELE, LOC108147611|XP_017129779.1|DELE
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC108136707|XP_017113521.1|DELE
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC108136884|XP_017113826.1|DELE
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC108137000|XP_017113987.1|DELE
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC108143748|XP_017123768.1|DELE
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC108143771|XP_017123788.1|DELE, LOC108143751|XP_017123771.1|DELE, LOC108143749|XP_017123769.1|DELE
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC108140749|XP_017119215.1|DELE
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC108150162|XP_017133621.1|DELE
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC108150135|XP_017133591.1|DELE, LOC108150141|XP_017133599.1|DELE
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC108146641|XP_017128175.1|DELE
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC108146602|XP_017128138.1|DELE
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC108140976|XP_017119535.1|DELE, LOC108134821|XP_017110764.1|DELE, LOC108134933|XP_017110942.1|DELE, LOC108147306|XP_017129219.1|DELE, LOC108147302|XP_017129214.1|DELE, LOC108147114|XP_017128893.1|DELE, LOC108144852|XP_017125488.1|DELE
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC108137997|XP_017115461.1|DELE
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC108137888|XP_017115315.1|DELE
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC108149120|XP_017132010.1|DELE
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC108149847|XP_017133213.1|DELE, LOC108150178|XP_017133656.1|DELE
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC108145662|XP_017126704.1|DELE, LOC108145661|XP_017126703.1|DELE
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC108146206|XP_017127613.1|DELE
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC108146211|XP_017127619.1|DELE
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC108140399|XP_017118596.1|DELE
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC108140396|XP_017118593.1|DELE
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC108140391|XP_017118587.1|DELE
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC108140398|XP_017118595.1|DELE
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC108140400|XP_017118597.1|DELE
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC108140395|XP_017118592.1|DELE
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC108143121|XP_017122851.1|DELE
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC108143197|XP_017122939.1|DELE
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC108143120|XP_017122849.1|DELE
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC108143756|XP_017123775.1|DELE
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC108143275|XP_017123079.1|DELE
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC108145160|XP_017125875.1|DELE, LOC108145159|XP_017125874.1|DELE
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC108145359|XP_017126241.1|DELE, LOC108145358|XP_017126240.1|DELE
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC108145357|XP_017126239.1|DELE
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC108137373|XP_017114513.1|DELE, LOC108145356|XP_017126238.1|DELE
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC108145362|XP_017126243.1|DELE
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC108140678|XP_017119113.1|DELE
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC108148700|XP_017131340.1|DELE
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC108148703|XP_017131343.1|DELE, LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE
OG0000057	LOC115628183|XP_030380032.1|SLEB, LOC115620011|XP_030368972.1|SLEB, LOC115630052|XP_030382544.1|SLEB, LOC115628853|XP_030380964.1|SLEB, LOC115631335|XP_030383916.1|SLEB, LOC115628503|XP_030380504.1|SLEB	LOC108149908|XP_017133298.1|DELE
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE, LOC108150544|XP_017134265.1|DELE
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC108149860|XP_017133229.1|DELE
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC108148904|XP_017131709.1|DELE
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC108148901|XP_017131706.1|DELE
OG0000059	LOC115620757|XP_030370013.1|SLEB	LOC108148470|XP_017130991.1|DELE
OG0000060	LOC115629929|XP_030382393.1|SLEB	LOC108137714|XP_017115086.1|DELE
OG0000060	LOC115630565|XP_030383041.1|SLEB	LOC108138657|XP_017116487.1|DELE
OG0000060	LOC115623364|XP_030373510.1|SLEB	LOC108137459|XP_017114652.1|DELE
OG0000060	LOC115620624|XP_030369812.1|SLEB	LOC108143025|XP_017122707.1|DELE
OG0000060	LOC115629360|XP_030381672.1|SLEB	LOC108149967|XP_017133376.1|DELE
OG0000060	LOC115630767|XP_030383283.1|SLEB	LOC108148059|XP_017130401.1|DELE
OG0000061	LOC115631729|XP_030384426.1|SLEB	LOC108138018|XP_017115477.1|DELE
OG0000061	LOC115631701|XP_030384388.1|SLEB	LOC108138025|XP_017115485.1|DELE
OG0000062	LOC115627142|XP_030378579.1|SLEB	LOC108136516|XP_017113265.1|DELE
OG0000062	LOC115626214|XP_030377370.1|SLEB, LOC115626016|XP_030377124.1|SLEB	LOC108138778|XP_017116734.1|DELE, LOC108138779|XP_017116735.1|DELE
OG0000063	LOC115623704|XP_030374042.1|SLEB	LOC108135091|XP_017111151.1|DELE, LOC108135089|XP_017111149.1|DELE, LOC108135090|XP_017111150.1|DELE
OG0000063	LOC115622384|XP_030372168.1|SLEB	LOC108150132|XP_017133588.1|DELE
OG0000063	LOC115622972|XP_030372983.1|SLEB	LOC108150112|XP_017133565.1|DELE
OG0000063	LOC115622382|XP_030372165.1|SLEB, LOC115622982|XP_030372994.1|SLEB, LOC115622183|XP_030371934.1|SLEB, LOC115622843|XP_030372783.1|SLEB	LOC108150366|XP_017133993.1|DELE, LOC108150356|XP_017133979.1|DELE
OG0000065	LOC115621993|XP_030371707.1|SLEB, LOC115621994|XP_030371708.1|SLEB, LOC115621991|XP_030371705.1|SLEB, LOC115621992|XP_030371706.1|SLEB, LOC115621858|XP_030371536.1|SLEB, LOC115621859|XP_030371537.1|SLEB	LOC108134781|XP_017110718.1|DELE, LOC108141665|XP_017120628.1|DELE, LOC108134782|XP_017110720.1|DELE, LOC108135129|XP_017111226.1|DELE, LOC108135083|XP_017111141.1|DELE, LOC108135130|XP_017111227.1|DELE
OG0000066	LOC115628871|XP_030380987.1|SLEB, LOC115628890|XP_030381008.1|SLEB, LOC115621543|XP_030371068.1|SLEB	LOC108148300|XP_017130771.1|DELE, LOC108148542|XP_017131073.1|DELE
OG0000066	LOC115625501|XP_030376421.1|SLEB	LOC108135204|XP_017111317.1|DELE
OG0000066	LOC115624182|XP_030374638.1|SLEB	LOC108140441|XP_017118660.1|DELE
