Orthogroup	SLEB.longest_only	DSER.longest_only
OG0000004	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000004	LOC115633467|XP_030386783.1|SLEB, LOC115633464|XP_030386779.1|SLEB, LOC115633591|XP_030386895.1|SLEB, LOC115630342|XP_030382736.1|SLEB	LOC110182445|XP_020806139.1|DSER
OG0000005	LOC115630321|XP_030382720.1|SLEB	LOC110182160|XP_020805822.1|DSER
OG0000005	LOC115630137|XP_030382605.1|SLEB	LOC110180660|XP_020804010.1|DSER
OG0000005	LOC115630358|XP_030382752.1|SLEB	LOC110180706|XP_020804045.1|DSER
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC115630264|XP_030382657.1|SLEB	LOC110183808|XP_020807819.1|DSER
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC110184726|XP_020809013.1|DSER, LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC110184731|XP_020809018.1|DSER, LOC110184732|XP_020809019.1|DSER
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC110191898|XP_020818543.1|DSER
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC110191725|XP_020818302.1|DSER
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC110178269|XP_020800994.1|DSER
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC110182164|XP_020805826.1|DSER
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC110181407|XP_020804802.1|DSER
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC110179364|XP_020802537.1|DSER, LOC110181374|XP_020804762.1|DSER
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC110185112|XP_020809466.1|DSER
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC110182974|XP_020806826.1|DSER
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC110181494|XP_020804920.1|DSER
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC110189526|XP_020815315.1|DSER
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC110191952|XP_020818633.1|DSER
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC110179844|XP_020803110.1|DSER
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC110179704|XP_020802972.1|DSER
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC110182944|XP_020806786.1|DSER
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC110189651|XP_020815456.1|DSER
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC110189689|XP_020815522.1|DSER
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC110184702|XP_020808977.1|DSER
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC110184746|XP_020809033.1|DSER
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC110184752|XP_020809041.1|DSER
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC110186753|XP_020811674.1|DSER
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC110186746|XP_020811668.1|DSER
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC110186754|XP_020811675.1|DSER
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC110186419|XP_020811254.1|DSER
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC110179314|XP_020802461.1|DSER
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC110188252|XP_020813584.1|DSER
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC110186984|XP_020811998.1|DSER
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER
OG0000021	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB	LOC110180622|XP_020803965.1|DSER
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC110177674|XP_020800156.1|DSER
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC110177907|XP_020800536.1|DSER
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC110181842|XP_020805408.1|DSER
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC110184678|XP_020808951.1|DSER
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC110190995|XP_020817366.1|DSER
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC110189278|XP_020814959.1|DSER
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC110176354|XP_020798342.1|DSER
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC110178662|XP_020801517.1|DSER
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC110188454|XP_020813842.1|DSER
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC110188692|XP_020814155.1|DSER
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC110188691|XP_020814154.1|DSER
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC110188690|XP_020814152.1|DSER
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC110185697|XP_020810324.1|DSER, LOC110179322|XP_020802473.1|DSER
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC110180569|XP_020803926.1|DSER
OG0000025	LOC115633541|XP_030386858.1|SLEB, LOC115633463|XP_030386778.1|SLEB	LOC110184425|XP_020808619.1|DSER, LOC110178949|XP_020801906.1|DSER
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC110182356|XP_020806054.1|DSER
OG0000025	LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB	LOC110182432|XP_020806127.1|DSER
OG0000025	LOC115630125|XP_030382596.1|SLEB	LOC110182443|XP_020806137.1|DSER
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC110176041|XP_020797911.1|DSER
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC110182689|XP_020806441.1|DSER
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC110179505|XP_020802740.1|DSER, LOC110189572|XP_020815365.1|DSER
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC110176950|XP_020799111.1|DSER
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC110176976|XP_020799142.1|DSER
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC110176929|XP_020799084.1|DSER
OG0000028	LOC115634414|XP_030387972.1|SLEB	LOC110190053|XP_020816018.1|DSER
OG0000028	LOC115634465|XP_030388053.1|SLEB	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC110178924|XP_020801869.1|DSER
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC110183999|XP_020808015.1|DSER
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC110184000|XP_020808016.1|DSER
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC110184885|XP_020809189.1|DSER
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC110180192|XP_020803508.1|DSER
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC110184177|XP_020808247.1|DSER
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC110185921|XP_020810593.1|DSER
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC110183330|XP_020807237.1|DSER
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC110191017|XP_020817393.1|DSER
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC110189687|XP_020815520.1|DSER, LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC110189686|XP_020815519.1|DSER
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC110184859|XP_020809159.1|DSER
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC110184879|XP_020809185.1|DSER
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC110184890|XP_020809195.1|DSER
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER, LOC110185768|XP_020810429.1|DSER
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC110188341|XP_020813708.1|DSER
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC110191887|XP_020818531.1|DSER
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC110187659|XP_020812737.1|DSER
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC110186335|XP_020811144.1|DSER
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC110178458|XP_020801255.1|DSER
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC110189906|XP_020815830.1|DSER
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC110181782|XP_020805320.1|DSER
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC110181861|XP_020805441.1|DSER
OG0000039	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB	LOC110182039|XP_020805628.1|DSER
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC110181937|XP_020805533.1|DSER
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC110177295|XP_020799616.1|DSER, LOC110190225|XP_020816248.1|DSER
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC110190236|XP_020816258.1|DSER
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER, LOC110177296|XP_020799617.1|DSER
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC110186252|XP_020810992.1|DSER
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC110191593|XP_020818136.1|DSER, LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER, LOC110191595|XP_020818140.1|DSER, LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC110187856|XP_020813000.1|DSER
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC110188004|XP_020813185.1|DSER
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC110186555|XP_020811417.1|DSER, LOC110186661|XP_020811584.1|DSER
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC110186693|XP_020811620.1|DSER
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC110178672|XP_020801529.1|DSER
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC110187537|XP_020812593.1|DSER
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC110188408|XP_020813792.1|DSER, LOC110180077|XP_020803358.1|DSER, LOC110180079|XP_020803360.1|DSER, LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER, LOC110185913|XP_020810588.1|DSER, LOC110185924|XP_020810599.1|DSER, LOC110184743|XP_020809034.1|DSER, LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC110180463|XP_020803800.1|DSER
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC110176287|XP_020798269.1|DSER
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC110189583|XP_020815375.1|DSER
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC110189698|XP_020815532.1|DSER, LOC110184679|XP_020808950.1|DSER
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC110190447|XP_020816607.1|DSER
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC110190454|XP_020816613.1|DSER
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC110188535|XP_020813941.1|DSER
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC110188465|XP_020813853.1|DSER
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC110188330|XP_020813697.1|DSER
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC110188568|XP_020813987.1|DSER
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC110188331|XP_020813698.1|DSER
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC110188656|XP_020814093.1|DSER
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC110190392|XP_020816504.1|DSER
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC110190033|XP_020815994.1|DSER
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC110190029|XP_020815991.1|DSER
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC110187927|XP_020813097.1|DSER
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC110186721|XP_020811651.1|DSER
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC110191159|XP_020817576.1|DSER, LOC110185541|XP_020810108.1|DSER, LOC110188577|XP_020814000.1|DSER, LOC110188482|XP_020813871.1|DSER, LOC110188395|XP_020813776.1|DSER
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC110178467|XP_020801266.1|DSER, LOC110178444|XP_020801237.1|DSER
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC110176132|XP_020798030.1|DSER, LOC110176120|XP_020798020.1|DSER
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC110176110|XP_020798009.1|DSER
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC110176101|XP_020798000.1|DSER
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC110176153|XP_020798053.1|DSER
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC110191806|XP_020818417.1|DSER
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC110191860|XP_020818499.1|DSER
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC110191877|XP_020818520.1|DSER, LOC110191876|XP_020818519.1|DSER
OG0000055	LOC115621100|XP_030370499.1|SLEB, LOC115621082|XP_030370472.1|SLEB, LOC115621350|XP_030370832.1|SLEB	LOC110186437|XP_020811278.1|DSER, LOC110186438|XP_020811279.1|DSER
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC110191245|XP_020817684.1|DSER
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC110191242|XP_020817680.1|DSER, LOC110191246|XP_020817685.1|DSER, LOC110191243|XP_020817681.1|DSER, LOC110191244|XP_020817682.1|DSER
