Orthogroup	SLEB.longest_only	DANA.longest_only
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC6494967|XP_001959313.1|DANA
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC6500139|XP_032312147.1|DANA
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC6501153|XP_001954651.1|DANA
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC26515395|XP_032312045.1|DANA
OG0000021	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB	LOC6502914|XP_001967640.3|DANA
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC6494472|XP_001960263.1|DANA
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC6496057|XP_001960127.1|DANA
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC6502328|XP_014759082.1|DANA
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC6503446|XP_001967498.1|DANA
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC6499833|XP_001953817.3|DANA
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC6503731|XP_032308490.1|DANA
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC6495509|XP_001959002.1|DANA
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC6507069|XP_001956716.1|DANA, LOC6492946|XP_001956717.1|DANA
OG0000023	LOC115623320|XP_030373442.1|SLEB	LOC6500082|XP_001953260.1|DANA
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC6500461|XP_001953266.1|DANA
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC6500076|XP_001953267.1|DANA
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC6500083|XP_001953259.2|DANA
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC6500087|XP_001953255.2|DANA
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC6500085|XP_032312233.1|DANA
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC6500088|XP_014766376.1|DANA
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC6498256|XP_001962412.1|DANA, LOC6495254|XP_001958751.1|DANA
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC6496529|XP_001961079.1|DANA
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC6498525|XP_001962995.1|DANA
OG0000025	LOC115633523|XP_030386842.1|SLEB, LOC115633507|XP_030386828.1|SLEB, LOC115633524|XP_030386843.1|SLEB	LOC6504865|XP_001964821.1|DANA
OG0000025	LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB	LOC26513707|XP_032309216.1|DANA
OG0000025	LOC115633510|XP_030386832.1|SLEB, LOC115630125|XP_030382596.1|SLEB	LOC6498725|XP_001967729.1|DANA
OG0000025	LOC115630303|XP_030382701.1|SLEB	LOC116655982|XP_032310866.1|DANA
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC6505023|XP_001965614.1|DANA
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC6498214|XP_001962316.1|DANA
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC6497408|XP_001962144.1|DANA
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC6497406|XP_001962147.2|DANA
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC6497407|XP_001962145.1|DANA
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC6506262|XP_014764698.1|DANA
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC6504294|XP_001965069.1|DANA
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA, LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC6494711|XP_001959810.1|DANA
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC6504640|XP_001966489.1|DANA
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC6503160|XP_001963545.1|DANA
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC6496944|XP_001963083.2|DANA
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC6499841|XP_001953793.1|DANA
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC6494619|XP_001959999.1|DANA, LOC6494622|XP_001959998.3|DANA
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC6495993|XP_001960000.1|DANA
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC6498174|XP_001962232.1|DANA
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC6498553|XP_001963047.1|DANA, LOC26514669|XP_014762356.1|DANA, LOC6498552|XP_001963046.3|DANA, LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC6505844|XP_001964473.1|DANA
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC6500980|XP_001954293.1|DANA
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC116656032|XP_032311076.1|DANA, LOC6499049|XP_001955412.1|DANA
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC6493979|XP_001961214.2|DANA
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC6498848|XP_001955809.2|DANA
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC6501134|XP_001954615.2|DANA
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC6502398|XP_001967387.3|DANA
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC6504273|XP_001967388.1|DANA
OG0000039	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB	LOC6504271|XP_032308876.1|DANA
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC6503200|XP_032311880.1|DANA
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC6500947|XP_014766809.1|DANA, LOC6501033|XP_001954424.1|DANA
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC6499533|XP_001954425.2|DANA
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC6500946|XP_001954224.1|DANA
OG0000040	LOC115624206|XP_030374673.1|SLEB	LOC6500236|XP_001952967.2|DANA
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC6505623|XP_001964581.1|DANA
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC26515385|XP_014759495.2|DANA
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC6495008|XP_001959230.2|DANA, LOC6495010|XP_001959228.2|DANA, LOC6495011|XP_001959229.1|DANA
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC6501040|XP_001954441.3|DANA
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC6499525|XP_001954440.1|DANA
OG0000043	LOC115627355|XP_030378864.1|SLEB	LOC6499526|XP_001954439.3|DANA
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC6499523|XP_032311279.1|DANA
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC6500203|XP_032305729.1|DANA
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC6500202|XP_001953032.2|DANA, LOC6500199|XP_001953034.1|DANA, LOC6500198|XP_001953035.1|DANA
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC6499418|XP_001954679.1|DANA
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC6493486|XP_001957849.1|DANA
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC6507632|XP_001956043.1|DANA
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC6507423|XP_032310209.1|DANA
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC6501716|XP_001955838.3|DANA, LOC6503183|XP_001963600.1|DANA, LOC6502915|XP_001963599.1|DANA, LOC6503185|XP_032311857.1|DANA, LOC26514371|XP_014767278.1|DANA, LOC6501525|XP_014767090.2|DANA, LOC6501523|XP_001955420.3|DANA, LOC116654466|XP_032311125.1|DANA, LOC6501526|XP_001955423.1|DANA
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC6496443|XP_001960921.1|DANA
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC6496440|XP_001960917.1|DANA
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC6496543|XP_001961111.1|DANA
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC6494029|XP_001961117.1|DANA, LOC6493465|XP_001957814.1|DANA
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC6493171|XP_001957195.2|DANA
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC6493169|XP_001957191.1|DANA
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC6500644|XP_001953636.2|DANA
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC6499920|XP_001953633.1|DANA
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC6500645|XP_001953637.1|DANA
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC6499917|XP_001953639.1|DANA
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC6502640|XP_001953638.1|DANA
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC6499921|XP_001953632.1|DANA
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC6493850|XP_001958558.2|DANA
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC6502856|XP_032309510.1|DANA
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC6493852|XP_001958560.2|DANA
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC6499129|XP_001955245.1|DANA
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC6500659|XP_001953666.2|DANA
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC6505124|XP_001964791.1|DANA, LOC6496824|XP_001963326.1|DANA, LOC6498306|XP_001962504.1|DANA, LOC6498305|XP_001962503.1|DANA, LOC6498307|XP_001962505.3|DANA, LOC6499936|XP_001953600.1|DANA
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC6496593|XP_001961216.2|DANA, LOC6496594|XP_001961217.1|DANA
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC6495215|XP_001958835.1|DANA, LOC6495434|XP_001958836.2|DANA
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC6495214|XP_001958837.1|DANA
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC6495213|XP_001958838.1|DANA
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC6495436|XP_001958842.1|DANA
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC6499283|XP_001954953.1|DANA
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC6499280|XP_032305658.1|DANA, LOC6499281|XP_001954955.1|DANA
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC6499278|XP_001954958.1|DANA, LOC6499282|XP_032305401.1|DANA, LOC6499279|XP_001954957.1|DANA
OG0000055	LOC115621100|XP_030370499.1|SLEB, LOC115621082|XP_030370472.1|SLEB, LOC115621350|XP_030370832.1|SLEB	LOC6501597|XP_001955556.1|DANA
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC6499765|XP_001953966.1|DANA
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC6499766|XP_001953965.2|DANA, LOC6499767|XP_001953964.1|DANA, LOC6499768|XP_001953963.1|DANA, LOC6499769|XP_001953962.1|DANA
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC6500303|XP_001952932.1|DANA, LOC6500302|XP_001952931.2|DANA
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC6493582|XP_001958038.2|DANA, LOC6507265|XP_001956364.1|DANA, LOC6502760|XP_001964984.2|DANA, LOC6497335|XP_001962298.1|DANA
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC6503754|XP_001963803.1|DANA
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC6499242|XP_001955037.1|DANA
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC6499241|XP_001955038.1|DANA
OG0000059	LOC115620757|XP_030370013.1|SLEB	LOC6499239|XP_001955045.1|DANA
OG0000060	LOC115629929|XP_030382393.1|SLEB	LOC6504067|XP_001964111.1|DANA
OG0000060	LOC115630565|XP_030383041.1|SLEB	LOC6497905|XP_001961691.1|DANA
OG0000060	LOC115623364|XP_030373510.1|SLEB	LOC26514467|XP_032305726.1|DANA
OG0000060	LOC115620624|XP_030369812.1|SLEB	LOC6505935|XP_001964647.1|DANA
OG0000060	LOC115629360|XP_030381672.1|SLEB	LOC6502151|XP_001966118.1|DANA
OG0000060	LOC115630767|XP_030383283.1|SLEB	LOC6496714|XP_014759262.1|DANA
OG0000061	LOC115631729|XP_030384426.1|SLEB	LOC6496734|XP_001967353.1|DANA
OG0000061	LOC115631701|XP_030384388.1|SLEB	LOC6496732|XP_001967351.1|DANA
OG0000062	LOC115627142|XP_030378579.1|SLEB	LOC6504406|XP_001967034.1|DANA
OG0000062	LOC115626214|XP_030377370.1|SLEB, LOC115626016|XP_030377124.1|SLEB	LOC6497538|XP_001961881.1|DANA, LOC26515327|XP_014762422.1|DANA, LOC6496869|XP_001963239.2|DANA
OG0000062	LOC115626105|XP_030377218.1|SLEB	LOC116656013|XP_032311002.1|DANA, LOC116656063|XP_032311298.1|DANA
