Orthogroup	SLEB.longest_only	DEUG.longest_only
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC108116118|XP_017083331.1|DEUG
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC108106283|XP_017068739.1|DEUG
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC108105230|XP_017067186.1|DEUG
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC108106955|XP_017069721.1|DEUG
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC108116882|XP_017084468.1|DEUG
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC108109063|XP_017072885.1|DEUG
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC108113063|XP_017078988.1|DEUG
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC108103209|XP_017064088.1|DEUG
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC108110347|XP_017074869.1|DEUG
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC108103426|XP_017064385.1|DEUG
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC108112627|XP_017078221.1|DEUG
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC108104154|XP_017065544.1|DEUG
OG0000017	LOC115619941|XP_030368828.1|SLEB	LOC108112063|XP_017077297.1|DEUG
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC108109233|XP_017073194.1|DEUG
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC108110339|XP_017074859.1|DEUG
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC108107531|XP_017070561.1|DEUG
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC108108164|XP_017071591.1|DEUG
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC108115822|XP_017082901.1|DEUG
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC108115829|XP_017082909.1|DEUG
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC108115823|XP_017082903.1|DEUG
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC108116051|XP_017083239.1|DEUG
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC108109261|XP_017073233.1|DEUG
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC108117182|XP_017084963.1|DEUG
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC108116455|XP_017083873.1|DEUG
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC108107046|XP_017069896.1|DEUG, LOC108115414|XP_017082340.1|DEUG
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC108110545|XP_017075123.1|DEUG
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC108112706|XP_017078416.1|DEUG
OG0000021	LOC115619935|XP_030372749.1|SLEB	LOC108112285|XP_017077596.1|DEUG
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC108109877|XP_017074162.1|DEUG
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC108105026|XP_017066911.1|DEUG
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC108117533|XP_017085522.1|DEUG
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC108111770|XP_017076824.1|DEUG
OG0000021	LOC115629963|XP_030382440.1|SLEB	LOC108110043|XP_017074396.1|DEUG
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC108113005|XP_017078913.1|DEUG
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG, LOC108102797|XP_017063457.1|DEUG
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC108115114|XP_017081855.1|DEUG
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC108115052|XP_017081788.1|DEUG
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC108115111|XP_017081852.1|DEUG
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC108115051|XP_017081787.1|DEUG
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC108115158|XP_017081958.1|DEUG
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC108115110|XP_017081851.1|DEUG
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC108115157|XP_017081956.1|DEUG
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC108115421|XP_017082346.1|DEUG, LOC108106503|XP_017069087.1|DEUG
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC108111932|XP_017077077.1|DEUG
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC108103147|XP_017064008.1|DEUG
OG0000025	LOC115630125|XP_030382596.1|SLEB	LOC108114004|XP_017080277.1|DEUG
OG0000025	LOC115630303|XP_030382701.1|SLEB	LOC108103398|XP_017064344.1|DEUG
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC108111839|XP_017076932.1|DEUG
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC108113449|XP_017079511.1|DEUG
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC108106863|XP_017069596.1|DEUG
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC108106871|XP_017069603.1|DEUG
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC108106870|XP_017069602.1|DEUG
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC108108451|XP_017071993.1|DEUG
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC108104028|XP_017065349.1|DEUG
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC108104049|XP_017065385.1|DEUG, LOC108104046|XP_017065382.1|DEUG
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC108109021|XP_017072783.1|DEUG
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC108103318|XP_017064237.1|DEUG
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC108104999|XP_017066865.1|DEUG
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG
OG0000031	LOC115626596|XP_030377839.1|SLEB	LOC108102303|XP_017066607.1|DEUG
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC108111003|XP_017075802.1|DEUG
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC108111801|XP_017076881.1|DEUG
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC108115450|XP_017082374.1|DEUG, LOC108115449|XP_017082373.1|DEUG, LOC108115445|XP_017082370.1|DEUG, LOC108115429|XP_017082354.1|DEUG, LOC108115474|XP_017082423.1|DEUG, LOC108115416|XP_017082341.1|DEUG, LOC108115417|XP_017082342.1|DEUG, LOC108112609|XP_017078188.1|DEUG, LOC108112610|XP_017078190.1|DEUG
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC108112608|XP_017078187.1|DEUG
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC108118408|XP_017086572.1|DEUG
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC108118494|XP_017086716.1|DEUG
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG, LOC108113407|XP_017079451.1|DEUG
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC108115061|XP_017081795.1|DEUG
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC108105599|XP_017067763.1|DEUG
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC108114960|XP_017081642.1|DEUG
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC108116661|XP_017084141.1|DEUG
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC108112000|XP_017077225.1|DEUG
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC108108735|XP_017072362.1|DEUG
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC108108809|XP_017072482.1|DEUG
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC108109615|XP_017073668.1|DEUG
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC108102893|XP_017063585.1|DEUG
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC108103025|XP_017063841.1|DEUG
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC108105051|XP_017066944.1|DEUG
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC108116469|XP_017083889.1|DEUG
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC108116470|XP_017083890.1|DEUG
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC108111562|XP_017076575.1|DEUG, LOC108111560|XP_017076573.1|DEUG
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC108109350|XP_017073299.1|DEUG
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC108108093|XP_017071481.1|DEUG
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC108112378|XP_017077703.1|DEUG, LOC108112385|XP_017077715.1|DEUG, LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC108116482|XP_017083904.1|DEUG
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC108116483|XP_017083905.1|DEUG
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC108113702|XP_017079868.1|DEUG
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC108113686|XP_017079852.1|DEUG, LOC108113695|XP_017079861.1|DEUG, LOC108113682|XP_017079848.1|DEUG
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC108116281|XP_017083557.1|DEUG
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC108114047|XP_017080284.1|DEUG
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC108107675|XP_017070752.1|DEUG
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC108107619|XP_017070678.1|DEUG
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC108110175|XP_017074588.1|DEUG, LOC108110153|XP_017074563.1|DEUG, LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG, LOC108105004|XP_017066870.1|DEUG, LOC108116573|XP_017084003.1|DEUG, LOC108116534|XP_017083961.1|DEUG, LOC108116575|XP_017084005.1|DEUG, LOC108116563|XP_017083991.1|DEUG, LOC108116555|XP_017083982.1|DEUG, LOC108112347|XP_017077663.1|DEUG
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC108112199|XP_017077502.1|DEUG
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC108113383|XP_017079444.1|DEUG
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC108106728|XP_017069453.1|DEUG
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC108106783|XP_017069514.1|DEUG, LOC108113976|XP_017080206.1|DEUG
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC108114267|XP_017080653.1|DEUG, LOC108114271|XP_017080657.1|DEUG
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC108113900|XP_017080095.1|DEUG
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC108114275|XP_017080660.1|DEUG
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC108117079|XP_017084741.1|DEUG
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC108117054|XP_017084715.1|DEUG
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC108117035|XP_017084693.1|DEUG
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC108117069|XP_017084731.1|DEUG
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC108117036|XP_017084694.1|DEUG
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC108117318|XP_017085175.1|DEUG
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC108116757|XP_017084265.1|DEUG
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC108116725|XP_017084231.1|DEUG
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC108116727|XP_017084233.1|DEUG
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC108109429|XP_017073417.1|DEUG
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC108117064|XP_017084724.1|DEUG
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC108109404|XP_017073394.1|DEUG, LOC108116631|XP_017084099.1|DEUG, LOC108109394|XP_017073383.1|DEUG, LOC108110610|XP_017075201.1|DEUG, LOC108110028|XP_017074367.1|DEUG, LOC108110036|XP_017074380.1|DEUG
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC108111978|XP_017077180.1|DEUG, LOC108111977|XP_017077179.1|DEUG
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC108104547|XP_017066177.1|DEUG, LOC108104546|XP_017066176.1|DEUG
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC108104610|XP_017066273.1|DEUG
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC108104585|XP_017066235.1|DEUG
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC108113522|XP_017079606.1|DEUG
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC108116465|XP_017083884.1|DEUG
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC108116310|XP_017083589.1|DEUG, LOC108116309|XP_017083588.1|DEUG
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC108116517|XP_017083943.1|DEUG, LOC108116481|XP_017083903.1|DEUG
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC108115632|XP_017082673.1|DEUG
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC108115630|XP_017082671.1|DEUG, LOC108115634|XP_017082675.1|DEUG, LOC108115633|XP_017082674.1|DEUG
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC108116242|XP_017083521.1|DEUG, LOC108116270|XP_017083548.1|DEUG
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC108111899|XP_017077025.1|DEUG, LOC108114779|XP_017081378.1|DEUG, LOC108114875|XP_017081520.1|DEUG, LOC108111925|XP_017077056.1|DEUG, LOC108113468|XP_017079539.1|DEUG
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC108103231|XP_017064121.1|DEUG
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC108113647|XP_017079807.1|DEUG
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC108113646|XP_017079806.1|DEUG
OG0000059	LOC115620757|XP_030370013.1|SLEB	LOC108113524|XP_017079604.1|DEUG
OG0000060	LOC115629929|XP_030382393.1|SLEB	LOC108103845|XP_017065030.1|DEUG
OG0000060	LOC115630565|XP_030383041.1|SLEB	LOC108103085|XP_017063927.1|DEUG
OG0000060	LOC115623364|XP_030373510.1|SLEB	LOC108115377|XP_017082302.1|DEUG
