Orthogroup	SLEB.longest_only	DFIC.longest_only
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC115623320|XP_030373442.1|SLEB	LOC108096120|XP_017052985.1|DFIC
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC108096122|XP_017052987.1|DFIC
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC115623322|XP_030373444.1|SLEB	LOC108096118|XP_017052982.1|DFIC
OG0000023	LOC115623324|XP_030373445.1|SLEB	LOC108096119|XP_017052984.1|DFIC
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC108100820|XP_017060377.1|DFIC
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC108093469|XP_017049043.1|DFIC, LOC108093479|XP_017049053.1|DFIC
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC108089808|XP_017043694.1|DFIC, LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC, LOC108091266|XP_017045867.1|DFIC, LOC108089806|XP_017043692.1|DFIC, LOC108094281|XP_017050264.1|DFIC, LOC108094283|XP_017050266.1|DFIC
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC108094282|XP_017050265.1|DFIC
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC108098179|XP_017056401.1|DFIC
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC108098285|XP_017056581.1|DFIC
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC, LOC108093450|XP_017049013.1|DFIC
OG0000035	LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB	LOC108102183|XP_017062377.1|DFIC
OG0000035	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB	LOC108093569|XP_017049153.1|DFIC
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC108097979|XP_017056090.1|DFIC
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC108098533|XP_017057003.1|DFIC
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC108087237|XP_017040017.1|DFIC
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC108087844|XP_017040913.1|DFIC
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC108091791|XP_017046639.1|DFIC
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC108097516|XP_017055329.1|DFIC
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC108097515|XP_017055328.1|DFIC
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC108095512|XP_017052111.1|DFIC
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC108092229|XP_017047255.1|DFIC, LOC108087305|XP_017040113.1|DFIC
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC108087307|XP_017040114.1|DFIC
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC108092211|XP_017047228.1|DFIC, LOC108092212|XP_017047230.1|DFIC
OG0000040	LOC115624206|XP_030374673.1|SLEB	LOC108102071|XP_017062201.1|DFIC
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC108100764|XP_017060292.1|DFIC
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC108097744|XP_017055741.1|DFIC
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC108090330|XP_017044433.1|DFIC, LOC108090327|XP_017044430.1|DFIC, LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC108087389|XP_017040220.1|DFIC
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC108087351|XP_017040180.1|DFIC
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC108087056|XP_017039721.1|DFIC
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC108092195|XP_017047211.1|DFIC
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC108095953|XP_017052779.1|DFIC
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC108102017|XP_017062104.1|DFIC
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC108099782|XP_017058900.1|DFIC
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC108089346|XP_017043016.1|DFIC
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC108089335|XP_017043004.1|DFIC
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC108098480|XP_017056880.1|DFIC, LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC, LOC108097454|XP_017055215.1|DFIC, LOC108091603|XP_017046371.1|DFIC, LOC108091584|XP_017046349.1|DFIC, LOC108091607|XP_017046377.1|DFIC, LOC108091593|XP_017046357.1|DFIC, LOC108091587|XP_017046351.1|DFIC, LOC108091594|XP_017046358.1|DFIC, LOC108091585|XP_017046350.1|DFIC
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC108090569|XP_017044803.1|DFIC
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC108090570|XP_017044804.1|DFIC
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC108094901|XP_017051236.1|DFIC
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC108094950|XP_017051302.1|DFIC, LOC108089719|XP_017043575.1|DFIC
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC108089535|XP_017043361.1|DFIC
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC108089542|XP_017043368.1|DFIC
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC108091886|XP_017046759.1|DFIC
OG0000049	LOC115625471|XP_030376380.1|SLEB	LOC108091864|XP_017046732.1|DFIC
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC108091860|XP_017046729.1|DFIC
OG0000049	LOC115625467|XP_030376376.1|SLEB	LOC108091991|XP_017046904.1|DFIC
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC108091993|XP_017046906.1|DFIC
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC108092198|XP_017047214.1|DFIC
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC108088745|XP_017042182.1|DFIC
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC108088747|XP_017042184.1|DFIC
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC108088743|XP_017042180.1|DFIC
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC108099282|XP_017058161.1|DFIC
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC108087911|XP_017040982.1|DFIC
OG0000052	LOC115621355|XP_030370842.1|SLEB	LOC108087102|XP_017039773.1|DFIC, LOC108098807|XP_017057437.1|DFIC, LOC108098902|XP_017057587.1|DFIC, LOC108098776|XP_017057399.1|DFIC, LOC108098773|XP_017057394.1|DFIC
OG0000052	LOC115621366|XP_030370854.1|SLEB	LOC108087760|XP_017040779.1|DFIC, LOC108087818|XP_017040874.1|DFIC
OG0000053	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB	LOC108090322|XP_017044423.1|DFIC, LOC108090310|XP_017044412.1|DFIC
OG0000053	LOC115634038|XP_030387442.1|SLEB	LOC108090321|XP_017044422.1|DFIC
OG0000053	LOC115634037|XP_030387441.1|SLEB	LOC108090309|XP_017044411.1|DFIC
OG0000053	LOC115634626|XP_030388341.1|SLEB	LOC108090323|XP_017044424.1|DFIC
OG0000054	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB	LOC108097528|XP_017055365.1|DFIC
OG0000054	LOC115623633|XP_030373934.1|SLEB	LOC108096334|XP_017053362.1|DFIC
OG0000054	LOC115624033|XP_030374471.1|SLEB	LOC108096244|XP_017053162.1|DFIC, LOC108097685|XP_017055644.1|DFIC
OG0000056	LOC115626734|XP_030378039.1|SLEB	LOC108091640|XP_017046431.1|DFIC
OG0000056	LOC115626727|XP_030378033.1|SLEB	LOC108091639|XP_017046430.1|DFIC, LOC108091643|XP_017046434.1|DFIC, LOC108091642|XP_017046433.1|DFIC
OG0000056	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB	LOC108098775|XP_017057398.1|DFIC, LOC108098940|XP_017057636.1|DFIC
OG0000058	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB	LOC108099713|XP_017058824.1|DFIC, LOC108098458|XP_017056851.1|DFIC, LOC108098312|XP_017056614.1|DFIC, LOC108098300|XP_017056599.1|DFIC, LOC108093385|XP_017048892.1|DFIC
OG0000058	LOC115629610|XP_030381967.1|SLEB	LOC108092885|XP_017048216.1|DFIC
OG0000059	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB	LOC108095725|XP_017052388.1|DFIC
OG0000059	LOC115621386|XP_030370879.1|SLEB	LOC108095912|XP_017052729.1|DFIC
OG0000059	LOC115620757|XP_030370013.1|SLEB	LOC108096013|XP_017052851.1|DFIC
