Orthogroup	AAEG.longest_only	DMAU.longest_only
OG0000043	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG	LOC117143574|XP_033164210.1|DMAU, LOC117143570|XP_033164205.1|DMAU, LOC117143572|XP_033164208.1|DMAU, LOC117145149|XP_033166580.1|DMAU, LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC5567605|XP_021704850.1|AAEG	LOC117143901|XP_033164698.1|DMAU, LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU, LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU, LOC117143435|XP_033164032.1|DMAU
OG0000045	LOC5565204|XP_001649560.1|AAEG	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU, LOC117139487|XP_033157699.1|DMAU, LOC117139486|XP_033157698.1|DMAU
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC117137846|XP_033155439.1|DMAU, LOC117137896|XP_033155525.1|DMAU, LOC117136744|XP_033153666.1|DMAU, LOC117141645|XP_033161109.1|DMAU, LOC117137194|XP_033154412.1|DMAU, LOC117141646|XP_033161110.1|DMAU
OG0000048	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU, LOC117140935|XP_033160022.1|DMAU, LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG	LOC117144267|XP_033165261.1|DMAU, LOC117143819|XP_033164555.1|DMAU, LOC117145062|XP_033166468.1|DMAU, LOC117145059|XP_033166464.1|DMAU, LOC117145061|XP_033166467.1|DMAU, LOC117144466|XP_033165523.1|DMAU
OG0000051	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC117143815|XP_033164552.1|DMAU, LOC117143638|XP_033164307.1|DMAU, LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU
OG0000053	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU, LOC117137096|XP_033154272.1|DMAU
OG0000054	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC117144491|XP_033165568.1|DMAU, LOC117145202|XP_033166655.1|DMAU, LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC117145913|XP_033167658.1|DMAU, LOC117145909|XP_033167655.1|DMAU, LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU, LOC117144813|XP_033166080.1|DMAU
OG0000058	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU, LOC117147163|XP_033169841.1|DMAU
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC117148535|XP_033171846.1|DMAU
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC117142997|XP_033163243.1|DMAU
OG0000061	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG	LOC117144713|XP_033165946.1|DMAU, LOC117147510|XP_033170317.1|DMAU, LOC117146062|XP_033167897.1|DMAU, LOC117148009|XP_033171063.1|DMAU
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC117143290|XP_033163776.1|DMAU, LOC117141618|XP_033161029.1|DMAU
OG0000067	LOC5577759|XP_021704690.1|AAEG	LOC117137893|XP_033155518.1|DMAU, LOC117139071|XP_033157072.1|DMAU
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC117140079|XP_033158722.1|DMAU
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG	LOC117140267|XP_033158984.1|DMAU, LOC117142608|XP_033162579.1|DMAU, LOC117139306|XP_033157439.1|DMAU, LOC117135414|XP_033151458.1|DMAU, LOC117147929|XP_033170959.1|DMAU
OG0000070	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG	LOC117140982|XP_033160124.1|DMAU, LOC117148893|XP_033172490.1|DMAU, LOC117137413|XP_033154736.1|DMAU, LOC117146922|XP_033169442.1|DMAU
OG0000071	LOC5575314|XP_001655688.2|AAEG	LOC117139106|XP_033157130.1|DMAU
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG	LOC117139290|XP_033157411.1|DMAU, LOC117139289|XP_033157410.1|DMAU, LOC117139278|XP_033157396.1|DMAU
OG0000072	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG	LOC117136935|XP_033153969.1|DMAU, LOC117136352|XP_033153109.1|DMAU, LOC117136936|XP_033153970.1|DMAU
OG0000073	LOC5573060|XP_021711274.1|AAEG	LOC117138354|XP_033156291.1|DMAU
OG0000073	LOC5570618|XP_021706389.1|AAEG	LOC117147893|XP_033170883.1|DMAU
OG0000073	LOC5573536|XP_021693962.1|AAEG	LOC117142466|XP_033162348.1|DMAU
OG0000074	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG	LOC117142069|XP_033161840.1|DMAU, LOC117139233|XP_033157330.1|DMAU
OG0000076	LOC5569019|XP_021698411.1|AAEG	LOC117141100|XP_033160313.1|DMAU
OG0000076	LOC5575395|XP_021710181.1|AAEG	LOC117147320|XP_033170062.1|DMAU
OG0000077	LOC5576244|XP_001656025.1|AAEG	LOC117138525|XP_033156554.1|DMAU
OG0000077	LOC110676765|XP_021701591.1|AAEG	LOC117142441|XP_033162295.1|DMAU
OG0000077	LOC5576245|XP_001656026.2|AAEG	LOC117138466|XP_033156483.1|DMAU
OG0000077	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG	LOC117144652|XP_033165842.1|DMAU
OG0000078	LOC5575539|XP_021703479.1|AAEG	LOC117138008|XP_033155701.1|DMAU, LOC117140111|XP_033158764.1|DMAU, LOC117145393|XP_033166920.1|DMAU, LOC117146596|XP_033168812.1|DMAU, LOC117147316|XP_033170056.1|DMAU
OG0000080	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG	LOC117137720|XP_033155183.1|DMAU, LOC117137725|XP_033155191.1|DMAU, LOC117136966|XP_033154021.1|DMAU
OG0000082	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG	LOC117138620|XP_033156721.1|DMAU, LOC117135990|XP_033152496.1|DMAU, LOC117142679|XP_033162708.1|DMAU, LOC117143259|XP_033163721.1|DMAU
OG0000083	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG	LOC117145762|XP_033167461.1|DMAU, LOC117140536|XP_033159420.1|DMAU, LOC117146342|XP_033168371.1|DMAU, LOC117144457|XP_033165508.1|DMAU, LOC117144620|XP_033165809.1|DMAU, LOC117145464|XP_033167065.1|DMAU
OG0000084	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG	LOC117136635|XP_033153517.1|DMAU
OG0000084	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG	LOC117137735|XP_033155207.1|DMAU
OG0000085	LOC5574792|XP_001655347.2|AAEG	LOC117136080|XP_033152640.1|DMAU
OG0000086	LOC5575040|XP_001661772.2|AAEG	LOC117136149|XP_033152757.1|DMAU, LOC117136148|XP_033152756.1|DMAU
OG0000087	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG	LOC117147902|XP_033170903.1|DMAU
OG0000087	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG	LOC117147219|XP_033169927.1|DMAU, LOC117140352|XP_033159099.1|DMAU
OG0000088	LOC5573732|XP_001654757.1|AAEG	LOC117137209|XP_033154454.1|DMAU
OG0000089	LOC5577489|XP_001663407.1|AAEG	LOC117142383|XP_033162216.1|DMAU, LOC117144287|XP_033165282.1|DMAU
OG0000089	LOC5575826|XP_021694449.1|AAEG	LOC117143491|XP_033164095.1|DMAU
OG0000089	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG	LOC117141024|XP_033160189.1|DMAU
OG0000090	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG	LOC117137570|XP_033154966.1|DMAU, LOC117137567|XP_033154963.1|DMAU, LOC117140816|XP_033159812.1|DMAU, LOC117140429|XP_033159236.1|DMAU
OG0000091	LOC5578943|XP_021693136.1|AAEG	LOC117145728|XP_033167368.1|DMAU
OG0000091	LOC5579216|XP_021706364.1|AAEG	LOC117150761|XP_033173689.1|DMAU, LOC117146070|XP_033167902.1|DMAU, LOC117145462|XP_033167023.1|DMAU
OG0000094	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG	LOC117141136|XP_033160352.1|DMAU, LOC117145630|XP_033167240.1|DMAU
OG0000099	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG	LOC117148254|XP_033171448.1|DMAU
OG0000101	LOC5567622|XP_021696506.1|AAEG	LOC117139588|XP_033157894.1|DMAU, LOC117139584|XP_033157886.1|DMAU, LOC117139153|XP_033157202.1|DMAU, LOC117139589|XP_033157895.1|DMAU, LOC117139587|XP_033157892.1|DMAU, LOC117139591|XP_033157897.1|DMAU
OG0000102	LOC5575366|XP_001661890.1|AAEG, LOC5575359|XP_001661891.2|AAEG, LOC5574118|XP_001661190.2|AAEG, LOC5566259|XP_001650639.2|AAEG, LOC5566258|XP_001650638.2|AAEG, LOC5578062|XP_021699381.1|AAEG, LOC5578064|XP_001663685.2|AAEG, LOC5578063|XP_001663686.2|AAEG	LOC117136562|XP_033153409.1|DMAU
