Orthogroup	AAEG.longest_only	DALB.longest_only
OG0000044	LOC5567605|XP_021704850.1|AAEG	LOC117576108|XP_034116557.1|DALB, LOC117576553|XP_034117282.1|DALB, LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB, LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB, LOC117574699|XP_034114502.1|DALB
OG0000045	LOC5565204|XP_001649560.1|AAEG	LOC117566426|XP_034101847.1|DALB, LOC117566425|XP_034101846.1|DALB, LOC117572554|XP_034111317.1|DALB
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC117570271|XP_034107678.1|DALB, LOC117570312|XP_034107745.1|DALB, LOC117567370|XP_034103204.1|DALB, LOC117567748|XP_034103827.1|DALB, LOC117570179|XP_034107548.1|DALB, LOC117570238|XP_034107631.1|DALB
OG0000048	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG	LOC117571564|XP_034109658.1|DALB, LOC117572034|XP_034110480.1|DALB, LOC117569405|XP_034106432.1|DALB
OG0000049	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG	LOC117574804|XP_034114660.1|DALB, LOC117574253|XP_034113873.1|DALB, LOC117574270|XP_034113907.1|DALB, LOC117576198|XP_034116681.1|DALB, LOC117574439|XP_034114168.1|DALB
OG0000051	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC117576304|XP_034116849.1|DALB, LOC117576889|XP_034117914.1|DALB, LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB, LOC117576902|XP_034117931.1|DALB
OG0000053	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG	LOC117569597|XP_034106723.1|DALB, LOC117569598|XP_034106724.1|DALB, LOC117569609|XP_034106736.1|DALB
OG0000054	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC117575896|XP_034116230.1|DALB, LOC117575899|XP_034116231.1|DALB
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC117573873|XP_034113241.1|DALB, LOC117573870|XP_034113237.1|DALB, LOC117573868|XP_034113236.1|DALB, LOC117573871|XP_034113238.1|DALB, LOC117576772|XP_034117714.1|DALB, LOC117573872|XP_034113239.1|DALB, LOC117565555|XP_034100612.1|DALB
OG0000058	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG	LOC117563763|XP_034098158.1|DALB, LOC117564238|XP_034098822.1|DALB, LOC117564239|XP_034098823.1|DALB, LOC117563762|XP_034098157.1|DALB, LOC117563768|XP_034098166.1|DALB, LOC117563764|XP_034098159.1|DALB, LOC117563767|XP_034098165.1|DALB, LOC117563761|XP_034098156.1|DALB, LOC117563760|XP_034098154.1|DALB, LOC117570528|XP_034108128.1|DALB
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC117568914|XP_034105715.1|DALB
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC117574003|XP_034113462.1|DALB
OG0000061	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG	LOC117564862|XP_034099701.1|DALB, LOC117564863|XP_034099702.1|DALB, LOC117564865|XP_034099704.1|DALB, LOC117564867|XP_034099707.1|DALB, LOC117564866|XP_034099705.1|DALB
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC117576940|XP_034117988.1|DALB, LOC117569520|XP_034106607.1|DALB
OG0000067	LOC5577759|XP_021704690.1|AAEG	LOC117570140|XP_034107497.1|DALB, LOC117569519|XP_034106606.1|DALB
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC117570707|XP_034108403.1|DALB
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG	LOC117575545|XP_034115693.1|DALB, LOC117566789|XP_034102222.1|DALB, LOC117563644|XP_034097948.1|DALB
OG0000070	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG	LOC117564516|XP_034099227.1|DALB, LOC117564519|XP_034099229.1|DALB, LOC117575370|XP_034115434.1|DALB, LOC117564518|XP_034099228.1|DALB, LOC117564520|XP_034099230.1|DALB
OG0000071	LOC5575314|XP_001655688.2|AAEG	LOC117572590|XP_034111368.1|DALB
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG	LOC117570623|XP_034108276.1|DALB, LOC117566528|XP_034101960.1|DALB
OG0000072	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG	LOC117566569|XP_034102002.1|DALB, LOC117567900|XP_034104064.1|DALB, LOC117570917|XP_034108716.1|DALB
OG0000073	LOC5573060|XP_021711274.1|AAEG	LOC117572206|XP_034110763.1|DALB
OG0000073	LOC5570618|XP_021706389.1|AAEG	LOC117576610|XP_034117406.1|DALB
OG0000073	LOC5573536|XP_021693962.1|AAEG	LOC117575585|XP_034115743.1|DALB
OG0000074	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG	LOC117570160|XP_034107519.1|DALB, LOC117571484|XP_034109540.1|DALB, LOC117571440|XP_034109474.1|DALB, LOC117570586|XP_034108221.1|DALB
OG0000076	LOC5569019|XP_021698411.1|AAEG	LOC117567636|XP_034103628.1|DALB
OG0000076	LOC5575395|XP_021710181.1|AAEG	LOC117577756|XP_034118557.1|DALB
OG0000077	LOC5576244|XP_001656025.1|AAEG	LOC117569813|XP_034107023.1|DALB
OG0000077	LOC110676765|XP_021701591.1|AAEG	LOC117576948|XP_034117997.1|DALB
OG0000077	LOC5576245|XP_001656026.2|AAEG	LOC117567769|XP_034103852.1|DALB
OG0000077	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG	LOC117573885|XP_034113262.1|DALB
OG0000078	LOC5575539|XP_021703479.1|AAEG	LOC117570798|XP_034108545.1|DALB, LOC117567009|XP_034102585.1|DALB, LOC117571141|XP_034109034.1|DALB, LOC117570994|XP_034108834.1|DALB, LOC117567346|XP_034103163.1|DALB, LOC117575907|XP_034116242.1|DALB, LOC117577833|XP_034118665.1|DALB, LOC117578297|XP_034119631.1|DALB
OG0000080	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG	LOC117571068|XP_034108929.1|DALB, LOC117568685|XP_034105383.1|DALB
OG0000082	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG	LOC117570745|XP_034108457.1|DALB, LOC117570413|XP_034107930.1|DALB, LOC117573753|XP_034113028.1|DALB, LOC117573752|XP_034113027.1|DALB, LOC117575543|XP_034115688.1|DALB
OG0000083	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG	LOC117570126|XP_034107481.1|DALB
OG0000084	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG	LOC117569126|XP_034106037.1|DALB
OG0000084	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG	LOC117571981|XP_034110380.1|DALB
OG0000086	LOC5575040|XP_001661772.2|AAEG	LOC117571181|XP_034109101.1|DALB, LOC117571177|XP_034109095.1|DALB
