Orthogroup	AAEG.longest_only	AEAL.longest_only
OG0000004	LOC110680693|XP_021712175.1|AAEG	LOC109413175|XP_029734887.1|AEAL, LOC115270083|XP_029734909.1|AEAL
OG0000004	LOC110678232|XP_021706543.1|AAEG	LOC109404569|XP_019533012.1|AEAL, LOC109404523|XP_019532967.1|AEAL
OG0000004	LOC110678258|XP_021706569.1|AAEG	LOC115270053|XP_029734878.1|AEAL, LOC115270063|XP_029734895.1|AEAL
OG0000004	LOC110680606|XP_021712097.1|AAEG	LOC109404546|XP_019931555.2|AEAL, LOC115266975|XP_029729558.1|AEAL
OG0000004	LOC110678239|XP_021706550.1|AAEG	LOC109413197|XP_019542447.1|AEAL, LOC115270059|XP_029734890.1|AEAL
OG0000004	LOC110678203|XP_021706521.1|AAEG, LOC110680841|XP_021712324.1|AAEG, LOC110681232|XP_021712695.1|AAEG	LOC115255472|XP_029709456.1|AEAL
OG0000005	LOC110680720|XP_021712202.1|AAEG	LOC115255223|XP_029709026.1|AEAL
OG0000005	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG	LOC115255470|XP_029709453.1|AEAL
OG0000005	LOC5578788|XP_001657158.1|AAEG	LOC109398605|XP_019526537.1|AEAL
OG0000005	LOC110676734|XP_021701441.1|AAEG	LOC109398661|XP_029714684.1|AEAL
OG0000005	LOC110679770|XP_021711192.1|AAEG, LOC5579087|XP_001657281.1|AAEG	LOC109404521|XP_029734911.1|AEAL, LOC115255208|XP_029709011.1|AEAL, LOC109621664|XP_019931314.1|AEAL, LOC115255183|XP_029708974.1|AEAL, LOC109397487|XP_019525326.1|AEAL, LOC109407186|XP_019535715.1|AEAL, LOC115255205|XP_029709008.1|AEAL, LOC109397494|XP_019525333.2|AEAL, LOC115255200|XP_029709002.1|AEAL, LOC109400639|XP_019528670.1|AEAL, LOC109397482|XP_029708971.1|AEAL, LOC109404593|XP_019533042.1|AEAL, LOC109397504|XP_019525350.1|AEAL
OG0000005	LOC110679769|XP_021711191.1|AAEG	LOC109397485|XP_019525324.1|AEAL
OG0000005	LOC110679768|XP_021711190.1|AAEG	LOC115270062|XP_029734894.1|AEAL
OG0000005	LOC110679767|XP_021711189.1|AAEG	LOC115266977|XP_029729560.1|AEAL
OG0000006	LOC110679778|XP_021711201.1|AAEG	LOC109431199|XP_019562958.1|AEAL
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL
OG0000006	LOC110679777|XP_021711200.1|AAEG	LOC109431219|XP_019562976.1|AEAL
OG0000006	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC109417624|XP_019547214.2|AEAL
OG0000008	LOC5566417|XP_001650809.1|AAEG	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL
OG0000008	LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG	LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL
OG0000008	LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG	LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL
OG0000008	LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG	LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL
OG0000008	LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG	LOC109411057|XP_019540042.2|AEAL
OG0000008	LOC5572410|XP_001660359.1|AAEG	LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL
OG0000008	LOC5573587|XP_001654721.1|AAEG	LOC109429131|XP_029730081.1|AEAL
OG0000008	LOC5573609|XP_001654720.1|AAEG	LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC110677732|XP_021704637.1|AAEG	LOC109409014|XP_019537968.1|AEAL
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC5575590|XP_001662046.1|AAEG	LOC109421248|XP_029710358.1|AEAL
OG0000009	LOC5575570|XP_001662045.1|AAEG	LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL
OG0000009	LOC5575571|XP_021703480.1|AAEG	LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL
OG0000009	LOC5575580|XP_001662060.1|AAEG	LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL
OG0000009	LOC5575581|XP_001662059.1|AAEG	LOC109621352|XP_019930946.2|AEAL
OG0000009	LOC5575578|XP_001662062.1|AAEG	LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL
OG0000009	LOC5568406|XP_001658054.1|AAEG	LOC109427506|XP_019558604.2|AEAL
OG0000009	LOC5578292|XP_001663820.1|AAEG	LOC109432620|XP_019564525.2|AEAL
OG0000009	LOC5576604|XP_001656167.2|AAEG	LOC109405071|XP_019533608.2|AEAL
OG0000009	LOC5576588|XP_001656165.1|AAEG	LOC109405076|XP_019533612.2|AEAL
OG0000009	LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG	LOC109397914|XP_019525799.2|AEAL
OG0000009	LOC5574006|XP_021698494.1|AAEG	LOC109406992|XP_019535559.2|AEAL
OG0000009	LOC5574009|XP_001661092.2|AAEG	LOC109406984|XP_029711464.1|AEAL
OG0000009	LOC5576277|XP_001662566.2|AAEG	LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG	LOC115261272|XP_029718507.1|AEAL
OG0000010	LOC110679751|XP_021711173.1|AAEG	LOC109401799|XP_029718532.1|AEAL
OG0000010	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG	LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL
OG0000011	LOC110678451|XP_021707047.1|AAEG	LOC109417348|XP_029718707.1|AEAL
OG0000011	LOC5570988|XP_001659449.2|AAEG	LOC115261495|XP_029719074.1|AEAL
OG0000012	LOC5575907|XP_021696041.1|AAEG	LOC109423253|XP_029726458.1|AEAL
OG0000012	LOC5575913|XP_001662283.2|AAEG	LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC109401240|XP_019529248.2|AEAL
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG	LOC109413675|XP_019542933.1|AEAL
OG0000013	LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC109413676|XP_029727534.1|AEAL
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC109430791|XP_019562417.1|AEAL
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL
OG0000013	LOC110674153|XP_021693655.1|AAEG	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL
OG0000013	LOC110681562|XP_021713333.1|AAEG	LOC115268774|XP_029732800.1|AEAL
OG0000013	LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG	LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL
OG0000013	LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC5571832|XP_001659963.1|AAEG	LOC115267287|XP_029730061.1|AEAL, LOC109426671|XP_019557748.2|AEAL
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC5565156|XP_001649531.1|AAEG	LOC109432057|XP_019563902.1|AEAL
OG0000016	LOC5571971|XP_001660073.1|AAEG	LOC109432714|XP_019564645.1|AEAL, LOC109408752|XP_029730782.1|AEAL
OG0000016	LOC5572985|XP_021710979.1|AAEG	LOC109401547|XP_029734087.1|AEAL, LOC109412625|XP_019541794.2|AEAL, LOC115264648|XP_029724442.1|AEAL, LOC115264655|XP_029724449.1|AEAL
OG0000016	LOC5567309|XP_001651744.2|AAEG	LOC109401551|XP_029724420.1|AEAL, LOC115264654|XP_029724448.1|AEAL
OG0000016	LOC5567310|XP_001651745.1|AAEG	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL
OG0000016	LOC5572986|XP_001654313.1|AAEG	LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC109414002|XP_019543272.1|AEAL
OG0000018	LOC5574853|XP_001661677.2|AAEG	LOC109399209|XP_019527192.1|AEAL
OG0000018	LOC5577643|XP_001656641.1|AAEG	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL
OG0000018	LOC5578698|XP_001657098.2|AAEG	LOC109413967|XP_019543245.2|AEAL
OG0000018	LOC5578135|XP_001663705.1|AAEG	LOC109399166|XP_019527139.1|AEAL, LOC109413968|XP_029726577.1|AEAL
OG0000018	LOC5578130|XP_001663703.1|AAEG	LOC109413965|XP_019543244.1|AEAL
OG0000018	LOC5568889|XP_001658209.1|AAEG	LOC115258683|XP_029714868.1|AEAL, LOC109398683|XP_019526605.1|AEAL, LOC109405058|XP_019533604.1|AEAL, LOC115258702|XP_029714905.1|AEAL
OG0000018	LOC5568885|XP_001658210.1|AAEG	LOC115265099|XP_029725190.1|AEAL, LOC109405051|XP_019533595.1|AEAL, LOC109398688|XP_019526607.1|AEAL
OG0000018	LOC5578136|XP_001663706.1|AAEG	LOC109413969|XP_019543246.2|AEAL
OG0000019	LOC23687711|XP_021707253.1|AAEG	LOC109623324|XP_029721557.1|AEAL
OG0000019	LOC5568699|XP_001652523.2|AAEG	LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL
OG0000019	LOC5568700|XP_001652524.1|AAEG	LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL
OG0000019	LOC5568702|XP_001652526.1|AAEG	LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL
OG0000019	LOC5568701|XP_001652525.1|AAEG	LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL
OG0000019	LOC5568703|XP_001652527.2|AAEG	LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL
OG0000019	LOC5568704|XP_001652528.2|AAEG	LOC109426885|XP_019557991.2|AEAL
OG0000019	LOC5568697|XP_001652520.1|AAEG	LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL
OG0000019	LOC5570298|XP_021708318.1|AAEG	LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL
OG0000019	LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL
OG0000020	LOC5578721|XP_021693724.1|AAEG	LOC115268755|XP_029732776.1|AEAL, LOC109402380|XP_029718005.1|AEAL
OG0000020	LOC5578720|XP_021693720.1|AAEG	LOC109405472|XP_029732768.1|AEAL, LOC115260817|XP_029718001.1|AEAL, LOC109402397|XP_029712618.1|AEAL
OG0000020	LOC5576192|XP_021693721.1|AAEG	LOC115253451|XP_029718002.1|AEAL
OG0000020	LOC5575949|XP_021693723.1|AAEG	LOC109402396|XP_019530601.2|AEAL
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL
OG0000020	LOC5567254|XP_021706785.1|AAEG	LOC109424074|XP_019554703.2|AEAL
OG0000020	LOC5567250|XP_001651693.2|AAEG	LOC109424077|XP_019554704.2|AEAL
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC109412802|XP_029732887.1|AEAL
OG0000023	LOC23687491|XP_011493543.2|AAEG	LOC109403033|XP_019531286.2|AEAL
OG0000023	LOC5573293|XP_001654509.1|AAEG	LOC109403032|XP_019531283.2|AEAL
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC109412054|XP_019541244.2|AEAL
OG0000025	LOC5571770|XP_001659902.2|AAEG	LOC109409461|XP_019538450.3|AEAL
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC109413799|XP_019543073.1|AEAL
OG0000025	LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC109431226|XP_029724373.1|AEAL
OG0000025	LOC110679738|XP_021711159.1|AAEG	LOC115261253|XP_029718487.1|AEAL
OG0000025	LOC110679742|XP_021711163.1|AAEG	LOC115264617|XP_029724354.1|AEAL
OG0000026	LOC23687599|XP_011493633.2|AAEG	LOC109399647|XP_019527683.2|AEAL
OG0000026	LOC110674007|XP_021708437.1|AAEG	LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL
OG0000026	LOC23687740|XP_011492953.2|AAEG	LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL
OG0000026	LOC23687722|XP_011492954.2|AAEG	LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL
OG0000026	LOC5570715|XP_001659308.2|AAEG	LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL
OG0000026	LOC23687872|XP_011492952.2|AAEG	LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL
OG0000026	LOC5573680|XP_001661002.2|AAEG	LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL
OG0000026	LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL
OG0000027	LOC5573906|XP_001654941.1|AAEG	LOC109421227|XP_019551257.2|AEAL, LOC115259289|XP_029715680.1|AEAL, LOC109432469|XP_019564343.2|AEAL, LOC109421226|XP_019551256.2|AEAL, LOC115265828|XP_029727637.1|AEAL, LOC109432471|XP_019564345.2|AEAL
OG0000027	LOC5573908|XP_001654944.1|AAEG, LOC5573912|XP_001654948.2|AAEG, LOC5573913|XP_001654949.1|AAEG, LOC5573917|XP_001654953.1|AAEG	LOC109432455|XP_019564332.2|AEAL, LOC109421216|XP_019551248.2|AEAL, LOC115259293|XP_029715687.1|AEAL, LOC109421329|XP_019551381.2|AEAL, LOC109432449|XP_019564327.2|AEAL, LOC109421190|XP_029727634.1|AEAL, LOC109421217|XP_029727617.1|AEAL, LOC109432448|XP_019564326.2|AEAL
OG0000027	LOC110677071|XP_021703360.1|AAEG	LOC109432441|XP_019564320.2|AEAL
OG0000027	LOC5573924|XP_001654960.1|AAEG	LOC109432439|XP_019564318.2|AEAL
OG0000027	LOC5573923|XP_001654959.1|AAEG	LOC115265195|XP_029725331.1|AEAL, LOC109421209|XP_019551242.2|AEAL
OG0000027	LOC110677065|XP_021703353.1|AAEG, LOC23687652|XP_011493564.1|AAEG, LOC110677066|XP_021703354.1|AAEG, LOC110677067|XP_021703355.1|AAEG	LOC115265571|XP_029727062.1|AEAL, LOC115253746|XP_029726930.1|AEAL, LOC115253563|XP_019564355.2|AEAL, LOC109432453|XP_019564330.2|AEAL, LOC109421223|XP_019551254.2|AEAL, LOC115265527|XP_029726929.1|AEAL, LOC115253427|XP_019564349.2|AEAL, LOC115265528|XP_029726931.1|AEAL, LOC109432477|XP_019564350.2|AEAL, LOC115265570|XP_029727061.1|AEAL, LOC115265526|XP_029726928.1|AEAL, LOC115253430|XP_019564352.2|AEAL, LOC109432478|XP_029726927.1|AEAL, LOC109421332|XP_019551387.2|AEAL, LOC115259291|XP_029715685.1|AEAL
OG0000027	LOC110677060|XP_021703346.1|AAEG	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL
OG0000027	LOC23687822|XP_011493565.1|AAEG	LOC115265811|XP_029727614.1|AEAL
OG0000027	LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG	LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL
OG0000027	LOC5573904|XP_021698223.1|AAEG	LOC109421231|XP_019564335.2|AEAL
OG0000028	LOC110675725|XP_021697126.1|AAEG	LOC109426605|XP_029727488.1|AEAL
OG0000028	LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG	LOC115265692|XP_029727512.1|AEAL
OG0000028	LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG	LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL
OG0000028	LOC110675722|XP_021697123.1|AAEG	LOC109426604|XP_019557684.2|AEAL
OG0000028	LOC110675102|XP_021695179.1|AAEG	LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL
OG0000028	LOC110676609|XP_021700847.1|AAEG	LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL
OG0000029	LOC5575791|XP_001662213.2|AAEG	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL
OG0000029	LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG	LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL
OG0000029	LOC5565691|XP_001650048.2|AAEG	LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL
OG0000029	LOC5572841|XP_001660601.1|AAEG	LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL
OG0000031	LOC5574171|XP_001661226.1|AAEG	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL
