Orthogroup	AAEG.longest_only	DPER.longest_only
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC6594636|XP_026850331.1|DPER, LOC6594634|XP_002019930.1|DPER, LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER, LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER, LOC6601280|XP_026841960.1|DPER, LOC6591389|XP_002017359.1|DPER, LOC6590982|XP_002016547.1|DPER, LOC6590981|XP_002016546.2|DPER
OG0000010	LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG	LOC113567423|XP_026850962.1|DPER
OG0000010	LOC110679751|XP_021711173.1|AAEG	LOC113567415|XP_026850950.1|DPER
OG0000010	LOC110679806|XP_021711230.1|AAEG	LOC113567250|XP_026850220.1|DPER
OG0000011	LOC5570988|XP_001659449.2|AAEG	LOC113565948|XP_026845158.1|DPER
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	LOC6589910|XP_026840670.1|DPER, LOC6589909|XP_002016518.1|DPER, LOC6589908|XP_026841658.1|DPER, LOC6589911|XP_026840671.1|DPER, LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER, LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER, LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC113564954|XP_026840479.1|DPER
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER, LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC6587871|XP_002013173.2|DPER, LOC6593077|XP_002017890.1|DPER
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	LOC6602189|XP_026848039.1|DPER
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC6601448|XP_002026450.1|DPER
OG0000018	LOC5577643|XP_001656641.1|AAEG	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER
OG0000019	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER, LOC6588514|XP_002012998.2|DPER, LOC6587186|XP_002012999.1|DPER, LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC6594838|XP_002020242.2|DPER, LOC6590666|XP_002015941.1|DPER
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC6589657|XP_002014518.1|DPER, LOC6594627|XP_026850533.1|DPER, LOC6594128|XP_002019432.1|DPER, LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC113565817|XP_026844838.1|DPER, LOC6598730|XP_026840231.1|DPER, LOC6597578|XP_026848930.1|DPER
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	LOC6594351|XP_026840807.1|DPER, LOC6594350|XP_002019529.2|DPER, LOC6594355|XP_002019534.1|DPER, LOC6594114|XP_002019536.2|DPER, LOC6590773|XP_002016461.1|DPER, LOC6594113|XP_002019535.2|DPER, LOC6594346|XP_002019525.2|DPER, LOC6594348|XP_002019527.1|DPER, LOC6594344|XP_002019523.1|DPER
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER, LOC6592578|XP_002017743.2|DPER, LOC6593580|XP_002018871.1|DPER, LOC6592580|XP_002017745.1|DPER, LOC6591036|XP_002016629.1|DPER
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC6599955|XP_002025032.1|DPER
OG0000025	LOC110678303|XP_021706666.1|AAEG, LOC110679736|XP_021711157.1|AAEG, LOC110679744|XP_021711165.1|AAEG, LOC110679739|XP_021711160.1|AAEG, LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC6604122|XP_002029055.1|DPER
OG0000025	LOC110679742|XP_021711163.1|AAEG	LOC113567384|XP_026850889.1|DPER
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC6600343|XP_026848406.1|DPER, LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER, LOC6598768|XP_002023910.1|DPER
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	LOC6589175|XP_002014624.1|DPER, LOC6589890|XP_026844932.1|DPER, LOC6589176|XP_002014625.1|DPER
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	LOC113566562|XP_026848458.1|DPER, LOC113566573|XP_026848580.1|DPER, LOC6602376|XP_026848583.1|DPER, LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER, LOC6602374|XP_026848578.1|DPER, LOC6599696|XP_002024949.1|DPER
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	LOC6592269|XP_002017847.2|DPER, LOC6590423|XP_002016595.1|DPER, LOC6587627|XP_026841612.1|DPER, LOC6599019|XP_002024136.1|DPER
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC6603379|XP_002028365.1|DPER, LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000032	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	LOC6598612|XP_002023857.1|DPER, LOC6598610|XP_026850099.1|DPER, LOC6598613|XP_002023858.2|DPER, LOC6598611|XP_026840271.1|DPER, LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER
OG0000034	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG	LOC6589244|XP_002014736.2|DPER, LOC6589243|XP_002014735.1|DPER, LOC6589242|XP_002014734.1|DPER, LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER, LOC6593808|XP_026844827.1|DPER
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC6587691|XP_002013731.1|DPER
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC6590968|XP_002015904.2|DPER, LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC5571376|XP_001659658.1|AAEG	LOC6602410|XP_002027415.1|DPER
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	LOC6591968|XP_026846968.1|DPER
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER
OG0000043	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG	LOC6594473|XP_002019739.2|DPER, LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER, LOC6594474|XP_002019740.1|DPER, LOC6594076|XP_002019736.1|DPER, LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER
OG0000044	LOC5567605|XP_021704850.1|AAEG	LOC6591553|XP_026847828.1|DPER, LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER, LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER, LOC113564933|XP_026840246.1|DPER
OG0000045	LOC5565204|XP_001649560.1|AAEG	LOC6601537|XP_002026551.1|DPER, LOC6595948|XP_002021076.1|DPER, LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC6589933|XP_002015961.2|DPER, LOC6592655|XP_026842447.1|DPER, LOC6592377|XP_002017999.1|DPER
OG0000048	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG	LOC6599712|XP_002024897.1|DPER, LOC6599711|XP_002024896.1|DPER, LOC6599880|XP_026847455.1|DPER, LOC6599882|XP_002024936.1|DPER, LOC6599879|XP_002024933.1|DPER
OG0000049	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER, LOC6598735|XP_002023804.1|DPER, LOC6598764|XP_002023798.1|DPER, LOC6598765|XP_002023799.1|DPER, LOC6598736|XP_026840083.1|DPER
OG0000051	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC6588071|XP_002014115.1|DPER, LOC6598821|XP_026848488.1|DPER, LOC6598820|XP_002023932.1|DPER, LOC6591581|XP_026848899.1|DPER, LOC113566604|XP_026848831.1|DPER
OG0000053	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG	LOC6589988|XP_002015740.1|DPER, LOC6589987|XP_002015739.1|DPER, LOC6589986|XP_002015738.1|DPER
OG0000054	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC6594489|XP_002019960.1|DPER, LOC6594490|XP_002019961.1|DPER, LOC6594491|XP_026850312.1|DPER, LOC6594493|XP_002019964.1|DPER, LOC6590894|XP_002016261.1|DPER, LOC6594492|XP_002019963.1|DPER
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC6595083|XP_002020145.1|DPER, LOC6595082|XP_002020144.1|DPER, LOC6595081|XP_002020143.1|DPER, LOC6588033|XP_002012860.1|DPER, LOC6588046|XP_002012859.1|DPER
OG0000058	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG	LOC6593806|XP_002019273.1|DPER, LOC6593936|XP_002019265.2|DPER, LOC6590269|XP_002015472.1|DPER, LOC6593807|XP_002019274.1|DPER, LOC6600389|XP_002025477.1|DPER
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC6603233|XP_026845368.1|DPER
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC6595218|XP_026848071.1|DPER
OG0000061	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG	LOC6596401|XP_002021586.2|DPER, LOC6596505|XP_002021579.1|DPER, LOC6596504|XP_002021578.1|DPER, LOC6596398|XP_002021583.1|DPER, LOC6596397|XP_002021582.1|DPER
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC6587985|XP_002013720.1|DPER, LOC6600313|XP_026849051.1|DPER
OG0000067	LOC5577759|XP_021704690.1|AAEG	LOC6592947|XP_002017691.1|DPER, LOC6600311|XP_002025365.2|DPER
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC6599619|XP_026849500.1|DPER
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG	LOC6600249|XP_026849073.1|DPER, LOC6595219|XP_026850489.1|DPER, LOC113564897|XP_026839974.1|DPER, LOC6595222|XP_026849095.1|DPER, LOC6593500|XP_002019163.2|DPER, LOC6597733|XP_026846914.1|DPER
OG0000070	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG	LOC6593928|XP_002019257.1|DPER, LOC6600003|XP_026849240.1|DPER, LOC6593930|XP_002019259.1|DPER, LOC6593929|XP_002019258.1|DPER
OG0000071	LOC5575314|XP_001655688.2|AAEG	LOC113566413|XP_026847671.1|DPER
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG	LOC6602203|XP_002027211.2|DPER, LOC6602202|XP_002027210.1|DPER, LOC6602204|XP_002027212.1|DPER
OG0000072	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG	LOC6589942|XP_002015970.1|DPER, LOC6589935|XP_002015963.1|DPER, LOC6589940|XP_026842218.1|DPER
OG0000073	LOC5573060|XP_021711274.1|AAEG	LOC6590059|XP_002016391.2|DPER
OG0000073	LOC5570618|XP_021706389.1|AAEG	LOC6596773|XP_026845891.1|DPER
OG0000073	LOC5573536|XP_021693962.1|AAEG	LOC6598784|XP_026845038.1|DPER
OG0000074	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG	LOC6601461|XP_002026428.1|DPER, LOC6595912|XP_002021058.1|DPER
OG0000076	LOC5569019|XP_021698411.1|AAEG	LOC6599674|XP_026847351.1|DPER
OG0000076	LOC5575395|XP_021710181.1|AAEG	LOC6597369|XP_002022410.2|DPER
OG0000077	LOC5576244|XP_001656025.1|AAEG	LOC6592709|XP_002018511.1|DPER
OG0000077	LOC110676765|XP_021701591.1|AAEG	LOC6594922|XP_002020130.2|DPER
OG0000077	LOC5576245|XP_001656026.2|AAEG	LOC6601317|XP_026842235.1|DPER
OG0000077	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG	LOC6588313|XP_026850466.1|DPER
OG0000078	LOC5575539|XP_021703479.1|AAEG	LOC6590621|XP_002016708.1|DPER, LOC6595620|XP_026844510.1|DPER, LOC6592106|XP_002017289.1|DPER, LOC6596196|XP_002021125.1|DPER, LOC6594273|XP_026849445.1|DPER, LOC6599452|XP_002024516.1|DPER, LOC6598424|XP_002023602.1|DPER
OG0000080	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG	LOC6602128|XP_002027100.1|DPER, LOC6602151|XP_026842704.1|DPER, LOC6602152|XP_026842703.1|DPER, LOC6601604|XP_026841767.1|DPER
OG0000082	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG	LOC6590930|XP_002016009.1|DPER, LOC6587757|XP_002012761.1|DPER, LOC6588213|XP_002013604.1|DPER
OG0000083	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG	LOC113565890|XP_026845054.1|DPER, LOC6589605|XP_002014312.2|DPER, LOC6593873|XP_002019170.1|DPER, LOC6593874|XP_026842967.1|DPER, LOC113565380|XP_026842968.1|DPER, LOC6593875|XP_002019172.1|DPER, LOC6589606|XP_002014313.2|DPER, LOC113565891|XP_026845056.1|DPER
OG0000084	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG	LOC6591191|XP_002015915.1|DPER
OG0000084	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG	LOC6600795|XP_002025966.1|DPER
OG0000085	LOC5574792|XP_001655347.2|AAEG	LOC6602085|XP_002027163.1|DPER
OG0000086	LOC5575040|XP_001661772.2|AAEG	LOC6589907|XP_002016516.1|DPER
OG0000087	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG	LOC6589273|XP_026844109.1|DPER
OG0000087	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG	LOC6593903|XP_002018780.1|DPER, LOC6589141|XP_002014431.1|DPER
OG0000088	LOC5573732|XP_001654757.1|AAEG	LOC6601258|XP_002026327.1|DPER
OG0000089	LOC5577489|XP_001663407.1|AAEG	LOC113565706|XP_026844403.1|DPER
OG0000089	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG	LOC6601937|XP_002026979.1|DPER
OG0000090	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG	LOC6592691|XP_002017728.1|DPER, LOC6593093|XP_026842252.1|DPER, LOC113566321|XP_026847263.1|DPER, LOC6601034|XP_002026122.2|DPER
OG0000091	LOC5578943|XP_021693136.1|AAEG	LOC6587436|XP_026850695.1|DPER
OG0000091	LOC5579216|XP_021706364.1|AAEG	LOC6589208|XP_002014698.1|DPER, LOC6588440|XP_002013817.1|DPER, LOC6588470|XP_002013826.1|DPER
OG0000094	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG	LOC6600289|XP_026849039.1|DPER, LOC6587848|XP_002013277.1|DPER
OG0000099	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG	LOC6598378|XP_026846207.1|DPER
OG0000101	LOC5567622|XP_021696506.1|AAEG	LOC6602368|XP_026848566.1|DPER, LOC6602367|XP_026848565.1|DPER, LOC113566568|XP_026848547.1|DPER, LOC6602366|XP_026848564.1|DPER, LOC6602370|XP_026848567.1|DPER, LOC6602371|XP_026848545.1|DPER
