Orthogroup	AAEG.longest_only	AALB.longest_only
OG0000004	LOC110680541|XP_021712028.1|AAEG, LOC110680535|XP_021712022.1|AAEG	LOC118463610|XP_035786183.1|AALB, LOC118465226|XP_035789114.1|AALB, LOC118463579|XP_035786113.1|AALB, LOC118463558|XP_035786086.1|AALB, LOC118463591|XP_035786144.1|AALB, LOC118463589|XP_035786142.1|AALB, LOC118463472|XP_035785954.1|AALB, LOC118463583|XP_035786116.1|AALB, LOC118463474|XP_035785956.1|AALB, LOC118465227|XP_035789115.1|AALB, LOC118462788|XP_035784672.1|AALB, LOC118463093|XP_035785266.1|AALB, LOC118465695|XP_035790016.1|AALB, LOC118467952|XP_035794816.1|AALB, LOC118465367|XP_035789455.1|AALB, LOC118465368|XP_035789456.1|AALB
OG0000004	LOC110678225|XP_021706535.1|AAEG	LOC118463339|XP_035785747.1|AALB, LOC118463355|XP_035785764.1|AALB, LOC118467023|XP_035792868.1|AALB, LOC118463407|XP_035785852.1|AALB, LOC118467022|XP_035792867.1|AALB
OG0000005	LOC110678306|XP_021706669.1|AAEG, LOC110679756|XP_021711178.1|AAEG, LOC110679765|XP_021711187.1|AAEG, LOC110679758|XP_021711180.1|AAEG, LOC110679757|XP_021711179.1|AAEG, LOC110678835|XP_021708005.1|AAEG, LOC110678355|XP_021706809.1|AAEG, LOC110679763|XP_021711185.1|AAEG, LOC110679761|XP_021711183.1|AAEG, LOC110679762|XP_021711184.1|AAEG, LOC110678305|XP_021706668.1|AAEG, LOC110679759|XP_021711181.1|AAEG, LOC110679792|XP_021711215.1|AAEG, LOC110678354|XP_021706808.1|AAEG, LOC110679766|XP_021711188.1|AAEG, LOC110679755|XP_021711177.1|AAEG, LOC110679770|XP_021711192.1|AAEG, LOC5579087|XP_001657281.1|AAEG, LOC110679769|XP_021711191.1|AAEG, LOC110679768|XP_021711190.1|AAEG, LOC110679767|XP_021711189.1|AAEG, LOC110679771|XP_021711193.1|AAEG, LOC110679753|XP_021711174.1|AAEG, LOC110679788|XP_021711212.1|AAEG, LOC110679760|XP_021711182.1|AAEG	LOC118463672|XP_035786322.1|AALB, LOC118465116|XP_035788956.1|AALB, LOC118467850|XP_035794648.1|AALB, LOC118467567|XP_035794087.1|AALB
OG0000006	LOC110678308|XP_021706672.1|AAEG, LOC110678836|XP_021708006.1|AAEG, LOC110679779|XP_021711202.1|AAEG	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC118465084|XP_035788881.1|AALB
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC5573609|XP_001654720.1|AAEG	LOC118460625|XP_035780966.1|AALB
OG0000008	LOC110677732|XP_021704637.1|AAEG	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG	LOC118457984|XP_035775939.1|AALB
OG0000009	LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG	LOC118459109|XP_035778066.1|AALB
OG0000009	LOC5578292|XP_001663820.1|AAEG	LOC118464365|XP_035787590.1|AALB
OG0000009	LOC5576588|XP_001656165.1|AAEG	LOC118463211|XP_035785546.1|AALB
OG0000009	LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC118460748|XP_035781232.1|AALB
OG0000010	LOC110678359|XP_021706812.1|AAEG	LOC118464061|XP_035787001.1|AALB
OG0000010	LOC110679751|XP_021711173.1|AAEG	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC110679806|XP_021711230.1|AAEG	LOC118464059|XP_035786999.1|AALB
OG0000011	LOC110678451|XP_021707047.1|AAEG	LOC118468649|XP_035795569.1|AALB
OG0000011	LOC5570988|XP_001659449.2|AAEG	LOC118459877|XP_035779560.1|AALB
OG0000012	LOC5575907|XP_021696041.1|AAEG	LOC118463566|XP_035786097.1|AALB
OG0000012	LOC5575913|XP_001662283.2|AAEG	LOC118462971|XP_035785031.1|AALB
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC5571832|XP_001659963.1|AAEG	LOC118463956|XP_035786832.1|AALB
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC5565156|XP_001649531.1|AAEG	LOC118468981|XP_035796265.1|AALB
OG0000016	LOC5571971|XP_001660073.1|AAEG	LOC118458000|XP_035775969.1|AALB
OG0000016	LOC5572985|XP_021710979.1|AAEG	LOC118464033|XP_035786987.1|AALB
OG0000016	LOC5567309|XP_001651744.2|AAEG	LOC118464459|XP_035787743.1|AALB
OG0000016	LOC5567310|XP_001651745.1|AAEG	LOC118464140|XP_035787136.1|AALB
OG0000016	LOC5572986|XP_001654313.1|AAEG	LOC118463980|XP_035786885.1|AALB
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC118463128|XP_035785378.1|AALB
OG0000018	LOC5574853|XP_001661677.2|AAEG	LOC118463106|XP_035785316.1|AALB
OG0000018	LOC5578698|XP_001657098.2|AAEG	LOC118465487|XP_035789683.1|AALB
OG0000018	LOC5578135|XP_001663705.1|AAEG, LOC5578130|XP_001663703.1|AAEG, LOC5568889|XP_001658209.1|AAEG, LOC5568885|XP_001658210.1|AAEG, LOC5578136|XP_001663706.1|AAEG	LOC118465489|XP_035789685.1|AALB
OG0000019	LOC23687711|XP_021707253.1|AAEG	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB
OG0000019	LOC5568697|XP_001652520.1|AAEG	LOC118467701|XP_035794377.1|AALB
OG0000019	LOC5570298|XP_021708318.1|AAEG	LOC118457590|XP_035775173.1|AALB
OG0000019	LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC118460669|XP_035781036.1|AALB
OG0000020	LOC5578721|XP_021693724.1|AAEG, LOC5578720|XP_021693720.1|AAEG	LOC118461366|XP_035782501.1|AALB
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC118467629|XP_035794243.1|AALB
OG0000020	LOC5567254|XP_021706785.1|AAEG	LOC118457118|XP_035774313.1|AALB
OG0000020	LOC5567250|XP_001651693.2|AAEG	LOC118468857|XP_035796008.1|AALB
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC118467519|XP_035793970.1|AALB
OG0000023	LOC23687491|XP_011493543.2|AAEG	LOC118465606|XP_035789874.1|AALB
OG0000023	LOC5573293|XP_001654509.1|AAEG	LOC118465607|XP_035789875.1|AALB
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000025	LOC110679742|XP_021711163.1|AAEG	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC5573680|XP_001661002.2|AAEG	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB
OG0000026	LOC5573679|XP_001661001.2|AAEG	LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC5573908|XP_001654944.1|AAEG, LOC5573912|XP_001654948.2|AAEG, LOC5573913|XP_001654949.1|AAEG, LOC5573917|XP_001654953.1|AAEG, LOC110677071|XP_021703360.1|AAEG, LOC5573924|XP_001654960.1|AAEG, LOC5573923|XP_001654959.1|AAEG	LOC118458886|XP_035777730.1|AALB
OG0000027	LOC5573914|XP_001654950.2|AAEG, LOC5573911|XP_001654947.1|AAEG, LOC5573918|XP_001654954.1|AAEG	LOC118457179|XP_035774403.1|AALB
OG0000027	LOC110677065|XP_021703353.1|AAEG, LOC23687652|XP_011493564.1|AAEG, LOC110677066|XP_021703354.1|AAEG, LOC110677067|XP_021703355.1|AAEG	LOC118458881|XP_035777725.1|AALB, LOC118458885|XP_035777729.1|AALB, LOC118458884|XP_035777728.1|AALB, LOC118458347|XP_035776592.1|AALB, LOC118458344|XP_035776590.1|AALB, LOC118459103|XP_035778060.1|AALB, LOC118458345|XP_035776591.1|AALB, LOC118468376|XP_035795028.1|AALB, LOC118458349|XP_035776594.1|AALB
OG0000027	LOC23687822|XP_011493565.1|AAEG	LOC118456231|XP_035772706.1|AALB
OG0000027	LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG	LOC118469008|XP_035796336.1|AALB
OG0000027	LOC5573904|XP_021698223.1|AAEG	LOC118456249|XP_035772738.1|AALB
OG0000028	LOC110676609|XP_021700847.1|AAEG	LOC118456178|XP_035772621.1|AALB
OG0000029	LOC5575791|XP_001662213.2|AAEG	LOC118458435|XP_035776786.1|AALB
OG0000029	LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG	LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB
OG0000029	LOC5572841|XP_001660601.1|AAEG	LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC118467279|XP_035793475.1|AALB
OG0000031	LOC5575324|XP_021704385.1|AAEG	LOC118467035|XP_035792911.1|AALB
OG0000031	LOC5575328|XP_021706472.1|AAEG	LOC118466020|XP_035790729.1|AALB, LOC118465693|XP_035790014.1|AALB, LOC118467045|XP_035792924.1|AALB, LOC118467042|XP_035792921.1|AALB
OG0000031	LOC5575329|XP_021705368.1|AAEG	LOC118467043|XP_035792922.1|AALB
OG0000031	LOC5575350|XP_001655728.2|AAEG, LOC5575349|XP_001655727.2|AAEG, LOC5575351|XP_001655729.2|AAEG	LOC118467044|XP_035792923.1|AALB
OG0000032	LOC5573538|XP_001654674.2|AAEG	LOC118456851|XP_035773843.1|AALB
OG0000032	LOC5568353|XP_001658007.2|AAEG	LOC118459702|XP_035779237.1|AALB
OG0000032	LOC5568355|XP_001658009.2|AAEG	LOC118457171|XP_035774395.1|AALB
OG0000034	LOC5571297|XP_021695840.1|AAEG	LOC118466655|XP_035792144.1|AALB
OG0000034	LOC5571109|XP_001659549.2|AAEG	LOC118463234|XP_035785585.1|AALB
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC118457097|XP_035774277.1|AALB
OG0000036	LOC5563617|XP_021704443.1|AAEG	LOC118468930|XP_035796146.1|AALB
OG0000036	LOC5566508|XP_001650899.2|AAEG	LOC118465413|XP_035789528.1|AALB
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC5571376|XP_001659658.1|AAEG	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC5571365|XP_001659647.1|AAEG	LOC118464578|XP_035787914.1|AALB
OG0000038	LOC5571328|XP_001659610.1|AAEG	LOC118467864|XP_035794665.1|AALB
OG0000038	LOC5565248|XP_001649587.2|AAEG, LOC5566839|XP_001651249.2|AAEG, LOC5566838|XP_021698960.1|AAEG, LOC5571336|XP_001659618.1|AAEG, LOC5571343|XP_001659625.1|AAEG, LOC5565247|XP_001649588.2|AAEG, LOC5565794|XP_001659634.1|AAEG, LOC5571356|XP_001659638.1|AAEG, LOC5571353|XP_021695227.1|AAEG, LOC5571357|XP_021695228.1|AAEG, LOC5571355|XP_001659637.1|AAEG, LOC5571358|XP_001659640.2|AAEG, LOC5565793|XP_001650156.1|AAEG, LOC5571329|XP_001659612.2|AAEG, LOC110675440|XP_021696178.1|AAEG, LOC5571333|XP_001659614.2|AAEG, LOC5571330|XP_001659613.2|AAEG, LOC5571370|XP_021696182.1|AAEG, LOC5571360|XP_001659642.1|AAEG, LOC5571359|XP_001659641.1|AAEG, LOC5571362|XP_001659644.2|AAEG, LOC5565431|XP_001649812.1|AAEG, LOC5565791|XP_021698965.1|AAEG, LOC5579385|XP_001647688.2|AAEG, LOC5571364|XP_001659646.1|AAEG	LOC118467867|XP_035794667.1|AALB
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB
OG0000039	LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	LOC118458769|XP_035777454.1|AALB
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC5573284|XP_021699050.1|AAEG	LOC118465605|XP_035789873.1|AALB
OG0000043	LOC5571298|XP_001653602.1|AAEG	LOC118466656|XP_035792145.1|AALB
OG0000045	LOC5570385|XP_001659105.1|AAEG	LOC118465475|XP_035789666.1|AALB
OG0000045	LOC5570388|XP_021696806.1|AAEG	LOC118464996|XP_035788729.1|AALB
OG0000045	LOC5570392|XP_001659103.1|AAEG, LOC5570386|XP_001659102.2|AAEG, LOC5570384|XP_001659101.2|AAEG, LOC5570390|XP_001659100.2|AAEG	LOC118464285|XP_035787454.1|AALB, LOC118463346|XP_035785752.1|AALB
OG0000045	LOC5570387|XP_021696808.1|AAEG	LOC118463283|XP_035785654.1|AALB
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC5571813|XP_001659945.1|AAEG	LOC118465522|XP_035789739.1|AALB
OG0000048	LOC5571812|XP_001659944.1|AAEG	LOC118465712|XP_035790036.1|AALB
OG0000049	LOC5574352|XP_021698905.1|AAEG	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB
OG0000049	LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG	LOC118463311|XP_035785688.1|AALB
OG0000051	LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG	LOC118456657|XP_035773500.1|AALB
OG0000051	LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC118456656|XP_035773499.1|AALB
OG0000053	LOC5578089|XP_001656785.2|AAEG	LOC118467904|XP_035794724.1|AALB
OG0000053	LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG	LOC118465671|XP_035789993.1|AALB
OG0000053	LOC5565449|XP_001649787.1|AAEG	LOC118465672|XP_035789994.1|AALB
OG0000053	LOC5565453|XP_001649784.1|AAEG	LOC118465673|XP_035789996.1|AALB
OG0000053	LOC5572111|XP_001660189.2|AAEG	LOC118457028|XP_035774155.1|AALB
OG0000054	LOC5573294|XP_001654510.2|AAEG	LOC118465600|XP_035789868.1|AALB
OG0000054	LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG	LOC118464275|XP_035787431.1|AALB
OG0000054	LOC5573297|XP_021699065.1|AAEG	LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB
OG0000054	LOC23687731|XP_011493547.2|AAEG	LOC118465599|XP_035789867.1|AALB
OG0000054	LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC118465601|XP_035789869.1|AALB
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC118463646|XP_035786286.1|AALB
OG0000057	LOC110679387|XP_021709560.1|AAEG	LOC118462888|XP_035784864.1|AALB
OG0000058	LOC5565079|XP_001649422.1|AAEG	LOC118465012|XP_035788756.1|AALB
OG0000058	LOC5574102|XP_001661173.1|AAEG	LOC118466840|XP_035792555.1|AALB
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC118457079|XP_035774255.1|AALB
OG0000061	LOC5574951|XP_001655422.1|AAEG	LOC118462629|XP_035784366.1|AALB, LOC118462631|XP_035784368.1|AALB
OG0000061	LOC5574942|XP_001655413.1|AAEG, LOC5574945|XP_001655414.1|AAEG, LOC5574949|XP_001655416.2|AAEG	LOC118466082|XP_035790867.1|AALB
OG0000064	LOC110677362|XP_021704105.1|AAEG, LOC110679437|XP_021709704.1|AAEG	LOC118463671|XP_035786321.1|AALB
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG	LOC118465636|XP_035789936.1|AALB
OG0000068	LOC5576676|XP_021697250.1|AAEG	LOC118465635|XP_035789931.1|AALB
OG0000068	LOC5570567|XP_021709756.1|AAEG	LOC118467770|XP_035794492.1|AALB
OG0000068	LOC5572988|XP_001654315.1|AAEG	LOC118466177|XP_035791057.1|AALB
OG0000069	LOC5580256|XP_021711909.1|AAEG, LOC110675807|XP_021697308.1|AAEG, LOC5574104|XP_001661174.2|AAEG, LOC110675427|XP_021696095.1|AAEG	LOC118467413|XP_035793790.1|AALB, LOC118463230|XP_035785577.1|AALB, LOC118464646|XP_035788004.1|AALB
OG0000070	LOC5576475|XP_001662668.2|AAEG	LOC118466080|XP_035790865.1|AALB
OG0000070	LOC5576476|XP_001662669.2|AAEG	LOC118461049|XP_035781833.1|AALB
OG0000071	LOC5575314|XP_001655688.2|AAEG	LOC118464383|XP_035787619.1|AALB
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB
OG0000071	LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG	LOC118465893|XP_035790437.1|AALB
OG0000072	LOC5574117|XP_021698234.1|AAEG	LOC118465748|XP_035790112.1|AALB
OG0000072	LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG	LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC5573060|XP_021711274.1|AAEG	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC5580128|XP_021699254.1|AAEG	LOC118468531|XP_035795302.1|AALB, LOC118468327|XP_035794968.1|AALB
OG0000073	LOC5570618|XP_021706389.1|AAEG	LOC118461208|XP_035782153.1|AALB
OG0000073	LOC5563780|XP_021706656.1|AAEG	LOC118460487|XP_035780728.1|AALB
OG0000073	LOC5573536|XP_021693962.1|AAEG	LOC118458541|XP_035777018.1|AALB
OG0000073	LOC5578376|XP_021695142.1|AAEG	LOC118468553|XP_035795347.1|AALB
OG0000073	LOC5567734|XP_021702094.1|AAEG	LOC118466170|XP_035791050.1|AALB
OG0000074	LOC5570263|XP_001659044.1|AAEG	LOC118467317|XP_035793548.1|AALB
OG0000074	LOC5570267|XP_001659048.1|AAEG	LOC118464632|XP_035787971.1|AALB
OG0000074	LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG	LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB
OG0000074	LOC5570270|XP_001659051.1|AAEG	LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB
OG0000076	LOC5569019|XP_021698411.1|AAEG	LOC118462886|XP_035784863.1|AALB
OG0000076	LOC5575395|XP_021710181.1|AAEG	LOC118456474|XP_035773167.1|AALB
OG0000077	LOC5576244|XP_001656025.1|AAEG	LOC118467920|XP_035794755.1|AALB
OG0000077	LOC110676765|XP_021701591.1|AAEG	LOC118460116|XP_035780047.1|AALB
OG0000077	LOC5576245|XP_001656026.2|AAEG	LOC118463835|XP_035786622.1|AALB
OG0000077	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG	LOC118466147|XP_035791003.1|AALB
OG0000077	LOC5565681|XP_001650054.1|AAEG	LOC118465737|XP_035790092.1|AALB
OG0000078	LOC5575539|XP_021703479.1|AAEG	LOC118456476|XP_035773179.1|AALB
OG0000080	LOC5569491|XP_001658576.2|AAEG, LOC5569492|XP_021711678.1|AAEG	LOC118463760|XP_035786467.1|AALB
