Orthogroup	AAEG.longest_only	ASTE.longest_only
OG0000020	LOC5567250|XP_001651693.2|AAEG	LOC118507694|XP_035902424.1|ASTE
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC118505404|XP_035897036.1|ASTE
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC118505796|XP_035898023.1|ASTE
OG0000023	LOC23687491|XP_011493543.2|AAEG	LOC118511284|XP_035910083.1|ASTE
OG0000023	LOC5573293|XP_001654509.1|AAEG	LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC5574772|XP_001655332.2|AAEG	LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC110679739|XP_021711160.1|AAEG, LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC5573680|XP_001661002.2|AAEG	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE
OG0000026	LOC5573679|XP_001661001.2|AAEG	LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC5573908|XP_001654944.1|AAEG, LOC5573912|XP_001654948.2|AAEG, LOC5573913|XP_001654949.1|AAEG, LOC5573917|XP_001654953.1|AAEG, LOC110677071|XP_021703360.1|AAEG, LOC5573924|XP_001654960.1|AAEG, LOC5573923|XP_001654959.1|AAEG	LOC118514318|XP_035916995.1|ASTE, LOC118514317|XP_035916994.1|ASTE
OG0000027	LOC5573914|XP_001654950.2|AAEG, LOC5573911|XP_001654947.1|AAEG, LOC5573918|XP_001654954.1|AAEG	LOC118514316|XP_035916993.1|ASTE
OG0000027	LOC110677065|XP_021703353.1|AAEG, LOC23687652|XP_011493564.1|AAEG, LOC110677066|XP_021703354.1|AAEG, LOC110677067|XP_021703355.1|AAEG	LOC118514315|XP_035916992.1|ASTE, LOC118514308|XP_035916985.1|ASTE, LOC118514312|XP_035916989.1|ASTE, LOC118514313|XP_035916990.1|ASTE, LOC118514314|XP_035916991.1|ASTE, LOC118514310|XP_035916987.1|ASTE, LOC118514309|XP_035916986.1|ASTE, LOC118514311|XP_035916988.1|ASTE, LOC118514306|XP_035916982.1|ASTE
OG0000027	LOC23687822|XP_011493565.1|AAEG	LOC118512970|XP_035914090.1|ASTE
OG0000027	LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG	LOC118509804|XP_035906835.1|ASTE
OG0000027	LOC5573904|XP_021698223.1|AAEG	LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC110676609|XP_021700847.1|AAEG	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC5575791|XP_001662213.2|AAEG	LOC118504435|XP_035894769.1|ASTE
OG0000029	LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG	LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE
OG0000029	LOC5572841|XP_001660601.1|AAEG	LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000031	LOC5575324|XP_021704385.1|AAEG	LOC118503404|XP_035892502.1|ASTE
OG0000031	LOC5575328|XP_021706472.1|AAEG	LOC118503633|XP_035893023.1|ASTE
OG0000031	LOC5575329|XP_021705368.1|AAEG	LOC118503635|XP_035893026.1|ASTE, LOC118503631|XP_035893019.1|ASTE
OG0000031	LOC5575350|XP_001655728.2|AAEG, LOC5575349|XP_001655727.2|AAEG, LOC5575351|XP_001655729.2|AAEG	LOC118503636|XP_035893027.1|ASTE
OG0000032	LOC5573538|XP_001654674.2|AAEG	LOC118503124|XP_035891971.1|ASTE
OG0000032	LOC5568355|XP_001658009.2|AAEG	LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC5571297|XP_021695840.1|AAEG	LOC118512076|XP_035911906.1|ASTE
OG0000034	LOC5571109|XP_001659549.2|AAEG	LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC118502424|XP_035890544.1|ASTE
OG0000036	LOC5563617|XP_021704443.1|AAEG	LOC118506977|XP_035900729.1|ASTE
OG0000036	LOC5566508|XP_001650899.2|AAEG	LOC118505354|XP_035896919.1|ASTE
OG0000036	LOC5563566|XP_001647872.2|AAEG	LOC118506976|XP_035900728.1|ASTE
OG0000036	LOC5563662|XP_001647873.3|AAEG, LOC5568137|XP_001652078.2|AAEG, LOC5568136|XP_001652079.1|AAEG, LOC5568133|XP_001652075.2|AAEG	LOC118506974|XP_035900726.1|ASTE
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC5571376|XP_001659658.1|AAEG	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC5571365|XP_001659647.1|AAEG	LOC118514617|XP_035917507.1|ASTE, LOC118514616|XP_035917506.1|ASTE, LOC118514615|XP_035917505.1|ASTE
OG0000038	LOC5571328|XP_001659610.1|AAEG	LOC118510900|XP_035909180.1|ASTE, LOC118510895|XP_035909172.1|ASTE
OG0000038	LOC5565248|XP_001649587.2|AAEG, LOC5566839|XP_001651249.2|AAEG, LOC5566838|XP_021698960.1|AAEG, LOC5571336|XP_001659618.1|AAEG, LOC5571343|XP_001659625.1|AAEG, LOC5565247|XP_001649588.2|AAEG, LOC5565794|XP_001659634.1|AAEG, LOC5571356|XP_001659638.1|AAEG, LOC5571353|XP_021695227.1|AAEG, LOC5571357|XP_021695228.1|AAEG, LOC5571355|XP_001659637.1|AAEG, LOC5571358|XP_001659640.2|AAEG, LOC5565793|XP_001650156.1|AAEG, LOC5571329|XP_001659612.2|AAEG, LOC110675440|XP_021696178.1|AAEG, LOC5571333|XP_001659614.2|AAEG, LOC5571330|XP_001659613.2|AAEG, LOC5571370|XP_021696182.1|AAEG, LOC5571360|XP_001659642.1|AAEG, LOC5571359|XP_001659641.1|AAEG, LOC5571362|XP_001659644.2|AAEG, LOC5565431|XP_001649812.1|AAEG, LOC5565791|XP_021698965.1|AAEG, LOC5579385|XP_001647688.2|AAEG, LOC5571364|XP_001659646.1|AAEG	LOC118510905|XP_035909186.1|ASTE
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE
OG0000039	LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC5573284|XP_021699050.1|AAEG	LOC118514201|XP_035916783.1|ASTE
OG0000045	LOC5570385|XP_001659105.1|AAEG	LOC118514603|XP_035917492.1|ASTE
OG0000045	LOC5570388|XP_021696806.1|AAEG	LOC118511567|XP_035910700.1|ASTE
OG0000045	LOC5570392|XP_001659103.1|AAEG, LOC5570386|XP_001659102.2|AAEG, LOC5570384|XP_001659101.2|AAEG, LOC5570390|XP_001659100.2|AAEG	LOC118513290|XP_035914756.1|ASTE, LOC118514320|XP_035916997.1|ASTE
OG0000045	LOC5570387|XP_021696808.1|AAEG	LOC118509249|XP_035905476.1|ASTE
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC5571813|XP_001659945.1|AAEG	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC5574352|XP_021698905.1|AAEG	LOC118510116|XP_035907473.1|ASTE
OG0000049	LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG	LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC5575191|XP_021704581.1|AAEG	LOC118504525|XP_035894960.1|ASTE
OG0000051	LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG	LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE
OG0000051	LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC5578089|XP_001656785.2|AAEG	LOC118503243|XP_035892157.1|ASTE
OG0000053	LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG	LOC118503347|XP_035892412.1|ASTE
OG0000053	LOC5565449|XP_001649787.1|AAEG	LOC118503346|XP_035892410.1|ASTE
OG0000053	LOC5565453|XP_001649784.1|AAEG	LOC118503349|XP_035892422.1|ASTE
OG0000053	LOC5572111|XP_001660189.2|AAEG	LOC118504346|XP_035894606.1|ASTE
OG0000054	LOC5573294|XP_001654510.2|AAEG	LOC118511291|XP_035910092.1|ASTE
OG0000054	LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG	LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE
OG0000054	LOC5573297|XP_021699065.1|AAEG	LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE
OG0000054	LOC23687731|XP_011493547.2|AAEG	LOC118512788|XP_035913599.1|ASTE
OG0000054	LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC118512789|XP_035913600.1|ASTE
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC118507841|XP_035902865.1|ASTE
OG0000057	LOC110679387|XP_021709560.1|AAEG	LOC118514020|XP_035916389.1|ASTE, LOC118506375|XP_035899336.1|ASTE
OG0000057	LOC110674257|XP_021694215.1|AAEG	LOC118509844|XP_035906932.1|ASTE, LOC118514365|XP_035917100.1|ASTE, LOC118512231|XP_035912258.1|ASTE, LOC118516434|XP_035918205.1|ASTE, LOC118511994|XP_035911622.1|ASTE, LOC118506018|XP_035898502.1|ASTE, LOC118512363|XP_035912575.1|ASTE, LOC118510042|XP_035907323.1|ASTE, LOC118502429|XP_035890550.1|ASTE, LOC118502444|XP_035890566.1|ASTE, LOC118516442|XP_035918223.1|ASTE, LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE, LOC118506538|XP_035899704.1|ASTE, LOC118515254|XP_035917835.1|ASTE, LOC118508925|XP_035904701.1|ASTE, LOC118502372|XP_035890485.1|ASTE, LOC118509992|XP_035907268.1|ASTE, LOC118506863|XP_035900492.1|ASTE
OG0000058	LOC5565079|XP_001649422.1|AAEG	LOC118513234|XP_035914678.1|ASTE
OG0000058	LOC5574102|XP_001661173.1|AAEG	LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC118514292|XP_035916947.1|ASTE
OG0000061	LOC5574951|XP_001655422.1|AAEG	LOC118507312|XP_035901588.1|ASTE, LOC118507313|XP_035901589.1|ASTE
OG0000061	LOC5574942|XP_001655413.1|AAEG, LOC5574945|XP_001655414.1|AAEG, LOC5574949|XP_001655416.2|AAEG	LOC118508147|XP_035903576.1|ASTE
OG0000061	LOC5564570|XP_001648916.2|AAEG	LOC118508152|XP_035903582.1|ASTE
OG0000064	LOC110677362|XP_021704105.1|AAEG, LOC110679437|XP_021709704.1|AAEG	LOC118507461|XP_035901847.1|ASTE, LOC118516630|XP_035918499.1|ASTE, LOC118516592|XP_035918448.1|ASTE, LOC118516616|XP_035918482.1|ASTE, LOC118516951|XP_035918675.1|ASTE, LOC118516548|XP_035918387.1|ASTE
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG	LOC118509544|XP_035906185.1|ASTE
OG0000068	LOC5576676|XP_021697250.1|AAEG	LOC118509545|XP_035906187.1|ASTE
OG0000068	LOC5570567|XP_021709756.1|AAEG	LOC118504040|XP_035893930.1|ASTE
OG0000068	LOC5570566|XP_021709760.1|AAEG	LOC118504041|XP_035893931.1|ASTE
OG0000068	LOC5572988|XP_001654315.1|AAEG	LOC118505785|XP_035897988.1|ASTE
OG0000069	LOC5580256|XP_021711909.1|AAEG, LOC110675807|XP_021697308.1|AAEG, LOC5574104|XP_001661174.2|AAEG, LOC110675427|XP_021696095.1|AAEG, LOC110679358|XP_021709465.1|AAEG, LOC110678171|XP_021706487.1|AAEG	LOC118514237|XP_035916837.1|ASTE
OG0000069	LOC110681559|XP_021713329.1|AAEG	LOC118508847|XP_035904491.1|ASTE
OG0000070	LOC5576476|XP_001662669.2|AAEG	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC5575314|XP_001655688.2|AAEG	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE
OG0000071	LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG	LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE
