Orthogroup	AAEG.longest_only	DSUB.longest_only
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC117898536|XP_034663901.1|DSUB
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB, LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC117903845|XP_034672195.1|DSUB
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	LOC117893424|XP_034655932.1|DSUB
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC5577643|XP_001656641.1|AAEG	LOC117895272|XP_034658688.1|DSUB
OG0000019	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB, LOC117892172|XP_034654141.1|DSUB
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC117902343|XP_034669534.1|DSUB, LOC117898500|XP_034663833.1|DSUB, LOC117898411|XP_034663671.1|DSUB, LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC117896843|XP_034661258.1|DSUB, LOC117898591|XP_034664027.1|DSUB
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	LOC117896148|XP_034660114.1|DSUB, LOC117896153|XP_034660122.1|DSUB, LOC117896151|XP_034660118.1|DSUB, LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB, LOC117898724|XP_034664233.1|DSUB, LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB, LOC117889934|XP_034650356.1|DSUB, LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB, LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	LOC117902555|XP_034669887.1|DSUB, LOC117902556|XP_034669889.1|DSUB, LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB, LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB, LOC117894266|XP_034657112.1|DSUB, LOC117894265|XP_034657110.1|DSUB, LOC117894530|XP_034657538.1|DSUB
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB
OG0000032	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	LOC117898600|XP_034664039.1|DSUB, LOC117898601|XP_034664041.1|DSUB, LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB, LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB
OG0000034	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC117896918|XP_034661349.1|DSUB
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC117890311|XP_034650989.1|DSUB, LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	LOC5571376|XP_001659658.1|AAEG	LOC117894264|XP_034657109.1|DSUB
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	LOC117897419|XP_034662142.1|DSUB
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000043	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG	LOC117898000|XP_034663019.1|DSUB, LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB, LOC117898866|XP_034664435.1|DSUB, LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB, LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC5567605|XP_021704850.1|AAEG	LOC117898991|XP_034664623.1|DSUB, LOC117895983|XP_034659856.1|DSUB, LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB, LOC117898153|XP_034663242.1|DSUB
OG0000045	LOC5565204|XP_001649560.1|AAEG	LOC117893502|XP_034656031.1|DSUB, LOC117894637|XP_034657700.1|DSUB, LOC117893875|XP_034656539.1|DSUB
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC117891323|XP_034652630.1|DSUB, LOC117891482|XP_034652852.1|DSUB, LOC117892480|XP_034654625.1|DSUB, LOC117893757|XP_034656383.1|DSUB, LOC117891376|XP_034652704.1|DSUB, LOC117895380|XP_034658890.1|DSUB
OG0000048	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG	LOC117894519|XP_034657522.1|DSUB, LOC117894520|XP_034657523.1|DSUB, LOC117894523|XP_034657528.1|DSUB, LOC117894537|XP_034657548.1|DSUB
OG0000049	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG	LOC117898484|XP_034663812.1|DSUB, LOC117898479|XP_034663805.1|DSUB, LOC117899170|XP_034664920.1|DSUB, LOC117898482|XP_034663809.1|DSUB
OG0000051	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC117896438|XP_034660657.1|DSUB, LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB, LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB
OG0000053	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG	LOC117890537|XP_034651353.1|DSUB, LOC117890535|XP_034651347.1|DSUB
OG0000054	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB, LOC117898651|XP_034664113.1|DSUB, LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC117898462|XP_034663775.1|DSUB, LOC117898463|XP_034663777.1|DSUB, LOC117898461|XP_034663774.1|DSUB, LOC117897244|XP_034661856.1|DSUB, LOC117897243|XP_034661853.1|DSUB
OG0000058	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB, LOC117902359|XP_034669562.1|DSUB, LOC117894861|XP_034658013.1|DSUB
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC117903129|XP_034670852.1|DSUB
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC117896503|XP_034660743.1|DSUB
OG0000061	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG	LOC117901880|XP_034668728.1|DSUB, LOC117901276|XP_034667861.1|DSUB, LOC117901275|XP_034667859.1|DSUB, LOC117901832|XP_034668656.1|DSUB
OG0000064	LOC110679138|XP_021708882.1|AAEG, LOC110676692|XP_021701239.1|AAEG	LOC117902340|XP_034669530.1|DSUB, LOC117901890|XP_034668743.1|DSUB
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC117899613|XP_034665647.1|DSUB, LOC117895462|XP_034659028.1|DSUB
OG0000067	LOC5577759|XP_021704690.1|AAEG	LOC117890918|XP_034651937.1|DSUB, LOC117895461|XP_034659026.1|DSUB
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC117894476|XP_034657468.1|DSUB
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG	LOC117893343|XP_034655824.1|DSUB, LOC117893309|XP_034655788.1|DSUB, LOC117901009|XP_034667498.1|DSUB, LOC117902385|XP_034669640.1|DSUB
OG0000070	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG	LOC117900906|XP_034667357.1|DSUB, LOC117896707|XP_034661058.1|DSUB, LOC117901077|XP_034667580.1|DSUB, LOC117900908|XP_034667359.1|DSUB, LOC117900907|XP_034667358.1|DSUB
OG0000071	LOC5575314|XP_001655688.2|AAEG	LOC117893134|XP_034655476.1|DSUB
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG	LOC117895747|XP_034659509.1|DSUB, LOC117895750|XP_034659511.1|DSUB, LOC117895746|XP_034659508.1|DSUB
OG0000072	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG	LOC117891009|XP_034652056.1|DSUB, LOC117889765|XP_034650103.1|DSUB, LOC117891008|XP_034652055.1|DSUB
OG0000073	LOC5573060|XP_021711274.1|AAEG	LOC117890320|XP_034650999.1|DSUB
OG0000073	LOC5570618|XP_021706389.1|AAEG	LOC117901954|XP_034668826.1|DSUB
OG0000073	LOC5573536|XP_021693962.1|AAEG	LOC117897070|XP_034661568.1|DSUB
OG0000074	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG	LOC117893667|XP_034656248.1|DSUB, LOC117894584|XP_034657620.1|DSUB, LOC117894701|XP_034657775.1|DSUB
OG0000076	LOC5569019|XP_021698411.1|AAEG	LOC117895853|XP_034659710.1|DSUB
OG0000076	LOC5575395|XP_021710181.1|AAEG	LOC117898747|XP_034664263.1|DSUB
OG0000077	LOC5576244|XP_001656025.1|AAEG	LOC117891833|XP_034653474.1|DSUB
OG0000077	LOC110676765|XP_021701591.1|AAEG	LOC117897634|XP_034662499.1|DSUB
OG0000077	LOC5576245|XP_001656026.2|AAEG	LOC117890642|XP_034651485.1|DSUB
OG0000077	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG	LOC117897194|XP_034661786.1|DSUB
OG0000078	LOC5575539|XP_021703479.1|AAEG	LOC117890243|XP_034650880.1|DSUB, LOC117895683|XP_034659401.1|DSUB, LOC117895684|XP_034659403.1|DSUB, LOC117897889|XP_034662857.1|DSUB, LOC117892312|XP_034654358.1|DSUB, LOC117899598|XP_034665610.1|DSUB
OG0000080	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG	LOC117892139|XP_034654068.1|DSUB, LOC117890994|XP_034652034.1|DSUB, LOC117892007|XP_034653785.1|DSUB
OG0000082	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG	LOC117890838|XP_034651812.1|DSUB, LOC117897518|XP_034662325.1|DSUB, LOC117898678|XP_034664152.1|DSUB
OG0000083	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG	LOC117900198|XP_034666350.1|DSUB, LOC117902537|XP_034669857.1|DSUB, LOC117902534|XP_034669852.1|DSUB, LOC117902535|XP_034669856.1|DSUB, LOC117900197|XP_034666347.1|DSUB
OG0000084	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG	LOC117892465|XP_034654607.1|DSUB
OG0000084	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG	LOC117890458|XP_034651195.1|DSUB
OG0000085	LOC5574792|XP_001655347.2|AAEG	LOC117892532|XP_034654727.1|DSUB
OG0000086	LOC5575040|XP_001661772.2|AAEG	LOC117890386|XP_034651078.1|DSUB
OG0000087	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG	LOC117900830|XP_034667229.1|DSUB
OG0000087	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG	LOC117901046|XP_034667544.1|DSUB, LOC117900544|XP_034666835.1|DSUB
OG0000088	LOC5573732|XP_001654757.1|AAEG	LOC117890038|XP_034650547.1|DSUB
OG0000089	LOC5577489|XP_001663407.1|AAEG	LOC117897397|XP_034662107.1|DSUB
OG0000089	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG	LOC117894210|XP_034657016.1|DSUB
OG0000090	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG	LOC117891387|XP_034652719.1|DSUB, LOC117891384|XP_034652714.1|DSUB, LOC117894963|XP_034658187.1|DSUB, LOC117893528|XP_034656062.1|DSUB
OG0000091	LOC5578943|XP_021693136.1|AAEG	LOC117896287|XP_034660384.1|DSUB
OG0000091	LOC5579216|XP_021706364.1|AAEG	LOC117901338|XP_034667939.1|DSUB, LOC117897051|XP_034661532.1|DSUB, LOC117897050|XP_034661529.1|DSUB
OG0000094	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG	LOC117893841|XP_034656498.1|DSUB, LOC117896040|XP_034659940.1|DSUB
OG0000099	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG	LOC117891933|XP_034653664.1|DSUB
OG0000101	LOC5567622|XP_021696506.1|AAEG	LOC117895429|XP_034658961.1|DSUB, LOC117895432|XP_034658973.1|DSUB, LOC117895188|XP_034658556.1|DSUB, LOC117893149|XP_034655501.1|DSUB, LOC117893148|XP_034655500.1|DSUB
OG0000102	LOC5575366|XP_001661890.1|AAEG, LOC5575359|XP_001661891.2|AAEG, LOC5574118|XP_001661190.2|AAEG, LOC5566259|XP_001650639.2|AAEG, LOC5566258|XP_001650638.2|AAEG, LOC5578062|XP_021699381.1|AAEG, LOC5578064|XP_001663685.2|AAEG, LOC5578063|XP_001663686.2|AAEG	LOC117891856|XP_034653505.1|DSUB
OG0000102	LOC5564622|XP_001648968.1|AAEG	LOC117890056|XP_034650578.1|DSUB
OG0000103	LOC5571412|XP_001653663.2|AAEG, LOC5571411|XP_001653661.2|AAEG, LOC5571410|XP_001653662.2|AAEG, LOC5571934|XP_021704949.1|AAEG	LOC117894294|XP_034657145.1|DSUB, LOC117893174|XP_034655541.1|DSUB, LOC117895790|XP_034659583.1|DSUB, LOC117891545|XP_034652951.1|DSUB
OG0000104	LOC23687757|XP_021699122.1|AAEG, LOC23687967|XP_011493637.2|AAEG, LOC23687459|XP_011493699.2|AAEG, LOC23687728|XP_021699125.1|AAEG, LOC23687690|XP_011493079.2|AAEG	LOC117901076|XP_034667579.1|DSUB, LOC117894809|XP_034657935.1|DSUB
