Orthogroup	AAEG.longest_only	BCOP.longest_only
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC119075400|XP_037037739.1|BCOP
OG0000006	LOC110679774|XP_021711197.1|AAEG	LOC119075402|XP_037037741.1|BCOP
OG0000006	LOC110679782|XP_021711206.1|AAEG	LOC119070780|XP_037031154.1|BCOP
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC119077089|XP_037040143.1|BCOP
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP
OG0000010	LOC110679751|XP_021711173.1|AAEG	LOC119077564|XP_037040669.1|BCOP
OG0000010	LOC110679806|XP_021711230.1|AAEG	LOC119082442|XP_037047864.1|BCOP
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC119068977|XP_037028742.1|BCOP
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC5571832|XP_001659963.1|AAEG	LOC119073565|XP_037035016.1|BCOP
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC5571971|XP_001660073.1|AAEG, LOC5572985|XP_021710979.1|AAEG, LOC5567309|XP_001651744.2|AAEG	LOC119072516|XP_037033655.1|BCOP, LOC119084274|XP_037050089.1|BCOP, LOC119072264|XP_037033350.1|BCOP
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC5574853|XP_001661677.2|AAEG, LOC5577643|XP_001656641.1|AAEG, LOC5578698|XP_001657098.2|AAEG, LOC5578135|XP_001663705.1|AAEG, LOC5578130|XP_001663703.1|AAEG, LOC5568889|XP_001658209.1|AAEG, LOC5568885|XP_001658210.1|AAEG, LOC5578136|XP_001663706.1|AAEG	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP
OG0000019	LOC5570298|XP_021708318.1|AAEG	LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC5578721|XP_021693724.1|AAEG, LOC5578720|XP_021693720.1|AAEG	LOC119070432|XP_037030669.1|BCOP
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC119077634|XP_037040747.1|BCOP
OG0000020	LOC5567254|XP_021706785.1|AAEG	LOC119084833|XP_037050813.1|BCOP, LOC119077828|XP_037041031.1|BCOP, LOC119075380|XP_037037714.1|BCOP
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC119074653|XP_037036827.1|BCOP, LOC119078339|XP_037041737.1|BCOP
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC5571770|XP_001659902.2|AAEG, LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC110679745|XP_021711167.1|AAEG, LOC110679750|XP_021711172.1|AAEG, LOC110678303|XP_021706666.1|AAEG, LOC110679736|XP_021711157.1|AAEG, LOC110679744|XP_021711165.1|AAEG, LOC110679739|XP_021711160.1|AAEG, LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC119075511|XP_037037876.1|BCOP
OG0000025	LOC110679734|XP_021711154.1|AAEG	LOC119070773|XP_037031151.1|BCOP
OG0000025	LOC110679742|XP_021711163.1|AAEG, LOC110679740|XP_021711161.1|AAEG	LOC119075399|XP_037037738.1|BCOP
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP
OG0000026	LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000031	LOC5575324|XP_021704385.1|AAEG, LOC5575328|XP_021706472.1|AAEG, LOC5575329|XP_021705368.1|AAEG	LOC119070957|XP_037031407.1|BCOP, LOC119070655|XP_037030981.1|BCOP
OG0000032	LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000034	LOC5571297|XP_021695840.1|AAEG	LOC119081013|XP_037045591.1|BCOP
OG0000034	LOC5571109|XP_001659549.2|AAEG	LOC119070626|XP_037030946.1|BCOP
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC119070319|XP_037030483.1|BCOP
OG0000036	LOC5563617|XP_021704443.1|AAEG, LOC5563616|XP_001647865.1|AAEG, LOC5563663|XP_001647870.2|AAEG, LOC5563550|XP_001647864.2|AAEG, LOC5566508|XP_001650899.2|AAEG, LOC5563566|XP_001647872.2|AAEG, LOC5563662|XP_001647873.3|AAEG, LOC5568137|XP_001652078.2|AAEG, LOC5568136|XP_001652079.1|AAEG, LOC5568133|XP_001652075.2|AAEG	LOC119074646|XP_037036818.1|BCOP
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC5571376|XP_001659658.1|AAEG	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC5571365|XP_001659647.1|AAEG, LOC5571328|XP_001659610.1|AAEG, LOC5565248|XP_001649587.2|AAEG, LOC5566839|XP_001651249.2|AAEG, LOC5566838|XP_021698960.1|AAEG, LOC5571336|XP_001659618.1|AAEG, LOC5571343|XP_001659625.1|AAEG, LOC5565247|XP_001649588.2|AAEG, LOC5565794|XP_001659634.1|AAEG, LOC5571356|XP_001659638.1|AAEG, LOC5571353|XP_021695227.1|AAEG, LOC5571357|XP_021695228.1|AAEG, LOC5571355|XP_001659637.1|AAEG, LOC5571358|XP_001659640.2|AAEG, LOC5565793|XP_001650156.1|AAEG, LOC5571329|XP_001659612.2|AAEG, LOC110675440|XP_021696178.1|AAEG, LOC5571333|XP_001659614.2|AAEG, LOC5571330|XP_001659613.2|AAEG, LOC5571370|XP_021696182.1|AAEG, LOC5571360|XP_001659642.1|AAEG, LOC5571359|XP_001659641.1|AAEG, LOC5571362|XP_001659644.2|AAEG, LOC5565431|XP_001649812.1|AAEG, LOC5565791|XP_021698965.1|AAEG, LOC5579385|XP_001647688.2|AAEG, LOC5571364|XP_001659646.1|AAEG, LOC5571371|XP_001659653.2|AAEG, LOC5579448|XP_001647747.1|AAEG, LOC5571369|XP_001659651.2|AAEG, LOC5571372|XP_001659654.2|AAEG, LOC5565814|XP_001650182.1|AAEG	LOC119080135|XP_037044248.1|BCOP
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	LOC119070988|XP_037031473.1|BCOP
OG0000043	LOC5573284|XP_021699050.1|AAEG	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP
OG0000043	LOC5577070|XP_001663167.2|AAEG	LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP
OG0000043	LOC5571298|XP_001653602.1|AAEG	LOC119084856|XP_037050885.1|BCOP
OG0000044	LOC5567605|XP_021704850.1|AAEG	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000045	LOC5570385|XP_001659105.1|AAEG, LOC5570388|XP_021696806.1|AAEG, LOC5570392|XP_001659103.1|AAEG, LOC5570386|XP_001659102.2|AAEG, LOC5570384|XP_001659101.2|AAEG, LOC5570390|XP_001659100.2|AAEG	LOC119080622|XP_037044922.1|BCOP, LOC119077644|XP_037040760.1|BCOP
OG0000045	LOC5570387|XP_021696808.1|AAEG	LOC119072379|XP_037033474.1|BCOP
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000053	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC5565453|XP_001649784.1|AAEG, LOC5572111|XP_001660189.2|AAEG	LOC119073487|XP_037034887.1|BCOP, LOC119073485|XP_037034885.1|BCOP
OG0000054	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP
OG0000057	LOC110674257|XP_021694215.1|AAEG	LOC119077205|XP_037040283.1|BCOP
OG0000058	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG	LOC119080858|XP_037045328.1|BCOP
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC119068417|XP_037027881.1|BCOP
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC119069761|XP_037029789.1|BCOP
OG0000061	LOC5574951|XP_001655422.1|AAEG	LOC119067640|XP_037026635.1|BCOP, LOC119079107|XP_037042821.1|BCOP, LOC119078167|XP_037041537.1|BCOP, LOC119076906|XP_037039818.1|BCOP, LOC119085000|XP_037051067.1|BCOP
OG0000064	LOC110677362|XP_021704105.1|AAEG, LOC110679437|XP_021709704.1|AAEG, LOC110676570|XP_021700679.1|AAEG, LOC110675869|XP_021697510.1|AAEG, LOC110674763|XP_021694728.1|AAEG, LOC110678146|XP_021706451.1|AAEG, LOC110680488|XP_021711983.1|AAEG, LOC110679109|XP_021708773.1|AAEG, LOC110681431|XP_021712875.1|AAEG, LOC110675744|XP_021697170.1|AAEG, LOC110679435|XP_021709698.1|AAEG	LOC119072676|XP_037033846.1|BCOP, LOC119084722|XP_037050692.1|BCOP, LOC119081134|XP_037045774.1|BCOP, LOC119085665|XP_037052008.1|BCOP
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP
OG0000067	LOC5577759|XP_021704690.1|AAEG	LOC119085608|XP_037051927.1|BCOP
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC119076438|XP_037039101.1|BCOP
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG	LOC119084165|XP_037049915.1|BCOP
OG0000068	LOC5572988|XP_001654315.1|AAEG	LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP
OG0000068	LOC5576678|XP_001662815.2|AAEG	LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP
OG0000069	LOC110681559|XP_021713329.1|AAEG	LOC119078630|XP_037042121.1|BCOP, LOC119074566|XP_037036687.1|BCOP
OG0000070	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG	LOC119071237|XP_037031965.1|BCOP
OG0000071	LOC5575312|XP_021706036.1|AAEG, LOC5567569|XP_001657561.2|AAEG	LOC119066624|XP_037025081.1|BCOP, LOC119077962|XP_037041236.1|BCOP, LOC119066899|XP_037025483.1|BCOP, LOC119081822|XP_037046953.1|BCOP, LOC119070482|XP_037030730.1|BCOP
OG0000071	LOC5575314|XP_001655688.2|AAEG	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP
