Orthogroup	AAEG.longest_only	SLEB.longest_only
OG0000019	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC115620461|XP_030369552.1|SLEB, LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC115625139|XP_030375917.1|SLEB, LOC115623558|XP_030373816.1|SLEB, LOC115623561|XP_030373817.1|SLEB, LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC115625208|XP_030376037.1|SLEB, LOC115620616|XP_030369796.1|SLEB, LOC115629963|XP_030382440.1|SLEB
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB, LOC115623320|XP_030373442.1|SLEB, LOC115623826|XP_030374229.1|SLEB, LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB, LOC115623322|XP_030373444.1|SLEB, LOC115623324|XP_030373445.1|SLEB, LOC115623321|XP_030373443.1|SLEB, LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC115634516|XP_030388143.1|SLEB, LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB, LOC115626230|XP_030377390.1|SLEB, LOC115633141|XP_030386412.1|SLEB, LOC115630204|XP_030382632.1|SLEB, LOC115633283|XP_030386551.1|SLEB, LOC115633275|XP_030386546.1|SLEB, LOC115633288|XP_030386557.1|SLEB, LOC115629800|XP_030382222.1|SLEB, LOC115629806|XP_030382233.1|SLEB, LOC115632051|XP_030384884.1|SLEB
OG0000025	LOC5571770|XP_001659902.2|AAEG	LOC115633541|XP_030386858.1|SLEB, LOC115633463|XP_030386778.1|SLEB
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC110679745|XP_021711167.1|AAEG	LOC115633523|XP_030386842.1|SLEB, LOC115633507|XP_030386828.1|SLEB
OG0000025	LOC110679750|XP_021711172.1|AAEG	LOC115633524|XP_030386843.1|SLEB
OG0000025	LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB
OG0000025	LOC110679738|XP_021711159.1|AAEG	LOC115633510|XP_030386832.1|SLEB, LOC115630125|XP_030382596.1|SLEB
OG0000025	LOC110679742|XP_021711163.1|AAEG	LOC115630303|XP_030382701.1|SLEB
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	LOC115632057|XP_030384894.1|SLEB, LOC115632056|XP_030384892.1|SLEB, LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	LOC115634414|XP_030387972.1|SLEB, LOC115634466|XP_030388054.1|SLEB, LOC115634465|XP_030388053.1|SLEB, LOC115634409|XP_030387965.1|SLEB
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	LOC115634071|XP_030387478.1|SLEB
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB, LOC115626596|XP_030377839.1|SLEB
OG0000032	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	LOC115621800|XP_030371439.1|SLEB, LOC115621799|XP_030371437.1|SLEB
OG0000034	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG	LOC115631238|XP_030383807.1|SLEB, LOC115631233|XP_030383802.1|SLEB, LOC115631236|XP_030383804.1|SLEB, LOC115631298|XP_030383873.1|SLEB, LOC115631016|XP_030383488.1|SLEB, LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC5563617|XP_021704443.1|AAEG, LOC5563616|XP_001647865.1|AAEG, LOC5563663|XP_001647870.2|AAEG, LOC5563550|XP_001647864.2|AAEG, LOC5566508|XP_001650899.2|AAEG, LOC5563566|XP_001647872.2|AAEG, LOC5563662|XP_001647873.3|AAEG, LOC5568137|XP_001652078.2|AAEG, LOC5568136|XP_001652079.1|AAEG, LOC5568133|XP_001652075.2|AAEG	LOC115627397|XP_030378912.1|SLEB
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC115626848|XP_030378208.1|SLEB, LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB, LOC115620739|XP_030369986.1|SLEB
OG0000038	LOC5571376|XP_001659658.1|AAEG	LOC115633983|XP_030387367.1|SLEB
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	LOC115633921|XP_030387291.1|SLEB
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB
OG0000043	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG	LOC115623987|XP_030374418.1|SLEB, LOC115623491|XP_030373724.1|SLEB, LOC115627355|XP_030378864.1|SLEB, LOC115623337|XP_030373467.1|SLEB, LOC115623816|XP_030374219.1|SLEB, LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC5567605|XP_021704850.1|AAEG	LOC115624024|XP_030374460.1|SLEB, LOC115624181|XP_030374637.1|SLEB, LOC115623538|XP_030373780.1|SLEB, LOC115631500|XP_030384120.1|SLEB, LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC5565204|XP_001649560.1|AAEG	LOC115632698|XP_030385795.1|SLEB, LOC115632700|XP_030385796.1|SLEB, LOC115632701|XP_030385797.1|SLEB
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC115631261|XP_030383836.1|SLEB, LOC115632503|XP_030385556.1|SLEB, LOC115630926|XP_030383356.1|SLEB, LOC115626702|XP_030377994.1|SLEB, LOC115627115|XP_030378542.1|SLEB, LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG	LOC115632621|XP_030385709.1|SLEB, LOC115632620|XP_030385708.1|SLEB, LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG	LOC115631187|XP_030383738.1|SLEB, LOC115625471|XP_030376380.1|SLEB, LOC115625469|XP_030376378.1|SLEB, LOC115625467|XP_030376376.1|SLEB, LOC115625232|XP_030376077.1|SLEB, LOC115621014|XP_030370394.1|SLEB
OG0000051	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC115624036|XP_030374474.1|SLEB, LOC115632496|XP_030385533.1|SLEB, LOC115620987|XP_030370367.1|SLEB
OG0000053	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB, LOC115634038|XP_030387442.1|SLEB
OG0000054	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB, LOC115623633|XP_030373934.1|SLEB, LOC115624033|XP_030374471.1|SLEB
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC115626734|XP_030378039.1|SLEB, LOC115626727|XP_030378033.1|SLEB, LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000057	LOC110674257|XP_021694215.1|AAEG	LOC115620011|XP_030368972.1|SLEB, LOC115630052|XP_030382544.1|SLEB
OG0000058	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB, LOC115629610|XP_030381967.1|SLEB
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC115629930|XP_030382394.1|SLEB, LOC115629929|XP_030382393.1|SLEB
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC115620624|XP_030369812.1|SLEB
OG0000061	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG	LOC115631729|XP_030384426.1|SLEB, LOC115631701|XP_030384388.1|SLEB
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC115621860|XP_030371539.1|SLEB, LOC115622383|XP_030372167.1|SLEB
OG0000067	LOC5577759|XP_021704690.1|AAEG	LOC115628126|XP_030379967.1|SLEB, LOC115622466|XP_030372269.1|SLEB
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC115622364|XP_030372139.1|SLEB
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG	LOC115623202|XP_030373286.1|SLEB, LOC115631954|XP_030384717.1|SLEB, LOC115622769|XP_030372686.1|SLEB, LOC115622252|XP_030372011.1|SLEB, LOC115623907|XP_030374323.1|SLEB, LOC115629354|XP_030381665.1|SLEB, LOC115632765|XP_030385874.1|SLEB, LOC115628062|XP_030379882.1|SLEB
OG0000070	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG	LOC115625714|XP_030376720.1|SLEB, LOC115629807|XP_030382234.1|SLEB, LOC115625715|XP_030376721.1|SLEB, LOC115625716|XP_030376722.1|SLEB
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG	LOC115624679|XP_030375338.1|SLEB, LOC115624678|XP_030375337.1|SLEB
OG0000072	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG	LOC115625138|XP_030375920.1|SLEB, LOC115633654|XP_030386963.1|SLEB, LOC115625130|XP_030375908.1|SLEB
OG0000073	LOC5573060|XP_021711274.1|AAEG	LOC115626625|XP_030377891.1|SLEB
OG0000073	LOC5570618|XP_021706389.1|AAEG	LOC115626672|XP_030377958.1|SLEB
OG0000073	LOC5573536|XP_021693962.1|AAEG	LOC115624374|XP_030374908.1|SLEB
OG0000074	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG	LOC115632425|XP_030385425.1|SLEB
OG0000076	LOC5569019|XP_021698411.1|AAEG	LOC115623022|XP_030373056.1|SLEB
OG0000076	LOC5575395|XP_021710181.1|AAEG	LOC115627672|XP_030379274.1|SLEB
OG0000077	LOC5576244|XP_001656025.1|AAEG	LOC115629260|XP_030381546.1|SLEB
OG0000077	LOC110676765|XP_021701591.1|AAEG	LOC115625518|XP_030376442.1|SLEB
OG0000077	LOC5576245|XP_001656026.2|AAEG	LOC115624410|XP_030375008.1|SLEB
OG0000077	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG	LOC115621758|XP_030371352.1|SLEB
OG0000078	LOC5575539|XP_021703479.1|AAEG	LOC115624829|XP_030375536.1|SLEB, LOC115624752|XP_030375442.1|SLEB, LOC115620798|XP_030370081.1|SLEB, LOC115627604|XP_030379186.1|SLEB, LOC115627905|XP_030379660.1|SLEB
OG0000080	LOC5569491|XP_001658576.2|AAEG, LOC5569492|XP_021711678.1|AAEG, LOC5568575|XP_001652404.1|AAEG, LOC110679863|XP_021711527.1|AAEG, LOC5568295|XP_001652172.1|AAEG	LOC115627205|XP_030378688.1|SLEB
OG0000080	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG	LOC115634241|XP_030387695.1|SLEB, LOC115634222|XP_030387673.1|SLEB, LOC115620018|XP_030368982.1|SLEB
OG0000082	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG	LOC115631916|XP_030384627.1|SLEB, LOC115620211|XP_030369208.1|SLEB, LOC115621651|XP_030371213.1|SLEB
OG0000083	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG	LOC115634036|XP_030387438.1|SLEB, LOC115634513|XP_030388139.1|SLEB
OG0000084	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG	LOC115623536|XP_030373782.1|SLEB
OG0000084	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG	LOC115631336|XP_030383918.1|SLEB
OG0000085	LOC5574792|XP_001655347.2|AAEG	LOC115634632|XP_030388350.1|SLEB
OG0000086	LOC5575040|XP_001661772.2|AAEG	LOC115628291|XP_030380201.1|SLEB
OG0000087	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG	LOC115626132|XP_030377247.1|SLEB
OG0000087	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG	LOC115626584|XP_030377826.1|SLEB, LOC115626069|XP_030377182.1|SLEB
OG0000088	LOC5573732|XP_001654757.1|AAEG	LOC115624994|XP_030375725.1|SLEB
OG0000089	LOC5577489|XP_001663407.1|AAEG	LOC115624415|XP_030375011.1|SLEB
OG0000089	LOC5575826|XP_021694449.1|AAEG	LOC115634279|XP_030387772.1|SLEB
OG0000089	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG	LOC115632948|XP_030386105.1|SLEB, LOC115632950|XP_030386106.1|SLEB
OG0000090	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG	LOC115633715|XP_030387039.1|SLEB, LOC115633696|XP_030387013.1|SLEB, LOC115628271|XP_030380155.1|SLEB, LOC115623090|XP_030373157.1|SLEB, LOC115624821|XP_030375529.1|SLEB
OG0000091	LOC5578943|XP_021693136.1|AAEG	LOC115620184|XP_030369168.1|SLEB
OG0000091	LOC5579216|XP_021706364.1|AAEG	LOC115630773|XP_030383287.1|SLEB, LOC115630433|XP_030382848.1|SLEB, LOC115620680|XP_030369906.1|SLEB, LOC115621346|XP_030370826.1|SLEB
