Orthogroup	AAEG.longest_only	DMEL.longest_only
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	CG32214|NP_730409.2|DMEL, 825-Oak|NP_730410.2|DMEL, CG32213|NP_730413.2|DMEL, CG14095|NP_649112.1|DMEL, CG14096|NP_649113.1|DMEL, CG18294|NP_649115.2|DMEL, CG12519|NP_001262046.1|DMEL, CG32212|NP_730416.1|DMEL, CG13068|NP_648856.1|DMEL
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL, SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL
OG0000032	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	GstD1|NP_524326.1|DMEL, GstD10|NP_652713.1|DMEL, GstD9|NP_650181.1|DMEL, GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL
OG0000034	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL, Ugt37E1|NP_652628.2|DMEL, Ugt37D1|NP_652627.2|DMEL, Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL, Ugt37B1|NP_525008.2|DMEL
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	Sp7|NP_649734.2|DMEL
OG0000036	LOC5565959|XP_001650301.1|AAEG	ea|NP_524362.2|DMEL
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	Cyp12b2|NP_611370.2|DMEL, Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL
OG0000038	LOC5571376|XP_001659658.1|AAEG	Cpr76Bb|NP_649121.1|DMEL
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	CG42564|NP_649651.2|DMEL
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL
OG0000043	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG	Ugt302K1|NP_652620.1|DMEL, Ugt302C1|NP_652626.1|DMEL, Ugt302E1|NP_652625.2|DMEL, Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL
OG0000044	LOC5567605|XP_021704850.1|AAEG	CG31087|NP_733100.1|DMEL, CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL, CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL, CG6908|NP_650105.1|DMEL
OG0000045	LOC5565204|XP_001649560.1|AAEG	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL, Cpr65Ec|NP_648077.1|DMEL, Cpr65Eb|NP_648076.3|DMEL
OG0000047	LOC5568625|XP_021702746.1|AAEG	loopin-1|NP_001097338.1|DMEL, S-Lap8|NP_611132.1|DMEL, S-Lap5|NP_610892.1|DMEL, S-Lap3|NP_648394.1|DMEL, S-Lap7|NP_610900.1|DMEL, S-Lap4|NP_729613.1|DMEL
OG0000048	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL, CG13044|NP_648867.1|DMEL, CG13042|NP_648870.1|DMEL
OG0000049	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG	CG4053|NP_650601.2|DMEL, CG5246|NP_650603.1|DMEL, CG17475|NP_650600.2|DMEL, CG31269|NP_001097818.1|DMEL, CG31265|NP_650599.1|DMEL, CG5255|NP_650604.1|DMEL
OG0000051	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	Cyp313b1|NP_649807.1|DMEL, Cyp313a4|NP_650224.3|DMEL, Cyp313a5|NP_650168.1|DMEL, Cyp313a1|NP_650368.1|DMEL, Cyp313a2|NP_650169.3|DMEL, Cyp313a3|NP_650170.2|DMEL
OG0000053	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG	Mal-A8|NP_610384.1|DMEL, Mal-A7|NP_610383.1|DMEL, Mal-A6|NP_995779.2|DMEL
OG0000054	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	AOX1|NP_650475.1|DMEL, AOX2|NP_732047.2|DMEL, AOX4|NP_650478.1|DMEL, AOX3|NP_650477.1|DMEL
OG0000056	LOC5574529|XP_001655182.1|AAEG	CG6726|NP_651120.1|DMEL, CG17110|NP_651121.1|DMEL, CG17109|NP_651122.2|DMEL, CG6738|NP_651124.1|DMEL, CG6733|NP_651123.1|DMEL, CG6465|NP_650004.1|DMEL
OG0000058	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG	AANATL4|NP_611406.1|DMEL, AANATL3|NP_610018.1|DMEL, AANATL6|NP_611405.2|DMEL, AANATL5|NP_611403.1|DMEL, AANATL2|NP_609005.1|DMEL, AgmNAT|NP_572268.1|DMEL
OG0000060	LOC5569466|XP_021694640.1|AAEG	CkIalpha|NP_511140.1|DMEL
OG0000060	LOC5573939|XP_021703386.1|AAEG	dco|NP_001356928.1|DMEL
OG0000061	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG	CG15255|NP_609755.1|DMEL, CG7631|NP_609760.1|DMEL, CG15254|NP_609757.1|DMEL, CG15253|NP_609758.1|DMEL
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	Alp5|NP_650931.1|DMEL, Alp9|NP_647977.1|DMEL
OG0000067	LOC5577759|XP_021704690.1|AAEG	Alp6|NP_610496.1|DMEL, Alp10|NP_647976.1|DMEL
OG0000067	LOC5571448|XP_021695477.1|AAEG	Alp1|NP_001262159.1|DMEL
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG	CG6052|NP_649002.3|DMEL, CG31213|NP_001262752.1|DMEL, CG42816|NP_730301.3|DMEL, CG8908|NP_611464.3|DMEL, ABCA|NP_608445.2|DMEL
OG0000070	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG	CG9498|NP_609015.2|DMEL, CG13360|NP_569859.1|DMEL, CG9497|NP_609014.3|DMEL, CG7135|NP_573269.1|DMEL
OG0000071	LOC5575314|XP_001655688.2|AAEG	Muc68D|NP_648504.2|DMEL
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG	CG10725|NP_648647.1|DMEL, CG10154|NP_001189089.1|DMEL, CG10140|NP_648648.2|DMEL
OG0000072	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG	jtb|NP_611126.1|DMEL, CG15712|NP_611131.2|DMEL, CG4409|NP_001097337.1|DMEL
OG0000073	LOC5573060|XP_021711274.1|AAEG	lolal|NP_524778.1|DMEL
OG0000073	LOC5570618|XP_021706389.1|AAEG	br|NP_001162638.2|DMEL
OG0000073	LOC5573536|XP_021693962.1|AAEG	pre-mod_mdg4_-E|NP_001287451.1|DMEL
OG0000074	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG	CG10472|NP_648017.1|DMEL, CG7542|NP_648995.3|DMEL
OG0000076	LOC5569019|XP_021698411.1|AAEG	CG42540|NP_001246627.1|DMEL
OG0000076	LOC5575395|XP_021710181.1|AAEG	CG33253|NP_001259699.1|DMEL
OG0000077	LOC5576244|XP_001656025.1|AAEG	betaTub56D|NP_725896.1|DMEL
OG0000077	LOC110676765|XP_021701591.1|AAEG	betaTub85D|NP_524290.2|DMEL
OG0000077	LOC5576245|XP_001656026.2|AAEG	betaTub60D|NP_523842.2|DMEL
OG0000077	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG	betaTub97EF|NP_651606.2|DMEL
OG0000078	LOC5575539|XP_021703479.1|AAEG	CG15128|NP_611441.1|DMEL, CG7634|NP_649332.1|DMEL, wa-cup|NP_649721.2|DMEL, r-cup|NP_608419.1|DMEL, p-cup|NP_573216.1|DMEL
OG0000080	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG	Amy-d|NP_523768.1|DMEL, Amy-p|NP_536346.1|DMEL, Amyrel|NP_477262.1|DMEL
OG0000082	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG	Cyp6d2|NP_611698.1|DMEL, Cyp6d4|NP_651082.1|DMEL, Cyp6d5|NP_650327.1|DMEL
OG0000083	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG	LManI|NP_609407.1|DMEL, LManVI|NP_609253.1|DMEL, LManV|NP_609252.1|DMEL, LManIII|NP_609250.2|DMEL, LManIV|NP_609251.2|DMEL, LManII|NP_609408.1|DMEL
OG0000084	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG	CG15073|NP_611362.2|DMEL
OG0000084	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG	CG8388|NP_611075.1|DMEL
OG0000085	LOC5574792|XP_001655347.2|AAEG	CG30491|NP_610306.1|DMEL
OG0000086	LOC5575040|XP_001661772.2|AAEG	fest|NP_611412.1|DMEL
OG0000087	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG	Cpr30F|NP_723504.1|DMEL
OG0000087	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG	Cpr35B|NP_609713.1|DMEL, Cpr31A|NP_995678.1|DMEL
OG0000088	LOC5573732|XP_001654757.1|AAEG	Vha16-1|NP_476801.1|DMEL
OG0000089	LOC5577489|XP_001663407.1|AAEG	alphaTub84B|NP_476772.1|DMEL, alphaTub84D|NP_524264.1|DMEL
OG0000089	LOC5575826|XP_021694449.1|AAEG	alphaTub85E|NP_524297.1|DMEL
OG0000089	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG	alphaTub67C|NP_524009.2|DMEL
OG0000090	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG	CG30339|NP_724813.1|DMEL, CG12926|NP_610510.2|DMEL, CG33514|NP_001014558.1|DMEL, CG33966|NP_001033984.1|DMEL
OG0000091	LOC5578943|XP_021693136.1|AAEG	Vha100-1|NP_651672.1|DMEL
OG0000091	LOC5579216|XP_021706364.1|AAEG	Vha100-5|NP_609515.1|DMEL, Vha100-2|NP_650722.1|DMEL, Vha100-4|NP_650720.1|DMEL
OG0000094	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG	Or67d|NP_648390.2|DMEL, Or83c|NP_524244.2|DMEL
OG0000099	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG	Cyp4d1|NP_476907.2|DMEL
OG0000101	LOC5567622|XP_021696506.1|AAEG	pip|NP_788536.1|DMEL
OG0000102	LOC5575366|XP_001661890.1|AAEG, LOC5575359|XP_001661891.2|AAEG, LOC5574118|XP_001661190.2|AAEG, LOC5566259|XP_001650639.2|AAEG, LOC5566258|XP_001650638.2|AAEG, LOC5578062|XP_021699381.1|AAEG, LOC5578064|XP_001663685.2|AAEG, LOC5578063|XP_001663686.2|AAEG	PPO1|NP_476812.1|DMEL
OG0000102	LOC5564622|XP_001648968.1|AAEG	PPO2|NP_610443.1|DMEL, PPO3|NP_524760.1|DMEL
