Orthogroup	AAEG.longest_only	DGUA.longest_only
OG0000010	LOC110679808|XP_021711232.1|AAEG, LOC5578785|XP_001657155.1|AAEG, LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG	LOC117591679|XP_034140894.1|DGUA
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	LOC117578829|XP_034120480.1|DGUA, LOC117578830|XP_034120484.1|DGUA, LOC117578828|XP_034120477.1|DGUA, LOC117578831|XP_034120485.1|DGUA, LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA, LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA, LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC117592555|XP_034142321.1|DGUA
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC117590521|XP_034139126.1|DGUA
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC117585977|XP_034131683.1|DGUA
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC117580093|XP_034122238.1|DGUA
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC117589807|XP_034137915.1|DGUA
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA, LOC117583601|XP_034127885.1|DGUA
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC117589945|XP_034138127.1|DGUA, LOC117587659|XP_034134479.1|DGUA
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC117583582|XP_034127854.1|DGUA
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC117581434|XP_034124497.1|DGUA
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	LOC117579173|XP_034120827.1|DGUA
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC117587357|XP_034133889.1|DGUA
OG0000018	LOC5577643|XP_001656641.1|AAEG	LOC117587365|XP_034133899.1|DGUA
OG0000019	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA, LOC117583705|XP_034128081.1|DGUA, LOC117583723|XP_034128130.1|DGUA, LOC117583722|XP_034128122.1|DGUA
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC117583658|XP_034128012.1|DGUA, LOC117578526|XP_034119977.1|DGUA
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC117587736|XP_034134545.1|DGUA, LOC117586337|XP_034132223.1|DGUA, LOC117590165|XP_034138451.1|DGUA, LOC117584402|XP_034129156.1|DGUA
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC117590869|XP_034139782.1|DGUA
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC117585696|XP_034131203.1|DGUA, LOC117582802|XP_034126721.1|DGUA
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	LOC117586396|XP_034132318.1|DGUA, LOC117586009|XP_034131729.1|DGUA, LOC117586008|XP_034131728.1|DGUA, LOC117591288|XP_034140381.1|DGUA, LOC117586007|XP_034131727.1|DGUA, LOC117586005|XP_034131725.1|DGUA, LOC117586006|XP_034131726.1|DGUA, LOC117586004|XP_034131723.1|DGUA, LOC117586277|XP_034132120.1|DGUA
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA, LOC117580040|XP_034122171.1|DGUA, LOC117591149|XP_034140151.1|DGUA, LOC117578502|XP_034119928.1|DGUA, LOC117592048|XP_034141425.1|DGUA
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC117590412|XP_034138901.1|DGUA
OG0000025	LOC110678303|XP_021706666.1|AAEG, LOC110679736|XP_021711157.1|AAEG, LOC110679744|XP_021711165.1|AAEG, LOC110679739|XP_021711160.1|AAEG, LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC117591670|XP_034140884.1|DGUA
OG0000025	LOC110679741|XP_021711162.1|AAEG, LOC110678304|XP_021706667.1|AAEG, LOC110677924|XP_021705634.1|AAEG, LOC110678834|XP_021708004.1|AAEG, LOC5578786|XP_001657156.1|AAEG, LOC110679742|XP_021711163.1|AAEG, LOC110679740|XP_021711161.1|AAEG	LOC117591779|XP_034140978.1|DGUA
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA, LOC117589578|XP_034137528.1|DGUA
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	LOC117581694|XP_034124962.1|DGUA, LOC117582236|XP_034125737.1|DGUA, LOC117581693|XP_034124961.1|DGUA
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	LOC117579889|XP_034121915.1|DGUA, LOC117579893|XP_034121921.1|DGUA, LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA, LOC117579887|XP_034121914.1|DGUA, LOC117588956|XP_034136434.1|DGUA
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	LOC117592282|XP_034141836.1|DGUA, LOC117589682|XP_034137727.1|DGUA, LOC117579424|XP_034121195.1|DGUA
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC117584126|XP_034128769.1|DGUA
OG0000032	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	LOC117583029|XP_034127075.1|DGUA, LOC117583030|XP_034127077.1|DGUA, LOC117583031|XP_034127078.1|DGUA, LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA
OG0000034	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG	LOC117584525|XP_034129365.1|DGUA, LOC117584539|XP_034129382.1|DGUA, LOC117584364|XP_034129093.1|DGUA, LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC117586375|XP_034132294.1|DGUA
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC117589622|XP_034137600.1|DGUA
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC117581190|XP_034124041.1|DGUA, LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA
OG0000038	LOC5571376|XP_001659658.1|AAEG	LOC117579886|XP_034121913.1|DGUA
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	LOC117586049|XP_034131784.1|DGUA
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA
OG0000043	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG	LOC117585018|XP_034130150.1|DGUA, LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA, LOC117585502|XP_034130891.1|DGUA, LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA
OG0000044	LOC5567605|XP_021704850.1|AAEG	LOC117585917|XP_034131574.1|DGUA, LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA, LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA, LOC117590011|XP_034138189.1|DGUA
OG0000045	LOC5565204|XP_001649560.1|AAEG	LOC117587010|XP_034133310.1|DGUA, LOC117579473|XP_034121255.1|DGUA, LOC117579463|XP_034121242.1|DGUA
OG0000047	LOC5568625|XP_021702746.1|AAEG	LOC117591384|XP_034140523.1|DGUA, LOC117592295|XP_034141855.1|DGUA, LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA, LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA, LOC117591732|XP_034140939.1|DGUA, LOC117580178|XP_034122428.1|DGUA
OG0000048	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG	LOC117588941|XP_034136410.1|DGUA, LOC117589276|XP_034136957.1|DGUA, LOC117588957|XP_034136435.1|DGUA
OG0000049	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG	LOC117583088|XP_034127157.1|DGUA, LOC117583087|XP_034127156.1|DGUA, LOC117583320|XP_034127470.1|DGUA, LOC117583322|XP_034127471.1|DGUA, LOC117583323|XP_034127472.1|DGUA, LOC117583085|XP_034127153.1|DGUA
OG0000051	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG	LOC117584976|XP_034130071.1|DGUA, LOC117589573|XP_034137517.1|DGUA, LOC117589575|XP_034137522.1|DGUA, LOC117586424|XP_034132352.1|DGUA, LOC117586281|XP_034132126.1|DGUA
OG0000053	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG	LOC117591851|XP_034141110.1|DGUA, LOC117591850|XP_034141108.1|DGUA
OG0000054	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG	LOC117591710|XP_034140920.1|DGUA, LOC117585614|XP_034131065.1|DGUA, LOC117585423|XP_034130788.1|DGUA, LOC117585613|XP_034131060.1|DGUA, LOC117585615|XP_034131067.1|DGUA
OG0000056	LOC5574529|XP_001655182.1|AAEG	LOC117582718|XP_034126532.1|DGUA, LOC117582720|XP_034126536.1|DGUA, LOC117582719|XP_034126535.1|DGUA, LOC117589786|XP_034137875.1|DGUA, LOC117589687|XP_034137734.1|DGUA
OG0000058	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG	LOC117588076|XP_034135032.1|DGUA, LOC117588074|XP_034135030.1|DGUA, LOC117581983|XP_034125368.1|DGUA, LOC117588075|XP_034135031.1|DGUA, LOC117580786|XP_034123373.1|DGUA
OG0000060	LOC5569466|XP_021694640.1|AAEG	LOC117591001|XP_034139974.1|DGUA
OG0000060	LOC5573939|XP_021703386.1|AAEG	LOC117583542|XP_034127790.1|DGUA
OG0000061	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG	LOC117584177|XP_034128835.1|DGUA, LOC117583930|XP_034128502.1|DGUA, LOC117584180|XP_034128838.1|DGUA
OG0000064	LOC110679138|XP_021708882.1|AAEG, LOC110676692|XP_021701239.1|AAEG	LOC117587642|XP_034134418.1|DGUA
OG0000067	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG	LOC117589502|XP_034137375.1|DGUA, LOC117579493|XP_034121284.1|DGUA
OG0000067	LOC5577759|XP_021704690.1|AAEG	LOC117591024|XP_034140007.1|DGUA, LOC117579492|XP_034121282.1|DGUA
OG0000067	LOC5571448|XP_021695477.1|AAEG	LOC117589212|XP_034136847.1|DGUA
OG0000068	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG	LOC117580519|XP_034123003.1|DGUA, LOC117579302|XP_034121001.1|DGUA, LOC117581720|XP_034124991.1|DGUA, LOC117581342|XP_034124357.1|DGUA
OG0000070	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG	LOC117587796|XP_034134632.1|DGUA, LOC117581211|XP_034124075.1|DGUA, LOC117587545|XP_034134242.1|DGUA, LOC117587797|XP_034134633.1|DGUA
OG0000071	LOC5575314|XP_001655688.2|AAEG	LOC117580534|XP_034123019.1|DGUA
OG0000071	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG	LOC117579680|XP_034121559.1|DGUA, LOC117579679|XP_034121558.1|DGUA, LOC117579678|XP_034121557.1|DGUA
OG0000072	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG	LOC117592297|XP_034141858.1|DGUA, LOC117592384|XP_034141985.1|DGUA, LOC117592296|XP_034141857.1|DGUA
OG0000073	LOC5573060|XP_021711274.1|AAEG	LOC117578569|XP_034120037.1|DGUA
OG0000073	LOC5570618|XP_021706389.1|AAEG	LOC117588625|XP_034135936.1|DGUA
OG0000073	LOC5573536|XP_021693962.1|AAEG	LOC117589637|XP_034137623.1|DGUA
OG0000074	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG	LOC117587150|XP_034133548.1|DGUA, LOC117587426|XP_034133988.1|DGUA, LOC117586962|XP_034133225.1|DGUA
OG0000076	LOC5569019|XP_021698411.1|AAEG	LOC117579058|XP_034120653.1|DGUA
OG0000076	LOC5575395|XP_021710181.1|AAEG	LOC117590327|XP_034138711.1|DGUA
OG0000077	LOC110676765|XP_021701591.1|AAEG	LOC117583765|XP_034128208.1|DGUA
OG0000077	LOC5576245|XP_001656026.2|AAEG	LOC117578654|XP_034120163.1|DGUA
OG0000077	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG	LOC117583686|XP_034128052.1|DGUA
OG0000078	LOC5575539|XP_021703479.1|AAEG	LOC117581097|XP_034123881.1|DGUA, LOC117588902|XP_034136350.1|DGUA, LOC117586436|XP_034132364.1|DGUA, LOC117588496|XP_034135697.1|DGUA, LOC117581264|XP_034124165.1|DGUA
OG0000080	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG	LOC117592694|XP_034142549.1|DGUA, LOC117584421|XP_034129184.1|DGUA, LOC117580573|XP_034123072.1|DGUA, LOC117586467|XP_034132445.1|DGUA
OG0000082	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG	LOC117582225|XP_034125728.1|DGUA, LOC117584905|XP_034129938.1|DGUA, LOC117589906|XP_034138069.1|DGUA
OG0000083	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG	LOC117584370|XP_034129100.1|DGUA, LOC117591765|XP_034140968.1|DGUA, LOC117584781|XP_034129778.1|DGUA, LOC117584140|XP_034128787.1|DGUA
OG0000084	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG	LOC117584511|XP_034129342.1|DGUA
OG0000084	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG	LOC117587100|XP_034133482.1|DGUA
OG0000085	LOC5574792|XP_001655347.2|AAEG	LOC117584775|XP_034129774.1|DGUA
OG0000086	LOC5575040|XP_001661772.2|AAEG	LOC117591981|XP_034141311.1|DGUA
OG0000087	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG	LOC117587854|XP_034134711.1|DGUA
OG0000087	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG	LOC117590892|XP_034139815.1|DGUA, LOC117587527|XP_034134219.1|DGUA
OG0000088	LOC5573732|XP_001654757.1|AAEG	LOC117591442|XP_034140602.1|DGUA
OG0000089	LOC5577489|XP_001663407.1|AAEG	LOC117586065|XP_034131804.1|DGUA
OG0000089	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG	LOC117580023|XP_034122138.1|DGUA
OG0000090	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG	LOC117592026|XP_034141376.1|DGUA, LOC117592024|XP_034141370.1|DGUA, LOC117579331|XP_034121048.1|DGUA, LOC117587279|XP_034133756.1|DGUA
OG0000091	LOC5578943|XP_021693136.1|AAEG	LOC117582702|XP_034126503.1|DGUA
OG0000091	LOC5579216|XP_021706364.1|AAEG	LOC117584351|XP_034129075.1|DGUA, LOC117589947|XP_034138129.1|DGUA, LOC117589742|XP_034137813.1|DGUA
OG0000094	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG	LOC117579446|XP_034121226.1|DGUA, LOC117583138|XP_034127220.1|DGUA
OG0000099	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG	LOC117580660|XP_034123163.1|DGUA
OG0000101	LOC5567622|XP_021696506.1|AAEG	LOC117579631|XP_034121489.1|DGUA, LOC117580405|XP_034122843.1|DGUA, LOC117580404|XP_034122842.1|DGUA, LOC117580403|XP_034122841.1|DGUA
