Orthogroup	HILL.longest_only	DKIK.longest_only
OG0001314	LOC119657885|XP_037920950.1|HILL	LOC108085298|XP_017037345.1|DKIK
OG0001318	LOC119646413|XP_037902790.1|HILL	LOC108075869|XP_017023961.1|DKIK
OG0001320	LOC119654141|XP_037915233.1|HILL	LOC108079634|XP_017029508.1|DKIK, LOC108074271|XP_017021731.1|DKIK
OG0001326	LOC119652653|XP_037912831.1|HILL	LOC108073719|XP_017020954.1|DKIK
OG0001328	LOC119654838|XP_037916341.1|HILL, LOC119657878|XP_037920937.1|HILL	LOC108084684|XP_017036505.1|DKIK
OG0001329	LOC119658047|XP_037921219.1|HILL	LOC108085967|XP_017038253.1|DKIK
OG0001330	LOC119657748|XP_037920727.1|HILL	LOC108078222|XP_017027403.1|DKIK
OG0001331	LOC119656876|XP_037919468.1|HILL	LOC108076110|XP_017024323.1|DKIK
OG0001332	LOC119656586|XP_037918919.1|HILL	LOC108080351|XP_017030545.1|DKIK
OG0001333	LOC119656813|XP_037919365.1|HILL	LOC108082250|XP_017033078.1|DKIK
OG0001334	LOC119657942|XP_037921060.1|HILL	LOC108073727|XP_017020973.1|DKIK
OG0001335	LOC119652343|XP_037912293.1|HILL	LOC108085642|XP_017037816.1|DKIK
OG0001337	LOC119657100|XP_037919783.1|HILL	LOC108082647|XP_017033615.1|DKIK
OG0001338	LOC119657367|XP_037920178.1|HILL	LOC108076482|XP_017024860.1|DKIK
OG0001339	LOC119655050|XP_037916668.1|HILL	LOC108072944|XP_017019788.1|DKIK
OG0001340	LOC119649314|XP_037907349.1|HILL	LOC108085578|XP_017037724.1|DKIK, LOC108083846|XP_017035317.1|DKIK
OG0001341	LOC119651654|XP_037911265.1|HILL	LOC108081600|XP_017032308.1|DKIK, LOC108082271|XP_017033094.1|DKIK, LOC108073588|XP_017020770.1|DKIK
OG0001342	LOC119653250|XP_037913786.1|HILL	LOC108085037|XP_017036972.1|DKIK
OG0001343	LOC119652246|XP_037912155.1|HILL, LOC119651876|XP_037911617.1|HILL	LOC108085621|XP_017037782.1|DKIK
OG0001344	LOC119651796|XP_037911507.1|HILL	LOC108073668|XP_017020883.1|DKIK
OG0001345	LOC119652847|XP_037913127.1|HILL	LOC108084275|XP_017035920.1|DKIK
OG0001346	LOC119651609|XP_037911190.1|HILL	LOC108083070|XP_017034201.1|DKIK
OG0001347	LOC119656995|XP_037919658.1|HILL	LOC108079445|XP_017029268.1|DKIK
OG0001348	LOC119646138|XP_037902422.1|HILL	LOC108085973|XP_017038263.1|DKIK
OG0001349	LOC119650338|XP_037908930.1|HILL, LOC119648621|XP_037906319.1|HILL	LOC108078723|XP_017028209.1|DKIK
OG0001350	LOC119656031|XP_037918222.1|HILL	LOC108073839|XP_017021108.1|DKIK, LOC108073787|XP_017021043.1|DKIK, LOC108073865|XP_017021140.1|DKIK
OG0001351	LOC119646934|XP_037903549.1|HILL	LOC108073077|XP_017020033.1|DKIK, LOC108073107|XP_017020086.1|DKIK
OG0001352	LOC119646485|XP_037902868.1|HILL	LOC108071379|XP_017017604.1|DKIK
OG0001353	LOC119657814|XP_037920854.1|HILL	LOC108083094|XP_017034235.1|DKIK
OG0001354	LOC119661661|XP_037927022.1|HILL	LOC108076426|XP_017024762.1|DKIK
OG0001355	LOC119647144|XP_037903866.1|HILL	LOC108078185|XP_017027340.1|DKIK
OG0001356	LOC119659914|XP_037924167.1|HILL	LOC108081495|XP_017032195.1|DKIK
OG0001357	LOC119650158|XP_037908633.1|HILL, LOC119650159|XP_037908634.1|HILL, LOC119655198|XP_037916898.1|HILL	LOC108070594|XP_017016652.1|DKIK
OG0001358	LOC119649831|XP_037908101.1|HILL	LOC108085515|XP_017037628.1|DKIK
OG0001359	LOC119649801|XP_037908041.1|HILL	LOC108077383|XP_017026166.1|DKIK
OG0001360	LOC119660268|XP_037924655.1|HILL	LOC108077959|XP_017026988.1|DKIK
OG0001361	LOC119649638|XP_037907817.1|HILL	LOC108078565|XP_017027973.1|DKIK
OG0001362	LOC119649515|XP_037907624.1|HILL	LOC108078791|XP_017028337.1|DKIK
OG0001363	LOC119660259|XP_037924645.1|HILL	LOC108081763|XP_017032454.1|DKIK
OG0001364	LOC119653200|XP_037913699.1|HILL	LOC108072050|XP_017018523.1|DKIK
OG0001365	LOC119648268|XP_037905850.1|HILL	LOC108071966|XP_017018431.1|DKIK
OG0001366	LOC119649229|XP_037907216.1|HILL	LOC108070573|XP_017016614.1|DKIK, LOC108070572|XP_017016613.1|DKIK
OG0001367	LOC119646490|XP_037902877.1|HILL	LOC108078180|XP_017027333.1|DKIK
OG0001368	LOC119658811|XP_037922460.1|HILL	LOC108078078|XP_017027152.1|DKIK
OG0001369	LOC119654759|XP_037916228.1|HILL	LOC108080726|XP_017031076.1|DKIK
OG0001370	LOC119646383|XP_037902755.1|HILL	LOC108074209|XP_017021636.1|DKIK
OG0001371	LOC119653164|XP_037913632.1|HILL	LOC108083294|XP_017034523.1|DKIK, LOC108085490|XP_017037602.1|DKIK
OG0001373	LOC119653079|XP_037913495.1|HILL	LOC108073621|XP_017020809.1|DKIK
OG0001374	LOC119661235|XP_037926392.1|HILL	LOC108074728|XP_017022373.1|DKIK
OG0001375	LOC119659993|XP_037924293.1|HILL	LOC108080763|XP_017031106.1|DKIK
OG0001376	LOC119646276|XP_037902613.1|HILL	LOC108077968|XP_017026998.1|DKIK
OG0001377	LOC119650354|XP_037908968.1|HILL	LOC108079619|XP_017029484.1|DKIK
OG0001378	LOC119656648|XP_037919037.1|HILL, LOC119657864|XP_037920917.1|HILL	LOC108075972|XP_017024112.1|DKIK
OG0001379	LOC119651100|XP_037910387.1|HILL	LOC108086159|XP_017038509.1|DKIK
OG0001380	LOC119661414|XP_037926677.1|HILL	LOC108070939|XP_017017083.1|DKIK
OG0001381	LOC119647953|XP_037905272.1|HILL	LOC108076372|XP_017024666.1|DKIK
OG0001382	LOC119661475|XP_037926765.1|HILL	LOC108085346|XP_017037393.1|DKIK
OG0001383	LOC119647254|XP_037904062.1|HILL	LOC108078032|XP_017027081.1|DKIK
OG0001384	LOC119650590|XP_037909365.1|HILL	LOC108082673|XP_017033661.1|DKIK
OG0001385	LOC119648519|XP_037906217.1|HILL	LOC108077108|XP_017025789.1|DKIK
OG0001387	LOC119658144|XP_037921342.1|HILL	LOC108072861|XP_017019666.1|DKIK
OG0001388	LOC119647241|XP_037904032.1|HILL	LOC108077056|XP_017025709.1|DKIK
OG0001389	LOC119652995|XP_037913350.1|HILL	LOC108080941|XP_017031336.1|DKIK
OG0001390	LOC119659069|XP_037922906.1|HILL	LOC108076306|XP_017024569.1|DKIK, LOC108076015|XP_017024165.1|DKIK, LOC108077340|XP_017026118.1|DKIK
OG0001391	LOC119659041|XP_037922869.1|HILL, LOC119660450|XP_037924937.1|HILL	LOC108082840|XP_017033895.1|DKIK
OG0001392	LOC119654285|XP_037915501.1|HILL	LOC108080170|XP_017030303.1|DKIK
OG0001393	LOC119658993|XP_037922803.1|HILL	LOC108074824|XP_017022511.1|DKIK
OG0001394	LOC119660939|XP_037925866.1|HILL	LOC108077194|XP_017025927.1|DKIK
OG0001395	LOC119659967|XP_037924255.1|HILL	LOC108084260|XP_017035893.1|DKIK, LOC108080877|XP_017031269.1|DKIK
OG0001396	LOC119654659|XP_037916078.1|HILL	LOC108074130|XP_017021519.1|DKIK
OG0001397	LOC119660543|XP_037925106.1|HILL	LOC108072000|XP_017018466.1|DKIK
OG0001398	LOC119658900|XP_037922631.1|HILL, LOC119660834|XP_037925631.1|HILL	LOC108079446|XP_017029269.1|DKIK
OG0001399	LOC119653725|XP_037914561.1|HILL	LOC108075503|XP_017023464.1|DKIK, LOC108077294|XP_017026066.1|DKIK, LOC108083654|XP_017035018.1|DKIK, LOC108084505|XP_017036231.1|DKIK
OG0001400	LOC119649562|XP_037907686.1|HILL, LOC119649358|XP_037907399.1|HILL	LOC108080802|XP_017031182.1|DKIK
OG0001401	LOC119650076|XP_037908503.1|HILL	LOC108075026|XP_017022769.1|DKIK
OG0001402	LOC119649300|XP_037907323.1|HILL	LOC108083762|XP_017035174.1|DKIK, LOC108083761|XP_017035173.1|DKIK
OG0001403	LOC119657757|XP_037920740.1|HILL	LOC108083302|XP_017034529.1|DKIK, LOC108071127|XP_017017299.1|DKIK
OG0001404	LOC119653478|XP_037914032.1|HILL	LOC108070874|XP_017017001.1|DKIK
OG0001405	LOC119654372|XP_037915653.1|HILL, LOC119654030|XP_037915121.1|HILL, LOC119655178|XP_037916858.1|HILL, LOC119654029|XP_037915120.1|HILL	LOC108085102|XP_017037067.1|DKIK
OG0001406	LOC119655945|XP_037918064.1|HILL	LOC108078919|XP_017028549.1|DKIK, LOC108084642|XP_017036422.1|DKIK
OG0001407	LOC119649363|XP_037907405.1|HILL	LOC108077481|XP_017026292.1|DKIK
OG0001408	LOC119653786|XP_037914717.1|HILL, LOC119653785|XP_037914716.1|HILL, LOC119649778|XP_037908008.1|HILL, LOC119649900|XP_037908222.1|HILL, LOC119649959|XP_037908323.1|HILL, LOC119653782|XP_037914712.1|HILL, LOC119655494|XP_037917324.1|HILL, LOC119654611|XP_037916011.1|HILL	LOC108072879|XP_017019687.1|DKIK
OG0001411	LOC119661783|XP_037927187.1|HILL, LOC119652314|XP_037912255.1|HILL, LOC119646991|XP_037903634.1|HILL	LOC108075736|XP_017023772.1|DKIK
OG0001412	LOC119646959|XP_037903583.1|HILL	LOC108072566|XP_017019243.1|DKIK
OG0001415	LOC119646748|XP_037903254.1|HILL, LOC119646710|XP_037903216.1|HILL	LOC108073075|XP_017020031.1|DKIK, LOC108073120|XP_017020102.1|DKIK
OG0001429	LOC119653219|XP_037913722.1|HILL, LOC119652468|XP_037912562.1|HILL	LOC108077873|XP_017026899.1|DKIK
OG0001430	LOC119647554|XP_037904478.1|HILL, LOC119656740|XP_037919217.1|HILL	LOC108074073|XP_017021436.1|DKIK
OG0001432	LOC119657036|XP_037919718.1|HILL	LOC108083570|XP_017034915.1|DKIK
OG0001433	LOC119652346|XP_037912300.1|HILL	LOC108083705|XP_017035091.1|DKIK
OG0001434	LOC119656546|XP_037918836.1|HILL	LOC108082943|XP_017034045.1|DKIK
OG0001435	LOC119656806|XP_037919345.1|HILL	LOC108078106|XP_017027199.1|DKIK
OG0001436	LOC119656606|XP_037918968.1|HILL	LOC108082898|XP_017033971.1|DKIK, LOC108080386|XP_017030599.1|DKIK
OG0001437	LOC119659054|XP_037922891.1|HILL	LOC108074834|XP_017022524.1|DKIK
OG0001438	LOC119656888|XP_037919486.1|HILL	LOC108081129|XP_017031636.1|DKIK
OG0001439	LOC119659035|XP_037922858.1|HILL	LOC108071362|XP_017017593.1|DKIK
OG0001440	LOC119651352|XP_037910839.1|HILL	LOC108076668|XP_017025092.1|DKIK
OG0001441	LOC119656960|XP_037919608.1|HILL	LOC108074195|XP_017021625.1|DKIK
OG0001442	LOC119657508|XP_037920372.1|HILL	LOC108077388|XP_017026170.1|DKIK
OG0001443	LOC119653014|XP_037913378.1|HILL	LOC108085870|XP_017038117.1|DKIK
OG0001444	LOC119657226|XP_037919966.1|HILL, LOC119657317|XP_037920104.1|HILL, LOC119658133|XP_037921330.1|HILL	LOC108073531|XP_017020701.1|DKIK
OG0001445	LOC119650719|XP_037909661.1|HILL	LOC108077760|XP_017026730.1|DKIK
OG0001446	LOC119650743|XP_037909739.1|HILL	LOC108071324|XP_017017523.1|DKIK
OG0001447	LOC119655582|XP_037917453.1|HILL	LOC108084261|XP_017035894.1|DKIK
OG0001448	LOC119652654|XP_037912834.1|HILL	LOC108073720|XP_017020955.1|DKIK
OG0001449	LOC119650287|XP_037908845.1|HILL	LOC108078532|XP_017027933.1|DKIK
OG0001450	LOC119657746|XP_037920724.1|HILL	LOC108074553|XP_017022143.1|DKIK
OG0001451	LOC119661787|XP_037927198.1|HILL	LOC108081317|XP_017031895.1|DKIK
OG0001452	LOC119647289|XP_037904121.1|HILL	LOC108076786|XP_017025281.1|DKIK, LOC108076573|XP_017024972.1|DKIK
OG0001453	LOC119649865|XP_037908164.1|HILL	LOC108080204|XP_017030349.1|DKIK
OG0001454	LOC119659256|XP_037923175.1|HILL	LOC108071444|XP_017017688.1|DKIK
OG0001455	LOC119648164|XP_037905667.1|HILL	LOC108078800|XP_017028354.1|DKIK
OG0001456	LOC119649465|XP_037907551.1|HILL	LOC108085115|XP_017037084.1|DKIK
OG0001457	LOC119661698|XP_037927072.1|HILL	LOC108081009|XP_017031434.1|DKIK
OG0001458	LOC119646766|XP_037903273.1|HILL	LOC108074665|XP_017022273.1|DKIK
OG0001459	LOC119649746|XP_037907963.1|HILL	LOC108071653|XP_017017938.1|DKIK
OG0001460	LOC119647907|XP_037905148.1|HILL	LOC108072869|XP_017019677.1|DKIK, LOC108072056|XP_017018537.1|DKIK
OG0001461	LOC119655555|XP_037917406.1|HILL	LOC108079179|XP_017028919.1|DKIK, LOC108085462|XP_017037565.1|DKIK
OG0001462	LOC119647439|XP_037904286.1|HILL	LOC108079761|XP_017029672.1|DKIK
OG0001463	LOC119658997|XP_037922807.1|HILL	LOC108081136|XP_017031646.1|DKIK
OG0001464	LOC119660865|XP_037925689.1|HILL	LOC108079450|XP_017029273.1|DKIK
OG0001465	LOC119661306|XP_037926524.1|HILL	LOC108078560|XP_017027967.1|DKIK
OG0001466	LOC119647116|XP_037903831.1|HILL	LOC108076904|XP_017025433.1|DKIK
OG0001467	LOC119646387|XP_037902758.1|HILL	LOC108082000|XP_017032732.1|DKIK
OG0001468	LOC119649357|XP_037907395.1|HILL	LOC108078612|XP_017028021.1|DKIK
OG0001469	LOC119660627|XP_037925261.1|HILL	LOC108072949|XP_017019815.1|DKIK
OG0001470	LOC119650028|XP_037908433.1|HILL	LOC108083002|XP_017034115.1|DKIK
OG0001471	LOC119650245|XP_037908763.1|HILL	LOC108071519|XP_017017777.1|DKIK
OG0001472	LOC119648953|XP_037906799.1|HILL	LOC108079718|XP_017029616.1|DKIK
OG0001474	LOC119655942|XP_037918063.1|HILL	LOC108083886|XP_017035365.1|DKIK
OG0001475	LOC119646535|XP_037902929.1|HILL	LOC108073092|XP_017020067.1|DKIK
OG0001476	LOC119646631|XP_037903069.1|HILL	LOC108077564|XP_017026444.1|DKIK, LOC108070762|XP_017016851.1|DKIK
OG0001477	LOC119653829|XP_037914803.1|HILL	LOC108073488|XP_017020635.1|DKIK
OG0001478	LOC119652561|XP_037912697.1|HILL, LOC119652209|XP_037912077.1|HILL	LOC108086106|XP_017038423.1|DKIK
OG0001480	LOC119661320|XP_037926543.1|HILL	LOC108086128|XP_017038469.1|DKIK
OG0001481	LOC119652936|XP_037913257.1|HILL	LOC108079606|XP_017029456.1|DKIK
OG0001482	LOC119653980|XP_037915070.1|HILL	LOC108076251|XP_017024489.1|DKIK
OG0001483	LOC119653092|XP_037913523.1|HILL	LOC108083449|XP_017034710.1|DKIK
OG0001484	LOC119647542|XP_037904460.1|HILL, LOC119647544|XP_037904463.1|HILL	LOC108082118|XP_017032908.1|DKIK
OG0001485	LOC119649244|XP_037907238.1|HILL	LOC108085507|XP_017037620.1|DKIK
OG0001486	LOC119652475|XP_037912573.1|HILL	LOC108077031|XP_017025647.1|DKIK
OG0001487	LOC119651066|XP_037910330.1|HILL	LOC108085948|XP_017038227.1|DKIK
OG0001488	LOC119661214|XP_037926365.1|HILL, LOC119657365|XP_037920176.1|HILL, LOC119661305|XP_037926523.1|HILL, LOC119651417|XP_037910940.1|HILL, LOC119661215|XP_037926367.1|HILL	LOC108070774|XP_017016862.1|DKIK
OG0001489	LOC119651713|XP_037911355.1|HILL	LOC108082761|XP_017033767.1|DKIK
OG0001490	LOC119651715|XP_037911364.1|HILL	LOC108075910|XP_017024024.1|DKIK
OG0001491	LOC119646618|XP_037903052.1|HILL	LOC108074557|XP_017022145.1|DKIK
OG0001493	LOC119655859|XP_037917907.1|HILL	LOC108083358|XP_017034590.1|DKIK
OG0001494	LOC119655481|XP_037917309.1|HILL	LOC108074923|XP_017022639.1|DKIK
OG0001495	LOC119653406|XP_037913898.1|HILL	LOC108078112|XP_017027205.1|DKIK
OG0001496	LOC119655329|XP_037917098.1|HILL	LOC108083439|XP_017034684.1|DKIK
OG0001497	LOC119657909|XP_037921011.1|HILL	LOC108078450|XP_017027827.1|DKIK
OG0001498	LOC119659865|XP_037924105.1|HILL	LOC108085481|XP_017037588.1|DKIK
OG0001500	LOC119655204|XP_037916903.1|HILL	LOC108082520|XP_017033438.1|DKIK
OG0001501	LOC119659833|XP_037924057.1|HILL, LOC119660373|XP_037924818.1|HILL	LOC108085601|XP_017037759.1|DKIK
OG0001502	LOC119652025|XP_037911887.1|HILL, LOC119660909|XP_037925784.1|HILL	LOC108072449|XP_017019065.1|DKIK
OG0001503	LOC119655492|XP_037917322.1|HILL	LOC108081784|XP_017032491.1|DKIK, LOC108081294|XP_017031870.1|DKIK
OG0001504	LOC119656214|XP_037918538.1|HILL	LOC108080304|XP_017030467.1|DKIK
OG0001506	LOC119655596|XP_037917481.1|HILL	LOC108078357|XP_017027663.1|DKIK
OG0001507	LOC119655846|XP_037917889.1|HILL	LOC108072343|XP_017018922.1|DKIK
OG0001508	LOC119655979|XP_037918140.1|HILL, LOC119655613|XP_037917511.1|HILL	LOC108084163|XP_017035735.1|DKIK
OG0001509	LOC119656162|XP_037918432.1|HILL	LOC108072294|XP_017018849.1|DKIK
OG0001510	LOC119650653|XP_037909517.1|HILL	LOC108075961|XP_017024099.1|DKIK
OG0001511	LOC119653884|XP_037914930.1|HILL	LOC108072373|XP_017018962.1|DKIK
OG0001512	LOC119655067|XP_037916688.1|HILL	LOC108078289|XP_017027553.1|DKIK
OG0001513	LOC119649806|XP_037908045.1|HILL	LOC108079253|XP_017029034.1|DKIK, LOC108075443|XP_017023423.1|DKIK
OG0001515	LOC119655346|XP_037917125.1|HILL	LOC108080333|XP_017030522.1|DKIK
OG0001517	LOC119657938|XP_037921054.1|HILL	LOC108083643|XP_017035004.1|DKIK
OG0001518	LOC119651003|XP_037910217.1|HILL, LOC119651847|XP_037911574.1|HILL, LOC119651848|XP_037911577.1|HILL, LOC119651841|XP_037911567.1|HILL, LOC119651846|XP_037911573.1|HILL, LOC119651844|XP_037911571.1|HILL, LOC119651843|XP_037911570.1|HILL, LOC119651842|XP_037911568.1|HILL	LOC108071701|XP_017018005.1|DKIK
OG0001519	LOC119648557|XP_037906255.1|HILL, LOC119659587|XP_037923674.1|HILL, LOC119648556|XP_037906254.1|HILL	LOC108084306|XP_017035958.1|DKIK
OG0001524	LOC119646742|XP_037903249.1|HILL	LOC108073070|XP_017020024.1|DKIK, LOC108073071|XP_017020026.1|DKIK
OG0001527	LOC119657502|XP_037920364.1|HILL	LOC108080052|XP_017030122.1|DKIK
OG0001534	LOC119656541|XP_037918815.1|HILL	LOC108079248|XP_017029025.1|DKIK, LOC108072440|XP_017019052.1|DKIK, LOC108079136|XP_017028872.1|DKIK
OG0001535	LOC119657486|XP_037920336.1|HILL	LOC108074180|XP_017021606.1|DKIK
OG0001536	LOC119646612|XP_037903042.1|HILL	LOC108083352|XP_017034585.1|DKIK
OG0001537	LOC119657890|XP_037920961.1|HILL	LOC108074263|XP_017021723.1|DKIK
OG0001538	LOC119657148|XP_037919853.1|HILL, LOC119649612|XP_037907760.1|HILL, LOC119656720|XP_037919175.1|HILL, LOC119656719|XP_037919174.1|HILL	LOC108083574|XP_017034920.1|DKIK
OG0001539	LOC119656642|XP_037919018.1|HILL	LOC108074204|XP_017021632.1|DKIK
OG0001540	LOC119652333|XP_037912272.1|HILL	LOC108077214|XP_017025955.1|DKIK
OG0001541	LOC119661222|XP_037926404.1|HILL, LOC119660851|XP_037926108.1|HILL, LOC119660158|XP_037924890.1|HILL, LOC119646856|XP_037903407.1|HILL, LOC119658780|XP_037922410.1|HILL	LOC108072628|XP_017019351.1|DKIK
OG0001542	LOC119655166|XP_037916846.1|HILL	LOC108071453|XP_017017699.1|DKIK
OG0001543	LOC119656597|XP_037918952.1|HILL	LOC108071703|XP_017018008.1|DKIK
OG0001544	LOC119657629|XP_037920561.1|HILL	LOC108071210|XP_017017382.1|DKIK
OG0001545	LOC119657564|XP_037920451.1|HILL, LOC119657548|XP_037920428.1|HILL	LOC108084685|XP_017036506.1|DKIK
OG0001546	LOC119656786|XP_037919302.1|HILL	LOC108084671|XP_017036487.1|DKIK
OG0001547	LOC119657797|XP_037920809.1|HILL	LOC108071757|XP_017018073.1|DKIK
OG0001548	LOC119657373|XP_037920185.1|HILL	LOC108083964|XP_017035460.1|DKIK, LOC108085956|XP_017038232.1|DKIK
OG0001549	LOC119650735|XP_037909704.1|HILL	LOC108077018|XP_017025610.1|DKIK
OG0001550	LOC119658946|XP_037922743.1|HILL	LOC108085903|XP_017038161.1|DKIK, LOC108073921|XP_017021211.1|DKIK
OG0001551	LOC119652541|XP_037912674.1|HILL	LOC108073557|XP_017020732.1|DKIK
OG0001552	LOC119651886|XP_037911635.1|HILL	LOC108083248|XP_017034446.1|DKIK
OG0001553	LOC119653576|XP_037914245.1|HILL	LOC108082895|XP_017033969.1|DKIK, LOC108074139|XP_017021528.1|DKIK
OG0001554	LOC119651111|XP_037910405.1|HILL	LOC108077586|XP_017026469.1|DKIK
OG0001555	LOC119661540|XP_037926852.1|HILL, LOC119659822|XP_037924038.1|HILL	LOC108079550|XP_017029376.1|DKIK
OG0001556	LOC119659266|XP_037923193.1|HILL	LOC108076802|XP_017025316.1|DKIK
OG0001557	LOC119660775|XP_037925478.1|HILL	LOC108083534|XP_017034857.1|DKIK
OG0001558	LOC119658461|XP_037921793.1|HILL	LOC108084733|XP_017036544.1|DKIK
OG0001559	LOC119652859|XP_037913143.1|HILL	LOC108077791|XP_017026780.1|DKIK
OG0001560	LOC119658725|XP_037922308.1|HILL	LOC108074075|XP_017021440.1|DKIK
OG0001561	LOC119652816|XP_037913068.1|HILL, LOC119652603|XP_037912763.1|HILL	LOC108075567|XP_017023571.1|DKIK
OG0001562	LOC119649645|XP_037907828.1|HILL	LOC108077347|XP_017026125.1|DKIK
OG0001563	LOC119656807|XP_037919347.1|HILL	LOC108078562|XP_017027970.1|DKIK, LOC108077779|XP_017026770.1|DKIK
OG0001564	LOC119650926|XP_037910081.1|HILL	LOC108073472|XP_017020605.1|DKIK
OG0001565	LOC119659375|XP_037923359.1|HILL	LOC108071432|XP_017017673.1|DKIK
OG0001566	LOC119653247|XP_037913780.1|HILL	LOC108084141|XP_017035674.1|DKIK
OG0001567	LOC119655577|XP_037917438.1|HILL	LOC108078330|XP_017027617.1|DKIK
OG0001569	LOC119651771|XP_037911451.1|HILL	LOC108084264|XP_017035908.1|DKIK, LOC108084263|XP_017035906.1|DKIK
OG0001570	LOC119650909|XP_037910058.1|HILL	LOC108074097|XP_017021480.1|DKIK
OG0001571	LOC119653208|XP_037913703.1|HILL	LOC108077178|XP_017025905.1|DKIK
OG0001572	LOC119661524|XP_037926828.1|HILL	LOC108083608|XP_017034968.1|DKIK
OG0001573	LOC119649346|XP_037907382.1|HILL	LOC108078828|XP_017028405.1|DKIK
OG0001574	LOC119649303|XP_037907328.1|HILL, LOC119661447|XP_037926718.1|HILL	LOC108080249|XP_017030396.1|DKIK
OG0001575	LOC119653103|XP_037913546.1|HILL	LOC108084548|XP_017036285.1|DKIK
OG0001576	LOC119646441|XP_037902819.1|HILL	LOC108084814|XP_017036663.1|DKIK
OG0001577	LOC119649888|XP_037908198.1|HILL	LOC108073455|XP_017020578.1|DKIK
OG0001578	LOC119646947|XP_037903570.1|HILL	LOC108081150|XP_017031678.1|DKIK
OG0001579	LOC119661610|XP_037926958.1|HILL	LOC108083411|XP_017034654.1|DKIK
OG0001580	LOC119648793|XP_037906607.1|HILL	LOC108078541|XP_017027943.1|DKIK
OG0001581	LOC119656055|XP_037918254.1|HILL, LOC119649348|XP_037907384.1|HILL	LOC108080104|XP_017030208.1|DKIK
OG0001582	LOC119651815|XP_037911536.1|HILL	LOC108072926|XP_017019761.1|DKIK
OG0001583	LOC119659720|XP_037923903.1|HILL	LOC108076699|XP_017025144.1|DKIK
OG0001585	LOC119656002|XP_037918168.1|HILL	LOC108083460|XP_017034727.1|DKIK
OG0001586	LOC119647932|XP_037905200.1|HILL	LOC108078206|XP_017027383.1|DKIK, LOC108083811|XP_017035247.1|DKIK
OG0001587	LOC119659167|XP_037923046.1|HILL	LOC108083716|XP_017035112.1|DKIK
OG0001588	LOC119658583|XP_037921967.1|HILL	LOC108078452|XP_017027830.1|DKIK
OG0001589	LOC119651375|XP_037910878.1|HILL	LOC108083946|XP_017035439.1|DKIK
OG0001590	LOC119655218|XP_037916923.1|HILL	LOC108076613|XP_017025024.1|DKIK
OG0001591	LOC119650695|XP_037909607.1|HILL	LOC108075717|XP_017023744.1|DKIK
OG0001592	LOC119661690|XP_037927063.1|HILL	LOC108076993|XP_017025542.1|DKIK
OG0001593	LOC119652228|XP_037912113.1|HILL, LOC119652545|XP_037912677.1|HILL	LOC108077273|XP_017026031.1|DKIK
OG0001594	LOC119655867|XP_037917922.1|HILL	LOC108076981|XP_017025528.1|DKIK
OG0001595	LOC119655772|XP_037917759.1|HILL	LOC108073115|XP_017020098.1|DKIK
OG0001596	LOC119648895|XP_037906722.1|HILL, LOC119651016|XP_037910244.1|HILL	LOC108072582|XP_017019279.1|DKIK
OG0001597	LOC119653034|XP_037913409.1|HILL	LOC108083513|XP_017034816.1|DKIK
OG0001598	LOC119653202|XP_037913698.1|HILL	LOC108074416|XP_017021933.1|DKIK
OG0001599	LOC119651069|XP_037910334.1|HILL	LOC108075940|XP_017024072.1|DKIK
OG0001600	LOC119652819|XP_037913074.1|HILL	LOC108085254|XP_017037290.1|DKIK
OG0001601	LOC119650829|XP_037909894.1|HILL	LOC108082234|XP_017033061.1|DKIK
OG0001602	LOC119651030|XP_037910270.1|HILL	LOC108082251|XP_017033083.1|DKIK
OG0001603	LOC119651768|XP_037911436.1|HILL	LOC108077291|XP_017026059.1|DKIK
OG0001604	LOC119655583|XP_037917451.1|HILL	LOC108073533|XP_017020703.1|DKIK, LOC108080402|XP_017030619.1|DKIK
OG0001605	LOC119661250|XP_037926426.1|HILL	LOC108079410|XP_017029226.1|DKIK, LOC108070917|XP_017017065.1|DKIK
OG0001606	LOC119660918|XP_037925818.1|HILL, LOC119646508|XP_037902892.1|HILL	LOC108081307|XP_017031889.1|DKIK
OG0001607	LOC119653772|XP_037914699.1|HILL	LOC108077410|XP_017026199.1|DKIK
OG0001608	LOC119651382|XP_037910884.1|HILL	LOC108081533|XP_017032240.1|DKIK
OG0001609	LOC119661337|XP_037926568.1|HILL	LOC108077978|XP_017027009.1|DKIK
OG0001610	LOC119651658|XP_037911273.1|HILL	LOC108072496|XP_017019151.1|DKIK
OG0001611	LOC119659808|XP_037924012.1|HILL	LOC108082173|XP_017032967.1|DKIK
OG0001612	LOC119661586|XP_037926916.1|HILL	LOC108079576|XP_017029409.1|DKIK
OG0001613	LOC119652539|XP_037912671.1|HILL	LOC108077187|XP_017025920.1|DKIK
OG0001614	LOC119646811|XP_037903340.1|HILL	LOC108078307|XP_017027582.1|DKIK
OG0001615	LOC119652569|XP_037912710.1|HILL	LOC108081465|XP_017032147.1|DKIK
OG0001616	LOC119653567|XP_037914212.1|HILL	LOC108081412|XP_017032085.1|DKIK, LOC108082235|XP_017033062.1|DKIK
OG0001617	LOC119650668|XP_037909544.1|HILL	LOC108082801|XP_017033845.1|DKIK
OG0001618	LOC119660942|XP_037925872.1|HILL	LOC108076986|XP_017025534.1|DKIK
OG0001619	LOC119652825|XP_037913082.1|HILL	LOC108082886|XP_017033957.1|DKIK
OG0001620	LOC119653577|XP_037914248.1|HILL	LOC108078403|XP_017027749.1|DKIK
