Orthogroup	HILL.longest_only	DSEC.longest_only
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC6610980|XP_002035537.1|DSEC
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC6610987|XP_002035544.1|DSEC, LOC6610983|XP_002035540.1|DSEC, LOC6621634|XP_002045742.2|DSEC, LOC6610978|XP_002035535.1|DSEC, LOC6610976|XP_002035533.2|DSEC
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC6617118|XP_002041445.1|DSEC, LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC, LOC6617113|XP_002041440.2|DSEC, LOC6617114|XP_002041441.1|DSEC, LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC116801805|XP_032579403.1|DSEC, LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC, LOC6619030|XP_032578205.1|DSEC, LOC6606811|XP_002031608.2|DSEC, LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC6607757|XP_002032520.1|DSEC
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC6609401|XP_002034086.1|DSEC
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC6610269|XP_002034864.1|DSEC, LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC, LOC116801300|XP_032575946.1|DSEC
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC6614266|XP_002038706.1|DSEC, LOC6614270|XP_002038710.2|DSEC, LOC6614272|XP_002038712.1|DSEC, LOC6615538|XP_002039917.1|DSEC, LOC6614271|XP_032578446.1|DSEC, LOC6614265|XP_002038705.1|DSEC, LOC6614261|XP_032579066.1|DSEC, LOC6614263|XP_002038703.1|DSEC, LOC6614259|XP_032579064.1|DSEC
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC, LOC6608651|XP_032573063.1|DSEC, LOC6618118|XP_002042417.2|DSEC, LOC6608649|XP_032571742.1|DSEC, LOC6609002|XP_002033708.1|DSEC
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC6617640|XP_002041953.1|DSEC
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC, LOC6620024|XP_002044237.2|DSEC
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC6611565|XP_002036103.2|DSEC
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC6611563|XP_002036101.1|DSEC
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC116801287|XP_032575822.1|DSEC, LOC116801288|XP_032575823.1|DSEC, LOC6619350|XP_032575819.1|DSEC, LOC116801283|XP_032575818.1|DSEC, LOC116800996|XP_032573943.1|DSEC, LOC116801284|XP_032575821.1|DSEC, LOC6619351|XP_032575820.1|DSEC, LOC6605908|XP_002030721.1|DSEC
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC6606884|XP_002031678.1|DSEC, LOC6608399|XP_002033133.1|DSEC, LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC, LOC6607309|XP_002032088.1|DSEC, LOC6618299|XP_002042572.1|DSEC
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC6616124|XP_002040489.1|DSEC
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC6615087|XP_032581969.1|DSEC
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC, LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC6611956|XP_002036473.1|DSEC
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC6606692|XP_002031492.2|DSEC, LOC6606694|XP_002031494.1|DSEC, LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC, LOC6606693|XP_002031493.1|DSEC, LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC, LOC6614429|XP_032583720.1|DSEC, LOC6614430|XP_002038863.1|DSEC, LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC6606280|XP_032578992.1|DSEC
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC6609848|XP_002034500.1|DSEC, LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC6619358|XP_002043575.1|DSEC, LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC6614108|XP_032577608.1|DSEC
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC, LOC6606864|XP_002031658.1|DSEC, LOC6616681|XP_002041036.1|DSEC, LOC6616680|XP_002041035.2|DSEC, LOC6616678|XP_002041033.1|DSEC, LOC6619507|XP_002043722.1|DSEC
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC
OG0000043	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL	LOC6606882|XP_002031676.2|DSEC, LOC6606880|XP_002031674.2|DSEC, LOC6606881|XP_032578763.1|DSEC, LOC6606886|XP_002031680.1|DSEC, LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000044	LOC119658958|XP_037922759.1|HILL, LOC119658735|XP_037922328.1|HILL, LOC119658738|XP_037922338.1|HILL, LOC119658739|XP_037922341.1|HILL, LOC119658736|XP_037922334.1|HILL, LOC119658744|XP_037922349.1|HILL, LOC119658743|XP_037922348.1|HILL, LOC119658742|XP_037922343.1|HILL, LOC119658745|XP_037922350.1|HILL, LOC119658746|XP_037922352.1|HILL, LOC119658747|XP_037922353.1|HILL, LOC119658749|XP_037922359.1|HILL, LOC119658740|XP_037922342.1|HILL	LOC6619712|XP_032578272.1|DSEC, LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC, LOC6619713|XP_032578123.1|DSEC, LOC6619715|XP_002043930.1|DSEC, LOC6619714|XP_002043929.1|DSEC
OG0000045	LOC119649047|XP_037906953.1|HILL	LOC6605191|XP_002030030.1|DSEC
OG0000045	LOC119652611|XP_037912776.1|HILL	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC, LOC6611095|XP_002035652.1|DSEC, LOC6611094|XP_002035651.1|DSEC
OG0000046	LOC119657334|XP_037920131.1|HILL, LOC119657920|XP_037921035.1|HILL	LOC6620032|XP_032578694.1|DSEC, LOC6615012|XP_002039429.1|DSEC, LOC6615013|XP_002039430.2|DSEC, LOC6615011|XP_032581038.1|DSEC, LOC6607592|XP_032578892.1|DSEC, LOC6618806|XP_002043055.1|DSEC, LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC
OG0000047	LOC119654474|XP_037915820.1|HILL	LOC6609458|XP_002034143.1|DSEC, LOC6609455|XP_002034140.1|DSEC, LOC6609036|XP_032573031.1|DSEC, LOC6605158|XP_002029997.1|DSEC, LOC6609046|XP_032572064.1|DSEC, LOC6605159|XP_002029998.2|DSEC
OG0000048	LOC119648777|XP_037906539.1|HILL, LOC119648574|XP_037906272.1|HILL, LOC119648995|XP_037906854.1|HILL	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC, LOC6605923|XP_002030736.1|DSEC, LOC6605926|XP_002030739.1|DSEC
