Orthogroup	HILL.longest_only	BTRY.longest_only
OG0000005	LOC119651767|XP_037911435.1|HILL	LOC120767523|XP_039949552.1|BTRY
OG0000006	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL	LOC120767509|XP_039949536.1|BTRY
OG0000007	LOC119649696|XP_037907891.1|HILL, LOC119649694|XP_037907889.1|HILL, LOC119649695|XP_037907890.1|HILL, LOC119649697|XP_037907893.1|HILL, LOC119648942|XP_037906785.1|HILL, LOC119648943|XP_037906787.1|HILL, LOC119648554|XP_037906252.1|HILL, LOC119650121|XP_037908575.1|HILL, LOC119648538|XP_037906233.1|HILL, LOC119648172|XP_037905680.1|HILL, LOC119657608|XP_037920535.1|HILL	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC120778027|XP_039965634.1|BTRY, LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY, LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY, LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY, LOC120778217|XP_039965948.1|BTRY, LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC120778133|XP_039965828.1|BTRY, LOC120780988|XP_039969143.1|BTRY, LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC120780063|XP_039968275.1|BTRY, LOC120771333|XP_039955212.1|BTRY, LOC120782593|XP_039970879.1|BTRY, LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC119656845|XP_037919421.1|HILL	LOC120766432|XP_039947870.1|BTRY
OG0000010	LOC119656775|XP_037919284.1|HILL	LOC120767531|XP_039949557.1|BTRY
OG0000010	LOC119656778|XP_037919289.1|HILL, LOC119656848|XP_037919427.1|HILL, LOC119656776|XP_037919286.1|HILL, LOC119656777|XP_037919288.1|HILL, LOC119656846|XP_037919423.1|HILL, LOC119656847|XP_037919426.1|HILL, LOC119657240|XP_037919983.1|HILL, LOC119657051|XP_037919733.1|HILL	LOC120767528|XP_039949554.1|BTRY
OG0000011	LOC119654488|XP_037915839.1|HILL	LOC120773419|XP_039958227.1|BTRY
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC120772295|XP_039956737.1|BTRY, LOC120771372|XP_039955267.1|BTRY, LOC120772056|XP_039956371.1|BTRY, LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY, LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY, LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC120767942|XP_039950259.1|BTRY
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC120773675|XP_039958634.1|BTRY
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY, LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC120777274|XP_039964412.1|BTRY, LOC120777489|XP_039964764.1|BTRY, LOC120777232|XP_039964348.1|BTRY, LOC120777549|XP_039964872.1|BTRY, LOC120777771|XP_039965219.1|BTRY, LOC120777275|XP_039964413.1|BTRY, LOC120777724|XP_039965149.1|BTRY, LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY, LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC120774911|XP_039960716.1|BTRY, LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY, LOC120768574|XP_039951256.1|BTRY, LOC120769643|XP_039952681.1|BTRY, LOC120767064|XP_039948853.1|BTRY
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC120782274|XP_039970399.1|BTRY, LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC120776121|XP_039962581.1|BTRY
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC120780423|XP_039968662.1|BTRY
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC120770783|XP_039954296.1|BTRY
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY, LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC120770270|XP_039953521.1|BTRY, LOC120770300|XP_039953603.1|BTRY, LOC120770307|XP_039953615.1|BTRY, LOC120782575|XP_039970851.1|BTRY, LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY, LOC120766880|XP_039948548.1|BTRY, LOC120774273|XP_039959699.1|BTRY, LOC120766882|XP_039948559.1|BTRY
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY, LOC120771072|XP_039954818.1|BTRY, LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC120774110|XP_039959404.1|BTRY
OG0000026	LOC119661504|XP_037926799.1|HILL, LOC119661567|XP_037926888.1|HILL, LOC119661568|XP_037926892.1|HILL, LOC119661566|XP_037926887.1|HILL	LOC120778586|XP_039966386.1|BTRY, LOC120777839|XP_039965309.1|BTRY, LOC120777836|XP_039965307.1|BTRY, LOC120777837|XP_039965308.1|BTRY
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC120768612|XP_039951313.1|BTRY
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC120778319|XP_039966048.1|BTRY, LOC120777924|XP_039965441.1|BTRY, LOC120777926|XP_039965443.1|BTRY, LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC120776112|XP_039962547.1|BTRY
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC120778702|XP_039966600.1|BTRY, LOC120782135|XP_039970211.1|BTRY, LOC120782697|XP_039971031.1|BTRY, LOC120770922|XP_039954552.1|BTRY, LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY, LOC120779035|XP_039967132.1|BTRY, LOC120782780|XP_039971181.1|BTRY
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC120782380|XP_039970556.1|BTRY, LOC120776996|XP_039964035.1|BTRY
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC120778788|XP_039966724.1|BTRY
