Orthogroup	HILL.longest_only	DSUP.longest_only
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC119548026|XP_037711028.1|DSUP, LOC119547062|XP_037709672.1|DSUP, LOC119558003|XP_037727039.1|DSUP, LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP, LOC119548364|XP_037711508.1|DSUP, LOC119546642|XP_037709016.1|DSUP, LOC119546643|XP_037709017.1|DSUP, LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP, LOC119555043|XP_037722157.1|DSUP, LOC119555066|XP_037722201.1|DSUP, LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP, LOC119546892|XP_037709441.1|DSUP, LOC119547187|XP_037709849.1|DSUP, LOC119548093|XP_037711109.1|DSUP, LOC119547435|XP_037710223.1|DSUP, LOC119546050|XP_037708041.1|DSUP, LOC119548232|XP_037711301.1|DSUP, LOC119547347|XP_037710088.1|DSUP, LOC119556682|XP_037724981.1|DSUP, LOC119556749|XP_037725099.1|DSUP, LOC119554627|XP_037721551.1|DSUP, LOC119555960|XP_037723606.1|DSUP, LOC119554626|XP_037721550.1|DSUP, LOC119554762|XP_037721730.1|DSUP, LOC119560188|XP_037729480.1|DSUP
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC119550822|XP_037715693.1|DSUP, LOC119550821|XP_037715691.1|DSUP, LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP, LOC119551494|XP_037716788.1|DSUP, LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP, LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP, LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC119545787|XP_037707587.1|DSUP, LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC119560964|XP_037730645.1|DSUP
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC119557630|XP_037726388.1|DSUP
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC119561925|XP_037731293.1|DSUP
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC119555565|XP_037722943.1|DSUP
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC119555819|XP_037723364.1|DSUP, LOC119549290|XP_037713167.1|DSUP, LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP, LOC119560371|XP_037729705.1|DSUP, LOC119552736|XP_037718429.1|DSUP, LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP, LOC119562595|XP_037731744.1|DSUP, LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP, LOC119546290|XP_037708399.1|DSUP
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC119554781|XP_037721753.1|DSUP
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC119553692|XP_037720175.1|DSUP, LOC119554782|XP_037721754.1|DSUP, LOC119554784|XP_037721757.1|DSUP, LOC119553876|XP_037720463.1|DSUP, LOC119553875|XP_037720461.1|DSUP, LOC119553877|XP_037720464.1|DSUP, LOC119553878|XP_037720465.1|DSUP, LOC119552517|XP_037718063.1|DSUP, LOC119552516|XP_037718062.1|DSUP
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC119545699|XP_037707379.1|DSUP, LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP, LOC119553849|XP_037720426.1|DSUP, LOC119545700|XP_037707380.1|DSUP, LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC119551011|XP_037715994.1|DSUP, LOC119549986|XP_037714317.1|DSUP
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP, LOC119561092|XP_037730913.1|DSUP, LOC119556769|XP_037725126.1|DSUP, LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC119556017|XP_037723717.1|DSUP
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC119552371|XP_037718001.1|DSUP
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC119550370|XP_037714944.1|DSUP
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP, LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP, LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP, LOC119555580|XP_037722981.1|DSUP
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC119559780|XP_037728787.1|DSUP, LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP, LOC119559786|XP_037728794.1|DSUP, LOC119559783|XP_037728790.1|DSUP, LOC119550999|XP_037715976.1|DSUP, LOC119559784|XP_037728792.1|DSUP, LOC119559779|XP_037728786.1|DSUP, LOC119559782|XP_037728789.1|DSUP, LOC119559778|XP_037728785.1|DSUP, LOC119559785|XP_037728793.1|DSUP
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP, LOC119551121|XP_037716233.1|DSUP, LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP, LOC119551919|XP_037717477.1|DSUP
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC119556135|XP_037723954.1|DSUP
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC119557908|XP_037726842.1|DSUP
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP, LOC119560123|XP_037729401.1|DSUP
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC119548409|XP_037711576.1|DSUP
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC119548453|XP_037711645.1|DSUP
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC119555139|XP_037722294.1|DSUP, LOC119555149|XP_037722305.1|DSUP, LOC119555148|XP_037722304.1|DSUP, LOC119555138|XP_037722293.1|DSUP, LOC119554395|XP_037721204.1|DSUP, LOC119555144|XP_037722299.1|DSUP, LOC119555146|XP_037722302.1|DSUP, LOC119555150|XP_037722306.1|DSUP, LOC119555145|XP_037722300.1|DSUP, LOC119555143|XP_037722297.1|DSUP, LOC119555141|XP_037722296.1|DSUP, LOC119555140|XP_037722295.1|DSUP, LOC119555147|XP_037722303.1|DSUP, LOC119553994|XP_037720628.1|DSUP, LOC119554450|XP_037721289.1|DSUP, LOC119554646|XP_037721574.1|DSUP
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC119562890|XP_037731935.1|DSUP, LOC119561586|XP_037731129.1|DSUP, LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP, LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP, LOC119554065|XP_037720734.1|DSUP
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC119557894|XP_037726826.1|DSUP
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC119556830|XP_037725216.1|DSUP
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP, LOC119547774|XP_037710713.1|DSUP, LOC119546228|XP_037708296.1|DSUP, LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP, LOC119548228|XP_037711295.1|DSUP
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC119559763|XP_037728765.1|DSUP, LOC119559968|XP_037729132.1|DSUP, LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP, LOC119560219|XP_037729506.1|DSUP, LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC119548454|XP_037711646.1|DSUP, LOC119547534|XP_037710356.1|DSUP, LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP, LOC119546951|XP_037709518.1|DSUP
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC119560416|XP_037729780.1|DSUP
