Orthogroup	HILL.longest_only	DBIA.longest_only
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC108032967|XP_016962527.1|DBIA, LOC108036348|XP_016967909.1|DBIA, LOC108036878|XP_016968743.1|DBIA, LOC108030712|XP_016959244.1|DBIA, LOC108031941|XP_016961211.1|DBIA, LOC108026055|XP_016952238.1|DBIA, LOC108022955|XP_016947661.1|DBIA, LOC108024069|XP_016949327.1|DBIA, LOC108022064|XP_016946398.1|DBIA, LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC108028081|XP_016955212.1|DBIA, LOC108028402|XP_016955706.1|DBIA, LOC108028162|XP_016955311.1|DBIA, LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA, LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC108026305|XP_016952678.1|DBIA, LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA, LOC108031537|XP_016960562.1|DBIA, LOC108024628|XP_016950157.1|DBIA, LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC108026319|XP_016952697.1|DBIA
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC108030636|XP_016959139.1|DBIA, LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA, LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA, LOC108029203|XP_016956872.1|DBIA
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC108027148|XP_016953858.1|DBIA, LOC108027146|XP_016953855.1|DBIA, LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA, LOC108027009|XP_016953696.1|DBIA, LOC108027245|XP_016954086.1|DBIA, LOC108027357|XP_016954268.1|DBIA, LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA, LOC108022667|XP_016947225.1|DBIA, LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA, LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC108032654|XP_016962104.1|DBIA
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC108033303|XP_016963062.1|DBIA
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC108031851|XP_016961097.1|DBIA, LOC108031869|XP_016961120.1|DBIA, LOC108035884|XP_016967128.1|DBIA, LOC108031862|XP_016961109.1|DBIA, LOC108035881|XP_016967123.1|DBIA, LOC108035882|XP_016967124.1|DBIA, LOC108035021|XP_016965853.1|DBIA
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA, LOC108031286|XP_016960018.1|DBIA, LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC108023610|XP_016948706.1|DBIA
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA, LOC108033238|XP_016962991.1|DBIA, LOC108033489|XP_016963320.1|DBIA, LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA, LOC108032586|XP_016961983.1|DBIA
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC108027359|XP_016954271.1|DBIA, LOC108027164|XP_016953916.1|DBIA, LOC108027269|XP_016954133.1|DBIA, LOC108027231|XP_016954053.1|DBIA, LOC108027230|XP_016954052.1|DBIA, LOC108027165|XP_016953917.1|DBIA, LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA, LOC108035237|XP_016966261.1|DBIA, LOC108034999|XP_016965831.1|DBIA, LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA, LOC108036755|XP_016968570.1|DBIA
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC108026449|XP_016952877.1|DBIA
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC108029865|XP_016957843.1|DBIA, LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC108030746|XP_016959281.1|DBIA, LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC108027177|XP_016953954.1|DBIA
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC108025546|XP_016951565.1|DBIA, LOC108024820|XP_016950438.1|DBIA, LOC108024821|XP_016950440.1|DBIA, LOC108025434|XP_016951413.1|DBIA, LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA, LOC108025485|XP_016951488.1|DBIA, LOC108023851|XP_016948987.1|DBIA
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000043	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL	LOC108024814|XP_016950428.1|DBIA, LOC108024406|XP_016949807.1|DBIA, LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA, LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
