Orthogroup	HILL.longest_only	DNOV.longest_only
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV, LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV, LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC115765587|XP_030565097.1|DNOV, LOC115765588|XP_030565098.1|DNOV, LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC115763759|XP_030562333.1|DNOV, LOC115763738|XP_030562299.1|DNOV, LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV, LOC115765543|XP_030565028.1|DNOV, LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV, LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV, LOC115760928|XP_030558363.1|DNOV, LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC119656845|XP_037919421.1|HILL	LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV
OG0000010	LOC119656775|XP_037919284.1|HILL	LOC115761953|XP_030559852.1|DNOV
OG0000010	LOC119656846|XP_037919423.1|HILL, LOC119656847|XP_037919426.1|HILL	LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC115769277|XP_030569859.1|DNOV, LOC115765906|XP_030565511.1|DNOV, LOC115764504|XP_030563454.1|DNOV, LOC115762679|XP_030560853.1|DNOV, LOC115759523|XP_030556331.1|DNOV, LOC115770116|XP_030571097.1|DNOV, LOC115769479|XP_030570160.1|DNOV, LOC115763449|XP_030561878.1|DNOV, LOC115769842|XP_030570677.1|DNOV, LOC115768719|XP_030569278.1|DNOV, LOC115770699|XP_030571957.1|DNOV, LOC115768733|XP_030569280.1|DNOV, LOC115766963|XP_030566913.1|DNOV
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC115760603|XP_030557904.1|DNOV, LOC115760694|XP_030558018.1|DNOV, LOC115760695|XP_030558019.1|DNOV, LOC115760604|XP_030557906.1|DNOV, LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV, LOC115760685|XP_030558012.1|DNOV, LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV, LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV, LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV, LOC115760654|XP_030557981.1|DNOV, LOC115761250|XP_030558818.1|DNOV, LOC115761483|XP_030559109.1|DNOV, LOC115761251|XP_030558819.1|DNOV, LOC115765058|XP_030564291.1|DNOV, LOC115762485|XP_030560583.1|DNOV, LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC115762718|XP_030560904.1|DNOV, LOC115762873|XP_030561108.1|DNOV, LOC115762704|XP_030560888.1|DNOV, LOC115762687|XP_030560868.1|DNOV, LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV, LOC115762728|XP_030560922.1|DNOV
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV, LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV, LOC115771639|XP_030573299.1|DNOV, LOC115771840|XP_030573582.1|DNOV, LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC115764021|XP_030562712.1|DNOV, LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC115758764|XP_030555385.1|DNOV, LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV, LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV, LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC115770843|XP_030572140.1|DNOV
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC115762571|XP_030560717.1|DNOV, LOC115762572|XP_030560718.1|DNOV, LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV, LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV, LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV, LOC115761267|XP_030558841.1|DNOV, LOC115761263|XP_030558837.1|DNOV, LOC115761778|XP_030559575.1|DNOV, LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV, LOC115761262|XP_030558836.1|DNOV, LOC115761326|XP_030558919.1|DNOV, LOC115761659|XP_030559359.1|DNOV, LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV, LOC115758184|XP_030554584.1|DNOV, LOC115763072|XP_030561360.1|DNOV, LOC115758183|XP_030554583.1|DNOV, LOC115764549|XP_030563528.1|DNOV, LOC115758109|XP_030554493.1|DNOV, LOC115758108|XP_030554492.1|DNOV, LOC115758107|XP_030554491.1|DNOV, LOC115759954|XP_030556957.1|DNOV
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC115758436|XP_030554952.1|DNOV
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV, LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV, LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV, LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC115771909|XP_030573659.1|DNOV, LOC115771910|XP_030573660.1|DNOV, LOC115771703|XP_030573383.1|DNOV, LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC115758611|XP_030555202.1|DNOV, LOC115759087|XP_030555781.1|DNOV, LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV, LOC115759327|XP_030556099.1|DNOV, LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC115759641|XP_030556490.1|DNOV
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC115761663|XP_030559406.1|DNOV, LOC115761932|XP_030559822.1|DNOV, LOC115764695|XP_030563749.1|DNOV, LOC115758180|XP_030554581.1|DNOV
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC115769340|XP_030569961.1|DNOV, LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC115764701|XP_030563759.1|DNOV
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC115759806|XP_030556753.1|DNOV, LOC115764750|XP_030563834.1|DNOV, LOC115764751|XP_030563835.1|DNOV, LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV, LOC115764684|XP_030563733.1|DNOV, LOC115764805|XP_030563912.1|DNOV, LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV, LOC115766040|XP_030565671.1|DNOV, LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000043	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL	LOC115770548|XP_030571710.1|DNOV, LOC115770561|XP_030571734.1|DNOV, LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC119658958|XP_037922759.1|HILL, LOC119658735|XP_037922328.1|HILL, LOC119658738|XP_037922338.1|HILL, LOC119658739|XP_037922341.1|HILL, LOC119658736|XP_037922334.1|HILL, LOC119658744|XP_037922349.1|HILL, LOC119658743|XP_037922348.1|HILL, LOC119658742|XP_037922343.1|HILL, LOC119658745|XP_037922350.1|HILL, LOC119658746|XP_037922352.1|HILL, LOC119658747|XP_037922353.1|HILL, LOC119658749|XP_037922359.1|HILL, LOC119658740|XP_037922342.1|HILL	LOC115770712|XP_030571969.1|DNOV, LOC115770689|XP_030571941.1|DNOV, LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV, LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC119649047|XP_037906953.1|HILL	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC119652611|XP_037912776.1|HILL	LOC115771240|XP_030572702.1|DNOV, LOC115771239|XP_030572701.1|DNOV, LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC119657334|XP_037920131.1|HILL, LOC119657920|XP_037921035.1|HILL	LOC115768148|XP_030568502.1|DNOV, LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC119654474|XP_037915820.1|HILL	LOC115760745|XP_030558082.1|DNOV, LOC115757956|XP_030554291.1|DNOV, LOC115757840|XP_030554132.1|DNOV
