Orthogroup	HILL.longest_only	DFIC.longest_only
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC, LOC108091746|XP_017046577.1|DFIC, LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC108091757|XP_017046589.1|DFIC, LOC108091754|XP_017046587.1|DFIC, LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC108101115|XP_017060823.1|DFIC, LOC108101125|XP_017060838.1|DFIC, LOC108093288|XP_017048753.1|DFIC, LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC, LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000010	LOC119657050|XP_037919732.1|HILL, LOC119656775|XP_037919284.1|HILL	LOC108098255|XP_017056544.1|DFIC
OG0000010	LOC119656847|XP_037919426.1|HILL	LOC108101428|XP_017061247.1|DFIC
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC108101273|XP_017061049.1|DFIC, LOC108100009|XP_017059202.1|DFIC, LOC108101289|XP_017061078.1|DFIC, LOC108100104|XP_017059339.1|DFIC, LOC108098171|XP_017056393.1|DFIC, LOC108095556|XP_017052180.1|DFIC, LOC108086883|XP_017039433.1|DFIC, LOC108086913|XP_017039476.1|DFIC, LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC108096904|XP_017054341.1|DFIC, LOC108096903|XP_017054340.1|DFIC, LOC108096929|XP_017054370.1|DFIC, LOC108096943|XP_017054393.1|DFIC, LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC, LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC, LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC108091996|XP_017046910.1|DFIC, LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC108098017|XP_017056155.1|DFIC, LOC108101533|XP_017061396.1|DFIC, LOC108099991|XP_017059177.1|DFIC, LOC108097740|XP_017055736.1|DFIC, LOC108095642|XP_017052296.1|DFIC, LOC108087716|XP_017040726.1|DFIC, LOC108099990|XP_017059176.1|DFIC, LOC108087715|XP_017040725.1|DFIC, LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC108093128|XP_017048562.1|DFIC, LOC108093130|XP_017048564.1|DFIC, LOC108093138|XP_017048572.1|DFIC, LOC108093140|XP_017048574.1|DFIC, LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC108086541|XP_017038967.1|DFIC, LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC, LOC108086535|XP_017038961.1|DFIC, LOC108086543|XP_017038970.1|DFIC, LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC108086571|XP_017039016.1|DFIC, LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC108100979|XP_017060622.1|DFIC, LOC108101093|XP_017060792.1|DFIC, LOC108102060|XP_017062180.1|DFIC, LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC108091979|XP_017046877.1|DFIC
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC108100202|XP_017059465.1|DFIC, LOC108100307|XP_017059595.1|DFIC, LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC, LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC108096120|XP_017052985.1|DFIC, LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC, LOC108096128|XP_017052994.1|DFIC, LOC108096606|XP_017053802.1|DFIC, LOC108096129|XP_017052995.1|DFIC, LOC108096118|XP_017052982.1|DFIC, LOC108096119|XP_017052984.1|DFIC, LOC108096117|XP_017052981.1|DFIC, LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC, LOC108086472|XP_017038887.1|DFIC, LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC, LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC, LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC108095331|XP_017051904.1|DFIC, LOC108095316|XP_017051884.1|DFIC, LOC108088857|XP_017042321.1|DFIC, LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC, LOC108095285|XP_017051819.1|DFIC, LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC, LOC108096726|XP_017054059.1|DFIC, LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC, LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC108087889|XP_017040956.1|DFIC, LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC, LOC108087890|XP_017040957.1|DFIC, LOC108087979|XP_017041070.1|DFIC, LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC, LOC108098179|XP_017056401.1|DFIC, LOC108098285|XP_017056581.1|DFIC, LOC108101136|XP_017060848.1|DFIC, LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC, LOC108093450|XP_017049013.1|DFIC
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC108097979|XP_017056090.1|DFIC
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC108087844|XP_017040913.1|DFIC, LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC108088854|XP_017042318.1|DFIC, LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC108091791|XP_017046639.1|DFIC
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC108092229|XP_017047255.1|DFIC, LOC108087305|XP_017040113.1|DFIC, LOC108087307|XP_017040114.1|DFIC, LOC108092211|XP_017047228.1|DFIC, LOC108092212|XP_017047230.1|DFIC, LOC108092206|XP_017047224.1|DFIC, LOC108102071|XP_017062201.1|DFIC, LOC108100764|XP_017060292.1|DFIC
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC
OG0000043	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL	LOC108087389|XP_017040220.1|DFIC, LOC108087351|XP_017040180.1|DFIC, LOC108087056|XP_017039721.1|DFIC, LOC108092195|XP_017047211.1|DFIC, LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC
OG0000044	LOC119658958|XP_037922759.1|HILL, LOC119658735|XP_037922328.1|HILL, LOC119658738|XP_037922338.1|HILL, LOC119658739|XP_037922341.1|HILL, LOC119658736|XP_037922334.1|HILL, LOC119658744|XP_037922349.1|HILL, LOC119658743|XP_037922348.1|HILL, LOC119658742|XP_037922343.1|HILL, LOC119658745|XP_037922350.1|HILL, LOC119658746|XP_037922352.1|HILL, LOC119658747|XP_037922353.1|HILL, LOC119658749|XP_037922359.1|HILL, LOC119658740|XP_037922342.1|HILL	LOC108095953|XP_017052779.1|DFIC, LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC, LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC, LOC108102017|XP_017062104.1|DFIC
OG0000045	LOC119649047|XP_037906953.1|HILL	LOC108099782|XP_017058900.1|DFIC
OG0000045	LOC119652611|XP_037912776.1|HILL	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC, LOC108089346|XP_017043016.1|DFIC, LOC108089335|XP_017043004.1|DFIC
