Orthogroup	HILL.longest_only	DGUA.longest_only
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC117586341|XP_034132234.1|DGUA, LOC117586454|XP_034132388.1|DGUA, LOC117585408|XP_034130767.1|DGUA, LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA, LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA, LOC117587230|XP_034133688.1|DGUA, LOC117586357|XP_034132268.1|DGUA, LOC117588654|XP_034135988.1|DGUA, LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC119656845|XP_037919421.1|HILL	LOC117583778|XP_034128224.1|DGUA
OG0000010	LOC119656775|XP_037919284.1|HILL	LOC117591688|XP_034140902.1|DGUA
OG0000010	LOC119656778|XP_037919289.1|HILL, LOC119656848|XP_037919427.1|HILL, LOC119656776|XP_037919286.1|HILL, LOC119656777|XP_037919288.1|HILL, LOC119656846|XP_037919423.1|HILL, LOC119656847|XP_037919426.1|HILL, LOC119657240|XP_037919983.1|HILL, LOC119657051|XP_037919733.1|HILL	LOC117591679|XP_034140894.1|DGUA
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA, LOC117579965|XP_034122030.1|DGUA, LOC117579216|XP_034120874.1|DGUA, LOC117585951|XP_034131639.1|DGUA
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC117578829|XP_034120480.1|DGUA, LOC117578830|XP_034120484.1|DGUA, LOC117578828|XP_034120477.1|DGUA, LOC117578831|XP_034120485.1|DGUA, LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA, LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA, LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC117592555|XP_034142321.1|DGUA
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC117590521|XP_034139126.1|DGUA
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC117585977|XP_034131683.1|DGUA
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA, LOC117583601|XP_034127885.1|DGUA
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC117589945|XP_034138127.1|DGUA
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC117583582|XP_034127854.1|DGUA
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC117581434|XP_034124497.1|DGUA
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC117585750|XP_034131294.1|DGUA
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC117579173|XP_034120827.1|DGUA
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC117582389|XP_034125960.1|DGUA, LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA, LOC117583173|XP_034127261.1|DGUA, LOC117580469|XP_034122942.1|DGUA, LOC117583419|XP_034127607.1|DGUA, LOC117592152|XP_034141609.1|DGUA, LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC117587357|XP_034133889.1|DGUA
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC117587353|XP_034133885.1|DGUA, LOC117587354|XP_034133886.1|DGUA, LOC117587358|XP_034133890.1|DGUA, LOC117587351|XP_034133882.1|DGUA, LOC117587362|XP_034133895.1|DGUA, LOC117587361|XP_034133894.1|DGUA, LOC117587365|XP_034133899.1|DGUA
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA, LOC117583705|XP_034128081.1|DGUA, LOC117583723|XP_034128130.1|DGUA, LOC117583722|XP_034128122.1|DGUA
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC117583658|XP_034128012.1|DGUA, LOC117578526|XP_034119977.1|DGUA
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC117587736|XP_034134545.1|DGUA, LOC117586337|XP_034132223.1|DGUA, LOC117590165|XP_034138451.1|DGUA, LOC117584402|XP_034129156.1|DGUA
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC117590869|XP_034139782.1|DGUA
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC117585696|XP_034131203.1|DGUA
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC117585826|XP_034131453.1|DGUA
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC117587283|XP_034133760.1|DGUA, LOC117587285|XP_034133763.1|DGUA, LOC117587287|XP_034133765.1|DGUA, LOC117587288|XP_034133766.1|DGUA, LOC117587289|XP_034133767.1|DGUA, LOC117587281|XP_034133758.1|DGUA, LOC117587284|XP_034133762.1|DGUA, LOC117587282|XP_034133759.1|DGUA, LOC117587286|XP_034133764.1|DGUA
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC117586396|XP_034132318.1|DGUA, LOC117586009|XP_034131729.1|DGUA, LOC117586008|XP_034131728.1|DGUA, LOC117591288|XP_034140381.1|DGUA, LOC117586007|XP_034131727.1|DGUA, LOC117586005|XP_034131725.1|DGUA, LOC117586006|XP_034131726.1|DGUA, LOC117586004|XP_034131723.1|DGUA, LOC117586277|XP_034132120.1|DGUA
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC117580035|XP_034122157.1|DGUA, LOC117590346|XP_034138754.1|DGUA, LOC117580026|XP_034122146.1|DGUA, LOC117580040|XP_034122171.1|DGUA, LOC117591149|XP_034140151.1|DGUA, LOC117578502|XP_034119928.1|DGUA, LOC117592048|XP_034141425.1|DGUA
OG0000025	LOC119656929|XP_037919551.1|HILL	LOC117590412|XP_034138901.1|DGUA
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC117588644|XP_034135968.1|DGUA
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC117581101|XP_034123883.1|DGUA, LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA, LOC117589578|XP_034137528.1|DGUA
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC117582236|XP_034125737.1|DGUA
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC117581693|XP_034124961.1|DGUA
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC117579889|XP_034121915.1|DGUA, LOC117579893|XP_034121921.1|DGUA, LOC117579894|XP_034121922.1|DGUA, LOC117579895|XP_034121923.1|DGUA, LOC117579891|XP_034121917.1|DGUA, LOC117579890|XP_034121916.1|DGUA, LOC117579887|XP_034121914.1|DGUA, LOC117588956|XP_034136434.1|DGUA
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC117592282|XP_034141836.1|DGUA, LOC117589682|XP_034137727.1|DGUA, LOC117579424|XP_034121195.1|DGUA
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC117580802|XP_034123393.1|DGUA
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC117581439|XP_034124532.1|DGUA
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC117584126|XP_034128769.1|DGUA
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC117584798|XP_034129808.1|DGUA
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC117583029|XP_034127075.1|DGUA, LOC117583030|XP_034127077.1|DGUA, LOC117583031|XP_034127078.1|DGUA, LOC117583028|XP_034127074.1|DGUA, LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC117584525|XP_034129365.1|DGUA, LOC117584539|XP_034129382.1|DGUA, LOC117584364|XP_034129093.1|DGUA, LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA, LOC117588068|XP_034135019.1|DGUA
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC117586375|XP_034132294.1|DGUA
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC117589622|XP_034137600.1|DGUA
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC117581190|XP_034124041.1|DGUA, LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC117579886|XP_034121913.1|DGUA, LOC117579879|XP_034121893.1|DGUA
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC117586049|XP_034131784.1|DGUA
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC117586415|XP_034132343.1|DGUA, LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA, LOC117585623|XP_034131079.1|DGUA, LOC117585926|XP_034131583.1|DGUA, LOC117586490|XP_034132479.1|DGUA, LOC117585962|XP_034131662.1|DGUA, LOC117586743|XP_034132936.1|DGUA, LOC117585897|XP_034131543.1|DGUA, LOC117583720|XP_034128120.1|DGUA
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA, LOC117585914|XP_034131569.1|DGUA, LOC117591714|XP_034140925.1|DGUA
OG0000043	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL	LOC117585018|XP_034130150.1|DGUA, LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA, LOC117585502|XP_034130891.1|DGUA, LOC117584981|XP_034130079.1|DGUA, LOC117585441|XP_034130807.1|DGUA
OG0000044	LOC119658958|XP_037922759.1|HILL, LOC119658735|XP_037922328.1|HILL, LOC119658738|XP_037922338.1|HILL, LOC119658739|XP_037922341.1|HILL, LOC119658736|XP_037922334.1|HILL, LOC119658744|XP_037922349.1|HILL, LOC119658743|XP_037922348.1|HILL, LOC119658742|XP_037922343.1|HILL, LOC119658745|XP_037922350.1|HILL, LOC119658746|XP_037922352.1|HILL, LOC119658747|XP_037922353.1|HILL, LOC119658749|XP_037922359.1|HILL, LOC119658740|XP_037922342.1|HILL	LOC117585917|XP_034131574.1|DGUA, LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA, LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA, LOC117590011|XP_034138189.1|DGUA
OG0000045	LOC119649047|XP_037906953.1|HILL	LOC117586936|XP_034133192.1|DGUA
OG0000045	LOC119652611|XP_037912776.1|HILL	LOC117587010|XP_034133310.1|DGUA, LOC117579473|XP_034121255.1|DGUA, LOC117579463|XP_034121242.1|DGUA
OG0000046	LOC119657334|XP_037920131.1|HILL, LOC119657920|XP_037921035.1|HILL	LOC117589785|XP_034137874.1|DGUA, LOC117591350|XP_034140469.1|DGUA, LOC117592033|XP_034141382.1|DGUA, LOC117583276|XP_034127392.1|DGUA
OG0000047	LOC119654474|XP_037915820.1|HILL	LOC117591384|XP_034140523.1|DGUA, LOC117592295|XP_034141855.1|DGUA, LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA, LOC117582832|XP_034126782.1|DGUA, LOC117579417|XP_034121187.1|DGUA, LOC117580177|XP_034122427.1|DGUA, LOC117591732|XP_034140939.1|DGUA, LOC117580178|XP_034122428.1|DGUA
OG0000048	LOC119648777|XP_037906539.1|HILL, LOC119648574|XP_037906272.1|HILL, LOC119648995|XP_037906854.1|HILL	LOC117588941|XP_034136410.1|DGUA, LOC117589276|XP_034136957.1|DGUA, LOC117588957|XP_034136435.1|DGUA
