Orthogroup	HILL.longest_only	DHYD.longest_only
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD, LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD, LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC111600831|XP_023172902.2|DHYD, LOC111600808|XP_023172870.1|DHYD, LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC111604985|XP_023179049.1|DHYD, LOC111604987|XP_023179051.2|DHYD, LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD, LOC111603540|XP_030079215.1|DHYD, LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD, LOC111593562|XP_023162191.2|DHYD, LOC111593549|XP_023162171.2|DHYD, LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC119656845|XP_037919421.1|HILL	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD
OG0000010	LOC119656775|XP_037919284.1|HILL	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC119656776|XP_037919286.1|HILL	LOC115483312|XP_030080549.1|DHYD
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC111599147|XP_023170484.2|DHYD, LOC111596019|XP_023165812.2|DHYD, LOC111595276|XP_023164694.1|DHYD, LOC111605669|XP_023180101.2|DHYD, LOC111603319|XP_023176609.2|DHYD, LOC111599256|XP_023170624.2|DHYD
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC111603849|XP_023177406.2|DHYD, LOC111603850|XP_023177409.2|DHYD, LOC111603802|XP_023177320.1|DHYD, LOC111603848|XP_023177404.2|DHYD, LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD, LOC111597898|XP_023168600.2|DHYD, LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD, LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD, LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD, LOC111603822|XP_023177351.2|DHYD, LOC111592948|XP_023161193.2|DHYD, LOC111600903|XP_030081002.1|DHYD, LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC111600507|XP_023172403.1|DHYD, LOC111600522|XP_023172425.2|DHYD, LOC111600497|XP_023172393.2|DHYD, LOC111600505|XP_023172401.2|DHYD, LOC111600499|XP_023172394.2|DHYD, LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD, LOC111598920|XP_023170158.2|DHYD, LOC111603248|XP_023176523.1|DHYD, LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC111594494|XP_030080618.1|DHYD, LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC111598962|XP_023170216.2|DHYD, LOC111596686|XP_023166760.2|DHYD, LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD, LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC111593360|XP_023161841.1|DHYD
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD, LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD, LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC111602788|XP_023175829.2|DHYD, LOC111602703|XP_023175706.2|DHYD, LOC111602748|XP_023175768.2|DHYD, LOC111600543|XP_023172455.2|DHYD, LOC111602765|XP_023175792.2|DHYD, LOC111602764|XP_023175791.1|DHYD, LOC111602801|XP_023175861.1|DHYD, LOC111602761|XP_023175787.2|DHYD, LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD, LOC111592141|XP_023159955.2|DHYD, LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD, LOC111592145|XP_023159959.2|DHYD, LOC111598026|XP_023168817.2|DHYD, LOC111599681|XP_023171155.2|DHYD
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC111599384|XP_023170789.1|DHYD
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD, LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD, LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD, LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC111600747|XP_023172794.1|DHYD, LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD, LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC111596192|XP_023166065.2|DHYD, LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC111599037|XP_023170323.1|DHYD, LOC111598628|XP_023169740.2|DHYD, LOC111599021|XP_023170312.2|DHYD, LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC111602472|XP_023175302.2|DHYD, LOC111602462|XP_023175290.2|DHYD, LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC111602776|XP_023175811.1|DHYD
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC111604322|XP_030081296.1|DHYD, LOC111601750|XP_023174255.2|DHYD, LOC111599598|XP_023171051.2|DHYD, LOC111592218|XP_023160061.2|DHYD
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC111605099|XP_023179209.2|DHYD, LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC111599549|XP_023170981.2|DHYD
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC111600706|XP_023172734.1|DHYD, LOC111604247|XP_023178000.2|DHYD, LOC111604248|XP_023178001.2|DHYD, LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD, LOC111604211|XP_023177942.2|DHYD, LOC111604244|XP_023177997.1|DHYD, LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC111597538|XP_023168095.2|DHYD, LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD, LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD, LOC111597523|XP_023168066.2|DHYD, LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000043	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD, LOC111600264|XP_023172080.2|DHYD, LOC111600256|XP_023172069.2|DHYD, LOC111600253|XP_023172066.2|DHYD
