Orthogroup	HILL.longest_only	DEUG.longest_only
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC108103232|XP_017064122.1|DEUG, LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG, LOC108116118|XP_017083331.1|DEUG, LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC108116123|XP_017083335.1|DEUG, LOC108116120|XP_017083333.1|DEUG, LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC108117308|XP_017085159.1|DEUG, LOC108117290|XP_017085135.1|DEUG, LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG, LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG, LOC108107216|XP_017070122.1|DEUG, LOC108111728|XP_017076770.1|DEUG, LOC108106283|XP_017068739.1|DEUG, LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC119656845|XP_037919421.1|HILL	LOC108105230|XP_017067186.1|DEUG
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC108111192|XP_017076075.1|DEUG, LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG, LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG, LOC108102619|XP_017063216.1|DEUG, LOC108111193|XP_017076077.1|DEUG, LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG, LOC108103884|XP_017065103.1|DEUG, LOC108103883|XP_017065101.1|DEUG, LOC108105968|XP_017068261.1|DEUG, LOC108105967|XP_017068260.1|DEUG, LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC108113192|XP_017079208.1|DEUG, LOC108113191|XP_017079207.1|DEUG, LOC108113343|XP_017079393.1|DEUG, LOC108113377|XP_017079435.1|DEUG, LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG, LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG, LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC108116618|XP_017084081.1|DEUG, LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC108116882|XP_017084468.1|DEUG
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC108103209|XP_017064088.1|DEUG
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC108103426|XP_017064385.1|DEUG, LOC108112627|XP_017078221.1|DEUG, LOC108104154|XP_017065544.1|DEUG, LOC108112063|XP_017077297.1|DEUG, LOC108109558|XP_017073619.1|DEUG, LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG, LOC108109233|XP_017073194.1|DEUG, LOC108110339|XP_017074859.1|DEUG, LOC108109231|XP_017073193.1|DEUG, LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC108107531|XP_017070561.1|DEUG, LOC108108164|XP_017071591.1|DEUG, LOC108107661|XP_017070737.1|DEUG, LOC108107530|XP_017070560.1|DEUG, LOC108107673|XP_017070750.1|DEUG, LOC108107616|XP_017070674.1|DEUG, LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC108115822|XP_017082901.1|DEUG, LOC108115824|XP_017082904.1|DEUG, LOC108115825|XP_017082905.1|DEUG, LOC108115827|XP_017082907.1|DEUG, LOC108115829|XP_017082909.1|DEUG, LOC108115823|XP_017082903.1|DEUG, LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC108116051|XP_017083239.1|DEUG, LOC108109261|XP_017073233.1|DEUG
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG, LOC108117182|XP_017084963.1|DEUG, LOC108116455|XP_017083873.1|DEUG, LOC108107046|XP_017069896.1|DEUG, LOC108115414|XP_017082340.1|DEUG
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC108105026|XP_017066911.1|DEUG
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC108117533|XP_017085522.1|DEUG
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC108113005|XP_017078913.1|DEUG
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG, LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG, LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG, LOC108102797|XP_017063457.1|DEUG
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC108115114|XP_017081855.1|DEUG, LOC108115112|XP_017081853.1|DEUG, LOC108115052|XP_017081788.1|DEUG, LOC108112507|XP_017077883.1|DEUG, LOC108115111|XP_017081852.1|DEUG, LOC108115051|XP_017081787.1|DEUG, LOC108115158|XP_017081958.1|DEUG, LOC108115110|XP_017081851.1|DEUG, LOC108115157|XP_017081956.1|DEUG
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG, LOC108106500|XP_017069084.1|DEUG, LOC108115421|XP_017082346.1|DEUG, LOC108106503|XP_017069087.1|DEUG, LOC108111932|XP_017077077.1|DEUG
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC108103147|XP_017064008.1|DEUG
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC108111839|XP_017076932.1|DEUG
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG, LOC108110172|XP_017074584.1|DEUG
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC108106871|XP_017069603.1|DEUG
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC108106870|XP_017069602.1|DEUG
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC108108736|XP_017072363.1|DEUG, LOC108108737|XP_017072364.1|DEUG, LOC108108647|XP_017072239.1|DEUG, LOC108108738|XP_017072365.1|DEUG, LOC108108739|XP_017072366.1|DEUG, LOC108108680|XP_017072274.1|DEUG, LOC108108455|XP_017071998.1|DEUG, LOC108114276|XP_017080662.1|DEUG
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG, LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG, LOC108108451|XP_017071993.1|DEUG
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC108103318|XP_017064237.1|DEUG
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC108104999|XP_017066865.1|DEUG
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG, LOC108105922|XP_017068599.1|DEUG, LOC108103077|XP_017063915.1|DEUG, LOC108103075|XP_017063912.1|DEUG, LOC108103076|XP_017063913.1|DEUG, LOC108118411|XP_017086576.1|DEUG, LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG, LOC108105167|XP_017067096.1|DEUG, LOC108102303|XP_017066607.1|DEUG
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC108111003|XP_017075802.1|DEUG
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC108111801|XP_017076881.1|DEUG, LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG, LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG, LOC108111711|XP_017076750.1|DEUG, LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG, LOC108118408|XP_017086572.1|DEUG, LOC108118494|XP_017086716.1|DEUG, LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG, LOC108113407|XP_017079451.1|DEUG
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC108115061|XP_017081795.1|DEUG
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC108105599|XP_017067763.1|DEUG
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC108112000|XP_017077225.1|DEUG, LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC108108735|XP_017072362.1|DEUG, LOC108108809|XP_017072482.1|DEUG
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC108109615|XP_017073668.1|DEUG
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC108116469|XP_017083889.1|DEUG, LOC108116470|XP_017083890.1|DEUG, LOC108111562|XP_017076575.1|DEUG, LOC108111560|XP_017076573.1|DEUG, LOC108111548|XP_017076556.1|DEUG, LOC108109350|XP_017073299.1|DEUG
