Orthogroup	HILL.longest_only	SLEB.longest_only
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC115633152|XP_030386421.1|SLEB, LOC115633153|XP_030386422.1|SLEB, LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB, LOC115633111|XP_030386356.1|SLEB, LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB, LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB, LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB, LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB, LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC115624340|XP_030374852.1|SLEB, LOC115624344|XP_030374855.1|SLEB, LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC115624173|XP_030374629.1|SLEB, LOC115634672|XP_030388391.1|SLEB, LOC115624028|XP_030374465.1|SLEB, LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB, LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC119656845|XP_037919421.1|HILL	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC119656775|XP_037919284.1|HILL	LOC115630140|XP_030382609.1|SLEB
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC115627265|XP_030378753.1|SLEB
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC115626791|XP_030378121.1|SLEB, LOC115634820|XP_030388598.1|SLEB, LOC115624523|XP_030375106.1|SLEB, LOC115632632|XP_030385725.1|SLEB, LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC115624312|XP_030374797.1|SLEB, LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC115627671|XP_030379272.1|SLEB, LOC115619974|XP_030368869.1|SLEB, LOC115632872|XP_030386040.1|SLEB, LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB, LOC115619941|XP_030368828.1|SLEB, LOC115632785|XP_030385897.1|SLEB, LOC115632783|XP_030385894.1|SLEB, LOC115630526|XP_030382993.1|SLEB, LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB, LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC115632704|XP_030385802.1|SLEB, LOC115632708|XP_030385810.1|SLEB, LOC115633160|XP_030386431.1|SLEB, LOC115633162|XP_030386433.1|SLEB, LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC115620461|XP_030369552.1|SLEB, LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC115625139|XP_030375917.1|SLEB, LOC115623558|XP_030373816.1|SLEB, LOC115623561|XP_030373817.1|SLEB, LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC115625208|XP_030376037.1|SLEB
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB, LOC115624802|XP_030375508.1|SLEB, LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB, LOC115623320|XP_030373442.1|SLEB, LOC115623826|XP_030374229.1|SLEB, LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB, LOC115623322|XP_030373444.1|SLEB, LOC115623324|XP_030373445.1|SLEB, LOC115623321|XP_030373443.1|SLEB, LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC115634516|XP_030388143.1|SLEB, LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB, LOC115626230|XP_030377390.1|SLEB, LOC115633141|XP_030386412.1|SLEB, LOC115630204|XP_030382632.1|SLEB, LOC115633283|XP_030386551.1|SLEB, LOC115633275|XP_030386546.1|SLEB, LOC115633288|XP_030386557.1|SLEB, LOC115629800|XP_030382222.1|SLEB, LOC115629806|XP_030382233.1|SLEB, LOC115632051|XP_030384884.1|SLEB
OG0000025	LOC119656929|XP_037919551.1|HILL	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC115627188|XP_030378651.1|SLEB, LOC115622705|XP_030372595.1|SLEB
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC115634414|XP_030387972.1|SLEB, LOC115634466|XP_030388054.1|SLEB, LOC115634465|XP_030388053.1|SLEB, LOC115634409|XP_030387965.1|SLEB
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB, LOC115626596|XP_030377839.1|SLEB
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC115621800|XP_030371439.1|SLEB, LOC115621799|XP_030371437.1|SLEB
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC115631238|XP_030383807.1|SLEB, LOC115631233|XP_030383802.1|SLEB, LOC115631236|XP_030383804.1|SLEB, LOC115631298|XP_030383873.1|SLEB, LOC115631016|XP_030383488.1|SLEB, LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC115621020|XP_030370399.1|SLEB
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC115626848|XP_030378208.1|SLEB, LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB, LOC115620739|XP_030369986.1|SLEB
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC115633983|XP_030387367.1|SLEB, LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC115633921|XP_030387291.1|SLEB
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB, LOC115624210|XP_030374678.1|SLEB, LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB, LOC115625385|XP_030376282.1|SLEB, LOC115625500|XP_030376420.1|SLEB, LOC115625300|XP_030376176.1|SLEB, LOC115625492|XP_030376401.1|SLEB, LOC115623744|XP_030374119.1|SLEB, LOC115624203|XP_030374667.1|SLEB, LOC115624202|XP_030374666.1|SLEB, LOC115624204|XP_030374669.1|SLEB, LOC115624209|XP_030374675.1|SLEB, LOC115624206|XP_030374673.1|SLEB, LOC115621426|XP_030370938.1|SLEB
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB
OG0000043	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL	LOC115623987|XP_030374418.1|SLEB, LOC115623491|XP_030373724.1|SLEB, LOC115627355|XP_030378864.1|SLEB, LOC115623337|XP_030373467.1|SLEB, LOC115623816|XP_030374219.1|SLEB, LOC115623986|XP_030374417.1|SLEB
