Orthogroup	HILL.longest_only	DBUS.longest_only
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC108604020|XP_017848755.1|DBUS, LOC108601959|XP_017845435.1|DBUS, LOC108601305|XP_017844694.1|DBUS, LOC108599992|XP_033150731.1|DBUS, LOC108601444|XP_017844830.1|DBUS, LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS, LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS, LOC108595579|XP_017836330.1|DBUS, LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS, LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC119656845|XP_037919421.1|HILL	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC119657242|XP_037919984.1|HILL, LOC119657050|XP_037919732.1|HILL, LOC119656775|XP_037919284.1|HILL	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC108599014|XP_017841282.1|DBUS, LOC108606030|XP_017851346.1|DBUS, LOC108600675|XP_017843868.1|DBUS
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC108595899|XP_017836677.1|DBUS, LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS, LOC108595898|XP_017836676.1|DBUS, LOC108595900|XP_017836679.1|DBUS, LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS, LOC108597255|XP_017839199.1|DBUS, LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC108594623|XP_017835255.1|DBUS, LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS, LOC108594615|XP_017835248.1|DBUS, LOC117134873|XP_033150152.1|DBUS, LOC108601314|XP_017844702.1|DBUS, LOC117134851|XP_033149937.1|DBUS, LOC108601332|XP_033149826.1|DBUS, LOC108602535|XP_017846156.1|DBUS, LOC108595879|XP_017836658.1|DBUS, LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC108598989|XP_017841254.1|DBUS, LOC117134764|XP_033149298.1|DBUS, LOC108597971|XP_017840076.1|DBUS, LOC108599156|XP_017841431.1|DBUS, LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC108602938|XP_017846769.1|DBUS, LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS, LOC108601285|XP_017844674.1|DBUS, LOC108602937|XP_017846768.1|DBUS, LOC108602931|XP_017846763.1|DBUS, LOC108602936|XP_017846767.1|DBUS, LOC108602933|XP_017846765.1|DBUS, LOC108601284|XP_017844673.1|DBUS
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC108604342|XP_017849258.1|DBUS, LOC108601560|XP_017844947.1|DBUS, LOC108601249|XP_017844637.1|DBUS, LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC108607439|XP_017853757.2|DBUS, LOC108603823|XP_017848442.1|DBUS, LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS, LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC108602127|XP_017845643.1|DBUS
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC108599848|XP_017842465.1|DBUS, LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS, LOC108597711|XP_017839890.1|DBUS
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC117134624|XP_033150075.1|DBUS, LOC108601632|XP_017845020.1|DBUS, LOC108601651|XP_017845040.1|DBUS, LOC108604301|XP_017849208.1|DBUS, LOC108596143|XP_017837125.1|DBUS, LOC108604433|XP_017849396.1|DBUS, LOC108601245|XP_033150074.1|DBUS, LOC108602727|XP_017846368.1|DBUS, LOC108602726|XP_017846367.1|DBUS, LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC108594640|XP_017835273.1|DBUS, LOC108594639|XP_033150985.1|DBUS, LOC108594980|XP_017835602.1|DBUS, LOC117135103|XP_033151001.1|DBUS, LOC108595136|XP_017835788.1|DBUS, LOC108596281|XP_017837347.1|DBUS, LOC108594612|XP_017835244.1|DBUS, LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS, LOC108595405|XP_017836123.1|DBUS, LOC108595394|XP_017836112.1|DBUS
OG0000024	LOC119655861|XP_037917909.1|HILL, LOC119656010|XP_037918186.1|HILL	LOC108597622|XP_017839754.1|DBUS
OG0000025	LOC119647429|XP_037904270.1|HILL, LOC119656929|XP_037919551.1|HILL	LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS, LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC108599710|XP_017842196.1|DBUS, LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS, LOC108598250|XP_017840354.1|DBUS, LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC108601292|XP_017844680.1|DBUS, LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS, LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS, LOC108595066|XP_017835705.2|DBUS
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC108604099|XP_017848870.1|DBUS, LOC108601631|XP_017845019.1|DBUS, LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC108600656|XP_017843844.2|DBUS, LOC108597722|XP_017839907.2|DBUS, LOC108608325|XP_017855153.2|DBUS, LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC108604642|XP_017849680.1|DBUS
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS, LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC108598255|XP_017840359.1|DBUS, LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000040	LOC119659482|XP_037923522.1|HILL	LOC108601310|XP_017844699.1|DBUS, LOC108603822|XP_017848441.1|DBUS, LOC108604808|XP_017849901.1|DBUS, LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS, LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC108604138|XP_017848936.1|DBUS, LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000043	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL	LOC108602016|XP_033149810.1|DBUS, LOC108602049|XP_017845549.1|DBUS, LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC119658958|XP_037922759.1|HILL, LOC119658735|XP_037922328.1|HILL, LOC119658738|XP_037922338.1|HILL, LOC119658739|XP_037922341.1|HILL, LOC119658736|XP_037922334.1|HILL, LOC119658744|XP_037922349.1|HILL, LOC119658743|XP_037922348.1|HILL, LOC119658742|XP_037922343.1|HILL, LOC119658745|XP_037922350.1|HILL, LOC119658746|XP_037922352.1|HILL, LOC119658747|XP_037922353.1|HILL, LOC119658749|XP_037922359.1|HILL, LOC119658740|XP_037922342.1|HILL	LOC108602073|XP_017845582.1|DBUS, LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC119649047|XP_037906953.1|HILL	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC119652611|XP_037912776.1|HILL	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS, LOC108598310|XP_017840415.1|DBUS, LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC119657334|XP_037920131.1|HILL, LOC119657920|XP_037921035.1|HILL	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS, LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC119654474|XP_037915820.1|HILL	LOC108595113|XP_033148899.1|DBUS, LOC108595086|XP_017835725.1|DBUS, LOC108595112|XP_017835761.1|DBUS, LOC108601150|XP_033149649.1|DBUS, LOC108599569|XP_017841975.1|DBUS, LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC119648777|XP_037906539.1|HILL, LOC119648574|XP_037906272.1|HILL, LOC119648995|XP_037906854.1|HILL	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS, LOC108599702|XP_017842187.2|DBUS, LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC119649048|XP_037906954.1|HILL	LOC108604094|XP_017848864.1|DBUS, LOC108604092|XP_017848863.1|DBUS, LOC108602189|XP_017845724.1|DBUS, LOC108602386|XP_017845985.1|DBUS, LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC119658266|XP_037921486.1|HILL	LOC108598028|XP_017840131.1|DBUS, LOC108598030|XP_017840133.2|DBUS, LOC108598031|XP_017840135.1|DBUS
OG0000053	LOC119653560|XP_037914200.1|HILL, LOC119653563|XP_037914204.1|HILL, LOC119653562|XP_037914203.1|HILL, LOC119654734|XP_037916193.1|HILL, LOC119654136|XP_037915227.1|HILL	LOC108596657|XP_017838132.1|DBUS, LOC108596656|XP_017838131.1|DBUS, LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC119653556|XP_037914198.1|HILL, LOC119653555|XP_037914196.1|HILL, LOC119653557|XP_037914199.1|HILL, LOC119653554|XP_037914193.1|HILL, LOC119653561|XP_037914201.1|HILL, LOC119661089|XP_037926206.1|HILL	LOC108596359|XP_017837509.1|DBUS, LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC119651539|XP_037911103.1|HILL, LOC119647240|XP_037904031.1|HILL, LOC119646436|XP_037902814.1|HILL	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS, LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC119661210|XP_037926361.1|HILL, LOC119657773|XP_037920771.1|HILL	LOC108602521|XP_017846144.1|DBUS
OG0000056	LOC119658059|XP_037921239.1|HILL, LOC119658058|XP_037921238.1|HILL	LOC108598485|XP_017840632.1|DBUS
OG0000057	LOC119646294|XP_037902637.1|HILL, LOC119647296|XP_037904131.1|HILL, LOC119659127|XP_037922980.1|HILL, LOC119659111|XP_037922961.1|HILL, LOC119654157|XP_037915248.1|HILL, LOC119659103|XP_037922953.1|HILL, LOC119656964|XP_037919611.1|HILL, LOC119656229|XP_037918561.1|HILL, LOC119646391|XP_037902763.1|HILL, LOC119654107|XP_037915198.1|HILL, LOC119656970|XP_037919626.1|HILL, LOC119647729|XP_037904758.1|HILL, LOC119652187|XP_037912059.1|HILL, LOC119660088|XP_037924393.1|HILL, LOC119648547|XP_037906244.1|HILL, LOC119646502|XP_037902886.1|HILL, LOC119652096|XP_037911961.1|HILL, LOC119650813|XP_037909879.1|HILL, LOC119653931|XP_037915018.1|HILL, LOC119654105|XP_037915197.1|HILL, LOC119656230|XP_037918562.1|HILL, LOC119656965|XP_037919612.1|HILL, LOC119659129|XP_037922982.1|HILL, LOC119653937|XP_037915024.1|HILL, LOC119660065|XP_037924372.1|HILL, LOC119658158|XP_037921354.1|HILL, LOC119660015|XP_037924321.1|HILL, LOC119648460|XP_037906145.1|HILL, LOC119654155|XP_037915246.1|HILL	LOC117134803|XP_033149641.1|DBUS
