Orthogroup	HILL.longest_only	AAEG.longest_only
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC119656845|XP_037919421.1|HILL	LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG
OG0000010	LOC119656775|XP_037919284.1|HILL	LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG
OG0000011	LOC119654488|XP_037915839.1|HILL	LOC5570988|XP_001659449.2|AAEG
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC5574853|XP_001661677.2|AAEG, LOC5577643|XP_001656641.1|AAEG, LOC5578698|XP_001657098.2|AAEG, LOC5578135|XP_001663705.1|AAEG, LOC5578130|XP_001663703.1|AAEG, LOC5568889|XP_001658209.1|AAEG, LOC5568885|XP_001658210.1|AAEG, LOC5578136|XP_001663706.1|AAEG
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC119651122|XP_037910425.1|HILL	LOC5578721|XP_021693724.1|AAEG, LOC5578720|XP_021693720.1|AAEG
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC5578230|XP_021697387.1|AAEG
OG0000020	LOC119660596|XP_037925199.1|HILL, LOC119658980|XP_037922789.1|HILL, LOC119660336|XP_037924749.1|HILL, LOC119658567|XP_037921939.1|HILL, LOC119659760|XP_037923950.1|HILL	LOC5567254|XP_021706785.1|AAEG
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC119654740|XP_037916199.1|HILL, LOC119654589|XP_037915978.1|HILL, LOC119653787|XP_037914718.1|HILL, LOC119654139|XP_037915231.1|HILL, LOC119653784|XP_037914715.1|HILL, LOC119654445|XP_037915776.1|HILL, LOC119654444|XP_037915774.1|HILL, LOC119655713|XP_037917674.1|HILL, LOC119654748|XP_037916207.1|HILL, LOC119654745|XP_037916204.1|HILL, LOC119655810|XP_037917839.1|HILL, LOC119656096|XP_037918334.1|HILL, LOC119654140|XP_037915232.1|HILL, LOC119654750|XP_037916208.1|HILL, LOC119654746|XP_037916205.1|HILL, LOC119654741|XP_037916200.1|HILL, LOC119654744|XP_037916203.1|HILL, LOC119654743|XP_037916202.1|HILL, LOC119654747|XP_037916206.1|HILL, LOC119654742|XP_037916201.1|HILL, LOC119655586|XP_037917457.1|HILL, LOC119655861|XP_037917909.1|HILL, LOC119656010|XP_037918186.1|HILL, LOC119654739|XP_037916198.1|HILL, LOC119648405|XP_037906082.1|HILL, LOC119654738|XP_037916197.1|HILL	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC119656929|XP_037919551.1|HILL	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG
OG0000026	LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC119661591|XP_037926922.1|HILL	LOC5573906|XP_001654941.1|AAEG, LOC5573908|XP_001654944.1|AAEG, LOC5573912|XP_001654948.2|AAEG, LOC5573913|XP_001654949.1|AAEG, LOC5573917|XP_001654953.1|AAEG, LOC110677071|XP_021703360.1|AAEG, LOC5573924|XP_001654960.1|AAEG, LOC5573923|XP_001654959.1|AAEG, LOC5573914|XP_001654950.2|AAEG, LOC5573911|XP_001654947.1|AAEG, LOC5573918|XP_001654954.1|AAEG, LOC110677065|XP_021703353.1|AAEG, LOC23687652|XP_011493564.1|AAEG, LOC110677066|XP_021703354.1|AAEG, LOC110677067|XP_021703355.1|AAEG
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL, LOC119661224|XP_037926378.1|HILL	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000031	LOC119654273|XP_037915473.1|HILL, LOC119654142|XP_037915234.1|HILL	LOC5575324|XP_021704385.1|AAEG, LOC5575328|XP_021706472.1|AAEG, LOC5575329|XP_021705368.1|AAEG
OG0000031	LOC119655985|XP_037918151.1|HILL	LOC5575350|XP_001655728.2|AAEG, LOC5575349|XP_001655727.2|AAEG, LOC5575351|XP_001655729.2|AAEG
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC119648832|XP_037906622.1|HILL	LOC5571376|XP_001659658.1|AAEG, LOC5571365|XP_001659647.1|AAEG, LOC5571328|XP_001659610.1|AAEG, LOC5565248|XP_001649587.2|AAEG, LOC5566839|XP_001651249.2|AAEG, LOC5566838|XP_021698960.1|AAEG, LOC5571336|XP_001659618.1|AAEG, LOC5571343|XP_001659625.1|AAEG, LOC5565247|XP_001649588.2|AAEG, LOC5565794|XP_001659634.1|AAEG, LOC5571356|XP_001659638.1|AAEG, LOC5571353|XP_021695227.1|AAEG, LOC5571357|XP_021695228.1|AAEG, LOC5571355|XP_001659637.1|AAEG, LOC5571358|XP_001659640.2|AAEG, LOC5565793|XP_001650156.1|AAEG, LOC5571329|XP_001659612.2|AAEG, LOC110675440|XP_021696178.1|AAEG, LOC5571333|XP_001659614.2|AAEG, LOC5571330|XP_001659613.2|AAEG, LOC5571370|XP_021696182.1|AAEG, LOC5571360|XP_001659642.1|AAEG, LOC5571359|XP_001659641.1|AAEG, LOC5571362|XP_001659644.2|AAEG, LOC5565431|XP_001649812.1|AAEG, LOC5565791|XP_021698965.1|AAEG, LOC5579385|XP_001647688.2|AAEG, LOC5571364|XP_001659646.1|AAEG, LOC5571371|XP_001659653.2|AAEG, LOC5579448|XP_001647747.1|AAEG, LOC5571369|XP_001659651.2|AAEG, LOC5571372|XP_001659654.2|AAEG, LOC5565814|XP_001650182.1|AAEG
OG0000039	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
