	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
DANA.longest_only	1070.0	1163.0	465.0	1097.0	1175.0	1096.0	889.0	1003.0	1080.0	762.0	0.0	506.0	830.0	544.0	546.0	521.0	590.0	804.0	780.0	530.0	554.0	549.0	647.0	824.0	689.0	723.0	552.0	585.0	522.0	573.0	777.0	538.0	536.0	773.0	553.0	1208.0	913.0
DBIA.longest_only	1019.0	1172.0	456.0	1094.0	1160.0	1081.0	858.0	976.0	1053.0	696.0	524.0	0.0	773.0	377.0	324.0	306.0	328.0	759.0	744.0	479.0	328.0	313.0	628.0	753.0	701.0	719.0	357.0	334.0	458.0	332.0	721.0	201.0	182.0	743.0	334.0	1226.0	903.0
DBUS.longest_only	1029.0	1128.0	495.0	1065.0	1042.0	992.0	741.0	963.0	1049.0	465.0	647.0	630.0	0.0	606.0	653.0	615.0	631.0	680.0	532.0	617.0	639.0	647.0	582.0	532.0	686.0	677.0	645.0	640.0	619.0	638.0	660.0	612.0	598.0	513.0	649.0	1103.0	715.0
DELE.longest_only	1109.0	1252.0	675.0	1163.0	1267.0	1149.0	986.0	1077.0	1159.0	770.0	631.0	481.0	866.0	0.0	414.0	942.0	708.0	764.0	802.0	1227.0	416.0	425.0	585.0	828.0	731.0	753.0	417.0	457.0	707.0	428.0	762.0	394.0	401.0	817.0	418.0	1309.0	970.0
DERE.longest_only	932.0	1044.0	404.0	967.0	1034.0	959.0	728.0	876.0	969.0	582.0	433.0	288.0	660.0	328.0	0.0	299.0	315.0	596.0	624.0	406.0	271.0	269.0	494.0	641.0	548.0	552.0	257.0	268.0	345.0	249.0	583.0	273.0	284.0	614.0	231.0	1072.0	728.0
DEUG.longest_only	1122.0	1265.0	551.0	1186.0	1318.0	1180.0	973.0	1067.0	1155.0	838.0	671.0	479.0	933.0	651.0	485.0	0.0	546.0	911.0	868.0	733.0	548.0	555.0	823.0	892.0	878.0	896.0	540.0	563.0	673.0	539.0	880.0	481.0	458.0	865.0	511.0	1309.0	998.0
DFIC.longest_only	1271.0	1403.0	626.0	1329.0	1423.0	1387.0	1079.0	1200.0	1285.0	1126.0	1005.0	880.0	1200.0	962.0	891.0	977.0	0.0	1186.0	1203.0	1022.0	884.0	892.0	1047.0	1226.0	1094.0	1110.0	903.0	895.0	913.0	898.0	1165.0	880.0	877.0	1212.0	901.0	1470.0	1325.0
DGUA.longest_only	964.0	1029.0	430.0	999.0	1017.0	945.0	679.0	899.0	979.0	552.0	533.0	505.0	612.0	518.0	518.0	485.0	518.0	0.0	604.0	472.0	535.0	511.0	261.0	598.0	312.0	302.0	524.0	534.0	465.0	531.0	235.0	519.0	480.0	586.0	524.0	1097.0	702.0
DHYD.longest_only	1239.0	1366.0	572.0	1303.0	1276.0	1270.0	974.0	1160.0	1264.0	827.0	978.0	965.0	946.0	931.0	986.0	972.0	933.0	1013.0	0.0	970.0	973.0	971.0	775.0	786.0	959.0	960.0	1014.0	967.0	924.0	979.0	998.0	952.0	937.0	782.0	972.0	1401.0	1058.0
DKIK.longest_only	1192.0	1344.0	611.0	1258.0	1334.0	1305.0	1007.0	1157.0	1216.0	976.0	806.0	732.0	1000.0	793.0	748.0	760.0	755.0	1020.0	998.0	0.0	740.0	738.0	845.0	1021.0	940.0	974.0	763.0	792.0	674.0	752.0	990.0	725.0	731.0	1031.0	774.0	1394.0	1165.0
DMAU.longest_only	921.0	1033.0	426.0	967.0	1006.0	932.0	702.0	865.0	928.0	631.0	496.0	344.0	722.0	346.0	275.0	307.0	350.0	642.0	666.0	437.0	0.0	273.0	526.0	681.0	593.0	614.0	260.0	215.0	395.0	156.0	626.0	323.0	299.0	648.0	280.0	1050.0	775.0
DMEL.longest_only	901.0	1033.0	403.0	964.0	1026.0	942.0	678.0	851.0	939.0	549.0	407.0	242.0	628.0	257.0	211.0	246.0	288.0	551.0	594.0	385.0	145.0	0.0	448.0	622.0	506.0	519.0	205.0	140.0	318.0	155.0	537.0	237.0	244.0	562.0	212.0	1035.0	699.0
DMIR.longest_only	4274.0	4518.0	2160.0	4302.0	4266.0	5103.0	4174.0	4035.0	4378.0	5161.0	5376.0	5317.0	5204.0	5187.0	5324.0	5308.0	5305.0	5281.0	5184.0	5169.0	5349.0	5314.0	0.0	5329.0	5062.0	5278.0	5351.0	5332.0	5049.0	5279.0	5393.0	5269.0	5277.0	5218.0	5380.0	4840.0	5331.0
DNOV.longest_only	1069.0	1174.0	485.0	1103.0	1119.0	1026.0	763.0	1000.0	1104.0	479.0	673.0	670.0	618.0	640.0	678.0	676.0	673.0	690.0	442.0	661.0	684.0	667.0	553.0	0.0	661.0	659.0	690.0	679.0	660.0	678.0	696.0	669.0	650.0	273.0	677.0	1196.0	802.0
DPER.longest_only	1412.0	1500.0	614.0	1440.0	1555.0	1518.0	1158.0	1366.0	1454.0	1246.0	1280.0	1222.0	1376.0	1227.0	1233.0	1191.0	1176.0	1234.0	1352.0	1169.0	1252.0	1205.0	662.0	1363.0	0.0	611.0	1217.0	1233.0	1123.0	1237.0	1231.0	1176.0	1137.0	1322.0	1211.0	1655.0	1422.0
DPSE.longest_only	1246.0	1297.0	564.0	1279.0	1329.0	1355.0	1035.0	1163.0	1258.0	964.0	943.0	937.0	1000.0	951.0	940.0	925.0	906.0	906.0	969.0	898.0	952.0	938.0	400.0	1011.0	318.0	0.0	922.0	959.0	903.0	945.0	897.0	934.0	918.0	984.0	951.0	1436.0	1084.0
DSAN.longest_only	908.0	1003.0	407.0	936.0	1000.0	929.0	707.0	844.0	912.0	548.0	397.0	236.0	654.0	289.0	207.0	231.0	307.0	588.0	638.0	373.0	228.0	200.0	509.0	649.0	549.0	571.0	0.0	201.0	356.0	215.0	611.0	210.0	230.0	604.0	159.0	1024.0	717.0
DSEC.longest_only	1016.0	1145.0	495.0	1045.0	1116.0	1087.0	763.0	962.0	1009.0	700.0	557.0	399.0	783.0	380.0	359.0	379.0	453.0	686.0	726.0	511.0	241.0	317.0	545.0	749.0	625.0	637.0	354.0	0.0	446.0	249.0	654.0	361.0	370.0	728.0	379.0	1153.0	851.0
DSER.longest_only	1438.0	1554.0	657.0	1461.0	1567.0	1586.0	1193.0	1381.0	1459.0	1305.0	1147.0	1105.0	1396.0	1133.0	1153.0	1165.0	1086.0	1385.0	1343.0	1022.0	1130.0	1121.0	1170.0	1399.0	1282.0	1345.0	1130.0	1160.0	0.0	1112.0	1370.0	1093.0	1074.0	1417.0	1125.0	1643.0	1533.0
DSIM.longest_only	966.0	1041.0	446.0	986.0	1049.0	957.0	690.0	876.0	960.0	628.0	496.0	306.0	707.0	326.0	252.0	304.0	373.0	626.0	666.0	441.0	128.0	218.0	507.0	675.0	577.0	592.0	277.0	153.0	391.0	0.0	618.0	291.0	314.0	646.0	258.0	1077.0	771.0
DSUB.longest_only	986.0	1040.0	455.0	1002.0	1060.0	994.0	765.0	916.0	991.0	634.0	601.0	565.0	648.0	570.0	576.0	543.0	545.0	304.0	653.0	524.0	572.0	567.0	325.0	651.0	340.0	347.0	574.0	586.0	520.0	575.0	0.0	578.0	544.0	625.0	573.0	1132.0	774.0
DSUP.longest_only	1196.0	1337.0	503.0	1237.0	1332.0	1362.0	1051.0	1118.0	1222.0	995.0	952.0	651.0	1080.0	779.0	701.0	752.0	812.0	1110.0	1068.0	910.0	715.0	711.0	959.0	1105.0	1088.0	1105.0	769.0	706.0	835.0	705.0	1099.0	0.0	588.0	1052.0	760.0	1416.0	1171.0
DSUZ.longest_only	1634.0	1795.0	776.0	1718.0	1824.0	1919.0	1568.0	1591.0	1662.0	1562.0	1533.0	1296.0	1716.0	1406.0	1345.0	1321.0	1389.0	1767.0	1665.0	1495.0	1334.0	1337.0	1666.0	1707.0	1724.0	1725.0	1414.0	1335.0	1441.0	1362.0	1761.0	1267.0	0.0	1680.0	1356.0	1895.0	1771.0
DVIR.longest_only	1267.0	1374.0	577.0	1322.0	1282.0	1308.0	964.0	1192.0	1301.0	831.0	987.0	984.0	933.0	947.0	1007.0	975.0	1022.0	1041.0	798.0	965.0	989.0	972.0	807.0	666.0	990.0	1001.0	1001.0	987.0	947.0	1001.0	1050.0	977.0	959.0	0.0	1003.0	1400.0	1095.0
DYAK.longest_only	909.0	1002.0	403.0	945.0	1007.0	953.0	729.0	849.0	927.0	567.0	395.0	247.0	668.0	300.0	188.0	252.0	309.0	581.0	635.0	378.0	231.0	212.0	491.0	649.0	543.0	563.0	143.0	191.0	340.0	206.0	589.0	230.0	246.0	602.0	0.0	1036.0	723.0
HILL.longest_only	961.0	1086.0	461.0	1045.0	1119.0	1042.0	903.0	924.0	983.0	973.0	1139.0	1143.0	1132.0	1138.0	1073.0	1153.0	1073.0	1156.0	1139.0	1126.0	1123.0	1076.0	1034.0	1115.0	1120.0	1142.0	1110.0	1116.0	1118.0	1136.0	1175.0	1115.0	1144.0	1149.0	1117.0	0.0	1119.0
SLEB.longest_only	1173.0	1320.0	582.0	1278.0	1286.0	1197.0	952.0	1155.0	1235.0	874.0	869.0	880.0	930.0	877.0	893.0	887.0	872.0	995.0	862.0	898.0	882.0	878.0	789.0	903.0	930.0	912.0	904.0	870.0	862.0	897.0	957.0	853.0	849.0	879.0	886.0	1376.0	0.0
