	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
DANA.longest_only	6611.0	6975.0	3148.0	6724.0	6952.0	8720.0	6553.0	6345.0	6776.0	10346.0	0.0	11917.0	10465.0	11757.0	11944.0	11825.0	11648.0	11297.0	10597.0	11616.0	11971.0	11984.0	9709.0	10729.0	11140.0	11248.0	11967.0	11945.0	11434.0	11960.0	11324.0	11789.0	11493.0	10719.0	11991.0	7631.0	10541.0
DBIA.longest_only	6598.0	6958.0	3167.0	6706.0	6962.0	8699.0	6527.0	6347.0	6767.0	10368.0	11917.0	0.0	10497.0	12443.0	12542.0	12601.0	12231.0	11302.0	10587.0	11868.0	12633.0	12629.0	9702.0	10731.0	11130.0	11232.0	12620.0	12592.0	11617.0	12622.0	11334.0	12911.0	12584.0	10718.0	12639.0	7625.0	10527.0
DBUS.longest_only	6520.0	6880.0	3082.0	6637.0	6872.0	8559.0	6390.0	6262.0	6685.0	10366.0	10465.0	10497.0	0.0	10406.0	10536.0	10415.0	10281.0	10450.0	10652.0	10335.0	10549.0	10584.0	8900.0	10791.0	10257.0	10358.0	10555.0	10520.0	10155.0	10533.0	10466.0	10395.0	10114.0	10762.0	10554.0	7552.0	10218.0
DELE.longest_only	6573.0	6916.0	3214.0	6678.0	6912.0	8647.0	6500.0	6302.0	6725.0	10285.0	11757.0	12443.0	10406.0	0.0	12310.0	12767.0	12373.0	11234.0	10509.0	11993.0	12404.0	12397.0	9675.0	10640.0	11038.0	11148.0	12398.0	12388.0	11616.0	12396.0	11252.0	12292.0	11972.0	10623.0	12404.0	7585.0	10443.0
DERE.longest_only	6653.0	7016.0	3174.0	6776.0	7007.0	8769.0	6577.0	6405.0	6826.0	10426.0	11944.0	12542.0	10536.0	12310.0	0.0	12436.0	12122.0	11361.0	10649.0	11786.0	12914.0	12900.0	9771.0	10794.0	11194.0	11300.0	12875.0	12852.0	11586.0	12913.0	11387.0	12437.0	12114.0	10772.0	12922.0	7694.0	10606.0
DEUG.longest_only	6571.0	6924.0	3276.0	6676.0	6926.0	8635.0	6519.0	6314.0	6729.0	10299.0	11825.0	12601.0	10415.0	12767.0	12436.0	0.0	12502.0	11231.0	10514.0	12157.0	12517.0	12500.0	9618.0	10657.0	11048.0	11155.0	12517.0	12492.0	11640.0	12527.0	11254.0	12412.0	12126.0	10635.0	12548.0	7574.0	10473.0
DFIC.longest_only	6506.0	6857.0	3184.0	6611.0	6858.0	8548.0	6474.0	6267.0	6676.0	10141.0	11648.0	12231.0	10281.0	12373.0	12122.0	12502.0	0.0	11083.0	10359.0	11798.0	12208.0	12205.0	9491.0	10479.0	10918.0	11019.0	12208.0	12176.0	11462.0	12201.0	11111.0	12065.0	11753.0	10464.0	12224.0	7513.0	10314.0
DGUA.longest_only	6615.0	6993.0	3156.0	6742.0	6970.0	8736.0	6593.0	6361.0	6780.0	10351.0	11297.0	11302.0	10450.0	11234.0	11361.0	11231.0	11083.0	0.0	10536.0	11138.0	11383.0	11436.0	10249.0	10704.0	11698.0	11840.0	11390.0	11363.0	10951.0	11405.0	12445.0	11212.0	10909.0	10666.0	11402.0	7649.0	10471.0
DHYD.longest_only	6506.0	6869.0	3093.0	6627.0	6874.0	8571.0	6410.0	6263.0	6681.0	10588.0	10597.0	10587.0	10652.0	10509.0	10649.0	10514.0	10359.0	10536.0	0.0	10430.0	10662.0	10703.0	9024.0	11342.0	10364.0	10479.0	10657.0	10623.0	10285.0	10652.0	10550.0	10489.0	10182.0	11293.0	10660.0	7510.0	10305.0
DKIK.longest_only	6554.0	6905.0	3244.0	6660.0	6914.0	8611.0	6530.0	6293.0	6718.0	10212.0	11616.0	11868.0	10335.0	11993.0	11786.0	12157.0	11798.0	11138.0	10430.0	0.0	11846.0	11851.0	9581.0	10568.0	10993.0	11079.0	11831.0	11823.0	12247.0	11823.0	11168.0	11667.0	11370.0	10539.0	11845.0	7562.0	10332.0
DMAU.longest_only	6674.0	7028.0	3182.0	6779.0	7022.0	8801.0	6601.0	6417.0	6844.0	10433.0	11971.0	12633.0	10549.0	12404.0	12914.0	12517.0	12208.0	11383.0	10662.0	11846.0	0.0	13167.0	9798.0	10799.0	11211.0	11337.0	13007.0	13240.0	11631.0	13362.0	11433.0	12512.0	12224.0	10796.0	13044.0	7717.0	10618.0
DMEL.longest_only	6694.0	7047.0	3196.0	6791.0	7030.0	8818.0	6623.0	6434.0	6860.0	10482.0	11984.0	12629.0	10584.0	12397.0	12900.0	12500.0	12205.0	11436.0	10703.0	11851.0	13167.0	0.0	9831.0	10839.0	11256.0	11377.0	13009.0	13112.0	11676.0	13202.0	11478.0	12531.0	12231.0	10830.0	13033.0	7736.0	10656.0
DMIR.longest_only	5599.0	5902.0	2695.0	5726.0	5912.0	7438.0	5477.0	5410.0	5750.0	8803.0	9709.0	9702.0	8900.0	9675.0	9771.0	9618.0	9491.0	10249.0	9024.0	9581.0	9798.0	9831.0	0.0	9134.0	10934.0	11168.0	9778.0	9775.0	9409.0	9798.0	10314.0	9622.0	9305.0	9142.0	9810.0	6489.0	8936.0
DNOV.longest_only	6546.0	6896.0	3110.0	6659.0	6888.0	8634.0	6504.0	6277.0	6697.0	10746.0	10729.0	10731.0	10791.0	10640.0	10794.0	10657.0	10479.0	10704.0	11342.0	10568.0	10799.0	10839.0	9134.0	0.0	10525.0	10626.0	10797.0	10764.0	10386.0	10795.0	10703.0	10621.0	10334.0	12067.0	10811.0	7555.0	10441.0
DPER.longest_only	6510.0	6878.0	3107.0	6632.0	6845.0	8580.0	6465.0	6252.0	6670.0	10175.0	11140.0	11130.0	10257.0	11038.0	11194.0	11048.0	10918.0	11698.0	10364.0	10993.0	11211.0	11256.0	10934.0	10525.0	0.0	12740.0	11207.0	11197.0	10822.0	11217.0	11780.0	11029.0	10724.0	10483.0	11224.0	7511.0	10326.0
DPSE.longest_only	6567.0	6934.0	3133.0	6688.0	6911.0	8657.0	6504.0	6306.0	6731.0	10283.0	11248.0	11232.0	10358.0	11148.0	11300.0	11155.0	11019.0	11840.0	10479.0	11079.0	11337.0	11377.0	11168.0	10626.0	12740.0	0.0	11319.0	11300.0	10892.0	11342.0	11932.0	11121.0	10821.0	10590.0	11353.0	7587.0	10387.0
DSAN.longest_only	6667.0	7041.0	3191.0	6796.0	7007.0	8776.0	6587.0	6413.0	6840.0	10448.0	11967.0	12620.0	10555.0	12398.0	12875.0	12517.0	12208.0	11390.0	10657.0	11831.0	13007.0	13009.0	9778.0	10797.0	11207.0	11319.0	0.0	12954.0	11621.0	13049.0	11409.0	12560.0	12245.0	10800.0	13317.0	7707.0	10605.0
DSEC.longest_only	6627.0	6992.0	3164.0	6739.0	6982.0	8736.0	6579.0	6374.0	6799.0	10402.0	11945.0	12592.0	10520.0	12388.0	12852.0	12492.0	12176.0	11363.0	10623.0	11823.0	13240.0	13112.0	9775.0	10764.0	11197.0	11300.0	12954.0	0.0	11610.0	13263.0	11388.0	12469.0	12171.0	10762.0	12982.0	7667.0	10577.0
DSER.longest_only	6446.0	6804.0	3124.0	6569.0	6803.0	8497.0	6398.0	6188.0	6615.0	10044.0	11434.0	11617.0	10155.0	11616.0	11586.0	11640.0	11462.0	10951.0	10285.0	12247.0	11631.0	11676.0	9409.0	10386.0	10822.0	10892.0	11621.0	11610.0	0.0	11629.0	10979.0	11467.0	11173.0	10361.0	11628.0	7436.0	10178.0
DSIM.longest_only	6659.0	7022.0	3179.0	6772.0	7002.0	8787.0	6592.0	6409.0	6829.0	10443.0	11960.0	12622.0	10533.0	12396.0	12913.0	12527.0	12201.0	11405.0	10652.0	11823.0	13362.0	13202.0	9798.0	10795.0	11217.0	11342.0	13049.0	13263.0	11629.0	0.0	11447.0	12568.0	12253.0	10779.0	13090.0	7698.0	10604.0
DSUB.longest_only	6633.0	7004.0	3164.0	6754.0	6981.0	8744.0	6578.0	6388.0	6808.0	10386.0	11324.0	11334.0	10466.0	11252.0	11387.0	11254.0	11111.0	12445.0	10550.0	11168.0	11433.0	11478.0	10314.0	10703.0	11780.0	11932.0	11409.0	11388.0	10979.0	11447.0	0.0	11245.0	10932.0	10685.0	11456.0	7664.0	10487.0
DSUP.longest_only	6559.0	6924.0	3144.0	6683.0	6922.0	8628.0	6466.0	6315.0	6733.0	10286.0	11789.0	12911.0	10395.0	12292.0	12437.0	12412.0	12065.0	11212.0	10489.0	11667.0	12512.0	12531.0	9622.0	10621.0	11029.0	11121.0	12560.0	12469.0	11467.0	12568.0	11245.0	0.0	12833.0	10618.0	12575.0	7569.0	10457.0
DSUZ.longest_only	6363.0	6722.0	3045.0	6484.0	6714.0	8384.0	6255.0	6113.0	6530.0	10020.0	11493.0	12584.0	10114.0	11972.0	12114.0	12126.0	11753.0	10909.0	10182.0	11370.0	12224.0	12231.0	9305.0	10334.0	10724.0	10821.0	12245.0	12171.0	11173.0	12253.0	10932.0	12833.0	0.0	10322.0	12265.0	7369.0	10166.0
DVIR.longest_only	6511.0	6884.0	3100.0	6638.0	6893.0	8597.0	6462.0	6258.0	6675.0	10731.0	10719.0	10718.0	10762.0	10623.0	10772.0	10635.0	10464.0	10666.0	11293.0	10539.0	10796.0	10830.0	9142.0	12067.0	10483.0	10590.0	10800.0	10762.0	10361.0	10779.0	10685.0	10618.0	10322.0	0.0	10815.0	7545.0	10388.0
DYAK.longest_only	6678.0	7044.0	3190.0	6785.0	7019.0	8790.0	6587.0	6428.0	6849.0	10472.0	11991.0	12639.0	10554.0	12404.0	12922.0	12548.0	12224.0	11402.0	10660.0	11845.0	13044.0	13033.0	9810.0	10811.0	11224.0	11353.0	13317.0	12982.0	11628.0	13090.0	11456.0	12575.0	12265.0	10815.0	0.0	7721.0	10616.0
HILL.longest_only	7092.0	7470.0	3347.0	7220.0	7446.0	7669.0	5646.0	6829.0	7270.0	7469.0	7631.0	7625.0	7552.0	7585.0	7694.0	7574.0	7513.0	7649.0	7510.0	7562.0	7717.0	7736.0	6489.0	7555.0	7511.0	7587.0	7707.0	7667.0	7436.0	7698.0	7664.0	7569.0	7369.0	7545.0	7721.0	0.0	7565.0
SLEB.longest_only	6558.0	6905.0	3108.0	6657.0	6903.0	8630.0	6427.0	6283.0	6703.0	10015.0	10541.0	10527.0	10218.0	10443.0	10606.0	10473.0	10314.0	10471.0	10305.0	10332.0	10618.0	10656.0	8936.0	10441.0	10326.0	10387.0	10605.0	10577.0	10178.0	10604.0	10487.0	10457.0	10166.0	10388.0	10616.0	7565.0	0.0
