Orthogroup	Duplications (all)	Duplications (50% support)
OG0000589	32	23
OG0000590	3	2
OG0000591	36	33
OG0000592	5	4
OG0000593	7	6
OG0000594	5	4
OG0000595	3	2
OG0000596	6	5
OG0000597	5	1
OG0000598	19	19
OG0000599	5	3
OG0000600	6	5
OG0000601	5	4
OG0000602	6	6
OG0000603	6	4
OG0000604	3	3
OG0000605	18	16
OG0000606	13	12
OG0000607	5	5
OG0000608	5	4
OG0000609	19	2
OG0000610	5	4
OG0000611	6	6
OG0000612	5	5
OG0000613	53	52
OG0000614	5	3
OG0000615	6	5
OG0000616	13	9
OG0000617	2	2
OG0000618	3	3
OG0000619	17	14
OG0000620	5	5
OG0000621	4	4
OG0000622	3	2
OG0000623	3	3
OG0000624	10	2
OG0000625	4	3
OG0000626	5	5
OG0000627	3	2
OG0000628	5	5
OG0000629	5	5
OG0000630	2	2
OG0000631	5	5
OG0000632	3	2
OG0000633	8	5
OG0000634	38	34
OG0000635	5	5
OG0000636	5	5
OG0000637	5	4
OG0000638	9	9
OG0000639	29	28
OG0000640	47	40
OG0000641	19	15
OG0000642	10	8
OG0000643	9	7
OG0000644	4	4
OG0000645	13	11
OG0000646	3	3
OG0000647	4	2
OG0000648	3	3
OG0000649	4	3
OG0000650	3	3
OG0000651	3	3
OG0000652	4	4
OG0000653	5	4
OG0000654	2	2
OG0000655	5	4
OG0000656	5	3
OG0000657	3	3
OG0000658	4	4
OG0000659	5	4
OG0000660	16	14
OG0000661	3	2
OG0000662	2	2
OG0000663	28	26
OG0000664	6	6
OG0000665	7	7
OG0000666	2	2
OG0000667	4	4
OG0000668	5	4
OG0000669	4	4
OG0000670	8	5
OG0000671	1	1
OG0000672	4	2
OG0000673	4	4
OG0000674	47	44
OG0000675	22	20
OG0000676	23	19
OG0000677	6	5
OG0000678	3	3
OG0000679	14	13
OG0000680	3	3
OG0000681	3	3
OG0000682	49	44
OG0000683	11	10
OG0000684	2	2
OG0000685	5	5
OG0000686	2	2
OG0000687	7	7
OG0000688	28	27
OG0000689	2	1
OG0000690	12	12
OG0000691	2	2
OG0000692	4	4
OG0000693	2	1
OG0000694	4	4
OG0000695	3	2
OG0000696	14	11
OG0000697	4	3
OG0000698	1	1
OG0000699	2	1
OG0000700	3	3
OG0000701	1	1
OG0000702	2	2
OG0000703	3	3
OG0000704	3	3
OG0000705	4	4
OG0000706	4	4
OG0000707	6	5
OG0000708	3	3
OG0000709	3	2
OG0000710	3	3
OG0000711	3	2
OG0000712	5	3
OG0000713	3	2
OG0000714	3	3
OG0000715	14	11
OG0000716	2	2
OG0000717	28	27
OG0000718	6	3
OG0000719	8	8
OG0000720	18	17
OG0000721	12	11
OG0000722	7	7
OG0000723	17	14
OG0000724	2	2
OG0000725	46	46
OG0000726	2	2
OG0000727	6	4
OG0000728	4	3
OG0000729	2	2
OG0000730	2	2
OG0000731	1	1
OG0000732	1	1
OG0000733	3	3
OG0000734	6	5
OG0000735	3	3
OG0000736	1	1
OG0000737	19	15
OG0000738	1	1
OG0000739	3	3
OG0000740	4	2
OG0000741	8	7
OG0000742	1	1
OG0000743	4	4
OG0000744	13	12
OG0000745	6	5
OG0000746	14	13
OG0000747	5	4
OG0000748	12	12
OG0000749	16	11
OG0000750	11	10
OG0000751	9	8
OG0000752	20	16
OG0000753	4	3
OG0000754	2	2
OG0000755	1	1
OG0000756	3	3
OG0000757	14	11
OG0000758	4	4
OG0000759	2	2
OG0000760	12	7
OG0000761	3	3
OG0000762	2	2
OG0000763	2	2
OG0000764	6	6
OG0000765	1	1
OG0000766	2	2
OG0000767	5	5
OG0000768	22	21
OG0000769	2	2
OG0000770	20	18
OG0000771	6	5
OG0000772	10	10
OG0000773	16	14
OG0000774	9	9
OG0000775	5	5
OG0000776	9	9
OG0000777	11	9
OG0000778	5	5
OG0000779	10	9
OG0000780	15	13
OG0000781	2	2
OG0000782	1	1
OG0000783	2	2
OG0000784	2	1
OG0000785	5	4
OG0000786	2	2
OG0000787	5	5
OG0000788	3	3
OG0000789	2	2
OG0000790	3	2
OG0000791	4	4
OG0000792	13	10
OG0000793	7	7
OG0000794	12	12
OG0000795	4	3
OG0000796	1	1
OG0000797	4	4
OG0000798	3	3
OG0000799	2	2
OG0000800	13	12
OG0000801	6	6
OG0000802	10	10
OG0000803	2	2
OG0000804	4	4
OG0000805	11	9
OG0000806	33	32
OG0000807	7	3
OG0000808	14	11
OG0000809	35	35
OG0000810	15	13
OG0000811	6	5
OG0000812	9	9
OG0000813	3	1
OG0000814	24	24
OG0000815	15	15
OG0000816	2	2
OG0000817	5	5
OG0000818	5	5
OG0000819	1	1
OG0000820	3	3
OG0000821	2	2
OG0000822	6	5
OG0000823	13	12
OG0000824	11	10
OG0000825	5	4
OG0000826	32	32
OG0000827	36	32
OG0000828	13	10
OG0000829	48	40
OG0000830	16	16
OG0000831	14	14
OG0000832	6	6
OG0000833	11	9
OG0000834	13	7
OG0000835	9	4
OG0000836	4	4
OG0000837	2	2
OG0000838	1	1
OG0000839	3	3
OG0000840	4	3
OG0000841	6	4
OG0000842	4	4
OG0000843	22	22
OG0000844	2	2
OG0000845	6	5
OG0000846	28	27
OG0000847	5	5
OG0000848	2	2
OG0000849	3	3
OG0000850	4	4
OG0000851	11	7
OG0000852	6	3
OG0000853	42	40
OG0000854	3	3
OG0000855	3	3
OG0000856	5	4
OG0000857	16	16
OG0000858	8	8
OG0000859	45	44
OG0000860	4	3
OG0000861	17	10
OG0000862	3	2
OG0000863	8	7
OG0000864	2	2
OG0000865	4	4
OG0000866	5	5
OG0000867	2	2
OG0000868	5	5
OG0000869	16	15
OG0000870	11	9
OG0000871	22	22
OG0000872	2	2
OG0000873	10	7
OG0000874	3	3
OG0000875	4	3
OG0000876	47	46
OG0000877	3	3
OG0000878	8	7
OG0000879	30	29
OG0000880	4	4
OG0000881	5	5
OG0000882	7	7
OG0000883	15	14
OG0000884	5	5
OG0000885	15	14
OG0000886	12	9
OG0000887	9	9
OG0000888	10	2
OG0000889	16	16
OG0000890	13	12
OG0000891	4	4
OG0000892	2	2
OG0000893	16	15
OG0000894	5	4
OG0000895	12	11
OG0000896	6	3
OG0000897	1	1
OG0000898	5	4
OG0000899	13	11
OG0000900	3	3
OG0000901	7	6
OG0000902	5	5
OG0000903	5	4
OG0000904	6	6
OG0000905	57	57
OG0000906	12	10
OG0000907	21	20
OG0000908	29	28
OG0000909	8	7
OG0000910	7	1
OG0000911	20	19
OG0000912	16	11
OG0000913	5	3
OG0000914	13	11
OG0000915	6	4
OG0000916	17	13
OG0000917	4	2
OG0000918	5	3
OG0000919	40	40
OG0000920	8	7
OG0000921	10	5
OG0000922	16	13
OG0000923	4	4
OG0000924	21	21
OG0000925	6	6
OG0000926	2	1
OG0000927	2	2
OG0000928	8	7
OG0000929	4	4
OG0000930	8	7
OG0000931	2	2
OG0000932	7	7
OG0000933	4	4
OG0000934	12	10
OG0000935	15	14
OG0000936	1	1
OG0000937	18	17
OG0000938	5	4
OG0000939	6	5
OG0000940	1	1
OG0000941	3	2
OG0000942	20	20
OG0000943	4	3
OG0000944	4	4
OG0000945	5	5
OG0000946	9	8
OG0000947	10	8
OG0000948	18	18
OG0000949	3	2
OG0000950	2	2
OG0000951	8	5
OG0000952	6	1
OG0000953	40	37
OG0000954	20	20
OG0000955	3	3
OG0000956	3	3
OG0000957	3	3
OG0000958	6	6
OG0000959	12	10
OG0000960	26	25
OG0000961	1	1
OG0000962	10	8
OG0000963	14	11
OG0000964	7	5
OG0000965	17	14
OG0000966	4	3
OG0000967	30	27
OG0000968	17	16
OG0000969	5	5
OG0000970	9	8
OG0000971	8	6
OG0000972	2	2
OG0000973	16	16
OG0000974	12	10
OG0000975	9	8
OG0000976	6	2
OG0000977	5	4
OG0000978	7	7
OG0000979	14	12
OG0000980	2	2
OG0000981	5	0
OG0000982	6	5
OG0000983	36	27
OG0000984	4	4
OG0000985	3	2
OG0000986	4	3
OG0000987	2	1
OG0000988	5	2
OG0000989	36	36
OG0000990	5	4
OG0000991	4	3
OG0000992	5	5
OG0000993	2	1
OG0000994	8	7
OG0000995	12	10
OG0000996	12	11
OG0000997	8	3
OG0000998	10	8
OG0000999	2	2
OG0001000	17	17
OG0001001	11	11
OG0001002	7	7
OG0001003	4	3
OG0001004	4	4
OG0001005	4	4
OG0001006	2	2
OG0001007	6	2
OG0001008	3	2
OG0001009	5	3
OG0001010	5	1
OG0001011	1	1
OG0001012	10	10
OG0001013	3	2
OG0001014	2	1
OG0001015	1	1
OG0001016	5	4
OG0001017	5	5
OG0001018	24	24
OG0001019	9	7
OG0001020	8	8
OG0001021	7	4
OG0001022	5	4
OG0001023	33	28
OG0001024	10	9
OG0001025	13	10
OG0001026	7	7
OG0001027	10	10
OG0001028	12	12
OG0001029	14	13
OG0001030	27	26
OG0001031	7	3
OG0001032	7	5
OG0001033	9	8
OG0001034	14	0
OG0001035	1	1
OG0001036	4	4
OG0001037	15	12
OG0001038	5	5
OG0001039	12	5
OG0001040	3	3
OG0001041	22	22
OG0001042	7	7
OG0001043	6	5
OG0001044	9	6
OG0001045	10	10
OG0001046	3	2
OG0001047	13	10
OG0001048	10	8
OG0001049	4	3
OG0001050	8	7
OG0001051	7	6
OG0001052	14	13
OG0001053	16	16
OG0001054	1	1
OG0001055	4	3
OG0001056	2	2
OG0001057	6	3
OG0001058	16	15
OG0001059	3	1
OG0001060	16	16
OG0001061	2	2
OG0001062	2	2
OG0001063	2	2
OG0001064	1	1
OG0001065	18	16
OG0001066	8	5
OG0001067	1	1
OG0001068	1	1
OG0001069	18	17
OG0001070	20	17
OG0001071	22	20
OG0001072	3	1
OG0001073	12	12
OG0001074	8	6
OG0001075	5	3
OG0001076	37	37
OG0001077	3	1
OG0001078	9	8
OG0001079	14	13
OG0001080	14	12
OG0001081	5	5
OG0001082	12	11
OG0001083	11	9
OG0001084	5	3
OG0001085	12	7
OG0001086	2	2
OG0001087	6	6
OG0001088	10	10
OG0001089	11	11
OG0001090	5	5
OG0001091	18	17
OG0001092	3	2
OG0001093	11	11
OG0001094	5	1
OG0001095	4	4
OG0001096	9	8
OG0001097	5	4
OG0001098	11	7
OG0001099	8	7
OG0001100	7	6
OG0001101	10	8
OG0001102	9	7
OG0001103	11	10
OG0001104	8	7
OG0001105	5	1
OG0001106	7	3
OG0001107	38	36
OG0001108	2	2
OG0001109	4	4
OG0001110	8	6
OG0001111	5	4
OG0001112	22	22
OG0001113	1	1
OG0001114	6	5
OG0001115	4	4
OG0001116	2	2
OG0001117	12	11
OG0001118	12	12
OG0001119	5	4
OG0001120	4	3
OG0001121	6	1
OG0001122	13	13
OG0001123	40	40
OG0001124	13	12
OG0001125	9	9
OG0001126	5	1
OG0001127	10	9
OG0001128	8	6
OG0001129	13	13
OG0001130	4	3
OG0001131	3	3
OG0001132	28	28
OG0001133	9	5
OG0001134	12	12
OG0001135	6	4
OG0001136	7	6
OG0001137	14	14
OG0001138	13	12
OG0001139	16	16
OG0001140	9	5
OG0001141	14	13
OG0001142	1	1
OG0001143	16	14
OG0001144	5	5
OG0001145	5	5
OG0001146	1	1
OG0001147	21	18
OG0001148	8	5
OG0001149	11	11
OG0001150	18	16
OG0001151	10	10
OG0001152	4	4
OG0001153	7	6
OG0001154	11	11
OG0001155	6	5
OG0001156	21	19
OG0001157	4	2
OG0001158	4	3
OG0001159	6	4
OG0001160	12	11
OG0001161	9	7
OG0001162	4	1
OG0001163	8	4
OG0001164	7	7
OG0001165	12	12
OG0001166	8	0
OG0001167	12	10
OG0001168	13	13
OG0001169	9	8
OG0001170	12	11
OG0001171	11	4
OG0001172	11	11
OG0001173	8	7
OG0001174	5	4
OG0001175	4	3
OG0001176	9	6
OG0001177	5	3
OG0001178	3	1
OG0001179	12	12
OG0001180	12	12
OG0001181	4	3
OG0001182	6	5
OG0001183	4	3
OG0001184	8	5
OG0001185	5	2
OG0001186	4	3
OG0001187	7	7
OG0001188	6	6
OG0001189	8	8
OG0001190	8	8
OG0001191	7	6
OG0001192	5	4
OG0001193	10	9
OG0001194	11	11
OG0001195	10	9
OG0001196	12	11
OG0001197	4	4
OG0001198	9	8
OG0001199	43	42
OG0001200	5	3
OG0001201	10	10
OG0001202	11	10
OG0001203	4	2
OG0001204	9	9
OG0001205	5	1
OG0001206	10	9
OG0001207	6	4
OG0001208	3	1
OG0001209	6	4
OG0001210	6	4
OG0001211	4	2
OG0001212	6	6
OG0001213	5	5
OG0001214	8	7
OG0001215	7	7
OG0001216	7	7
OG0001217	3	2
OG0001218	6	5
OG0001219	16	16
OG0001220	8	8
OG0001221	7	7
OG0001222	2	0
OG0001223	7	7
OG0001224	7	6
OG0001225	5	3
OG0001226	10	10
OG0001227	5	3
OG0001228	12	9
OG0001229	4	2
OG0001230	11	10
OG0001231	12	10
OG0001232	13	13
OG0001233	7	6
OG0001234	7	6
OG0001235	7	7
OG0001236	4	2
OG0001237	2	1
OG0001238	3	2
OG0001239	5	3
OG0001240	6	5
OG0001241	4	3
OG0001242	2	1
OG0001243	6	4
OG0001244	8	8
OG0001245	9	8
OG0001246	4	4
OG0001247	8	7
OG0001248	13	12
OG0001249	6	5
OG0001250	47	47
OG0001251	10	8
OG0001252	8	6
OG0001253	17	17
OG0001254	6	6
OG0001255	10	10
OG0001256	2	2
OG0001257	8	1
OG0001258	10	10
OG0001259	7	7
OG0001260	6	5
OG0001261	6	2
OG0001262	5	3
OG0001263	6	4
OG0001264	5	4
OG0001265	10	6
OG0001266	9	8
OG0001267	4	4
OG0001268	4	2
OG0001269	5	3
OG0001270	5	5
OG0001271	5	4
OG0001272	9	8
OG0001273	6	5
OG0001274	9	9
OG0001275	5	3
OG0001276	4	2
OG0001277	10	9
OG0001278	4	3
OG0001279	9	9
OG0001280	10	10
OG0001281	6	4
OG0001282	10	10
OG0001283	10	10
OG0001284	6	5
OG0001285	3	2
OG0001286	9	7
OG0001287	6	6
OG0001288	5	3
OG0001289	8	7
OG0001290	7	2
OG0001291	4	3
OG0001292	7	5
OG0001293	10	9
OG0001294	4	3
OG0001295	2	1
OG0001296	6	5
OG0001297	10	10
OG0001298	3	2
OG0001299	5	5
OG0001300	8	6
OG0001301	5	5
OG0001302	8	8
OG0001303	9	9
OG0001304	3	2
OG0001305	4	4
OG0001306	7	6
OG0001307	4	4
OG0001308	5	4
OG0001309	5	5
OG0001310	7	4
OG0001311	6	4
OG0001312	4	3
OG0001313	9	8
OG0001314	11	10
OG0001315	10	8
OG0001316	6	1
OG0001317	14	10
OG0001318	19	16
OG0001319	6	5
OG0001320	8	6
OG0001321	11	7
OG0001322	1	1
OG0001323	5	3
OG0001324	18	18
OG0001325	7	7
OG0001326	4	4
OG0001327	36	36
OG0001328	5	4
OG0001329	10	9
OG0001330	7	5
OG0001331	8	8
OG0001332	7	6
OG0001333	4	4
OG0001334	4	4
OG0001335	4	4
OG0001336	21	17
OG0001337	10	8
OG0001338	9	8
OG0001339	4	2
OG0001340	6	3
OG0001341	3	0
OG0001342	4	3
OG0001343	3	0
OG0001344	4	4
OG0001345	4	4
OG0001346	10	10
OG0001347	5	5
OG0001348	7	6
OG0001349	3	3
OG0001350	8	8
OG0001351	5	4
OG0001352	8	5
OG0001353	5	5
OG0001354	8	7
OG0001355	9	9
OG0001356	4	3
OG0001357	7	5
OG0001358	8	4
OG0001359	3	3
OG0001360	9	8
OG0001361	4	4
OG0001362	5	4
OG0001363	4	4
OG0001364	4	4
OG0001365	3	3
OG0001366	6	4
OG0001367	7	2
OG0001368	9	7
OG0001369	8	7
OG0001370	10	10
OG0001371	4	1
OG0001372	6	3
OG0001373	8	7
OG0001374	4	2
OG0001375	10	9
OG0001376	5	5
OG0001377	8	6
OG0001378	5	4
OG0001379	4	1
OG0001380	9	7
OG0001381	9	9
OG0001382	7	6
OG0001383	6	6
OG0001384	7	6
OG0001385	4	2
OG0001386	16	12
OG0001387	4	4
OG0001388	4	3
OG0001389	6	6
OG0001390	6	4
OG0001391	5	3
OG0001392	9	9
OG0001393	8	8
OG0001394	4	4
