	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
DGUA.longest_only	7944	7854	7781	7868	8142	9438	7494	7690	7733	10305	10930	10937	10342	10918	10960	10919	10918	11477	10555	10876	10982	10992	11197	10545	11143	11190	10978	10959	10871	10995	11335	10960	10963	10652	10986	8505	10514
DHYD.longest_only	7950	7859	7783	7876	8145	9420	7469	7691	7733	10404	10648	10632	10454	10612	10659	10607	10620	10555	11085	10591	10672	10674	10610	10798	10585	10605	10654	10652	10594	10661	10578	10640	10633	10907	10656	8505	10460
DKIK.longest_only	7982	7877	7968	7893	8209	9477	7557	7719	7761	10331	11119	11247	10376	11766	11215	11674	11469	10876	10591	12225	11241	11243	10967	10586	10925	10947	11222	11247	11490	11230	10904	11214	11211	10696	11239	8533	10549
DMAU.longest_only	7991	7884	7828	7903	8185	9501	7532	7733	7780	10405	11333	11567	10459	11506	11731	11528	11492	10982	10672	11241	11983	11815	11079	10663	11017	11068	11747	11850	11238	11876	11022	11582	11586	10779	11779	8555	10667
DMEL.longest_only	7996	7892	7829	7904	8186	9498	7528	7735	7778	10407	11324	11554	10457	11493	11717	11517	11477	10992	10674	11243	11815	11926	11075	10668	11021	11065	11742	11789	11254	11825	11031	11598	11598	10778	11771	8561	10661
DMIR.longest_only	7995	7885	7842	7910	8189	9510	7566	7742	7785	10371	11019	11018	10397	11007	11051	11007	11005	11197	10610	10967	11079	11075	11928	10615	11496	11616	11057	11061	10954	11072	11251	11044	11053	10721	11076	8554	10586
DNOV.longest_only	7895	7800	7725	7827	8085	9380	7445	7637	7674	10393	10636	10634	10439	10606	10650	10606	10612	10545	10798	10586	10663	10668	10615	11233	10590	10603	10640	10649	10585	10653	10561	10636	10635	11105	10650	8443	10470
DPER.longest_only	7974	7875	7802	7891	8166	9469	7528	7716	7757	10328	10962	10976	10374	10957	11004	10961	10953	11143	10585	10925	11017	11021	11496	10590	11663	11519	11004	11008	10921	11017	11182	10994	10991	10686	11011	8528	10557
DPSE.longest_only	7989	7877	7827	7900	8179	9501	7533	7729	7771	10367	11001	11008	10387	10989	11034	10997	10990	11190	10605	10947	11068	11065	11616	10603	11519	11778	11042	11039	10942	11069	11243	11025	11031	10709	11066	8548	10570
DSAN.longest_only	7969	7878	7812	7898	8170	9472	7516	7715	7759	10382	11310	11538	10436	11476	11683	11510	11486	10978	10654	11222	11747	11742	11057	10640	11004	11042	11923	11722	11220	11772	11001	11599	11602	10756	11845	8533	10631
DSEC.longest_only	7967	7870	7818	7889	8168	9474	7526	7711	7754	10379	11314	11553	10439	11514	11704	11533	11486	10959	10652	11247	11850	11789	11061	10649	11008	11039	11722	11973	11228	11837	10994	11566	11563	10764	11751	8529	10648
DSER.longest_only	7979	7878	7873	7895	8190	9469	7530	7718	7764	10322	11119	11214	10381	11401	11213	11373	11314	10871	10594	11490	11238	11254	10954	10585	10921	10942	11220	11228	11839	11225	10900	11226	11220	10693	11228	8530	10546
DSIM.longest_only	7980	7876	7818	7890	8176	9496	7522	7726	7768	10405	11324	11549	10444	11490	11708	11528	11486	10995	10661	11230	11876	11825	11072	10653	11017	11069	11772	11837	11225	11996	11031	11605	11610	10766	11810	8546	10653
DSUB.longest_only	7968	7866	7803	7876	8155	9467	7502	7713	7756	10336	10965	10966	10362	10947	10992	10950	10946	11335	10578	10904	11022	11031	11251	10561	11182	11243	11001	10994	10900	11031	11533	10994	10996	10674	11027	8526	10533
DSUP.longest_only	7967	7863	7806	7886	8167	9482	7512	7712	7755	10366	11299	11660	10427	11475	11537	11500	11472	10960	10640	11214	11582	11598	11044	10636	10994	11025	11599	11566	11226	11605	10994	11975	11834	10751	11614	8523	10643
DSUZ.longest_only	7971	7870	7825	7895	8171	9500	7536	7719	7761	10369	11296	11656	10421	11476	11532	11495	11455	10963	10633	11211	11586	11598	11053	10635	10991	11031	11602	11563	11220	11610	10996	11834	12043	10750	11613	8536	10641
DVIR.longest_only	7962	7871	7794	7890	8163	9460	7507	7704	7742	10502	10748	10745	10527	10717	10763	10713	10724	10652	10907	10696	10779	10778	10721	11105	10686	10709	10756	10764	10693	10766	10674	10751	10750	11363	10770	8524	10546
DYAK.longest_only	7980	7879	7826	7891	8177	9496	7517	7730	7771	10401	11328	11556	10442	11494	11701	11533	11494	10986	10656	11239	11779	11771	11076	10650	11011	11066	11845	11751	11228	11810	11027	11614	11613	10770	11954	8550	10641
HILL.longest_only	8327	8193	8138	8237	8478	8558	6810	8080	8124	8347	8517	8518	8402	8529	8538	8524	8529	8505	8505	8533	8555	8561	8554	8443	8528	8548	8533	8529	8530	8546	8526	8523	8536	8524	8550	9552	8508
SLEB.longest_only	7966	7867	7799	7888	8145	9416	7461	7707	7751	10175	10626	10625	10260	10590	10643	10597	10612	10514	10460	10549	10667	10661	10586	10470	10557	10570	10631	10648	10546	10653	10533	10643	10641	10546	10641	8508	11009
