	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
'10	10	4	39	7	8	13	5	10	10	5	4	7	2	6	3	5	4	3	3	5	1	6	16	1	9	9	4	2	4	4	6	5	10	2	4	10	5
11-15	18	13	78	11	41	34	29	32	25	19	13	10	9	6	9	13	11	7	10	21	13	7	49	15	17	14	10	11	11	10	6	18	19	14	10	43	13
16-20	10	4	40	9	12	14	7	16	11	7	5	1	3	2	2	4	1	1	1	6	3	2	13	1	2	6	3	0	6	5	1	7	8	2	5	10	5
21-50	13	2	52	9	21	19	8	17	14	9	6	4	1	2	1	1	3	1	5	3	2	5	30	4	8	2	3	4	5	3	1	11	11	5	3	26	5
51-100	1	1	4	2	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	1	1	0	0	0	0	1	1	0	0	0	2	0
101-150	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	53.6	57.6	50.4	57.0	56.3	54.5	61.8	51.2	51.8	52.7	49.2	47.8	52.8	44.7	48.2	44.8	46.2	49.7	51.4	46.4	47.5	47.7	47.7	50.7	48.9	48.4	47.7	47.5	48.1	47.4	49.4	47.5	47.2	50.2	47.6	58.1	51.7
'1	39.0	38.8	19.9	37.7	34.8	40.0	30.6	39.7	41.9	42.2	45.7	47.0	42.7	48.1	47.2	49.2	47.3	45.8	43.5	47.5	47.8	47.7	39.6	44.5	45.4	46.0	47.6	47.6	45.4	47.8	46.0	46.7	45.5	44.3	47.8	37.1	42.9
'2	5.1	2.4	17.9	3.6	5.0	3.3	5.0	5.9	3.6	3.2	3.3	3.4	3.1	5.2	3.2	4.0	4.5	3.2	3.6	4.2	3.2	3.1	8.5	3.3	3.9	3.8	3.1	3.2	4.5	3.2	3.2	3.8	5.0	3.9	3.1	2.7	3.7
'3	1.0	0.6	6.7	0.7	1.6	0.9	1.2	1.3	1.1	0.9	0.9	0.8	0.7	1.1	0.8	1.0	1.1	0.7	0.8	1.1	0.8	0.8	2.0	0.8	0.9	1.0	0.8	0.9	1.2	0.8	0.8	1.0	1.1	0.9	0.8	0.7	0.9
'4	0.5	0.2	2.1	0.4	0.7	0.4	0.5	0.6	0.5	0.4	0.3	0.4	0.3	0.4	0.3	0.4	0.3	0.3	0.3	0.4	0.3	0.3	0.7	0.3	0.3	0.3	0.3	0.4	0.4	0.3	0.3	0.4	0.5	0.3	0.3	0.4	0.3
'5	0.3	0.2	0.8	0.2	0.4	0.2	0.3	0.4	0.3	0.2	0.1	0.2	0.1	0.2	0.1	0.1	0.2	0.1	0.2	0.2	0.1	0.1	0.4	0.2	0.2	0.1	0.1	0.1	0.2	0.1	0.1	0.2	0.2	0.1	0.2	0.2	0.1
'6	0.2	0.1	0.5	0.1	0.3	0.1	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1
'7	0.1	0.0	0.3	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.2	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1
'8	0.1	0.0	0.3	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1
'9	0.1	0.0	0.2	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.1	0.1	0.3	0.0	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.2	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.2	0.1
16-20	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.1	0.0	0.2	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	8883	8838	4536	8602	7945	9124	6967	9056	9545	9625	10415	10728	9737	10966	10765	11226	10797	10443	9910	10823	10895	10874	9025	10155	10350	10498	10860	10862	10342	10908	10491	10658	10379	10107	10891	8450	9780
'2	2316	1072	8152	1664	2280	1512	2302	2680	1648	1460	1522	1566	1432	2386	1438	1826	2036	1456	1654	1894	1438	1430	3882	1498	1778	1738	1432	1454	2064	1454	1454	1716	2280	1780	1410	1222	1696
'3	714	390	4605	477	1074	606	855	912	765	588	633	555	489	762	576	672	753	513	579	765	576	543	1356	531	648	657	531	582	801	567	516	672	735	609	537	489	639
'4	412	200	1960	332	660	364	448	560	472	320	308	344	232	352	268	404	312	240	252	328	300	264	680	244	296	272	276	336	344	292	248	372	452	280	276	380	252
'5	290	210	865	190	510	220	300	420	370	225	165	220	130	175	135	160	190	145	185	180	145	130	465	180	180	165	135	170	180	145	155	225	210	140	200	210	135
'6	222	96	618	150	396	198	282	300	258	150	138	120	102	120	84	144	132	60	66	96	156	102	276	102	138	162	138	162	108	120	78	102	150	120	114	222	108
'7	238	56	504	98	343	189	133	301	182	140	140	112	42	112	98	91	154	35	49	105	84	105	273	56	140	119	105	84	105	105	63	105	182	84	119	196	105
'8	128	48	552	88	224	136	120	184	184	56	72	56	72	80	40	144	104	96	104	72	72	48	232	40	120	80	64	88	72	48	56	56	112	56	72	192	96
'9	108	81	315	72	198	81	117	162	153	63	54	27	72	27	27	63	72	63	45	63	63	54	153	36	27	45	72	45	72	63	54	144	99	27	27	99	45
'10	100	40	390	70	80	130	50	100	100	50	40	70	20	60	30	50	40	30	30	50	10	60	160	10	90	90	40	20	40	40	60	50	100	20	40	100	50
11-15	226	165	991	142	510	437	376	404	327	236	153	123	109	76	106	166	135	86	125	254	153	84	611	184	211	175	127	138	145	119	74	217	237	180	127	541	166
16-20	177	71	697	159	208	242	122	278	187	123	90	19	52	34	34	69	16	16	16	101	55	36	232	16	36	105	54	0	107	90	16	120	142	35	95	185	86
21-50	331	42	1442	221	578	574	203	565	395	238	160	126	26	60	44	21	103	28	126	104	68	131	948	99	232	63	82	141	140	95	21	337	311	123	89	718	150
51-100	78	61	237	116	0	55	0	0	74	58	0	0	0	0	0	75	0	0	0	0	0	0	442	0	59	58	0	0	0	0	55	54	0	0	0	147	0
101-150	0	0	0	0	0	0	0	106	111	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	60.7	76.4	16.9	67.8	48.0	64.2	37.0	55.1	63.2	70.8	73.7	75.4	76.6	71.2	78.5	73.0	71.7	78.5	74.6	71.7	77.2	77.8	47.2	76.6	71.9	73.2	77.4	76.6	70.0	77.1	78.1	70.9	66.7	73.9	77.3	60.3	71.6
'2	15.8	9.3	30.4	13.1	13.8	10.6	12.2	16.3	10.9	10.7	10.8	11.0	11.3	15.5	10.5	11.9	13.5	10.9	12.5	12.5	10.2	10.2	20.3	11.3	12.3	12.1	10.2	10.3	14.0	10.3	10.8	11.4	14.6	13.0	10.0	8.7	12.4
'3	4.9	3.4	17.1	3.8	6.5	4.3	4.5	5.5	5.1	4.3	4.5	3.9	3.8	4.9	4.2	4.4	5.0	3.9	4.4	5.1	4.1	3.9	7.1	4.0	4.5	4.6	3.8	4.1	5.4	4.0	3.8	4.5	4.7	4.5	3.8	3.5	4.7
'4	2.8	1.7	7.3	2.6	4.0	2.6	2.4	3.4	3.1	2.4	2.2	2.4	1.8	2.3	2.0	2.6	2.1	1.8	1.9	2.2	2.1	1.9	3.6	1.8	2.1	1.9	2.0	2.4	2.3	2.1	1.8	2.5	2.9	2.0	2.0	2.7	1.8
'5	2.0	1.8	3.2	1.5	3.1	1.5	1.6	2.6	2.5	1.7	1.2	1.5	1.0	1.1	1.0	1.0	1.3	1.1	1.4	1.2	1.0	0.9	2.4	1.4	1.3	1.2	1.0	1.2	1.2	1.0	1.2	1.5	1.3	1.0	1.4	1.5	1.0
'6	1.5	0.8	2.3	1.2	2.4	1.4	1.5	1.8	1.7	1.1	1.0	0.8	0.8	0.8	0.6	0.9	0.9	0.5	0.5	0.6	1.1	0.7	1.4	0.8	1.0	1.1	1.0	1.1	0.7	0.8	0.6	0.7	1.0	0.9	0.8	1.6	0.8
'7	1.6	0.5	1.9	0.8	2.1	1.3	0.7	1.8	1.2	1.0	1.0	0.8	0.3	0.7	0.7	0.6	1.0	0.3	0.4	0.7	0.6	0.8	1.4	0.4	1.0	0.8	0.7	0.6	0.7	0.7	0.5	0.7	1.2	0.6	0.8	1.4	0.8
'8	0.9	0.4	2.1	0.7	1.4	1.0	0.6	1.1	1.2	0.4	0.5	0.4	0.6	0.5	0.3	0.9	0.7	0.7	0.8	0.5	0.5	0.3	1.2	0.3	0.8	0.6	0.5	0.6	0.5	0.3	0.4	0.4	0.7	0.4	0.5	1.4	0.7
'9	0.7	0.7	1.2	0.6	1.2	0.6	0.6	1.0	1.0	0.5	0.4	0.2	0.6	0.2	0.2	0.4	0.5	0.5	0.3	0.4	0.4	0.4	0.8	0.3	0.2	0.3	0.5	0.3	0.5	0.4	0.4	1.0	0.6	0.2	0.2	0.7	0.3
'10	0.7	0.3	1.5	0.6	0.5	0.9	0.3	0.6	0.7	0.4	0.3	0.5	0.2	0.4	0.2	0.3	0.3	0.2	0.2	0.3	0.1	0.4	0.8	0.1	0.6	0.6	0.3	0.1	0.3	0.3	0.4	0.3	0.6	0.1	0.3	0.7	0.4
11-15	1.5	1.4	3.7	1.1	3.1	3.1	2.0	2.5	2.2	1.7	1.1	0.9	0.9	0.5	0.8	1.1	0.9	0.6	0.9	1.7	1.1	0.6	3.2	1.4	1.5	1.2	0.9	1.0	1.0	0.8	0.6	1.4	1.5	1.3	0.9	3.9	1.2
16-20	1.2	0.6	2.6	1.3	1.3	1.7	0.6	1.7	1.2	0.9	0.6	0.1	0.4	0.2	0.2	0.4	0.1	0.1	0.1	0.7	0.4	0.3	1.2	0.1	0.3	0.7	0.4	0.0	0.7	0.6	0.1	0.8	0.9	0.3	0.7	1.3	0.6
21-50	2.3	0.4	5.4	1.7	3.5	4.0	1.1	3.4	2.6	1.8	1.1	0.9	0.2	0.4	0.3	0.1	0.7	0.2	0.9	0.7	0.5	0.9	5.0	0.7	1.6	0.4	0.6	1.0	0.9	0.7	0.2	2.2	2.0	0.9	0.6	5.1	1.1
51-100	0.5	0.5	0.9	0.9	0.0	0.4	0.0	0.0	0.5	0.4	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.4	0.4	0.0	0.0	0.0	0.0	0.4	0.4	0.0	0.0	0.0	1.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
