	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
DMEL.longest_only	788.0	314.0	4121.0	590.0	683.0	514.0	778.0	791.0	407.0	379.0	237.0	145.0	276.0	203.0	122.0	227.0	400.0	213.0	443.0	324.0	90.0	0.0	1936.0	302.0	452.0	382.0	81.0	109.0	521.0	85.0	233.0	290.0	602.0	447.0	83.0	373.0	376.0
DMIR.longest_only	682.0	269.0	3454.0	474.0	572.0	442.0	678.0	674.0	354.0	331.0	264.0	259.0	247.0	262.0	224.0	333.0	458.0	118.0	361.0	349.0	221.0	192.0	0.0	248.0	233.0	162.0	215.0	228.0	510.0	210.0	135.0	362.0	695.0	358.0	204.0	330.0	340.0
DNOV.longest_only	777.0	316.0	4042.0	581.0	664.0	532.0	783.0	801.0	408.0	361.0	339.0	317.0	230.0	369.0	276.0	362.0	541.0	252.0	361.0	438.0	282.0	253.0	1909.0	0.0	488.0	401.0	264.0	297.0	618.0	274.0	272.0	430.0	729.0	315.0	254.0	379.0	384.0
DPER.longest_only	777.0	308.0	4008.0	569.0	664.0	520.0	778.0	785.0	405.0	375.0	289.0	292.0	289.0	328.0	248.0	353.0	476.0	138.0	436.0	390.0	247.0	216.0	1837.0	292.0	0.0	132.0	233.0	255.0	567.0	237.0	144.0	413.0	724.0	443.0	222.0	376.0	389.0
DPSE.longest_only	782.0	309.0	4049.0	576.0	668.0	527.0	784.0	791.0	411.0	379.0	301.0	299.0	293.0	335.0	250.0	359.0	493.0	134.0	436.0	401.0	255.0	222.0	1867.0	294.0	211.0	0.0	238.0	260.0	586.0	245.0	145.0	417.0	737.0	455.0	228.0	380.0	393.0
DSAN.longest_only	783.0	310.0	4109.0	580.0	687.0	519.0	779.0	796.0	409.0	388.0	237.0	162.0	278.0	200.0	118.0	227.0	406.0	219.0	451.0	332.0	101.0	85.0	1940.0	309.0	452.0	376.0	0.0	123.0	527.0	108.0	236.0	299.0	618.0	458.0	63.0	376.0	384.0
DSEC.longest_only	782.0	313.0	4101.0	589.0	674.0	518.0	774.0	787.0	405.0	384.0	247.0	154.0	276.0	215.0	121.0	236.0	400.0	221.0	439.0	346.0	79.0	58.0	1945.0	310.0	458.0	389.0	84.0	0.0	537.0	56.0	242.0	287.0	597.0	454.0	78.0	373.0	373.0
DSER.longest_only	763.0	298.0	3983.0	563.0	653.0	492.0	762.0	774.0	397.0	352.0	222.0	196.0	268.0	326.0	159.0	289.0	402.0	196.0	418.0	283.0	167.0	141.0	1857.0	294.0	420.0	361.0	146.0	170.0	0.0	155.0	215.0	338.0	636.0	431.0	140.0	361.0	362.0
DSIM.longest_only	787.0	316.0	4106.0	585.0	683.0	512.0	782.0	793.0	413.0	388.0	247.0	151.0	279.0	205.0	114.0	224.0	403.0	222.0	442.0	335.0	65.0	63.0	1938.0	308.0	459.0	385.0	89.0	99.0	519.0	0.0	237.0	284.0	605.0	456.0	84.0	376.0	381.0
DSUB.longest_only	787.0	311.0	4099.0	578.0	670.0	537.0	793.0	797.0	412.0	383.0	319.0	304.0	284.0	342.0	261.0	365.0	510.0	96.0	440.0	414.0	264.0	228.0	1974.0	299.0	428.0	349.0	252.0	269.0	599.0	254.0	0.0	435.0	757.0	451.0	237.0	385.0	400.0
DSUP.longest_only	777.0	297.0	4031.0	561.0	650.0	503.0	763.0	776.0	399.0	359.0	226.0	93.0	266.0	186.0	126.0	202.0	387.0	216.0	433.0	319.0	124.0	101.0	1904.0	304.0	441.0	381.0	94.0	130.0	507.0	112.0	238.0	0.0	560.0	446.0	100.0	371.0	362.0
DSUZ.longest_only	753.0	289.0	3936.0	553.0	630.0	500.0	760.0	766.0	387.0	350.0	223.0	85.0	263.0	188.0	130.0	192.0	388.0	200.0	422.0	315.0	113.0	104.0	1913.0	290.0	422.0	372.0	99.0	135.0	499.0	122.0	224.0	247.0	0.0	433.0	104.0	362.0	357.0
DVIR.longest_only	780.0	314.0	4030.0	578.0	652.0	536.0	786.0	796.0	410.0	344.0	326.0	311.0	223.0	360.0	268.0	353.0	534.0	247.0	357.0	437.0	270.0	242.0	1859.0	127.0	477.0	394.0	251.0	287.0	614.0	268.0	262.0	417.0	723.0	0.0	243.0	377.0	380.0
DYAK.longest_only	790.0	318.0	4119.0	593.0	686.0	518.0	782.0	802.0	418.0	385.0	242.0	154.0	281.0	200.0	108.0	222.0	407.0	219.0	447.0	332.0	103.0	88.0	1944.0	309.0	449.0	382.0	64.0	127.0	526.0	104.0	238.0	297.0	607.0	458.0	0.0	378.0	381.0
HILL.longest_only	846.0	330.0	4404.0	620.0	701.0	508.0	829.0	862.0	459.0	491.0	486.0	495.0	466.0	543.0	446.0	541.0	613.0	453.0	602.0	565.0	432.0	429.0	1660.0	495.0	615.0	556.0	421.0	461.0	689.0	444.0	453.0	541.0	762.0	586.0	423.0	0.0	557.0
SLEB.longest_only	783.0	324.0	4073.0	589.0	661.0	518.0	815.0	812.0	425.0	435.0	379.0	380.0	308.0	424.0	323.0	417.0	572.0	304.0	478.0	486.0	326.0	298.0	1927.0	351.0	520.0	454.0	304.0	348.0	663.0	327.0	326.0	475.0	767.0	490.0	303.0	372.0	0.0
