Orthogroup	CCAP.longest_only	DMAU.longest_only
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC117145918|XP_033167668.1|DMAU
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC117143646|XP_033164316.1|DMAU
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC117138252|XP_033156103.1|DMAU
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC117144282|XP_033165275.1|DMAU, LOC117135977|XP_033152481.1|DMAU, LOC117145126|XP_033166537.1|DMAU
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC117144278|XP_033165272.1|DMAU
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC117144775|XP_033166033.1|DMAU
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC117144277|XP_033165271.1|DMAU
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC117144765|XP_033166018.1|DMAU
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC117150619|XP_033173479.1|DMAU, LOC117136506|XP_033153341.1|DMAU
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU, LOC117145491|XP_033167059.1|DMAU
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC117142835|XP_033162961.1|DMAU
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC117140739|XP_033159710.1|DMAU
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC117150817|XP_033173768.1|DMAU
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC117139373|XP_033157513.1|DMAU
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC117141110|XP_033160324.1|DMAU
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC117145028|XP_033166421.1|DMAU, LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU, LOC117144854|XP_033166148.1|DMAU, LOC117140740|XP_033159707.1|DMAU
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC117150768|XP_033173696.1|DMAU, LOC117137293|XP_033154560.1|DMAU, LOC117150769|XP_033173697.1|DMAU
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC117143350|XP_033163916.1|DMAU, LOC117137054|XP_033154154.1|DMAU
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC117150913|XP_033173999.1|DMAU
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC117145857|XP_033167568.1|DMAU
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU, LOC117150484|XP_033173274.1|DMAU, LOC117150483|XP_033173273.1|DMAU, LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU, LOC117143867|XP_033164627.1|DMAU
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC117145150|XP_033166581.1|DMAU
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC117145004|XP_033166383.1|DMAU
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC117145915|XP_033167661.1|DMAU
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC117137024|XP_033154116.1|DMAU
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC117139364|XP_033157507.1|DMAU
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC117143574|XP_033164210.1|DMAU, LOC117143570|XP_033164205.1|DMAU, LOC117143572|XP_033164208.1|DMAU
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC117145149|XP_033166580.1|DMAU, LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC117143901|XP_033164698.1|DMAU
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU, LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC117143435|XP_033164032.1|DMAU
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC117139739|XP_033158187.1|DMAU
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC117139487|XP_033157699.1|DMAU
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC117139486|XP_033157698.1|DMAU
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC117136744|XP_033153666.1|DMAU
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU, LOC117140935|XP_033160022.1|DMAU
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC117140941|XP_033160028.1|DMAU
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC117143819|XP_033164555.1|DMAU
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC117145062|XP_033166468.1|DMAU
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC117145059|XP_033166464.1|DMAU, LOC117145061|XP_033166467.1|DMAU
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC117144466|XP_033165523.1|DMAU
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC117136135|XP_033152731.1|DMAU
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC117142030|XP_033161785.1|DMAU, LOC117142027|XP_033161782.1|DMAU, LOC117142031|XP_033161786.1|DMAU, LOC117142029|XP_033161784.1|DMAU, LOC117142024|XP_033161778.1|DMAU, LOC117142028|XP_033161783.1|DMAU
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC117143815|XP_033164552.1|DMAU
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC117143638|XP_033164307.1|DMAU
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU, LOC117136886|XP_033153888.1|DMAU, LOC117136885|XP_033153886.1|DMAU
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC117137096|XP_033154272.1|DMAU
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC117137094|XP_033154271.1|DMAU
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC117137107|XP_033154285.1|DMAU
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC117144491|XP_033165568.1|DMAU
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC117145202|XP_033166655.1|DMAU, LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
OG0000058	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU, LOC117147163|XP_033169841.1|DMAU
OG0000059	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP	LOC117144061|XP_033164961.1|DMAU, LOC117144560|XP_033165696.1|DMAU, LOC117144394|XP_033165420.1|DMAU, LOC117143436|XP_033164033.1|DMAU, LOC117145280|XP_033166759.1|DMAU, LOC117145279|XP_033166758.1|DMAU, LOC117143722|XP_033164415.1|DMAU
OG0000060	CCAP1982_LOCUS3311|CAD6994573.1|CCAP	LOC117142997|XP_033163243.1|DMAU
OG0000061	CCAP1982_LOCUS7588|CAD6999041.1|CCAP	LOC117144713|XP_033165946.1|DMAU
OG0000061	CCAP1982_LOCUS7592|CAD6999045.1|CCAP	LOC117147510|XP_033170317.1|DMAU
OG0000061	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP	LOC117146062|XP_033167897.1|DMAU, LOC117148009|XP_033171063.1|DMAU
OG0000062	CCAP1982_LOCUS9178|CAD7000705.1|CCAP, CCAP1982_LOCUS2476|CAD6993670.1|CCAP, CCAP1982_LOCUS9173|CAD7000700.1|CCAP, CCAP1982_LOCUS9182|CAD7000709.1|CCAP, CCAP1982_LOCUS9181|CAD7000708.1|CCAP, CCAP1982_LOCUS9180|CAD7000707.1|CCAP	LOC117147633|XP_033170492.1|DMAU, LOC117135280|XP_033151340.1|DMAU, LOC117143802|XP_033164537.1|DMAU, LOC117135279|XP_033151338.1|DMAU, LOC117142762|XP_033162838.1|DMAU
OG0000063	CCAP1982_LOCUS12099|CAD7003661.1|CCAP	LOC117141841|XP_033161392.1|DMAU, LOC117141839|XP_033161390.1|DMAU, LOC117141837|XP_033161388.1|DMAU, LOC117141838|XP_033161389.1|DMAU
OG0000065	CCAP1982_LOCUS3818|CAD6995095.1|CCAP, CCAP1982_LOCUS3819|CAD6995096.1|CCAP, CCAP1982_LOCUS3788|CAD6995064.1|CCAP	LOC117142873|XP_033163031.1|DMAU, LOC117150964|XP_033174035.1|DMAU, LOC117142874|XP_033163032.1|DMAU, LOC117145328|XP_033166821.1|DMAU, LOC117142495|XP_033162416.1|DMAU
OG0000067	CCAP1982_LOCUS14065|CAD7005713.1|CCAP	LOC117143290|XP_033163776.1|DMAU
OG0000067	CCAP1982_LOCUS14066|CAD7005714.1|CCAP	LOC117141618|XP_033161029.1|DMAU
OG0000067	CCAP1982_LOCUS21530|CAD7013467.1|CCAP	LOC117137893|XP_033155518.1|DMAU
OG0000067	CCAP1982_LOCUS14064|CAD7005712.1|CCAP	LOC117139071|XP_033157072.1|DMAU
OG0000069	CCAP1982_LOCUS8182|CAD6999652.1|CCAP	LOC117138693|XP_033156843.1|DMAU
