Orthogroup	CCAP.longest_only	DEUG.longest_only
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC108113823|XP_017080058.1|DEUG
OG0000006	CCAP1982_LOCUS6247|CAD6997611.1|CCAP, CCAP1982_LOCUS6244|CAD6997608.1|CCAP, CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC108103399|XP_017064345.1|DEUG
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC108107881|XP_017071156.1|DEUG
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC108102687|XP_017063316.1|DEUG, LOC108104447|XP_017065997.1|DEUG, LOC108111280|XP_017076157.1|DEUG, LOC108111281|XP_017076158.1|DEUG, LOC108111392|XP_017076316.1|DEUG, LOC108111282|XP_017076159.1|DEUG, LOC108111279|XP_017076156.1|DEUG, LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG, LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG, LOC108107529|XP_017070559.1|DEUG, LOC108107925|XP_017071238.1|DEUG
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC108117090|XP_017084777.1|DEUG
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC108107847|XP_017071090.1|DEUG
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC108107843|XP_017071086.1|DEUG
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC108107848|XP_017071091.1|DEUG
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC108116118|XP_017083331.1|DEUG
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC108116121|XP_017083334.1|DEUG
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC108116123|XP_017083335.1|DEUG
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC108116120|XP_017083333.1|DEUG
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC108116119|XP_017083332.1|DEUG
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC108117308|XP_017085159.1|DEUG
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC108107216|XP_017070122.1|DEUG, LOC108111728|XP_017076770.1|DEUG, LOC108106283|XP_017068739.1|DEUG, LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC108105230|XP_017067186.1|DEUG
OG0000010	CCAP1982_LOCUS6248|CAD6997612.1|CCAP	LOC108103372|XP_017064308.1|DEUG
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC108113192|XP_017079208.1|DEUG
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC108113191|XP_017079207.1|DEUG
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC108113343|XP_017079393.1|DEUG
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC108113377|XP_017079435.1|DEUG
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG, LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG, LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC108106511|XP_017069094.1|DEUG
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC108105608|XP_017067774.1|DEUG
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC108105962|XP_017068250.1|DEUG
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC108116899|XP_017084498.1|DEUG
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC108116618|XP_017084081.1|DEUG
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC108104162|XP_017065556.1|DEUG, LOC108111829|XP_017076924.1|DEUG, LOC108118106|XP_017086149.1|DEUG, LOC108118096|XP_017086142.1|DEUG, LOC108117407|XP_017085303.1|DEUG, LOC108112994|XP_017078897.1|DEUG, LOC108110723|XP_017075400.1|DEUG, LOC108103093|XP_017063939.1|DEUG, LOC108117404|XP_017085301.1|DEUG, LOC108105912|XP_017068177.1|DEUG
OG0000014	CCAP1982_LOCUS11701|CAD7003239.1|CCAP	LOC108117406|XP_017085302.1|DEUG
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC108116882|XP_017084468.1|DEUG, LOC108109063|XP_017072885.1|DEUG
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC108117273|XP_017085115.1|DEUG
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC108113063|XP_017078988.1|DEUG
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC108105551|XP_017067677.1|DEUG
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC108108726|XP_017072348.1|DEUG
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC108112627|XP_017078221.1|DEUG, LOC108104154|XP_017065544.1|DEUG, LOC108112063|XP_017077297.1|DEUG
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC108107641|XP_017070716.1|DEUG
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC108107531|XP_017070561.1|DEUG
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC108108164|XP_017071591.1|DEUG
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC108107616|XP_017070674.1|DEUG, LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC108115822|XP_017082901.1|DEUG, LOC108115824|XP_017082904.1|DEUG, LOC108115825|XP_017082905.1|DEUG, LOC108115827|XP_017082907.1|DEUG, LOC108115829|XP_017082909.1|DEUG, LOC108115823|XP_017082903.1|DEUG, LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC108116051|XP_017083239.1|DEUG
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC108117182|XP_017084963.1|DEUG
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC108107046|XP_017069896.1|DEUG, LOC108115414|XP_017082340.1|DEUG
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC108111770|XP_017076824.1|DEUG
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC108113005|XP_017078913.1|DEUG
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC108115052|XP_017081788.1|DEUG, LOC108112507|XP_017077883.1|DEUG, LOC108115111|XP_017081852.1|DEUG
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC108115051|XP_017081787.1|DEUG
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC108115158|XP_017081958.1|DEUG
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC108115110|XP_017081851.1|DEUG
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC108115157|XP_017081956.1|DEUG
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC108115421|XP_017082346.1|DEUG, LOC108106503|XP_017069087.1|DEUG
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG, LOC108110172|XP_017074584.1|DEUG
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC108106863|XP_017069596.1|DEUG
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC108106871|XP_017069603.1|DEUG
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC108106870|XP_017069602.1|DEUG
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC108108455|XP_017071998.1|DEUG
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC108114276|XP_017080662.1|DEUG
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG, LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG, LOC108108451|XP_017071993.1|DEUG
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC108104028|XP_017065349.1|DEUG, LOC108104049|XP_017065385.1|DEUG, LOC108104046|XP_017065382.1|DEUG
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG, LOC108109021|XP_017072783.1|DEUG
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC108111003|XP_017075802.1|DEUG
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC108111801|XP_017076881.1|DEUG
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG, LOC108118408|XP_017086572.1|DEUG, LOC108118494|XP_017086716.1|DEUG, LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG, LOC108113407|XP_017079451.1|DEUG
OG0000035	CCAP1982_LOCUS10039|CAD7001544.1|CCAP, CCAP1982_LOCUS10038|CAD7001542.1|CCAP, CCAP1982_LOCUS9306|CAD7000831.1|CCAP, CCAP1982_LOCUS10521|CAD7002033.1|CCAP	LOC108103278|XP_017064178.1|DEUG
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC108115061|XP_017081795.1|DEUG
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC108105599|XP_017067763.1|DEUG
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC108114960|XP_017081642.1|DEUG
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC108116661|XP_017084141.1|DEUG
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC108112000|XP_017077225.1|DEUG
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC108108735|XP_017072362.1|DEUG
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC108116482|XP_017083904.1|DEUG, LOC108116483|XP_017083905.1|DEUG
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG, LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC108113702|XP_017079868.1|DEUG
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG, LOC108113686|XP_017079852.1|DEUG, LOC108113695|XP_017079861.1|DEUG, LOC108113682|XP_017079848.1|DEUG
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC108116281|XP_017083557.1|DEUG
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC108114047|XP_017080284.1|DEUG
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC108107675|XP_017070752.1|DEUG
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC108107619|XP_017070678.1|DEUG
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC108106728|XP_017069453.1|DEUG
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC108114267|XP_017080653.1|DEUG, LOC108114271|XP_017080657.1|DEUG
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC108114269|XP_017080655.1|DEUG, LOC108113900|XP_017080095.1|DEUG
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC108114275|XP_017080660.1|DEUG
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC108117054|XP_017084715.1|DEUG
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC108117035|XP_017084693.1|DEUG
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC108117069|XP_017084731.1|DEUG, LOC108117036|XP_017084694.1|DEUG
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC108117318|XP_017085175.1|DEUG
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC108106209|XP_017068623.1|DEUG
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC108116755|XP_017084263.1|DEUG, LOC108116756|XP_017084264.1|DEUG, LOC108116757|XP_017084265.1|DEUG, LOC108116725|XP_017084231.1|DEUG, LOC108116727|XP_017084233.1|DEUG, LOC108116726|XP_017084232.1|DEUG
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC108109429|XP_017073417.1|DEUG
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC108117064|XP_017084724.1|DEUG
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC108111707|XP_017076746.1|DEUG, LOC108111705|XP_017076743.1|DEUG, LOC108111631|XP_017076651.1|DEUG, LOC108111676|XP_017076702.1|DEUG, LOC108111706|XP_017076744.1|DEUG, LOC108111732|XP_017076775.1|DEUG
