Orthogroup	CCAP.longest_only	DFIC.longest_only
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC108094043|XP_017049969.1|DFIC, LOC108098156|XP_017056380.1|DFIC
OG0000006	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP	LOC108098248|XP_017056531.1|DFIC
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC108099856|XP_017058991.1|DFIC
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC108093252|XP_017048717.1|DFIC
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC108093260|XP_017048726.1|DFIC, LOC108089978|XP_017043968.1|DFIC, LOC108090582|XP_017044820.1|DFIC, LOC108099497|XP_017058547.1|DFIC, LOC108099495|XP_017058545.1|DFIC, LOC108099496|XP_017058546.1|DFIC, LOC108088540|XP_017041874.1|DFIC, LOC108089778|XP_017043661.1|DFIC, LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC, LOC108093152|XP_017048588.1|DFIC, LOC108093153|XP_017048589.1|DFIC
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC108101034|XP_017060691.1|DFIC
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC108100331|XP_017059630.1|DFIC
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC108100333|XP_017059632.1|DFIC
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC108091746|XP_017046577.1|DFIC
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC108091769|XP_017046605.1|DFIC
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC108091757|XP_017046589.1|DFIC
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC108091754|XP_017046587.1|DFIC
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC108091767|XP_017046601.1|DFIC
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC108101115|XP_017060823.1|DFIC
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC108098255|XP_017056544.1|DFIC
OG0000010	CCAP1982_LOCUS6248|CAD6997612.1|CCAP	LOC108086289|XP_017038672.1|DFIC
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC108096904|XP_017054341.1|DFIC
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC108096903|XP_017054340.1|DFIC
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC108096929|XP_017054370.1|DFIC
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC108096943|XP_017054393.1|DFIC
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC, LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC, LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC108101557|XP_017061445.1|DFIC
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC108098830|XP_017057474.1|DFIC
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC108086910|XP_017039470.1|DFIC
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC108087118|XP_017039788.1|DFIC
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC108091996|XP_017046910.1|DFIC
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC108091644|XP_017046435.1|DFIC, LOC108095161|XP_017051608.1|DFIC
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC108088049|XP_017041175.1|DFIC
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC108090474|XP_017044659.1|DFIC
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC108096392|XP_017053452.1|DFIC
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC108093583|XP_017049197.1|DFIC
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC108101533|XP_017061396.1|DFIC, LOC108099991|XP_017059177.1|DFIC
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC108093126|XP_017048560.1|DFIC
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC108093128|XP_017048562.1|DFIC
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC108093130|XP_017048564.1|DFIC
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC108086541|XP_017038967.1|DFIC, LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC, LOC108086535|XP_017038961.1|DFIC, LOC108086543|XP_017038970.1|DFIC, LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC108086571|XP_017039016.1|DFIC
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC108100979|XP_017060622.1|DFIC
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC108101093|XP_017060792.1|DFIC
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC108088013|XP_017041113.1|DFIC
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC108093677|XP_017049345.1|DFIC
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC108096128|XP_017052994.1|DFIC, LOC108096606|XP_017053802.1|DFIC, LOC108096129|XP_017052995.1|DFIC
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC108096118|XP_017052982.1|DFIC
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC108096119|XP_017052984.1|DFIC
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC108096117|XP_017052981.1|DFIC
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC108096114|XP_017052979.1|DFIC
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC, LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC108100821|XP_017060378.1|DFIC
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC108100819|XP_017060376.1|DFIC
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC108100820|XP_017060377.1|DFIC
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC108095285|XP_017051819.1|DFIC
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC108089312|XP_017042978.1|DFIC
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC, LOC108096726|XP_017054059.1|DFIC, LOC108099785|XP_017058903.1|DFIC
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC, LOC108093469|XP_017049043.1|DFIC, LOC108093479|XP_017049053.1|DFIC
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC, LOC108087621|XP_017040552.1|DFIC
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC108089228|XP_017042875.1|DFIC
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC, LOC108098179|XP_017056401.1|DFIC, LOC108098285|XP_017056581.1|DFIC, LOC108101136|XP_017060848.1|DFIC, LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC, LOC108093450|XP_017049013.1|DFIC
OG0000035	CCAP1982_LOCUS10039|CAD7001544.1|CCAP, CCAP1982_LOCUS10038|CAD7001542.1|CCAP, CCAP1982_LOCUS9306|CAD7000831.1|CCAP, CCAP1982_LOCUS10521|CAD7002033.1|CCAP	LOC108090078|XP_017044070.1|DFIC
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC108096138|XP_017053007.1|DFIC
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC108097979|XP_017056090.1|DFIC
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC108098533|XP_017057003.1|DFIC
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC108087237|XP_017040017.1|DFIC
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC108087844|XP_017040913.1|DFIC
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC108088854|XP_017042318.1|DFIC
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC108087389|XP_017040220.1|DFIC, LOC108087351|XP_017040180.1|DFIC, LOC108087056|XP_017039721.1|DFIC
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC108092195|XP_017047211.1|DFIC, LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC108095953|XP_017052779.1|DFIC
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC, LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC108102017|XP_017062104.1|DFIC
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC108099782|XP_017058900.1|DFIC
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC108089346|XP_017043016.1|DFIC
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC108089335|XP_017043004.1|DFIC
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC108094901|XP_017051236.1|DFIC
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC, LOC108089535|XP_017043361.1|DFIC
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC108089542|XP_017043368.1|DFIC
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC108091864|XP_017046732.1|DFIC
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC108091860|XP_017046729.1|DFIC
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC108091991|XP_017046904.1|DFIC, LOC108091993|XP_017046906.1|DFIC
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC108092198|XP_017047214.1|DFIC
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC108093905|XP_017049757.1|DFIC
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC108088748|XP_017042185.1|DFIC, LOC108088744|XP_017042181.1|DFIC, LOC108088745|XP_017042182.1|DFIC, LOC108088747|XP_017042184.1|DFIC, LOC108088743|XP_017042180.1|DFIC, LOC108088746|XP_017042183.1|DFIC
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC108099282|XP_017058161.1|DFIC
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC108087911|XP_017040982.1|DFIC
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC108092094|XP_017047073.1|DFIC, LOC108087894|XP_017040960.1|DFIC, LOC108087917|XP_017040992.1|DFIC
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC108087102|XP_017039773.1|DFIC, LOC108098807|XP_017057437.1|DFIC, LOC108098902|XP_017057587.1|DFIC, LOC108098776|XP_017057399.1|DFIC, LOC108098773|XP_017057394.1|DFIC, LOC108087760|XP_017040779.1|DFIC, LOC108087818|XP_017040874.1|DFIC
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC108090322|XP_017044423.1|DFIC, LOC108090310|XP_017044412.1|DFIC
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC108090321|XP_017044422.1|DFIC
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC108090309|XP_017044411.1|DFIC
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC108090323|XP_017044424.1|DFIC
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC108097528|XP_017055365.1|DFIC
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC108096334|XP_017053362.1|DFIC, LOC108096244|XP_017053162.1|DFIC, LOC108097685|XP_017055644.1|DFIC
OG0000058	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP	LOC108099713|XP_017058824.1|DFIC, LOC108098458|XP_017056851.1|DFIC, LOC108098312|XP_017056614.1|DFIC, LOC108098300|XP_017056599.1|DFIC, LOC108093385|XP_017048892.1|DFIC, LOC108092885|XP_017048216.1|DFIC
