Orthogroup	CCAP.longest_only	DBIA.longest_only
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA, LOC108030125|XP_016958318.1|DBIA
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC108030173|XP_016958402.1|DBIA
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC108034204|XP_016964524.1|DBIA
OG0000006	CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC108021907|XP_016946218.1|DBIA
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC108028761|XP_016956223.1|DBIA
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC108032174|XP_016961516.1|DBIA
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC108034858|XP_016965498.1|DBIA
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC108034855|XP_016965493.1|DBIA
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC108034860|XP_016965500.1|DBIA
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC108027095|XP_016953802.1|DBIA
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC108027071|XP_016953774.1|DBIA
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC108031158|XP_016959863.1|DBIA
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC108024778|XP_016950383.1|DBIA
OG0000010	CCAP1982_LOCUS6248|CAD6997612.1|CCAP	LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC108026825|XP_016953482.1|DBIA
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC108026824|XP_016953480.1|DBIA
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC108026906|XP_016953604.1|DBIA
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC108036445|XP_016968074.1|DBIA
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC108031414|XP_016960303.1|DBIA
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC108034990|XP_016965812.1|DBIA
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC108024443|XP_016949852.1|DBIA
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC108026153|XP_016952377.1|DBIA
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC108035861|XP_016967096.1|DBIA, LOC108021863|XP_016946143.1|DBIA, LOC108022025|XP_016946391.1|DBIA
OG0000014	CCAP1982_LOCUS11701|CAD7003239.1|CCAP	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA
OG0000014	CCAP1982_LOCUS10103|CAD7001609.1|CCAP, CCAP1982_LOCUS9877|CAD7001380.1|CCAP, CCAP1982_LOCUS9942|CAD7001445.1|CCAP, CCAP1982_LOCUS4171|CAD6995456.1|CCAP, CCAP1982_LOCUS10567|CAD7002079.1|CCAP, CCAP1982_LOCUS10503|CAD7002015.1|CCAP, CCAP1982_LOCUS6284|CAD6997653.1|CCAP, CCAP1982_LOCUS10032|CAD7001536.1|CCAP, CCAP1982_LOCUS8024|CAD6999500.1|CCAP, CCAP1982_LOCUS9769|CAD7001271.1|CCAP, CCAP1982_LOCUS9400|CAD7000925.1|CCAP, CCAP1982_LOCUS10108|CAD7001614.1|CCAP	LOC108027391|XP_016954320.1|DBIA
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC108032049|XP_016961350.1|DBIA
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC108036535|XP_016968248.1|DBIA
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC108026160|XP_016952383.1|DBIA
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC108030823|XP_016959429.1|DBIA
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC108036348|XP_016967909.1|DBIA, LOC108036878|XP_016968743.1|DBIA, LOC108030712|XP_016959244.1|DBIA
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC108028400|XP_016955704.1|DBIA
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC108028081|XP_016955212.1|DBIA
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC108028402|XP_016955706.1|DBIA
OG0000018	CCAP1982_LOCUS12538|CAD7004117.1|CCAP, CCAP1982_LOCUS12539|CAD7004118.1|CCAP, CCAP1982_LOCUS12541|CAD7004120.1|CCAP	LOC108028162|XP_016955311.1|DBIA
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC108026305|XP_016952678.1|DBIA
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC108031537|XP_016960562.1|DBIA
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC108027350|XP_016954258.1|DBIA
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC108022346|XP_016946698.1|DBIA
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC108027009|XP_016953696.1|DBIA
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC108027245|XP_016954086.1|DBIA
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC108027357|XP_016954268.1|DBIA
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC108027244|XP_016954083.1|DBIA
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC108033374|XP_016963181.1|DBIA
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC108033303|XP_016963062.1|DBIA
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC108033359|XP_016963159.1|DBIA
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC108035881|XP_016967123.1|DBIA
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC108035021|XP_016965853.1|DBIA
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA, LOC108031286|XP_016960018.1|DBIA, LOC108028180|XP_016955330.1|DBIA
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC108033534|XP_016963368.1|DBIA, LOC108033540|XP_016963373.1|DBIA
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC108036692|XP_016968470.1|DBIA, LOC108022382|XP_016946753.1|DBIA
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC108027359|XP_016954271.1|DBIA
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA, LOC108035237|XP_016966261.1|DBIA, LOC108034999|XP_016965831.1|DBIA, LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA, LOC108036755|XP_016968570.1|DBIA
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC108027411|XP_016954339.1|DBIA
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC108026449|XP_016952877.1|DBIA
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC108024985|XP_016950728.1|DBIA
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC108024657|XP_016950207.1|DBIA
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC108029865|XP_016957843.1|DBIA
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC108030746|XP_016959281.1|DBIA
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC108024814|XP_016950428.1|DBIA, LOC108024406|XP_016949807.1|DBIA
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA, LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC108026455|XP_016952884.1|DBIA
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA, LOC108026002|XP_016952181.1|DBIA, LOC108025998|XP_016952177.1|DBIA, LOC108026469|XP_016952901.1|DBIA
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC108025049|XP_016950795.1|DBIA
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC108028610|XP_016956020.1|DBIA
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC108034658|XP_016965085.1|DBIA, LOC108034642|XP_016965069.1|DBIA
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC108028181|XP_016955331.1|DBIA
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC108028143|XP_016955289.1|DBIA
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC108029392|XP_016957110.1|DBIA
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC108034662|XP_016965090.1|DBIA, LOC108034416|XP_016964788.1|DBIA
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC108035017|XP_016965850.1|DBIA, LOC108035032|XP_016965866.1|DBIA, LOC108035016|XP_016965849.1|DBIA
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC108035019|XP_016965851.1|DBIA
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC108024363|XP_016949755.1|DBIA
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC108024349|XP_016949740.1|DBIA
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC108024839|XP_016950464.1|DBIA, LOC108024840|XP_016950465.1|DBIA
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC108024876|XP_016950510.1|DBIA
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC108029844|XP_016957821.1|DBIA
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC108030726|XP_016959257.1|DBIA, LOC108030785|XP_016959326.1|DBIA, LOC108030724|XP_016959254.1|DBIA, LOC108030784|XP_016959325.1|DBIA, LOC108030723|XP_016959253.1|DBIA, LOC108030725|XP_016959255.1|DBIA
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC108031259|XP_016959986.1|DBIA
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC108031167|XP_016959876.1|DBIA
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC108031055|XP_016959745.1|DBIA, LOC108031066|XP_016959760.1|DBIA
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC108031139|XP_016959843.1|DBIA, LOC108024786|XP_016950390.1|DBIA, LOC108031304|XP_016960037.1|DBIA, LOC108031177|XP_016959886.1|DBIA, LOC108031170|XP_016959879.1|DBIA, LOC108029994|XP_016957997.1|DBIA, LOC108029937|XP_016957921.1|DBIA
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC108029369|XP_016957086.1|DBIA, LOC108029362|XP_016957079.1|DBIA
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC108029361|XP_016957078.1|DBIA
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC108029360|XP_016957077.1|DBIA
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC108029370|XP_016957087.1|DBIA
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC108026311|XP_016952687.1|DBIA
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC108026084|XP_016952272.1|DBIA, LOC108026092|XP_016952281.1|DBIA, LOC108026028|XP_016952208.1|DBIA, LOC108026363|XP_016952768.1|DBIA
OG0000055	CCAP1982_LOCUS1093|CAD6992223.1|CCAP, CCAP1982_LOCUS1092|CAD6992222.1|CCAP	LOC108025040|XP_016950785.1|DBIA
