Orthogroup	CCAP.longest_only	DPSE.longest_only
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC4804982|XP_001361456.3|DPSE, LOC4803409|XP_001360156.1|DPSE
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC4804975|XP_001361450.3|DPSE
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC6902590|XP_002133118.2|DPSE
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE
OG0000006	CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	CCAP1982_LOCUS6242|CAD6997606.1|CCAP	LOC117185611|XP_033241640.1|DPSE
OG0000006	CCAP1982_LOCUS6237|CAD6997601.1|CCAP, CCAP1982_LOCUS6252|CAD6997616.1|CCAP, CCAP1982_LOCUS6249|CAD6997613.1|CCAP	LOC117183581|XP_033233838.1|DPSE
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC6900428|XP_002134819.1|DPSE
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC5495512|XP_001353851.2|DPSE
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC5495509|XP_001355939.3|DPSE, LOC4805058|XP_001361522.1|DPSE, LOC6896708|XP_002136922.1|DPSE, LOC4800234|XP_001357614.1|DPSE, LOC6896707|XP_002136921.2|DPSE, LOC4816610|XP_001355938.2|DPSE, LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE, LOC4813497|XP_001353852.2|DPSE, LOC4813468|XP_001353840.2|DPSE
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC4803265|XP_001360036.3|DPSE
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC6900302|XP_002135624.1|DPSE
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC6900304|XP_002135626.2|DPSE
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC4802270|XP_033239768.1|DPSE
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC4802267|XP_001359221.4|DPSE
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC117184116|XP_033236234.1|DPSE
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC4802269|XP_001359223.2|DPSE
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC6897995|XP_002138092.2|DPSE
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC4805603|XP_001361980.2|DPSE, LOC4802604|XP_001359493.2|DPSE, LOC4804281|XP_001360862.1|DPSE, LOC6898444|XP_002138487.3|DPSE
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC117185640|XP_033241727.1|DPSE
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC26532676|XP_015035129.1|DPSE
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC4804261|XP_015039777.2|DPSE
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC4804255|XP_001360842.2|DPSE
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC4804254|XP_015039772.2|DPSE
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC6898436|XP_033233736.1|DPSE
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE, LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE, LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC4805483|XP_001361878.1|DPSE
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC6900589|XP_002134962.1|DPSE
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC4801399|XP_001358499.2|DPSE
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC117184937|XP_033240069.1|DPSE, LOC117184691|XP_033239208.1|DPSE
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC4801993|XP_001359004.1|DPSE, LOC6898475|XP_002138517.1|DPSE
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC4801351|XP_001358460.1|DPSE
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC4805675|XP_001362034.4|DPSE
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC6896970|XP_002137155.1|DPSE
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC4812150|XP_001352883.1|DPSE
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC4805006|XP_001361476.2|DPSE, LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC5495511|XP_001353833.1|DPSE
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC4813481|XP_001353829.1|DPSE
OG0000018	CCAP1982_LOCUS12554|CAD7004133.1|CCAP	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE, LOC4801129|XP_033235715.1|DPSE, LOC4801131|XP_001358273.2|DPSE, LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC6896759|XP_002136966.1|DPSE
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC6902791|XP_002132528.2|DPSE
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC117183221|XP_033232918.1|DPSE
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC4818201|XP_033236143.1|DPSE
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC4800831|XP_001358035.1|DPSE
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC4804646|XP_033234778.1|DPSE
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE
OG0000022	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP	LOC6899948|XP_002135316.2|DPSE
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC4802964|XP_001359777.4|DPSE, LOC4804210|XP_001360806.2|DPSE, LOC6897865|XP_033232678.1|DPSE
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC4802957|XP_001359771.3|DPSE
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC5495505|XP_001359769.4|DPSE
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC5384073|XP_001359768.2|DPSE
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC4802956|XP_015038205.2|DPSE
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC6899225|XP_002136299.3|DPSE, LOC5495508|XP_001361566.2|DPSE
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC4815876|XP_001355332.2|DPSE, LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE, LOC4800860|XP_001358060.2|DPSE
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC6902829|XP_002132565.2|DPSE
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC4817432|XP_001356466.2|DPSE
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC4816919|XP_001356465.1|DPSE
OG0000028	CCAP1982_LOCUS11976|CAD7003526.1|CCAP	LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC6900255|XP_002135584.2|DPSE
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC6900007|XP_002135372.2|DPSE
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE, LOC26533066|XP_015039817.2|DPSE, LOC6897267|XP_033233167.1|DPSE, LOC4813458|XP_001353977.2|DPSE
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC4817563|XP_001356970.3|DPSE, LOC4817564|XP_002132859.2|DPSE, LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC4816660|XP_001355989.2|DPSE, LOC4804482|XP_001361038.2|DPSE
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC26533742|XP_033235774.1|DPSE
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC4817450|XP_001356533.3|DPSE, LOC4817037|XP_001356534.3|DPSE, LOC6902878|XP_002132612.2|DPSE, LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE, LOC4816157|XP_001355874.3|DPSE
OG0000035	CCAP1982_LOCUS19543|CAD7011443.1|CCAP, CCAP1982_LOCUS19546|CAD7011446.1|CCAP, CCAP1982_LOCUS19545|CAD7011445.1|CCAP	LOC117183275|XP_033232534.1|DPSE, LOC117185563|XP_033241586.1|DPSE
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC6897873|XP_002137975.2|DPSE
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC4801521|XP_033232300.1|DPSE
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC4802757|XP_001359618.3|DPSE
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC117183241|XP_033232365.1|DPSE, LOC4800563|XP_033232364.1|DPSE
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC4803745|XP_001360410.4|DPSE
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC4812152|XP_001352947.2|DPSE
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC4803128|XP_001359922.2|DPSE, LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE, LOC4803134|XP_001359926.3|DPSE
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC4803126|XP_001359920.4|DPSE, LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC4802344|XP_001359278.1|DPSE
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE, LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC4802849|XP_001359684.3|DPSE
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC4812813|XP_033238456.1|DPSE
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC4813084|XP_001353641.2|DPSE
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC6900434|XP_002134825.3|DPSE
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC6900020|XP_002135385.1|DPSE, LOC6900019|XP_002135384.1|DPSE
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC6900017|XP_033238773.1|DPSE, LOC6900029|XP_033240343.1|DPSE, LOC6900030|XP_002135394.2|DPSE, LOC4812161|XP_001352552.3|DPSE
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC4812224|XP_033238777.1|DPSE
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC4800765|XP_001357980.2|DPSE
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC4800759|XP_001357974.3|DPSE
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC4800761|XP_001357976.3|DPSE, LOC4800766|XP_001357981.4|DPSE
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC4800764|XP_001357979.3|DPSE
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC4805406|XP_001361811.3|DPSE
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC6899905|XP_002135273.2|DPSE, LOC6899906|XP_002135274.3|DPSE, LOC6899912|XP_033237397.1|DPSE, LOC6899911|XP_002135279.1|DPSE, LOC6899908|XP_033237399.1|DPSE, LOC6899907|XP_033237400.1|DPSE, LOC6899913|XP_002135281.2|DPSE, LOC6899909|XP_033237398.1|DPSE
