Orthogroup	CCAP.longest_only	DSAN.longest_only
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN, LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC120446977|XP_039484182.1|DSAN
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC120458775|XP_039502488.1|DSAN
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC120457677|XP_039501102.1|DSAN, LOC120457917|XP_039501356.1|DSAN, LOC120457922|XP_039501362.1|DSAN, LOC120457921|XP_039501361.1|DSAN, LOC120457915|XP_039501354.1|DSAN, LOC120457914|XP_039501353.1|DSAN, LOC120457919|XP_039501359.1|DSAN, LOC120446198|XP_039482981.1|DSAN, LOC120457920|XP_039501360.1|DSAN, LOC120457916|XP_039501355.1|DSAN, LOC120457918|XP_039501357.1|DSAN, LOC120457924|XP_039501363.1|DSAN, LOC120457925|XP_039501364.1|DSAN
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC120457931|XP_039501371.1|DSAN
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC120457937|XP_039501378.1|DSAN, LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC120450299|XP_039489171.1|DSAN
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC120449593|XP_039488092.1|DSAN
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC120458533|XP_039502144.1|DSAN, LOC120455948|XP_039498425.1|DSAN, LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN, LOC120458508|XP_039502112.1|DSAN, LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN, LOC120449828|XP_039488411.1|DSAN, LOC120449911|XP_039488536.1|DSAN
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC120451092|XP_039490416.1|DSAN
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC120449655|XP_039488186.1|DSAN
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC120449654|XP_039488185.1|DSAN
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC120449658|XP_039488188.1|DSAN
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC120453056|XP_039493512.1|DSAN
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC120453871|XP_039494710.1|DSAN
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC120453053|XP_039493508.1|DSAN
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC120452274|XP_039492339.1|DSAN
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC120453887|XP_039494738.1|DSAN
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC120452846|XP_039493217.1|DSAN
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC120446532|XP_039483479.1|DSAN, LOC120453301|XP_039493868.1|DSAN, LOC120445192|XP_039481349.1|DSAN, LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC120446204|XP_039482989.1|DSAN
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC120457684|XP_039501107.1|DSAN
OG0000010	CCAP1982_LOCUS6248|CAD6997612.1|CCAP	LOC120457967|XP_039501402.1|DSAN
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC120445821|XP_039482372.1|DSAN
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC120445820|XP_039482371.1|DSAN
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC120446192|XP_039482973.1|DSAN
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC120446256|XP_039483062.1|DSAN
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC120444865|XP_039480765.1|DSAN, LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN, LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC120444466|XP_039480072.1|DSAN
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC120450753|XP_039489810.1|DSAN
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC120447659|XP_039485107.1|DSAN
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC120450808|XP_039489911.1|DSAN
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC120452623|XP_039492863.1|DSAN
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC120450089|XP_039488815.1|DSAN, LOC120457516|XP_039500998.1|DSAN, LOC120457848|XP_039501301.1|DSAN, LOC120458123|XP_039501592.1|DSAN, LOC120458168|XP_039501658.1|DSAN, LOC120458585|XP_039502218.1|DSAN
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC120451140|XP_039490495.1|DSAN, LOC120444605|XP_039480314.1|DSAN
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC120454635|XP_039496058.1|DSAN
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC120445231|XP_039481423.1|DSAN
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC120450954|XP_039490174.1|DSAN
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC120450393|XP_039489322.1|DSAN
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC120458133|XP_039501613.1|DSAN, LOC120453270|XP_039493835.1|DSAN
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC120448958|XP_039487148.1|DSAN
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC120447671|XP_039485130.1|DSAN
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC120453199|XP_039493718.1|DSAN, LOC120453201|XP_039493721.1|DSAN, LOC120453202|XP_039493723.1|DSAN, LOC120453194|XP_039493696.1|DSAN, LOC120453200|XP_039493720.1|DSAN, LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC120451285|XP_039490765.1|DSAN
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC120450860|XP_039490007.1|DSAN
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC120454061|XP_039495000.1|DSAN
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC120445477|XP_039481858.1|DSAN
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC120454388|XP_039495572.1|DSAN, LOC120444959|XP_039480909.1|DSAN, LOC120453781|XP_039494563.1|DSAN
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC120453806|XP_039494614.1|DSAN
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC120450927|XP_039490127.1|DSAN
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC120453011|XP_039493460.1|DSAN
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC120450929|XP_039490129.1|DSAN
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC120446616|XP_039483595.1|DSAN, LOC120446257|XP_039483064.1|DSAN
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	LOC120446199|XP_039482982.1|DSAN, LOC120457929|XP_039501366.1|DSAN
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC120456651|XP_039499515.1|DSAN, LOC120453885|XP_039494736.1|DSAN
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC120458674|XP_039502344.1|DSAN
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC120458543|XP_039502157.1|DSAN
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC120458684|XP_039502355.1|DSAN
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC120447587|XP_039484989.1|DSAN
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC120447866|XP_039485407.1|DSAN
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC120454032|XP_039494960.1|DSAN, LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN, LOC120452245|XP_039492306.1|DSAN, LOC120448524|XP_039486496.1|DSAN
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC120458250|XP_039501773.1|DSAN, LOC120458016|XP_039501452.1|DSAN, LOC120457864|XP_039501320.1|DSAN
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC120458849|XP_039502609.1|DSAN, LOC120445779|XP_039482317.1|DSAN
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC120456119|XP_039498683.1|DSAN
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC120451694|XP_039491522.1|DSAN
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN, LOC120447093|XP_039484433.1|DSAN, LOC120447092|XP_039484432.1|DSAN, LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN, LOC120458883|XP_039502653.1|DSAN
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC120453442|XP_039494083.1|DSAN
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC120450981|XP_039490212.1|DSAN
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC120452669|XP_039492941.1|DSAN
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC120445359|XP_039481651.1|DSAN
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC120447582|XP_039484984.1|DSAN
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC120453988|XP_039494877.1|DSAN, LOC120453019|XP_039493471.1|DSAN, LOC120453349|XP_039493953.1|DSAN
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC120453637|XP_039494364.1|DSAN, LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC120452826|XP_039493165.1|DSAN
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN, LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC120453569|XP_039494260.1|DSAN
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC120448397|XP_039486321.1|DSAN
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC120448761|XP_039486880.1|DSAN
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC120448760|XP_039486879.1|DSAN
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC120447165|XP_039484555.1|DSAN
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN, LOC120447858|XP_039485399.1|DSAN
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC120447864|XP_039485406.1|DSAN
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC120454479|XP_039495747.1|DSAN
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC120451908|XP_039491850.1|DSAN
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC120451909|XP_039491851.1|DSAN, LOC120451911|XP_039491854.1|DSAN
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC120454478|XP_039495745.1|DSAN
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC120444560|XP_039480251.1|DSAN
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC120450200|XP_039489002.1|DSAN, LOC120450145|XP_039488909.1|DSAN, LOC120450199|XP_039489001.1|DSAN, LOC120449121|XP_039487366.1|DSAN, LOC120450198|XP_039489000.1|DSAN, LOC120449122|XP_039487368.1|DSAN
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC120454079|XP_039495023.1|DSAN
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC120450805|XP_039489908.1|DSAN
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC120453085|XP_039493545.1|DSAN, LOC120452423|XP_039492584.1|DSAN, LOC120454116|XP_039495080.1|DSAN
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC120451899|XP_039491841.1|DSAN, LOC120452530|XP_039492728.1|DSAN, LOC120451902|XP_039491845.1|DSAN, LOC120451901|XP_039491844.1|DSAN, LOC120451898|XP_039491840.1|DSAN, LOC120451896|XP_039491839.1|DSAN, LOC120446961|XP_039484150.1|DSAN, LOC120446960|XP_039484149.1|DSAN
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC120458373|XP_039501926.1|DSAN, LOC120458372|XP_039501925.1|DSAN
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC120458371|XP_039501924.1|DSAN
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC120458368|XP_039501922.1|DSAN
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC120458380|XP_039501934.1|DSAN
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC120451731|XP_039491574.1|DSAN
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC120451217|XP_039490630.1|DSAN, LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN
OG0000058	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP	LOC120446054|XP_039482765.1|DSAN, LOC120446683|XP_039483696.1|DSAN, LOC120446675|XP_039483682.1|DSAN, LOC120456673|XP_039499561.1|DSAN, LOC120456892|XP_039499925.1|DSAN
