Orthogroup	CCAP.longest_only	DMEL.longest_only
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	CCAP1982_LOCUS6242|CAD6997606.1|CCAP	His2A_CG33820|NP_001027311.1|DMEL
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	His2A_CG33865|NP_001027386.1|DMEL, His2A_CG33829|NP_001027326.1|DMEL, His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL, His2A_CG33844|NP_001027351.1|DMEL
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	Jon65Aiv|NP_648012.1|DMEL
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	Cpr92A|NP_650813.2|DMEL
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	Cpr64Aa|NP_647872.1|DMEL
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	Cpr64Ad|NP_647875.1|DMEL
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	Cpr64Ab|NP_647873.2|DMEL
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	Ccp84Ad|NP_649680.1|DMEL
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	Ccp84Af|NP_649678.1|DMEL
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	Ccp84Ac|NP_649681.1|DMEL
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	Ccp84Ae|NP_649679.1|DMEL
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	Ccp84Ag|NP_649677.1|DMEL
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	CG11453|NP_650832.1|DMEL
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	His4_CG33885|NP_001027342.1|DMEL
OG0000010	CCAP1982_LOCUS6248|CAD6997612.1|CCAP	His4_CG33899|NP_001027307.1|DMEL
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	His4_CG33883|NP_001027347.1|DMEL
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	CG9416|NP_611415.2|DMEL
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	CG10051|NP_611414.1|DMEL
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	CG11961|NP_725876.1|DMEL
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	CG10062|NP_001261089.1|DMEL
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	Hsc70-5|NP_523741.2|DMEL
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	Hsc70-4|NP_524356.1|DMEL
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	Hsc70-1|NP_524063.1|DMEL
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	Hsc70-2|NP_524339.1|DMEL
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	Hsp68|NP_524474.1|DMEL
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	Arp1|NP_524331.2|DMEL
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	Arp53D|NP_477037.2|DMEL
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	Act88F|NP_524367.1|DMEL
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	Act79B|NP_524210.1|DMEL
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	Or43b|NP_523656.2|DMEL, Or42a|NP_523622.2|DMEL
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	Cpr65Av|NP_729146.1|DMEL
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	Lcp65Ac|NP_477279.1|DMEL
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	Lcp65Ad|NP_477278.1|DMEL
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	rdog|NP_651678.1|DMEL
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	CG4562|NP_001262747.1|DMEL
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	Pp1-87B|NP_524937.1|DMEL
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	CG7798|NP_611098.1|DMEL
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	alpha-Est7|NP_524261.1|DMEL
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	alpha-Est9|NP_731165.2|DMEL
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	alpha-Est8|NP_524259.2|DMEL
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	alpha-Est10|NP_001246962.1|DMEL
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	His3_CG33848|NP_001027358.1|DMEL, His3_CG33824|NP_001027318.1|DMEL, His3_CG33815|NP_001027303.1|DMEL, His3_CG33866|NP_001027387.1|DMEL, His3_CG33839|NP_001027343.1|DMEL, His3_CG33842|NP_001027348.1|DMEL, His3_CG33836|NP_001027338.1|DMEL
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	Acp1|NP_477115.1|DMEL
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	CG7203|NP_609143.2|DMEL
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	CG7214|NP_609141.1|DMEL
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	CG14095|NP_649112.1|DMEL
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	CG13068|NP_648856.1|DMEL
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	Or33c|NP_523555.1|DMEL, Or33a|NP_523553.1|DMEL, Or33b|NP_523554.1|DMEL
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	Or23a|NP_523458.3|DMEL, Or59a|NP_523821.1|DMEL
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	CG5390|NP_609374.1|DMEL
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	GstD1|NP_524326.1|DMEL
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL, Ugt37E1|NP_652628.2|DMEL, Ugt37D1|NP_652627.2|DMEL, Ugt37A1|NP_523607.2|DMEL, Ugt37A3|NP_650229.2|DMEL, Ugt37A2|NP_650228.1|DMEL, Ugt37B1|NP_525008.2|DMEL
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	Sp7|NP_649734.2|DMEL
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	ea|NP_524362.2|DMEL
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	MP1|NP_001303421.1|DMEL
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	SPE|NP_651168.1|DMEL
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	Cyp12b2|NP_611370.2|DMEL
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	Cpr76Bb|NP_649121.1|DMEL
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	Ugt302K1|NP_652620.1|DMEL, Ugt302C1|NP_652626.1|DMEL, Ugt302E1|NP_652625.2|DMEL
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	CG31087|NP_733100.1|DMEL
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL, CG10559|NP_651382.2|DMEL, CG10560|NP_651384.2|DMEL, CG10553|NP_651383.1|DMEL
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	CG6908|NP_650105.1|DMEL
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	Cpr67Fb|NP_648420.1|DMEL
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	Cpr65Ec|NP_648077.1|DMEL
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	Cpr65Eb|NP_648076.3|DMEL
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	S-Lap5|NP_610892.1|DMEL
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	CG13043|NP_648868.2|DMEL, CG13063|NP_648869.1|DMEL, CG13044|NP_648867.1|DMEL
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	CG13042|NP_648870.1|DMEL
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	CG5246|NP_650603.1|DMEL
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	CG17475|NP_650600.2|DMEL
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	CG31269|NP_001097818.1|DMEL, CG31265|NP_650599.1|DMEL
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	CG5255|NP_650604.1|DMEL
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	CG13193|NP_610699.1|DMEL
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	CG33766|NP_001027140.1|DMEL, CG33770|NP_001027144.2|DMEL, CG33769|NP_001027143.1|DMEL, CG33767|NP_001027141.1|DMEL, CG33771|NP_001027145.3|DMEL, CG33768|NP_001027142.2|DMEL
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	Cyp313b1|NP_649807.1|DMEL
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	Cyp313a4|NP_650224.3|DMEL
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	Cyp313a5|NP_650168.1|DMEL, Cyp313a1|NP_650368.1|DMEL, Cyp313a2|NP_650169.3|DMEL, Cyp313a3|NP_650170.2|DMEL
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	CG16904|NP_649957.1|DMEL, CG31141|NP_732912.2|DMEL, eloF|NP_649956.1|DMEL, CG8534|NP_649955.1|DMEL, CG9458|NP_731419.1|DMEL, CG9459|NP_649958.2|DMEL, CG17821|NP_725820.2|DMEL, CG18609|NP_611365.2|DMEL
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	Mal-A8|NP_610384.1|DMEL, Mal-A7|NP_610383.1|DMEL
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	Mal-A6|NP_995779.2|DMEL
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	Mal-A5|NP_610382.2|DMEL
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	Mal-A1|NP_476627.3|DMEL
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	AOX1|NP_650475.1|DMEL
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	AOX2|NP_732047.2|DMEL, AOX4|NP_650478.1|DMEL, AOX3|NP_650477.1|DMEL
OG0000058	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP	AANATL4|NP_611406.1|DMEL, AANATL3|NP_610018.1|DMEL, AANATL6|NP_611405.2|DMEL, AANATL5|NP_611403.1|DMEL, AANATL2|NP_609005.1|DMEL, AgmNAT|NP_572268.1|DMEL
OG0000059	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP	TwdlH|NP_651490.1|DMEL, TwdlJ|NP_651489.2|DMEL, TwdlK|NP_651488.1|DMEL, TwdlN|NP_733160.1|DMEL, TwdlB|NP_651486.1|DMEL, TwdlL|NP_733158.1|DMEL, TwdlM|NP_651484.1|DMEL
OG0000060	CCAP1982_LOCUS3311|CAD6994573.1|CCAP	dco|NP_001356928.1|DMEL
OG0000061	CCAP1982_LOCUS7588|CAD6999041.1|CCAP	CG15255|NP_609755.1|DMEL
OG0000061	CCAP1982_LOCUS7592|CAD6999045.1|CCAP	CG7631|NP_609760.1|DMEL
OG0000061	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP	CG15254|NP_609757.1|DMEL, CG15253|NP_609758.1|DMEL
