Orthogroup	CCAP.longest_only	DKIK.longest_only
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC108083255|XP_017034451.1|DKIK
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC108081486|XP_017032174.1|DKIK, LOC108081508|XP_017032216.1|DKIK, LOC108081485|XP_017032173.1|DKIK
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK, LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC108071988|XP_017018451.1|DKIK
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK, LOC108072006|XP_017018472.1|DKIK, LOC108072020|XP_017018489.1|DKIK, LOC108072017|XP_017018486.1|DKIK
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC108082753|XP_017033762.1|DKIK
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC108073518|XP_017020682.1|DKIK
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC108073894|XP_017021172.1|DKIK
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC108073882|XP_017021156.1|DKIK
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC108080858|XP_017031251.1|DKIK
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC108084399|XP_017036085.1|DKIK, LOC108084435|XP_017036132.1|DKIK
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK, LOC108084433|XP_017036130.1|DKIK
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC108084436|XP_017036133.1|DKIK
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC108084068|XP_017035576.1|DKIK
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC108084077|XP_017035587.1|DKIK
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC108084022|XP_017035524.1|DKIK, LOC108084023|XP_017035525.1|DKIK
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC108084019|XP_017035520.1|DKIK
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC108073068|XP_017020022.1|DKIK
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC108072577|XP_017019276.1|DKIK, LOC108072587|XP_017019288.1|DKIK, LOC108072753|XP_017019515.1|DKIK, LOC108072610|XP_017019326.1|DKIK, LOC108072709|XP_017019438.1|DKIK, LOC108072761|XP_017019527.1|DKIK, LOC108072698|XP_017019426.1|DKIK, LOC108072596|XP_017019300.1|DKIK, LOC108072619|XP_017019339.1|DKIK, LOC108072601|XP_017019314.1|DKIK
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC108083217|XP_017034415.1|DKIK
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC108085672|XP_017037854.1|DKIK
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC108080429|XP_017030651.1|DKIK, LOC108080428|XP_017030650.1|DKIK
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC108084580|XP_017036343.1|DKIK, LOC108074446|XP_017021976.1|DKIK, LOC108085090|XP_017037048.1|DKIK, LOC108074588|XP_017022184.1|DKIK, LOC108084010|XP_017035511.1|DKIK, LOC108077591|XP_017026474.1|DKIK, LOC108084105|XP_017035621.1|DKIK, LOC108084092|XP_017035606.1|DKIK, LOC108084066|XP_017035574.1|DKIK, LOC108082278|XP_017033098.1|DKIK, LOC108082558|XP_017033497.1|DKIK
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC108070784|XP_017016873.1|DKIK, LOC108070783|XP_017016872.1|DKIK
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC108070782|XP_017016871.1|DKIK
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC108070781|XP_017016869.1|DKIK
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC108070786|XP_017016875.1|DKIK
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC108081173|XP_017031718.1|DKIK
