Orthogroup	CCAP.longest_only	DSUB.longest_only
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC117900241|XP_034666421.1|DSUB
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC117901441|XP_034668075.1|DSUB
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC117894702|XP_034657776.1|DSUB
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC117896362|XP_034660529.1|DSUB
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC117895169|XP_034658523.1|DSUB
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC117895168|XP_034658522.1|DSUB
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC117895171|XP_034658525.1|DSUB
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC117898640|XP_034664094.1|DSUB
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC117898631|XP_034664083.1|DSUB
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC117898634|XP_034664087.1|DSUB
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC117898636|XP_034664090.1|DSUB
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC117896628|XP_034660961.1|DSUB
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC117899454|XP_034665355.1|DSUB
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC117892204|XP_034654190.1|DSUB
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC117892205|XP_034654193.1|DSUB
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC117892198|XP_034654182.1|DSUB
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC117892199|XP_034654185.1|DSUB
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB, LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB, LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC117890717|XP_034651649.1|DSUB
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC117896516|XP_034660775.1|DSUB
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC117895334|XP_034658799.1|DSUB
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC117898536|XP_034663901.1|DSUB
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC117898309|XP_034663475.1|DSUB
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC117892105|XP_034654005.1|DSUB
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC117898432|XP_034663715.1|DSUB
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC117893424|XP_034655932.1|DSUB
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC117890423|XP_034651134.1|DSUB, LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC117895264|XP_034658678.1|DSUB
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC117895265|XP_034658679.1|DSUB
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC117895258|XP_034658670.1|DSUB
OG0000018	CCAP1982_LOCUS12554|CAD7004133.1|CCAP	LOC117895269|XP_034658684.1|DSUB
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC117895272|XP_034658688.1|DSUB
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC117902343|XP_034669534.1|DSUB
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC117898500|XP_034663833.1|DSUB
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC117898591|XP_034664027.1|DSUB
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC117892309|XP_034654347.1|DSUB
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB
OG0000022	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP	LOC117892923|XP_034655129.1|DSUB
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC117898724|XP_034664233.1|DSUB
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC117898725|XP_034664234.1|DSUB
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC117902555|XP_034669887.1|DSUB
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC117902556|XP_034669889.1|DSUB
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC117902554|XP_034669886.1|DSUB
OG0000028	CCAP1982_LOCUS11976|CAD7003526.1|CCAP	LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC117894266|XP_034657112.1|DSUB
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC117894530|XP_034657538.1|DSUB
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC117901334|XP_034667933.1|DSUB, LOC117901337|XP_034667938.1|DSUB, LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC117901974|XP_034668869.1|DSUB, LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC117900916|XP_034667369.1|DSUB
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC117898600|XP_034664039.1|DSUB
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC117898005|XP_034663024.1|DSUB
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC117896918|XP_034661349.1|DSUB
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC117897457|XP_034662194.1|DSUB
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC117899046|XP_034664697.1|DSUB
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC117890311|XP_034650989.1|DSUB
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC117894264|XP_034657109.1|DSUB
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC117898000|XP_034663019.1|DSUB, LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB, LOC117898866|XP_034664435.1|DSUB
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB, LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC117898991|XP_034664623.1|DSUB
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC117895983|XP_034659856.1|DSUB, LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC117898153|XP_034663242.1|DSUB
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC117894865|XP_034658016.1|DSUB
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC117893502|XP_034656031.1|DSUB
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC117894637|XP_034657700.1|DSUB
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC117893875|XP_034656539.1|DSUB
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC117892480|XP_034654625.1|DSUB
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC117894519|XP_034657522.1|DSUB, LOC117894520|XP_034657523.1|DSUB, LOC117894523|XP_034657528.1|DSUB
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC117894537|XP_034657548.1|DSUB
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC117898479|XP_034663805.1|DSUB
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC117899170|XP_034664920.1|DSUB
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC117898482|XP_034663809.1|DSUB
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC117892195|XP_034654177.1|DSUB
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC117893228|XP_034655655.1|DSUB, LOC117893221|XP_034655647.1|DSUB, LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB, LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB, LOC117893220|XP_034655645.1|DSUB, LOC117893224|XP_034655652.1|DSUB
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC117896438|XP_034660657.1|DSUB
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB, LOC117892469|XP_034654613.1|DSUB, LOC117892468|XP_034654612.1|DSUB
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC117890537|XP_034651353.1|DSUB
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC117890535|XP_034651347.1|DSUB
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC117890534|XP_034651344.1|DSUB
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC117890538|XP_034651354.1|DSUB
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC117898651|XP_034664113.1|DSUB, LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB
OG0000058	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB, LOC117902359|XP_034669562.1|DSUB, LOC117894861|XP_034658013.1|DSUB
OG0000059	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP	LOC117897005|XP_034661462.1|DSUB, LOC117896653|XP_034660990.1|DSUB, LOC117899423|XP_034665309.1|DSUB, LOC117896652|XP_034660989.1|DSUB, LOC117896800|XP_034661190.1|DSUB, LOC117896540|XP_034660815.1|DSUB, LOC117896696|XP_034661039.1|DSUB
OG0000060	CCAP1982_LOCUS3311|CAD6994573.1|CCAP	LOC117896503|XP_034660743.1|DSUB
OG0000061	CCAP1982_LOCUS7588|CAD6999041.1|CCAP	LOC117901880|XP_034668728.1|DSUB
OG0000061	CCAP1982_LOCUS7592|CAD6999045.1|CCAP	LOC117901276|XP_034667861.1|DSUB, LOC117901275|XP_034667859.1|DSUB
OG0000061	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP	LOC117901832|XP_034668656.1|DSUB
