Orthogroup	CCAP.longest_only	DANA.longest_only
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC6506512|XP_001957740.2|DANA
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC6499974|XP_001953515.1|DANA
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC6499973|XP_001953518.1|DANA
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC6500585|XP_001953520.1|DANA
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC6500584|XP_001953519.1|DANA
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC6499972|XP_001953521.2|DANA
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC6500401|XP_001953140.1|DANA
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC6494113|XP_001960938.1|DANA, LOC6500524|XP_001953390.1|DANA, LOC6494922|XP_001959416.1|DANA, LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC6500231|XP_001952977.1|DANA
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC116656007|XP_032310968.1|DANA
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC6495461|XP_014763319.1|DANA
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC6495181|XP_001958900.1|DANA
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC6495184|XP_001958896.1|DANA
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA, LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA, LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC6494224|XP_001960708.1|DANA
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC6494241|XP_001965950.1|DANA
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC6506687|XP_032309811.1|DANA
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC6500356|XP_001953043.1|DANA
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC6500746|XP_001953834.1|DANA
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC116655386|XP_032309137.1|DANA, LOC116656184|XP_032311480.1|DANA, LOC116656219|XP_032311561.1|DANA, LOC116656446|XP_032311954.1|DANA, LOC116655390|XP_032309143.1|DANA, LOC116656440|XP_032311942.1|DANA, LOC116656388|XP_032311771.1|DANA, LOC116656355|XP_032311687.1|DANA, LOC116655388|XP_032309140.1|DANA, LOC116655771|XP_032309858.1|DANA, LOC116655391|XP_032309144.1|DANA, LOC116655080|XP_032308035.1|DANA, LOC116655389|XP_032309141.1|DANA, LOC26514258|XP_032311543.1|DANA, LOC116655395|XP_032309151.1|DANA, LOC116656478|XP_032312029.1|DANA, LOC116655083|XP_032308038.1|DANA, LOC26514016|XP_032312054.1|DANA, LOC116656386|XP_032311769.1|DANA, LOC116655195|XP_032308626.1|DANA, LOC116655801|XP_032310036.1|DANA
OG0000014	CCAP1982_LOCUS9877|CAD7001380.1|CCAP	LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC6500386|XP_001953106.1|DANA, LOC6495063|XP_001959144.1|DANA
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC6499904|XP_001953662.1|DANA
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC6494270|XP_001960623.3|DANA
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC6501076|XP_001954513.1|DANA
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC6493807|XP_014764542.1|DANA
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC6494096|XP_001960985.1|DANA, LOC6493898|XP_001961368.1|DANA
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC6493787|XP_001958436.1|DANA
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC6506162|XP_001958433.1|DANA
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC6506161|XP_001958434.1|DANA
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC6506167|XP_032310203.1|DANA, LOC6493788|XP_001958437.1|DANA, LOC6493792|XP_001958441.2|DANA, LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA, LOC6506166|XP_001958429.1|DANA
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC6505609|XP_001964601.1|DANA, LOC6505610|XP_001964600.1|DANA, LOC6505613|XP_032305481.1|DANA, LOC6505612|XP_001964599.1|DANA, LOC6505608|XP_001964602.1|DANA
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC6499398|XP_032312200.1|DANA
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC6500139|XP_032312147.1|DANA
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC6499833|XP_001953817.3|DANA
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC6495509|XP_001959002.1|DANA
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC6500461|XP_001953266.1|DANA, LOC6494760|XP_001959725.1|DANA, LOC6500076|XP_001953267.1|DANA
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC6500083|XP_001953259.2|DANA
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC6500087|XP_001953255.2|DANA
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC6500085|XP_032312233.1|DANA
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC6500088|XP_014766376.1|DANA
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC6498256|XP_001962412.1|DANA, LOC6495254|XP_001958751.1|DANA
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	LOC116655431|XP_032309220.1|DANA, LOC6504865|XP_001964821.1|DANA, LOC6496740|XP_001967888.2|DANA, LOC26513707|XP_032309216.1|DANA, LOC116655705|XP_032309460.1|DANA
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA, LOC6500045|XP_001953325.1|DANA
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC6497408|XP_001962144.1|DANA
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC6497406|XP_001962147.2|DANA
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC6497407|XP_001962145.1|DANA
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC116655895|XP_032310688.1|DANA
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC6506803|XP_001957208.1|DANA
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC116655417|XP_032309201.1|DANA, LOC6502513|XP_001960684.2|DANA, LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA, LOC6506262|XP_014764698.1|DANA
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC6504294|XP_001965069.1|DANA, LOC6502755|XP_001965071.1|DANA, LOC6502754|XP_001965074.2|DANA, LOC6504293|XP_001965070.2|DANA, LOC6504292|XP_001965072.2|DANA, LOC6504291|XP_001965073.2|DANA
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA, LOC6494711|XP_001959810.1|DANA
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC6496944|XP_001963083.2|DANA
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC6499841|XP_001953793.1|DANA
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC6498174|XP_001962232.1|DANA, LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA, LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA, LOC6498553|XP_001963047.1|DANA, LOC26514669|XP_014762356.1|DANA, LOC6498552|XP_001963046.3|DANA, LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000035	CCAP1982_LOCUS10039|CAD7001544.1|CCAP, CCAP1982_LOCUS10038|CAD7001542.1|CCAP, CCAP1982_LOCUS9306|CAD7000831.1|CCAP, CCAP1982_LOCUS10521|CAD7002033.1|CCAP	LOC116656532|XP_032312057.1|DANA
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC6500465|XP_001953274.1|DANA
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC6505844|XP_001964473.1|DANA
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC6500980|XP_001954293.1|DANA
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC116656032|XP_032311076.1|DANA, LOC6499049|XP_001955412.1|DANA
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC6493979|XP_001961214.2|DANA
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC6498848|XP_001955809.2|DANA
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC6506319|XP_001958116.1|DANA
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC6501040|XP_001954441.3|DANA, LOC6499525|XP_001954440.1|DANA, LOC6499526|XP_001954439.3|DANA
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC6499523|XP_032311279.1|DANA, LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC6500203|XP_032305729.1|DANA
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA, LOC6500202|XP_001953032.2|DANA, LOC6500199|XP_001953034.1|DANA, LOC6500198|XP_001953035.1|DANA
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC6499418|XP_001954679.1|DANA
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC6493486|XP_001957849.1|DANA
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC6507632|XP_001956043.1|DANA
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC6507423|XP_032310209.1|DANA
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC6496543|XP_001961111.1|DANA
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC6506811|XP_001957192.1|DANA, LOC6493171|XP_001957195.2|DANA
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC6493169|XP_001957191.1|DANA
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC6499920|XP_001953633.1|DANA
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC6500645|XP_001953637.1|DANA
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC6499917|XP_001953639.1|DANA, LOC6502640|XP_001953638.1|DANA
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC6499921|XP_001953632.1|DANA
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC6494319|XP_001960538.2|DANA
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC6502855|XP_001958555.2|DANA, LOC6493851|XP_001958559.1|DANA, LOC6493850|XP_001958558.2|DANA, LOC6502856|XP_032309510.1|DANA, LOC6493852|XP_001958560.2|DANA, LOC6502857|XP_001958557.2|DANA
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC6499129|XP_001955245.1|DANA
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC6500659|XP_001953666.2|DANA
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC26513640|XP_032305475.1|DANA, LOC26515388|XP_014767422.1|DANA, LOC116654744|XP_032306925.1|DANA, LOC6500518|XP_032306907.1|DANA, LOC6500517|XP_032306874.1|DANA, LOC6500516|XP_014766594.2|DANA
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC6505124|XP_001964791.1|DANA, LOC6496824|XP_001963326.1|DANA, LOC6498306|XP_001962504.1|DANA, LOC6498305|XP_001962503.1|DANA, LOC6498307|XP_001962505.3|DANA, LOC6499936|XP_001953600.1|DANA, LOC6496593|XP_001961216.2|DANA, LOC6496594|XP_001961217.1|DANA
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC6495215|XP_001958835.1|DANA, LOC6495434|XP_001958836.2|DANA
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC6495214|XP_001958837.1|DANA
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC6495213|XP_001958838.1|DANA
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC6495436|XP_001958842.1|DANA
