Orthogroup	CCAP.longest_only	DSUZ.longest_only
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC118879646|XP_036678433.1|DSUZ
OG0000006	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP	LOC108016327|XP_016938453.2|DSUZ
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC108004804|XP_016923359.1|DSUZ
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC118877416|XP_036672028.1|DSUZ
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC118879795|XP_036678702.1|DSUZ, LOC108019834|XP_016943342.1|DSUZ, LOC108017241|XP_036675632.1|DSUZ, LOC108015466|XP_016937387.2|DSUZ, LOC118876800|XP_036668611.1|DSUZ, LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ, LOC108013030|XP_016934110.1|DSUZ
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC108014183|XP_016935707.1|DSUZ
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC108020044|XP_016943629.1|DSUZ
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC118877368|XP_036671791.1|DSUZ
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC108020009|XP_016943583.1|DSUZ
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC108014245|XP_016935771.2|DSUZ
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC108006378|XP_036675047.1|DSUZ
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC108014235|XP_016935760.2|DSUZ
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC108014237|XP_016935761.1|DSUZ
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC118878011|XP_036674950.1|DSUZ
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC108014185|XP_016935709.1|DSUZ
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC118879264|XP_036678040.1|DSUZ
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC108014626|XP_016936278.1|DSUZ
OG0000010	CCAP1982_LOCUS6248|CAD6997612.1|CCAP	LOC118878854|XP_036677774.1|DSUZ, LOC118877836|XP_036673914.1|DSUZ
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC118877317|XP_036671430.1|DSUZ
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC108010292|XP_016930652.1|DSUZ
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC108009919|XP_016930137.1|DSUZ
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC108009918|XP_016930133.2|DSUZ
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC108010305|XP_016930677.1|DSUZ
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ, LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ, LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC108009479|XP_016929350.1|DSUZ
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC108004911|XP_016923486.2|DSUZ
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC108012921|XP_016933934.1|DSUZ
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC108018484|XP_016941530.2|DSUZ
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC108015759|XP_036673283.1|DSUZ
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC108007391|XP_016926534.2|DSUZ
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC118878921|XP_036677800.1|DSUZ, LOC118879013|XP_036677866.1|DSUZ, LOC118879735|XP_036678526.1|DSUZ, LOC118879094|XP_036677971.1|DSUZ, LOC118879246|XP_036678025.1|DSUZ, LOC118878839|XP_036677760.1|DSUZ, LOC118878508|XP_036677404.1|DSUZ, LOC118878474|XP_036677365.1|DSUZ, LOC118878368|XP_036677001.1|DSUZ, LOC118878106|XP_036675365.1|DSUZ, LOC118879593|XP_036678396.1|DSUZ, LOC118878521|XP_036677419.1|DSUZ, LOC118877177|XP_036670313.1|DSUZ, LOC118879093|XP_036677970.1|DSUZ, LOC118878475|XP_036677366.1|DSUZ, LOC118879451|XP_036678220.1|DSUZ, LOC108005664|XP_016924475.1|DSUZ
OG0000014	CCAP1982_LOCUS11701|CAD7003239.1|CCAP	LOC118878840|XP_036677761.1|DSUZ, LOC118878431|XP_036677301.1|DSUZ
OG0000014	CCAP1982_LOCUS10103|CAD7001609.1|CCAP, CCAP1982_LOCUS9877|CAD7001380.1|CCAP, CCAP1982_LOCUS9942|CAD7001445.1|CCAP, CCAP1982_LOCUS4171|CAD6995456.1|CCAP, CCAP1982_LOCUS10567|CAD7002079.1|CCAP, CCAP1982_LOCUS10503|CAD7002015.1|CCAP, CCAP1982_LOCUS6284|CAD6997653.1|CCAP, CCAP1982_LOCUS10032|CAD7001536.1|CCAP, CCAP1982_LOCUS8024|CAD6999500.1|CCAP, CCAP1982_LOCUS9769|CAD7001271.1|CCAP, CCAP1982_LOCUS9400|CAD7000925.1|CCAP, CCAP1982_LOCUS10108|CAD7001614.1|CCAP	LOC118879539|XP_036678287.1|DSUZ
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ, LOC108009286|XP_016929004.1|DSUZ
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC108008079|XP_016927358.2|DSUZ
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC108009982|XP_016930246.1|DSUZ
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC108006430|XP_016925443.1|DSUZ
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC108007764|XP_016927008.1|DSUZ
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC108009448|XP_016929291.1|DSUZ, LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ, LOC108015556|XP_016937525.2|DSUZ
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC108012738|XP_016933660.1|DSUZ
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC108012644|XP_016933559.1|DSUZ
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC108012663|XP_016933579.1|DSUZ
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC108013582|XP_016934999.1|DSUZ
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC108016142|XP_016938246.1|DSUZ, LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ, LOC108016158|XP_036675606.1|DSUZ, LOC108016141|XP_016938245.1|DSUZ, LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC108015714|XP_036672549.1|DSUZ
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC108018719|XP_036672548.1|DSUZ
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC108008926|XP_016928324.1|DSUZ
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC108019337|XP_016942646.2|DSUZ, LOC108009166|XP_016928770.1|DSUZ, LOC108018731|XP_036675082.1|DSUZ
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC108013954|XP_016935453.2|DSUZ
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC108013962|XP_016935466.1|DSUZ
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC108013947|XP_036675218.1|DSUZ
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC108013965|XP_016935470.1|DSUZ
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	LOC118878857|XP_036677777.1|DSUZ, LOC108016325|XP_016938451.2|DSUZ, LOC108016331|XP_036678431.1|DSUZ
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC108005489|XP_016924284.1|DSUZ, LOC108014363|XP_016935943.1|DSUZ, LOC108013851|XP_016935328.2|DSUZ
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC118879783|XP_036678676.1|DSUZ
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC108021423|XP_016945624.1|DSUZ
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC108015770|XP_036678674.1|DSUZ
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC118877366|XP_036671777.1|DSUZ
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC108018422|XP_016941467.2|DSUZ, LOC108006019|XP_016924952.2|DSUZ, LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ, LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ, LOC108019543|XP_016942870.2|DSUZ
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC108013240|XP_036677776.1|DSUZ, LOC108019494|XP_016942847.1|DSUZ, LOC108012924|XP_016933943.1|DSUZ
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ, LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC108018357|XP_036672791.1|DSUZ
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC108021477|XP_016945708.1|DSUZ, LOC108021476|XP_016945707.1|DSUZ, LOC108021724|XP_016946052.1|DSUZ, LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ, LOC108011927|XP_016932664.1|DSUZ
OG0000035	CCAP1982_LOCUS19543|CAD7011443.1|CCAP, CCAP1982_LOCUS19546|CAD7011446.1|CCAP, CCAP1982_LOCUS19545|CAD7011445.1|CCAP	LOC118877768|XP_036673685.1|DSUZ, LOC118877323|XP_036671482.1|DSUZ
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC108019328|XP_036675087.1|DSUZ
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC108006404|XP_016925415.2|DSUZ
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC108011658|XP_016932343.2|DSUZ
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC108007854|XP_036674140.1|DSUZ
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC108018132|XP_016941074.1|DSUZ
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC108020759|XP_016944626.2|DSUZ
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ, LOC108007918|XP_016927178.2|DSUZ
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC108006018|XP_016924950.2|DSUZ, LOC108006051|XP_036674427.1|DSUZ, LOC108006016|XP_036674672.1|DSUZ
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ, LOC108010802|XP_016931225.2|DSUZ, LOC108006056|XP_016924989.2|DSUZ
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC108012094|XP_016932860.2|DSUZ
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC108007932|XP_036674251.1|DSUZ, LOC108007930|XP_036674252.1|DSUZ, LOC108007915|XP_016927173.2|DSUZ, LOC108007906|XP_016927164.2|DSUZ, LOC108007917|XP_036674250.1|DSUZ
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC108011721|XP_016932432.2|DSUZ
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC108004812|XP_036670921.1|DSUZ
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC108012264|XP_016933053.1|DSUZ, LOC108012265|XP_016933055.1|DSUZ
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC108005813|XP_016924631.1|DSUZ
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC108005814|XP_016924632.1|DSUZ
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC108019650|XP_016943022.1|DSUZ
